group,sex,band,n,pop,share_with_minor_child,mean_kids,mean_kids_if_parent,mean_child_years,mean_sole_child_years,share_any_child_under16,mean_years_to_16_max
all_hispanic,all,65-74,1897,3726139.3999999994,0.02344911196827473,0.03926612353794386,1.6745249709698444,0.3012946160844117,0.01740515129412496,0.01765817188696698,0.1386414877553964
all_hispanic,all,75+,1210,2424870.0999999996,0.013491774260402654,0.02206361487157601,1.6353382769181861,0.21640875938055407,0.020717447916076003,0.011232713043061567,0.11709913038228317
all_native,male,18-24,5128,13520620.06,0.025417607955474195,0.03342144428248951,1.3148933739569904,0.5159136747460678,0.08002313393902144,0.024810308884605992,0.35404261703660356
all_native,male,25-34,6840,18525046.18,0.23391896235478102,0.43261563356599414,1.8494252420197264,5.698354905261564,0.36159289941376005,0.23297168266492277,3.026683848730897
all_native,male,35-44,7387,17117231.299999997,0.4923450803635517,1.0003126603774994,2.0317307926360515,9.739980153215551,0.5346408136694397,0.4756459667633282,4.744693472711327
all_native,male,45-54,6321,14852938.350000001,0.3708411406689774,0.6500665863196018,1.7529516416299356,4.035911742675482,0.2673241237818778,0.3076336481259278,1.8740802576616093
all_native,male,55-64,6139,15703845.2,0.08291702531555774,0.11969484136280203,1.443549631782843,0.6153308509434364,0.047374466605159864,0.05791716031434136,0.2841796033496306
all_native,male,65-74,5816,14094344.629999999,0.0146620197976527,0.02488544016821022,1.6972723070660583,0.1790170934680771,0.01923833261625021,0.010652183123182226,0.07843005680782761
all_native,male,75+,4135,10128710.54,0.007331821726638068,0.010845860345812587,1.479285878761518,0.0848083392854072,0.008494208582645508,0.006263699584409291,0.046386733843812665
all_native,female,18-24,4885,13634791.260000002,0.07138488381962951,0.09425005014708233,1.3203082375986903,1.4379699627319413,0.6470100159054433,0.07029063971163427,0.987827930267852
all_native,female,25-34,7396,18920614.14,0.39283849905730384,0.7631209184418155,1.942581799576874,9.412012079645953,2.445996460662455,0.3910020396409818,4.818378183996938
all_native,female,35-44,8149,17425427.46,0.6424330338924149,1.2867322263094716,2.002904829649457,11.341209175708794,2.1268726351232936,0.6066299850758438,5.48420340960749
all_native,female,45-54,6697,15267161.120000001,0.354549783516007,0.5653933525789633,1.5946797286746535,2.9506872329385625,0.5618511445957675,0.27509307440910796,1.3596118339779464
all_native,female,55-64,6723,16874197.54,0.037433761724233086,0.047518896119311406,1.2694127955767165,0.22515302970667964,0.045293582002240804,0.022993514155577443,0.10936660813797727
all_native,female,65-74,6575,15868282.46,0.009358561670069994,0.015172391883425044,1.6212311697371726,0.11804817532848479,0.028675656684775192,0.007206128343646839,0.05595343492518093
all_native,female,75+,5155,12329670.110000001,0.006479974669817018,0.009832142216171588,1.5173118286971994,0.08200273413479024,0.030989623127881068,0.005787162946243661,0.05010935852200185
all_native,all,18-24,10013,27155411.32,0.048497877438889773,0.06396361997730919,1.3188952456302272,0.9788801482974554,0.3647084841873056,0.047646082202668694,0.672267605335613
all_native,all,25-34,14236,37445660.32,0.31421812673218197,0.5996139696328902,1.908273007253843,7.574798633167754,1.41480427711149,0.3128215606267082,3.9319945545561685
all_native,all,35-44,15536,34542658.760000005,0.5680586137371203,1.1448001882180534,2.0152853253763543,10.547737899142536,1.3378598217087556,0.5417223080601107,5.1177474651925134
all_native,all,45-54,13018,30120099.47,0.3625834397020336,0.6071477406047227,1.6745048839066363,3.485837282993541,0.416612856557741,0.2911396062530998,1.6133084656111196
all_native,all,55-64,12862,32578042.740000002,0.05935841006266664,0.08231042366175004,1.3866682678133089,0.41323345412248047,0.04629664685620091,0.039828028661982165,0.19363306446444914
all_native,all,65-74,12391,29962627.09,0.011853295070996393,0.01974138543403672,1.6654765882224214,0.14672780149732859,0.024236363113912786,0.008827143868445082,0.06652638148225873
