age,hispanic_origin,sex,deaths
81 years,Hispanic or Latino,Male,
81 years,Not Hispanic or Latino,Female,58.0
81 years,Not Hispanic or Latino,Male,62.0
81 years,Not Stated,Female,
81 years,Not Stated,Male,
82 years,Hispanic or Latino,Female,
82 years,Hispanic or Latino,Male,
82 years,Not Hispanic or Latino,Female,63.0
82 years,Not Hispanic or Latino,Male,61.0
82 years,Not Stated,Female,0.0
82 years,Not Stated,Male,0.0
83 years,Hispanic or Latino,Female,
83 years,Hispanic or Latino,Male,
83 years,Not Hispanic or Latino,Female,61.0
83 years,Not Hispanic or Latino,Male,46.0
83 years,Not Stated,Female,0.0
83 years,Not Stated,Male,0.0
84 years,Hispanic or Latino,Female,
84 years,Hispanic or Latino,Male,
84 years,Not Hispanic or Latino,Female,36.0
84 years,Not Hispanic or Latino,Male,39.0
84 years,Not Stated,Female,0.0
84 years,Not Stated,Male,0.0
85 years,Hispanic or Latino,Female,
85 years,Hispanic or Latino,Male,
85 years,Not Hispanic or Latino,Female,50.0
85 years,Not Hispanic or Latino,Male,40.0
85 years,Not Stated,Female,0.0
85 years,Not Stated,Male,0.0
86 years,Hispanic or Latino,Female,0.0
86 years,Hispanic or Latino,Male,0.0
86 years,Not Hispanic or Latino,Female,42.0
86 years,Not Hispanic or Latino,Male,34.0
86 years,Not Stated,Female,
86 years,Not Stated,Male,0.0
87 years,Hispanic or Latino,Female,
87 years,Hispanic or Latino,Male,0.0
87 years,Not Hispanic or Latino,Female,41.0
87 years,Not Hispanic or Latino,Male,31.0
87 years,Not Stated,Female,0.0
87 years,Not Stated,Male,0.0
88 years,Hispanic or Latino,Female,
88 years,Hispanic or Latino,Male,
88 years,Not Hispanic or Latino,Female,25.0
88 years,Not Hispanic or Latino,Male,20.0
88 years,Not Stated,Female,0.0
88 years,Not Stated,Male,0.0
89 years,Hispanic or Latino,Female,
89 years,Hispanic or Latino,Male,
89 years,Not Hispanic or Latino,Female,33.0
89 years,Not Hispanic or Latino,Male,19.0
89 years,Not Stated,Female,0.0
89 years,Not Stated,Male,0.0
90 years,Hispanic or Latino,Female,
90 years,Hispanic or Latino,Male,
90 years,Not Hispanic or Latino,Female,23.0
90 years,Not Hispanic or Latino,Male,10.0
90 years,Not Stated,Female,0.0
90 years,Not Stated,Male,0.0
91 years,Hispanic or Latino,Female,
91 years,Hispanic or Latino,Male,
91 years,Not Hispanic or Latino,Female,20.0
91 years,Not Hispanic or Latino,Male,14.0
91 years,Not Stated,Female,0.0
91 years,Not Stated,Male,0.0
92 years,Hispanic or Latino,Female,
92 years,Hispanic or Latino,Male,0.0
92 years,Not Hispanic or Latino,Female,18.0
92 years,Not Hispanic or Latino,Male,12.0
92 years,Not Stated,Female,0.0
92 years,Not Stated,Male,0.0
93 years,Hispanic or Latino,Female,
93 years,Hispanic or Latino,Male,
93 years,Not Hispanic or Latino,Female,21.0
93 years,Not Hispanic or Latino,Male,
93 years,Not Stated,Female,0.0
93 years,Not Stated,Male,0.0
94 years,Hispanic or Latino,Female,0.0
94 years,Hispanic or Latino,Male,
94 years,Not Hispanic or Latino,Female,
94 years,Not Hispanic or Latino,Male,
94 years,Not Stated,Female,
94 years,Not Stated,Male,0.0
95 years,Hispanic or Latino,Female,
95 years,Hispanic or Latino,Male,0.0
95 years,Not Hispanic or Latino,Female,
95 years,Not Hispanic or Latino,Male,
95 years,Not Stated,Female,0.0
95 years,Not Stated,Male,0.0
96 years,Hispanic or Latino,Female,0.0
96 years,Hispanic or Latino,Male,0.0
96 years,Not Hispanic or Latino,Female,18.0
96 years,Not Hispanic or Latino,Male,
96 years,Not Stated,Female,0.0
96 years,Not Stated,Male,0.0
97 years,Hispanic or Latino,Female,
97 years,Hispanic or Latino,Male,0.0
97 years,Not Hispanic or Latino,Female,
97 years,Not Hispanic or Latino,Male,
97 years,Not Stated,Female,0.0
97 years,Not Stated,Male,0.0
98 years,Hispanic or Latino,Female,
98 years,Hispanic or Latino,Male,0.0
98 years,Not Hispanic or Latino,Female,
98 years,Not Hispanic or Latino,Male,
98 years,Not Stated,Female,0.0
98 years,Not Stated,Male,0.0
99 years,Hispanic or Latino,Female,0.0
99 years,Hispanic or Latino,Male,0.0
99 years,Not Hispanic or Latino,Female,
99 years,Not Hispanic or Latino,Male,
99 years,Not Stated,Female,0.0
99 years,Not Stated,Male,0.0
100+ years,Hispanic or Latino,Female,0.0
100+ years,Hispanic or Latino,Male,0.0
