vic_eth,VicSex,vic_age_n,n
unknown,Unknown,36.0,1
unknown,Unknown,39.0,3
unknown,Unknown,40.0,1
unknown,Unknown,41.0,2
unknown,Unknown,42.0,1
unknown,Unknown,43.0,2
unknown,Unknown,48.0,1
unknown,Unknown,49.0,11
unknown,Unknown,50.0,14
unknown,Unknown,57.0,2
unknown,Unknown,58.0,10
unknown,Unknown,59.0,3
unknown,Unknown,60.0,1
unknown,Unknown,64.0,1
unknown,Unknown,70.0,1
unknown,Unknown,72.0,1
unknown,Unknown,99.0,6
