off_eth,rate,account,life_share,foster_share,n_cells,weight,victim_balance,child_cost,offender_cost,total,mean_victim_age,mean_offender_age
nh_other,0.03,partial,1.0,1.0,964,815.151182196948,115783.97019055925,100739.54314976762,1652898.188913453,1869421.7022537799,33.665852377919165,33.64922730555428
nh_white,0.03,partial,1.0,1.0,2914,5204.89464807243,85428.57662422731,100563.02652822765,1541650.0380585813,1727641.6412110361,39.87363154714403,38.462894384178334
hispanic,0.03,complete,0.0,1.0,2337,4287.47095218663,-144176.67762529766,103116.90961797966,693312.7218219643,652252.9538146462,32.415738724220226,29.91257792370165
nh_black,0.03,complete,0.0,1.0,3225,14062.950770278007,-53196.8404387221,97840.65600618857,769480.0476809893,814123.8632484557,31.71657852450282,30.387982613919572
nh_other,0.03,complete,0.0,1.0,964,815.151182196948,-70089.04744839222,100739.54314976762,762311.5261202557,792962.021821631,33.665852377919165,33.64922730555428
nh_white,0.03,complete,0.0,1.0,2914,5204.89464807243,-78832.66760059855,100563.02652822765,751971.259900198,773701.618827827,39.87363154714403,38.462894384178334
hispanic,0.03,complete,0.231,1.0,2337,4287.47095218663,-144176.67762529766,103116.90961797966,965266.9816681745,924207.2136608565,32.415738724220226,29.91257792370165
nh_black,0.03,complete,0.231,1.0,3225,14062.950770278007,-53196.8404387221,97840.65600618857,1071752.675395901,1116396.4909633675,31.71657852450282,30.387982613919572
nh_other,0.03,complete,0.231,1.0,964,815.151182196948,-70089.04744839222,100739.54314976762,1037125.3437996886,1067775.839501064,33.665852377919165,33.64922730555428
nh_white,0.03,complete,0.231,1.0,2914,5204.89464807243,-78832.66760059855,100563.02652822765,996382.3823445447,1018112.7412721737,39.87363154714403,38.462894384178334
hispanic,0.03,complete,1.0,1.0,2337,4287.47095218663,-144176.67762529766,103116.90961797966,1402090.2252558277,1361030.4572485096,32.415738724220226,29.91257792370165
nh_black,0.03,complete,1.0,1.0,3225,14062.950770278007,-53196.8404387221,97840.65600618857,1537729.3548723792,1582373.1704398456,31.71657852450282,30.387982613919572
nh_other,0.03,complete,1.0,1.0,964,815.151182196948,-70089.04744839222,100739.54314976762,1466568.0627728563,1497218.5584742317,33.665852377919165,33.64922730555428
nh_white,0.03,complete,1.0,1.0,2914,5204.89464807243,-78832.66760059855,100563.02652822765,1377649.5693345754,1399379.9282622046,39.87363154714403,38.462894384178334
