geography,passthrough,decile,tenure,households,income_dollars,federal_share,state_local_share
CA,0.0,9,owner,796235.0498132,130391450034.57889,0.014949215583920608,0.12446203141536505
CA,0.0,9,renter,269090.02648369997,44255665265.59674,0.005440727276054655,0.03671132155059305
CA,0.0,10,owner,905530.2621764,276708387979.4505,0.04172797296184033,0.3093480017974789
CA,0.0,10,renter,170062.7969653,54562210814.0588,0.008202124487718275,0.05142894620167162
CA,0.5,1,no_cash_rent,15189.3095694,88819491.9020181,7.241577949980719e-07,0.0001677212876800903
CA,0.5,1,owner,467142.85930969997,2417828382.145749,0.00048424696145325455,0.012440103398228734
CA,0.5,1,renter,588136.4864759,3111646191.9715695,0.0003314451973833674,0.010406884081518509
CA,0.5,2,no_cash_rent,30623.4026592,627877211.8419558,1.1686244711362076e-05,0.0007612022944184962
CA,0.5,2,owner,430009.1891912,10259135825.929028,0.00041790970631158165,0.015150118386512795
CA,0.5,2,renter,606120.529367,14730936577.256151,0.000505853167839682,0.017277367434289037
CA,0.5,3,no_cash_rent,15098.065161100001,567047990.3972869,4.277518460122023e-05,0.0005955581462105356
CA,0.5,3,owner,414395.4861133,15348191324.168852,0.0007154700088986959,0.018121697812569254
CA,0.5,3,renter,644219.9045658,23897492973.095547,0.0012559740392305925,0.023171939352465913
CA,0.5,4,no_cash_rent,9994.010099399999,483678790.25754976,4.23690883387585e-05,0.00039613627024777474
CA,0.5,4,owner,398243.7851085,19924002208.122112,0.0012206139638293774,0.02054343623549865
CA,0.5,4,renter,663926.0531318,33195456729.77332,0.0023701645968985494,0.028898551696249046
CA,0.5,5,no_cash_rent,14007.552513,847286295.9561666,9.037561930381669e-05,0.0007444274856554678
CA,0.5,5,owner,542981.577096,35058954878.81873,0.0025390857631687443,0.032924959666094246
CA,0.5,5,renter,515104.2615657,33067998662.19454,0.0026887194143019604,0.027264432967071685
CA,0.5,6,no_cash_rent,15024.6363669,1178830353.7054977,0.00011016243006674894,0.0009454373328856146
CA,0.5,6,owner,550942.3208062,44549183076.440186,0.0033091075738741395,0.04014638964143392
CA,0.5,6,renter,504424.2983278,40637870707.34304,0.003801432760749925,0.03208940924325972
CA,0.5,7,no_cash_rent,9807.9077939,953794305.4250879,5.972342620130668e-05,0.0006481175811899171
CA,0.5,7,owner,631863.66282,63302390319.61869,0.00532831451343314,0.053997797127224086
CA,0.5,7,renter,429510.4602493,42647942348.9594,0.004215309777435161,0.03367544173411943
CA,0.5,8,no_cash_rent,3029.6410322,420086995.8838198,4.464477885433027e-05,0.0003641505277526679
CA,0.5,8,owner,722511.0685684,89679877480.07973,0.00894940840176826,0.07951913434133343
CA,0.5,8,renter,347018.81192,43085922500.25052,0.004928676894209967,0.03583533131972476
CA,0.5,9,no_cash_rent,2627.9521064,466295937.9032968,6.453738423222681e-05,0.0004532887664163878
CA,0.5,9,owner,796235.0498132,130391450034.57889,0.014949215583920608,0.12249435911264386
CA,0.5,9,renter,269090.02648369997,44255665265.59674,0.005440727276054655,0.03723533036730709
CA,0.5,10,owner,905530.2621764,276708387979.4505,0.04172797296184033,0.30247714284485633
CA,0.5,10,renter,170062.7969653,54562210814.0588,0.008202124487718275,0.051254133545142605
CA,1.0,1,no_cash_rent,15189.3095694,88819491.9020181,7.241577949980719e-07,0.00016770647432344773
CA,1.0,1,owner,467142.85930969997,2417828382.145749,0.00048424696145325455,0.01234699676209848
CA,1.0,1,renter,588136.4864759,3111646191.9715695,0.0003314451973833674,0.01180126069856732
CA,1.0,2,no_cash_rent,30623.4026592,627877211.8419558,1.1686244711362076e-05,0.0007554498264118773
CA,1.0,2,owner,430009.1891912,10259135825.929028,0.00041790970631158165,0.015047624221666014
CA,1.0,2,renter,606120.529367,14730936577.256151,0.000505853167839682,0.018934198979838637
CA,1.0,3,no_cash_rent,15098.065161100001,567047990.3972869,4.277518460122023e-05,0.0005833161573722514
CA,1.0,3,owner,414395.4861133,15348191324.168852,0.0007154700088986959,0.017948133876671827
CA,1.0,3,renter,644219.9045658,23897492973.095547,0.0012559740392305925,0.02494750326379966
CA,1.0,4,no_cash_rent,9994.010099399999,483678790.25754976,4.23690883387585e-05,0.0003948252952318917
CA,1.0,4,owner,398243.7851085,19924002208.122112,0.0012206139638293774,0.02032495802074485
CA,1.0,4,renter,663926.0531318,33195456729.77332,0.0023701645968985494,0.03076855775257198
CA,1.0,5,no_cash_rent,14007.552513,847286295.9561666,9.037561930381669e-05,0.0007429427660466955
CA,1.0,5,owner,542981.577096,35058954878.81873,0.0025390857631687443,0.032620678837593925
CA,1.0,5,renter,515104.2615657,33067998662.19454,0.0026887194143019604,0.02871018088144714
CA,1.0,6,no_cash_rent,15024.6363669,1178830353.7054977,0.00011016243006674894,0.0009349757741669168
CA,1.0,6,owner,550942.3208062,44549183076.440186,0.0033091075738741395,0.03967242522234431
CA,1.0,6,renter,504424.2983278,40637870707.34304,0.003801432760749925,0.03355853420954008
CA,1.0,7,no_cash_rent,9807.9077939,953794305.4250879,5.972342620130668e-05,0.0006406328666526388
CA,1.0,7,owner,631863.66282,63302390319.61869,0.00532831451343314,0.05339164147967305
CA,1.0,7,renter,429510.4602493,42647942348.9594,0.004215309777435161,0.0347936420204668
CA,1.0,8,no_cash_rent,3029.6410322,420086995.8838198,4.464477885433027e-05,0.0003569011772443691
CA,1.0,8,owner,722511.0685684,89679877480.07973,0.00894940840176826,0.07850982283968737
CA,1.0,8,renter,347018.81192,43085922500.25052,0.004928676894209967,0.03662963629513857
CA,1.0,9,no_cash_rent,2627.9521064,466295937.9032968,6.453738423222681e-05,0.0004458235259088242
CA,1.0,9,owner,796235.0498132,130391450034.57889,0.014949215583920608,0.12052668680992266
CA,1.0,9,renter,269090.02648369997,44255665265.59674,0.005440727276054655,0.037759339184021135
CA,1.0,10,owner,905530.2621764,276708387979.4505,0.04172797296184033,0.29560628389223376
CA,1.0,10,renter,170062.7969653,54562210814.0588,0.008202124487718275,0.05107932088861359
