universe,allocation,weighting,arm,group,metric,n_unweighted,weighted_persons,estimate,se_sdr,diff_vs_white,se_sdr_diff
adults_25_64,equal_adults_18plus,person,age_standardised,china_born_broad,selected_cash_total,769,1872200.147549,1017.743130,169.466211,-1666.872671,165.306376
adults_25_64,equal_adults_18plus,person,age_standardised,china_born_broad,selected_noncash_total,769,1872200.147549,216.120692,30.114403,-26.939989,31.575498
adults_25_64,equal_adults_18plus,person,age_standardised,china_born_broad,snap,769,1872200.147549,98.333208,24.053727,-35.181725,25.049809
adults_25_64,equal_adults_18plus,person,age_standardised,china_born_broad,social_security,769,1872200.147549,587.433368,144.308702,-1217.015899,146.726826
adults_25_64,equal_adults_18plus,person,age_standardised,china_born_broad,state_after_credits,769,1872200.147549,4194.801946,471.712382,1628.925320,473.512921
adults_25_64,equal_adults_18plus,person,age_standardised,china_born_broad,state_local_total,769,1872200.147549,8624.954715,627.972461,3159.191531,629.036456
adults_25_64,equal_adults_18plus,person,age_standardised,india_born,cash_noncash_tax_balance,1232,3245304.200540,25587.116445,1429.142381,11178.126459,1461.318780
adults_25_64,equal_adults_18plus,person,age_standardised,india_born,children_5_17,1232,3245304.200540,0.236704,0.011662,-0.015963,0.012309
adults_25_64,equal_adults_18plus,person,age_standardised,india_born,employer_payroll,1232,3245304.200540,6054.446524,194.646994,1763.382164,198.183378
adults_25_64,equal_adults_18plus,person,age_standardised,india_born,extended_balance_after_health,1232,3245304.200540,29878.391732,1691.680630,14924.778661,1728.508487
adults_25_64,equal_adults_18plus,person,age_standardised,india_born,extended_balance_after_health_ins,1232,3245304.200540,30814.193103,1726.029749,15281.993019,1765.915759
adults_25_64,equal_adults_18plus,person,age_standardised,india_born,extended_balance_base,1232,3245304.200540,32035.735132,1693.454504,13936.475745,1729.953013
adults_25_64,equal_adults_18plus,person,age_standardised,india_born,extended_balance_flat090,1232,3245304.200540,31594.086469,1696.353649,13919.159223,1732.873148
adults_25_64,equal_adults_18plus,person,age_standardised,india_born,extended_balance_renter,1232,3245304.200540,32478.285024,1691.813940,14032.462523,1728.014275
adults_25_64,equal_adults_18plus,person,age_standardised,india_born,extended_balance_sales_itep,1232,3245304.200540,32794.332091,1698.432245,13783.058318,1735.403606
adults_25_64,equal_adults_18plus,person,age_standardised,india_born,federal_after_refundable,1232,3245304.200540,16215.129928,1044.526830,6145.342876,1063.309431
