year,fips,dem,rep,total_votes,pop,mex,hisp,source,nhwhite,vap,cvap,hisp_vap,hisp_cvap,med_income,state,dem2p,mex_share,hisp_share,turnout_cvap,votes_per_pop,nhwhite_share,mex_share_of_hisp
2008,12113,19470,55972,76185,147302,2307,5764,acs5_2009,126171,111411,108062,,,54250,12,0.258079,0.0156617,0.0391305,0.705012,0.517203,0.856546,0.400243
2012,12113,17768,58186,76846,158240,2676,7654,acs5_2014,132127,121760,119189,5175,4622,58199,12,0.233931,0.016911,0.0483696,0.644741,0.485629,0.834979,0.349621
2016,12113,18464,65339,87745,170442,3296,9199,acs5_2018,140846,132532,129670,6465,5654,66242,12,0.220326,0.019338,0.0539714,0.676679,0.514809,0.826357,0.3583
2020,12113,27612,77385,106928,188994,4294,11652,acs5_2022,151252,147783,144984,8313,7481,84715,12,0.262979,0.0227203,0.0616528,0.737516,0.565775,0.800301,0.36852
2024,12113,27035,84314,112424,193719,5116,12751,acs5_2023,153283,151168,148109,9105,8037,88968,12,0.242795,0.0264094,0.0658221,0.759063,0.580346,0.791265,0.401223
2000,12115,72853,83100,160942,325957,5859,14142,dec2000,,,,,,,12,0.467147,0.0179748,0.0433861,,0.493752,,0.414298
2004,12115,88442,104692,195652,347353,8013.4,20498.4,interp dec2000/dec2010,,,,,,,12,0.457931,0.0230699,0.0590131,,0.563265,,0.390928
2008,12115,102686,102897,207353,367446,9994,25123,acs5_2009,317090,306847,287392,,,49013,12,0.499487,0.0271986,0.068372,0.721499,0.564309,0.862957,0.397803
2012,12115,95119,110504,207480,386944,11236,32402,acs5_2014,325136,327457,308245,22617,14829,50304,12,0.462589,0.0290378,0.0837382,0.673101,0.536202,0.840266,0.346769
2016,12115,97870,124438,229063,412144,11583,36988,acs5_2018,343573,352163,331541,26525,17869,58644,12,0.440245,0.0281043,0.0897453,0.690904,0.555784,0.833624,0.313156
2020,12115,120110,148370,270575,439392,12674,43353,acs5_2022,357827,378077,360932,32153,24989,77213,12,0.44737,0.0288444,0.0986659,0.749656,0.615794,0.814368,0.292344
2024,12115,112668,163219,277857,449011,12953,45922,acs5_2023,361961,385947,368045,34185,26237,80633,12,0.408385,0.0288478,0.102274,0.754954,0.61882,0.806129,0.282065
2000,12117,59174,75677,137634,365196,3871,40731,dec2000,,,,,,,12,0.43881,0.0105998,0.111532,,0.376877,,0.0950382
2004,12117,76971,108172,186195,388205,5203.8,53421.4,interp dec2000/dec2010,,,,,,,12,0.415738,0.0134048,0.137611,,0.479631,,0.0974104
2008,12117,99335,105070,205895,408694,6938,62145,acs5_2009,280848,310686,289644,,,58313,12,0.485971,0.016976,0.152058,0.710855,0.503788,0.687184,0.111642
2012,12117,96445,109943,208620,432135,8394,78917,acs5_2014,280010,336713,318806,57130,49715,57875,12,0.467299,0.0194245,0.182621,0.654379,0.482766,0.647969,0.106365
2016,12117,105914,109443,224896,455086,7593,94168,acs5_2018,279063,358208,337165,69916,61274,63760,12,0.491807,0.0166848,0.206924,0.667021,0.494184,0.613209,0.0806325
2020,12117,132528,125241,260815,471321,9370,108146,acs5_2022,268944,373700,348860,81858,70523,79490,12,0.514135,0.0198803,0.229453,0.747621,0.55337,0.570617,0.0866421
2024,12117,120717,129735,253720,474912,9898,110154,acs5_2023,266320,376507,352134,83433,71630,83030,12,0.481997,0.0208418,0.231946,0.720521,0.534246,0.560778,0.089856
2000,12119,9637,12127,22261,53345,1027,3356,dec2000,,,,,,,12,0.442795,0.019252,0.0629112,,0.417302,,0.306019
2004,12119,11584,19800,31842,69375,1646.6,4246.4,interp dec2000/dec2010,,,,,,,12,0.369105,0.0237348,0.0612094,,0.458984,,0.387764
2008,12119,17655,30866,48868,71519,2165,5700,acs5_2009,55785,61706,58831,,,41010,12,0.363863,0.0302717,0.0796991,0.830651,0.683287,0.780003,0.379825
2012,12119,19524,40646,60479,103708,2889,6025,acs5_2014,86867,95337,92851,4776,3461,49874,12,0.324481,0.0278571,0.0580958,0.651355,0.583166,0.837611,0.479502
2016,12119,22638,52730,76665,120999,3046,6841,acs5_2018,102747,112147,109805,5456,4468,55228,12,0.300366,0.0251738,0.0565377,0.698192,0.6336,0.849156,0.445257
2020,12119,29341,62761,92485,131832,3005,8062,acs5_2022,111094,122427,119937,6472,5249,70105,12,0.318571,0.0227942,0.0611536,0.771113,0.701537,0.842694,0.372736
2024,12119,32551,72134,105217,137536,2830,8369,acs5_2023,115620,127767,125237,6726,5376,73297,12,0.310942,0.0205764,0.0608495,0.840143,0.765014,0.840653,0.338153
2000,12121,4075,8006,12473,34844,1132,1703,dec2000,,,,,,,12,0.337307,0.0324877,0.048875,,0.357967,,0.664709
2004,12121,4522,11153,15802,37526.8,1476,2460.2,interp dec2000/dec2010,,,,,,,12,0.288485,0.0393319,0.0655585,,0.421086,,0.599951
2008,12121,4916,12534,17662,39256,965,3234,acs5_2009,30794,30179,28850,,,34157,12,0.281719,0.0245822,0.0823823,0.612201,0.449918,0.784441,0.298392
2012,12121,4751,12672,17629,43404,1990,3848,acs5_2014,32801,33932,32388,2515,1406,37879,12,0.272686,0.0458483,0.0886554,0.544307,0.406161,0.755714,0.517152
2016,12121,3964,14287,18694,43924,2055,3962,acs5_2018,33222,34376,32854,2620,1534,42686,12,0.217194,0.0467854,0.0902013,0.569002,0.425599,0.756352,0.518677
2020,12121,4485,16410,21057,43881,1438,4547,acs5_2022,32701,34564,33606,3089,2286,49729,12,0.214645,0.0327704,0.103621,0.626585,0.479866,0.74522,0.316252
2024,12121,4217,17561,21891,44484,1387,5040,acs5_2023,32623,35091,33963,3447,2460,55479,12,0.193636,0.0311798,0.113299,0.644554,0.49211,0.733365,0.275198
2000,12123,2649,4056,6808,19256,102,295,dec2000,,,,,,,12,0.395078,0.00529705,0.0153199,,0.353552,,0.345763
2004,12123,3049,5467,8581,20581.6,160.4,487.8,interp dec2000/dec2010,,,,,,,12,0.358032,0.00779337,0.0237008,,0.416926,,0.328823
2008,12123,2803,6457,9366,20723,214,467,acs5_2009,15300,16135,16007,,,35900,12,0.3027,0.0103267,0.0225353,0.585119,0.451962,0.73831,0.458244
2012,12123,2764,6249,9120,22690,306,872,acs5_2014,16463,18410,18152,801,666,36907,12,0.306668,0.0134861,0.038431,0.502424,0.401939,0.725562,0.350917
2016,12123,2152,6930,9290,22098,209,937,acs5_2018,15917,17862,17572,861,669,36934,12,0.236952,0.00945787,0.042402,0.528682,0.4204,0.720291,0.223052
2020,12123,2299,7751,10127,21421,195,888,acs5_2022,15443,17233,16867,815,600,46239,12,0.228756,0.00910322,0.0414546,0.600403,0.47276,0.720928,0.219595
2024,12123,1991,7954,9997,21422,214,879,acs5_2023,15418,17124,16679,790,551,44985,12,0.200201,0.00998973,0.0410326,0.599376,0.46667,0.719727,0.243458
2000,12125,1407,2332,3826,13442,96,477,dec2000,,,,,,,12,0.376304,0.00714179,0.0354858,,0.28463,,0.201258
2004,12125,1251,3396,4675,14279.2,140,583.4,interp dec2000/dec2010,,,,,,,12,0.269206,0.00980447,0.0408566,,0.327399,,0.239973
2008,12125,1299,3933,5285,14574,199,623,acs5_2009,10270,11747,11061,,,40694,12,0.24828,0.0136545,0.0427474,0.477805,0.362632,0.70468,0.319422
2012,12125,1339,3980,5393,15258,215,779,acs5_2014,10784,12302,11971,614,423,41476,12,0.251739,0.014091,0.0510552,0.450505,0.353454,0.706777,0.275995
2016,12125,1014,4568,5694,15239,214,840,acs5_2018,10628,12353,12060,693,566,41770,12,0.181655,0.0140429,0.0551217,0.472139,0.373647,0.697421,0.254762
2020,12125,1053,5133,6245,15524,112,889,acs5_2022,10991,12181,12001,656,529,64043,12,0.170223,0.00721464,0.0572662,0.520373,0.40228,0.708001,0.125984
2024,12125,971,5224,6231,15551,131,799,acs5_2023,11090,12252,12043,706,575,64922,12,0.156739,0.0084239,0.0513793,0.517396,0.400682,0.713137,0.163955
2000,12127,97304,82357,183654,443343,7733,29111,dec2000,,,,,,,12,0.541598,0.0174425,0.0656625,,0.414248,,0.265638
2004,12127,115519,111924,228939,463843,9342.6,39553.4,interp dec2000/dec2010,,,,,,,12,0.507903,0.0201417,0.0852732,,0.49357,,0.236202
2008,12127,127795,113938,243824,494449,10618,49537,acs5_2009,380830,396715,380116,,,43326,12,0.528662,0.0214744,0.100186,0.641446,0.493123,0.770211,0.214345
2012,12127,114748,117490,234536,498981,11160,58558,acs5_2014,370295,407185,391516,40826,34686,41714,12,0.494097,0.0223656,0.117355,0.599046,0.47003,0.742102,0.19058
2016,12127,109091,143007,260869,527634,14329,70582,acs5_2018,381288,433326,417870,50861,44810,46760,12,0.432733,0.0271571,0.133771,0.624283,0.494413,0.722637,0.203012
2020,12127,130575,173821,307439,558520,17220,87375,acs5_2022,385498,460992,445848,64667,58375,63075,12,0.428964,0.0308315,0.15644,0.68956,0.550453,0.690213,0.197082
2024,12127,120132,187691,310495,568229,16779,89077,acs5_2023,390004,468769,452180,65982,58963,66581,12,0.390263,0.0295286,0.156763,0.686662,0.546426,0.68635,0.188365
2000,12129,3838,4512,8587,22863,144,443,dec2000,,,,,,,12,0.459641,0.00629839,0.0193763,,0.375585,,0.325056
2004,12129,4896,6777,11763,26028.2,206.8,672.2,interp dec2000/dec2010,,,,,,,12,0.419429,0.00794523,0.0258258,,0.451933,,0.307647
2008,12129,5311,8877,14376,30232,80,908,acs5_2009,24812,23423,23283,,,52353,12,0.37433,0.0026462,0.0300344,0.617446,0.475523,0.82072,0.0881057
2012,12129,5175,9290,14660,31015,380,1108,acs5_2014,24497,24407,24178,864,794,53143,12,0.35776,0.0122521,0.0357246,0.606336,0.472675,0.789844,0.34296
2016,12129,4348,10512,15351,31877,223,1165,acs5_2018,25350,25048,24764,911,766,62778,12,0.292598,0.00699564,0.0365467,0.619892,0.48157,0.795244,0.191416
2020,12129,5351,12874,18404,33732,329,1438,acs5_2022,26246,26783,26265,1135,827,72035,12,0.293608,0.00975335,0.0426301,0.700704,0.545595,0.778074,0.22879
2024,12129,5441,14246,19856,34608,361,1625,acs5_2023,26630,27548,26958,1307,969,74183,12,0.276375,0.0104311,0.0469545,0.736553,0.57374,0.769475,0.222154
2000,12131,5642,12182,18318,40601,422,880,dec2000,,,,,,,12,0.316539,0.0103938,0.0216743,,0.451171,,0.479545
2004,12131,6213,17555,23976,46377.8,952.8,1696.4,interp dec2000/dec2010,,,,,,,12,0.261402,0.0205443,0.0365778,,0.516971,,0.56166
2008,12131,7174,19561,27046,52528,695,1857,acs5_2009,44827,41810,40533,,,46159,12,0.268337,0.013231,0.0353526,0.667259,0.514887,0.853392,0.37426
2012,12131,6671,21490,28494,57821,1686,3313,acs5_2014,48855,46196,44754,2261,1451,44468,12,0.236888,0.029159,0.0572975,0.636681,0.492797,0.844935,0.508904
2016,12131,6876,25756,33637,65858,2214,4029,acs5_2018,55560,52459,50874,2675,1882,53785,12,0.210713,0.0336178,0.0611771,0.661183,0.51075,0.843633,0.549516
2020,12131,10338,32947,43711,76618,2241,5067,acs5_2022,63660,61042,59129,3390,2536,74832,12,0.238836,0.029249,0.0661333,0.739248,0.570506,0.830875,0.442274
2024,12131,10287,38970,49601,79846,3124,6563,acs5_2023,65095,63275,60816,4390,2878,79281,12,0.208843,0.0391253,0.0821957,0.815591,0.621208,0.815257,0.476002
2000,12133,2798,4994,8029,20973,125,483,dec2000,,,,,,,12,0.359086,0.00596004,0.0230296,,0.382826,,0.258799
2004,12133,2912,7369,10366,22542.2,215.8,583,interp dec2000/dec2010,,,,,,,12,0.283241,0.00957316,0.0258626,,0.459849,,0.370154
2008,12133,2863,8178,11131,22997,255,714,acs5_2009,17969,17873,17569,,,35090,12,0.259306,0.0110884,0.0310475,0.633559,0.48402,0.781363,0.357143
2012,12133,2820,8038,10999,24660,203,808,acs5_2014,19162,19572,19342,551,455,38563,12,0.259716,0.00823195,0.0327656,0.568659,0.446026,0.777048,0.251238
2016,12133,2264,8637,11156,24566,219,887,acs5_2018,19034,19691,19203,606,452,37188,12,0.207687,0.00891476,0.0361068,0.580951,0.454124,0.774811,0.2469
2020,12133,2347,9876,12327,25014,270,1090,acs5_2022,19097,20023,19474,795,530,47536,12,0.192015,0.010794,0.0435756,0.632998,0.492804,0.763452,0.247706
2024,12133,2140,10370,12584,25259,307,973,acs5_2023,19412,20179,19854,714,554,52723,12,0.171063,0.0121541,0.0385209,0.633827,0.498199,0.768518,0.315519
2000,13001,2093,3940,6099,17419,693,792,dec2000,,,,,,,13,0.346925,0.0397841,0.0454676,,0.350135,,0.875
2004,13001,1848,4494,6369,17745.8,1013.4,1156.8,interp dec2000/dec2010,,,,,,,13,0.291391,0.0571065,0.0651873,,0.358902,,0.876037
2008,13001,1846,5085,6996,17871,1141,1170,acs5_2009,13127,13086,12417,,,33537,13,0.26634,0.0638465,0.0654692,0.563421,0.391472,0.734542,0.975214
2012,13001,1758,5233,7086,18421,1626,1730,acs5_2014,12801,13742,13208,1013,503,38461,13,0.251466,0.0882688,0.0939146,0.536493,0.38467,0.694913,0.939884
2016,13001,1434,5494,7012,18454,1660,1803,acs5_2018,12816,13845,13467,1025,694,39561,13,0.206986,0.0899534,0.0977024,0.52068,0.379972,0.694484,0.920688
2020,13001,1784,6570,8390,18441,1616,1898,acs5_2022,12556,13894,13092,1126,375,43268,13,0.21355,0.0876308,0.102923,0.640849,0.454964,0.680874,0.851423
2024,13001,1560,6761,8334,18426,1613,1909,acs5_2023,12482,13892,13138,1138,441,43728,13,0.187477,0.0875393,0.103604,0.634343,0.452296,0.677412,0.844945
2000,13003,821,1228,2071,7609,1155,1290,dec2000,,,,,,,13,0.400683,0.151794,0.169536,,0.272178,,0.895349
2004,13003,799,1666,2470,7915.4,1414.2,1589.6,interp dec2000/dec2010,,,,,,,13,0.324138,0.178664,0.200824,,0.31205,,0.889658
2008,13003,938,1941,2904,8124,1886,1967,acs5_2009,4713,5524,4756,,,33548,13,0.325808,0.232152,0.242122,0.610597,0.357459,0.580133,0.958821
2012,13003,930,1938,2902,8297,1782,2016,acs5_2014,4722,5923,5059,1197,358,30403,13,0.324268,0.214776,0.242979,0.573631,0.349765,0.569121,0.883929
2016,13003,697,1878,2610,8265,1775,2031,acs5_2018,4692,6001,5190,1259,480,34877,13,0.27068,0.214761,0.245735,0.50289,0.315789,0.567695,0.873954
2020,13003,825,2300,3155,8265,1833,2258,acs5_2022,4482,6142,5204,1515,577,38007,13,0.264,0.221779,0.2732,0.606264,0.38173,0.542287,0.81178
2024,13003,700,2350,3057,8261,1758,2177,acs5_2023,4527,6162,5249,1467,554,38438,13,0.229508,0.212807,0.263527,0.582397,0.370052,0.547997,0.807533
2000,13005,956,2010,2995,10103,269,342,dec2000,,,,,,,13,0.32232,0.0266258,0.0338513,,0.296447,,0.78655
2004,13005,930,2853,3790,10500.2,422.2,521.6,interp dec2000/dec2010,,,,,,,13,0.245837,0.0402088,0.0496752,,0.360946,,0.809433
2008,13005,817,3089,3938,10464,429,445,acs5_2009,8049,7800,7544,,,31661,13,0.209165,0.0409977,0.0425268,0.522004,0.376338,0.769209,0.964045
2012,13005,791,3093,3931,11196,804,854,acs5_2014,8391,8389,7816,621,138,37698,13,0.203656,0.0718114,0.0762772,0.502943,0.351108,0.749464,0.941452
2016,13005,608,3364,4020,11228,754,940,acs5_2018,8252,8359,8030,530,217,36964,13,0.153072,0.0671535,0.0837193,0.500623,0.358033,0.734948,0.802128
2020,13005,625,4017,4667,11138,778,968,acs5_2022,8109,8290,8053,534,363,43938,13,0.13464,0.069851,0.0869097,0.579536,0.419016,0.728048,0.803719
2024,13005,645,4186,4839,11129,833,929,acs5_2023,8101,8300,8028,509,307,50310,13,0.133513,0.0748495,0.0834756,0.602765,0.43481,0.727918,0.896663
2000,13007,893,615,1519,4074,96,111,dec2000,,,,,,,13,0.592175,0.0235641,0.0272459,,0.372852,,0.864865
2004,13007,936,821,1764,3824.8,100.8,124.6,interp dec2000/dec2010,,,,,,,13,0.532726,0.0263543,0.0325769,,0.461201,,0.808989
2008,13007,846,828,1687,3810,0,0,acs5_2009,1585,2484,2484,,,30403,13,0.505376,0,0,0.679147,0.442782,0.41601,
2012,13007,794,785,1589,3342,12,18,acs5_2014,1765,2615,2602,2,2,45526,13,0.50285,0.00359066,0.005386,0.610684,0.475464,0.528127,0.666667
2016,13007,650,775,1440,3189,126,134,acs5_2018,1705,2559,2476,78,25,37188,13,0.45614,0.0395108,0.0420194,0.581583,0.451552,0.53465,0.940299
2020,13007,652,897,1555,2878,24,24,acs5_2022,1505,2325,2281,24,4,45417,13,0.420917,0.00833912,0.00833912,0.681719,0.540306,0.522933,1
2024,13007,590,883,1476,2830,42,73,acs5_2023,1380,2308,2243,73,11,44405,13,0.400543,0.014841,0.0257951,0.658047,0.521555,0.487633,0.575342
2000,13009,5893,6041,12126,44700,308,607,dec2000,,,,,,,13,0.493799,0.00689038,0.0135794,,0.271275,,0.507414
2004,13009,6775,7709,14547,45108,380.8,731.8,interp dec2000/dec2010,,,,,,,13,0.467758,0.00844196,0.0162233,,0.322493,,0.520361
2008,13009,8587,7823,16537,46252,392,681,acs5_2009,24744,37098,36571,,,38273,13,0.523278,0.00847531,0.0147237,0.452189,0.357541,0.534982,0.575624
2012,13009,8483,7589,16238,45854,513,959,acs5_2014,24688,36780,35988,699,362,31758,13,0.527812,0.0111877,0.0209142,0.451206,0.354124,0.538405,0.534932
2016,13009,7970,7697,16116,45286,421,997,acs5_2018,23815,36588,35843,722,462,39426,13,0.508713,0.00929647,0.0220156,0.449628,0.355872,0.52588,0.422267
2020,13009,9140,8903,18251,43778,497,1161,acs5_2022,22746,35535,35054,895,774,54699,13,0.506568,0.0113527,0.0265202,0.520654,0.416899,0.519576,0.428079
2024,13009,9159,9574,18825,43669,389,1206,acs5_2023,22565,35395,34940,907,788,55413,13,0.488923,0.00890792,0.0276168,0.538781,0.431084,0.516728,0.322554
2000,13011,1220,3202,4533,14422,401,493,dec2000,,,,,,,13,0.275893,0.0278047,0.0341839,,0.314311,,0.813387
2004,13011,1149,4410,5590,16011.2,583.4,712.2,interp dec2000/dec2010,,,,,,,13,0.206692,0.036437,0.0444814,,0.349131,,0.819152
2008,13011,1027,5120,6241,16388,519,676,acs5_2009,14774,12264,11947,,,41039,13,0.167073,0.0316695,0.0412497,0.522391,0.380827,0.901513,0.767751
2012,13011,780,5354,6195,18317,799,1124,acs5_2014,16259,13862,13476,670,396,42826,13,0.12716,0.0436207,0.0613638,0.459706,0.33821,0.887645,0.710854
2016,13011,684,6134,6975,18510,988,1236,acs5_2018,16289,14253,13668,782,326,45373,13,0.100323,0.0533766,0.0667747,0.510316,0.376823,0.880011,0.799353
2020,13011,932,7795,8801,18381,1024,1409,acs5_2022,15866,14423,13869,946,420,69096,13,0.106795,0.0557097,0.0766552,0.634581,0.47881,0.863174,0.726757
2024,13011,1136,9358,10519,18757,966,1299,acs5_2023,16244,14740,14183,871,450,68830,13,0.108252,0.0515008,0.0692541,0.741663,0.560804,0.866023,0.743649
2000,13013,3657,7925,12102,46144,935,1460,dec2000,,,,,,,13,0.315749,0.0202627,0.0316401,,0.262266,,0.640411
2004,13013,4095,13520,17727,55433.2,1971.4,3290.8,interp dec2000/dec2010,,,,,,,13,0.232472,0.0355635,0.0593651,,0.31979,,0.599064
2008,13013,6657,17625,24582,66458,3096,4768,acs5_2009,51393,47746,45046,,,48285,13,0.274154,0.0465858,0.0717446,0.545709,0.369888,0.773315,0.649329
2012,13013,6028,18725,25199,70873,3996,6530,acs5_2014,52508,51246,48906,3913,2149,53256,13,0.243526,0.0563825,0.0921366,0.515254,0.355551,0.740875,0.611945
2016,13013,6580,21108,29060,76887,5007,8012,acs5_2018,55541,56441,53644,5012,3311,57348,13,0.237648,0.0651215,0.104205,0.541719,0.377957,0.722372,0.624938
2020,13013,10453,26804,37921,84399,5646,11133,acs5_2022,56269,62918,59865,7274,4923,75053,13,0.280565,0.0668965,0.131909,0.633442,0.449306,0.666702,0.507141
2024,13013,12949,30730,43934,86982,6212,12347,acs5_2023,56544,64886,60983,8100,5008,77477,13,0.296458,0.0714171,0.141949,0.72043,0.505093,0.650066,0.503118
2000,13015,7508,14720,22781,76019,1712,2524,dec2000,,,,,,,13,0.337772,0.0225207,0.0332022,,0.299675,,0.678288
2004,13015,7741,22311,30232,85674.2,3224.8,4590.4,interp dec2000/dec2010,,,,,,,13,0.257587,0.0376403,0.0535797,,0.352872,,0.70251
2008,13015,9662,25976,36093,92490,4214,5495,acs5_2009,75960,66490,63927,,,50075,13,0.271115,0.0455617,0.0594118,0.564597,0.390237,0.821278,0.766879
2012,13015,8396,26876,35802,100771,5811,7849,acs5_2014,79885,74835,71641,4699,2110,48306,13,0.238036,0.0576654,0.0778895,0.499742,0.355281,0.792738,0.740349
2016,13015,8212,29911,39550,103620,5810,8631,acs5_2018,80701,78043,74245,5220,2406,55452,13,0.215408,0.0560703,0.0832947,0.532696,0.381683,0.778817,0.673155
2020,13015,12091,37672,50464,109410,7124,10489,acs5_2022,82267,83589,80886,6678,4714,74812,13,0.242972,0.0651129,0.0958688,0.62389,0.461238,0.751915,0.679188
2024,13015,13942,43271,57547,111153,7739,11401,acs5_2023,82365,84934,82320,7341,5357,79431,13,0.243686,0.0696248,0.10257,0.699065,0.517728,0.741006,0.6788
2000,13017,2234,2381,4661,17484,659,800,dec2000,,,,,,,13,0.484074,0.0376916,0.0457561,,0.266587,,0.82375
2004,13017,2180,3331,5536,17544,750.6,890.4,interp dec2000/dec2010,,,,,,,13,0.395572,0.0427839,0.0507524,,0.315549,,0.842992
2008,13017,2590,3417,6036,17535,1154,1272,acs5_2009,10262,12586,12040,,,30078,13,0.431164,0.0658112,0.0725406,0.501329,0.344226,0.58523,0.907233
2012,13017,2512,3396,5956,17547,606,1066,acs5_2014,9975,12988,12590,596,267,30643,13,0.425186,0.0345358,0.0607511,0.473074,0.339431,0.568473,0.56848
2016,13017,2101,3739,5936,17154,918,1042,acs5_2018,9656,12809,12435,556,203,32705,13,0.35976,0.0535152,0.0607438,0.477362,0.346042,0.562901,0.880998
2020,13017,2393,4111,6564,17169,723,1121,acs5_2022,9350,12954,12641,634,370,38255,13,0.367927,0.0421108,0.0652921,0.519263,0.382317,0.544586,0.64496
2024,13017,2199,4281,6501,17138,728,1108,acs5_2023,9219,12909,12561,645,400,39081,13,0.339352,0.0424787,0.0646517,0.517554,0.379332,0.537927,0.65704
2000,13019,1640,2718,4410,16235,295,384,dec2000,,,,,,,13,0.376319,0.0181706,0.0236526,,0.271635,,0.768229
2004,13019,1638,3917,5592,17455.4,448.6,584.4,interp dec2000/dec2010,,,,,,,13,0.294869,0.0256998,0.0334796,,0.320359,,0.767625
2008,13019,1471,4901,6449,16814,440,543,acs5_2009,13982,12430,12204,,,32029,13,0.230854,0.0261687,0.0322945,0.528433,0.383549,0.831569,0.810313
2012,13019,1273,4843,6201,19091,618,929,acs5_2014,15717,14409,14117,530,282,31812,13,0.208143,0.0323713,0.0486617,0.439258,0.324813,0.823268,0.665231
2016,13019,1047,5422,6590,19025,766,925,acs5_2018,15637,14424,14100,545,271,37163,13,0.161849,0.0402628,0.0486202,0.467376,0.346386,0.821919,0.828108
2020,13019,1269,6419,7743,18187,665,1030,acs5_2022,14573,13825,13705,623,582,48670,13,0.165062,0.0365646,0.0566339,0.564976,0.425744,0.801287,0.645631
2024,13019,1209,6841,8068,18257,622,1079,acs5_2023,14495,13910,13770,659,614,50414,13,0.150186,0.0340691,0.0591006,0.585911,0.441913,0.793942,0.57646
2000,13021,24996,24071,49776,153887,929,2023,dec2000,,,,,,,13,0.509426,0.0060369,0.013146,,0.323458,,0.459219
2004,13021,29322,28107,57687,154551,1529,2969.4,interp dec2000/dec2010,,,,,,,13,0.510578,0.00989317,0.0192131,,0.373255,,0.514919
2008,13021,38987,27037,66368,155034,1422,2773,acs5_2009,70931,113403,111495,,,38207,13,0.590497,0.00917218,0.0178864,0.595255,0.428087,0.457519,0.512802
2012,13021,38585,25623,64718,155237,3120,4760,acs5_2014,63766,115634,112369,3039,1481,36614,13,0.600938,0.0200983,0.0306628,0.575942,0.416898,0.410765,0.655462
2016,13021,36787,24043,62596,153490,2462,4923,acs5_2018,59497,115472,113416,3028,2220,39931,13,0.604751,0.0160401,0.0320738,0.551915,0.407818,0.387628,0.500102
2020,13021,43408,26559,70714,156554,3119,5853,acs5_2022,56305,118640,116915,3656,2833,48897,13,0.620407,0.0199228,0.0373865,0.604833,0.451691,0.359652,0.532889
2024,13021,42172,26658,69181,156543,3063,6967,acs5_2023,54627,118256,115473,4378,2908,50747,13,0.612698,0.0195665,0.0445053,0.59911,0.44193,0.348958,0.439644
2000,13023,1273,2436,3749,11666,74,107,dec2000,,,,,,,13,0.343219,0.00634322,0.00917195,,0.321361,,0.691589
2004,13023,1281,3167,4467,12224.8,115.2,184.6,interp dec2000/dec2010,,,,,,,13,0.287995,0.00942347,0.0151005,,0.365405,,0.624052
2008,13023,1380,3657,5071,12584,12,13,acs5_2009,8816,9444,9338,,,37542,13,0.273973,0.000953592,0.00103306,0.54305,0.402972,0.700572,0.923077
2012,13023,1269,3587,4907,12912,19,140,acs5_2014,8931,10060,9960,101,87,35507,13,0.261326,0.0014715,0.0108426,0.492671,0.380034,0.691682,0.135714
2016,13023,1101,3719,4974,12775,109,360,acs5_2018,8789,9981,9906,105,42,45029,13,0.228423,0.00853229,0.02818,0.50212,0.389354,0.687984,0.302778
2020,13023,1312,4329,5708,12413,131,425,acs5_2022,8506,10038,9926,378,337,56021,13,0.232583,0.0105535,0.0342383,0.575055,0.45984,0.685249,0.308235
2024,13023,1339,4685,6044,12414,190,464,acs5_2023,8438,9937,9859,354,326,53005,13,0.222278,0.0153053,0.0373772,0.613044,0.48687,0.679716,0.409483
2000,13025,1372,3118,4566,14629,91,152,dec2000,,,,,,,13,0.305568,0.00622052,0.0103903,,0.31212,,0.598684
2004,13025,1258,4333,5618,16141.8,145,228.4,interp dec2000/dec2010,,,,,,,13,0.225004,0.00898289,0.0141496,,0.34804,,0.634851
2008,13025,1119,5080,6277,15442,125,142,acs5_2009,14269,11496,11424,,,39569,13,0.180513,0.00809481,0.0091957,0.549457,0.406489,0.924038,0.880282
2012,13025,939,4964,6002,18463,154,382,acs5_2014,17137,13814,13734,212,168,36301,13,0.159072,0.00834101,0.02069,0.437018,0.325083,0.928181,0.403141
2016,13025,619,5567,6301,18561,134,392,acs5_2018,17162,14079,13945,248,135,37031,13,0.100065,0.00721944,0.0211196,0.451847,0.339475,0.924627,0.341837
2020,13025,700,6993,7749,18105,438,474,acs5_2022,16473,14016,13664,313,147,40166,13,0.0909918,0.0241922,0.0261806,0.567111,0.428003,0.909859,0.924051
2024,13025,736,7744,8500,18171,348,378,acs5_2023,16582,14106,13785,285,164,47801,13,0.0867925,0.0191514,0.0208024,0.616612,0.467778,0.912553,0.920635
2000,13027,2096,2406,4551,16450,409,505,dec2000,,,,,,,13,0.465571,0.0248632,0.0306991,,0.276657,,0.809901
2004,13027,2193,2912,5113,16367.2,489,644.2,interp dec2000/dec2010,,,,,,,13,0.429579,0.0298768,0.0393592,,0.312393,,0.759081
2008,13027,2669,3507,6201,16324,419,725,acs5_2009,9424,12470,12121,,,40840,13,0.432157,0.0256677,0.0444131,0.511591,0.37987,0.577309,0.577931
2012,13027,3138,3554,6742,15766,640,844,acs5_2014,9148,12186,11730,531,202,31686,13,0.468918,0.0405937,0.0535329,0.574766,0.427629,0.580236,0.758294
2016,13027,2528,3701,6336,15622,340,896,acs5_2018,8856,12199,11730,572,250,34322,13,0.405844,0.0217642,0.057355,0.540153,0.405582,0.566893,0.379464
2020,13027,2791,4261,7101,16275,205,1238,acs5_2022,8709,12770,12538,886,721,42263,13,0.395774,0.012596,0.0760676,0.566358,0.436313,0.535115,0.16559
