spec,term,coef,se_hc1,t,n,k,r2
5_product_state_fe,st_CO,0.018550584032883677,0.06561375389629708,0.2827240164036794,152,44,0.5588283235664397
5_product_state_fe,st_CT,0.061479833381147486,0.05142810319837847,1.1954520885982423,152,44,0.5588283235664397
5_product_state_fe,st_DE,0.03954708667222562,0.04712467197684267,0.839201314582291,152,44,0.5588283235664397
5_product_state_fe,st_FL,0.12483504781455323,0.05168994163567293,2.415074265210632,152,44,0.5588283235664397
5_product_state_fe,st_GA,0.05947454886346115,0.05397200388015759,1.101951837762439,152,44,0.5588283235664397
5_product_state_fe,st_IA,-0.16335155484042296,0.07119640708735187,-2.294379190230831,152,44,0.5588283235664397
5_product_state_fe,st_ID,0.2130277387662609,0.048635309329171504,4.380104531143316,152,44,0.5588283235664397
5_product_state_fe,st_IL,-0.05751723392821173,0.07160671282253825,-0.8032380158373664,152,44,0.5588283235664397
5_product_state_fe,st_IN,0.04999245469561764,0.051521930552135504,0.9703140810111885,152,44,0.5588283235664397
5_product_state_fe,st_KS,-0.08477138680621987,0.07319170326341008,-1.1582103302219324,152,44,0.5588283235664397
5_product_state_fe,st_KY,0.027256363183859378,0.049174817510162325,0.554274821217723,152,44,0.5588283235664397
5_product_state_fe,st_LA,-0.15555063539593483,0.07002838395115829,-2.2212512501277275,152,44,0.5588283235664397
5_product_state_fe,st_MA,-0.0119770633309777,0.05387543952641073,-0.22231026672378837,152,44,0.5588283235664397
5_product_state_fe,st_MD,-0.04409053880879377,0.07992336239609572,-0.5516602090673253,152,44,0.5588283235664397
5_product_state_fe,st_ME,0.15726265446749466,0.04807197767993685,3.2713997230267737,152,44,0.5588283235664397
5_product_state_fe,st_MI,0.07004921964909094,0.05445786713244684,1.286301196459355,152,44,0.5588283235664397
5_product_state_fe,st_MN,-0.0361653714404806,0.061116832142172096,-0.5917415902112114,152,44,0.5588283235664397
5_product_state_fe,st_MO,0.02582559098190096,0.051258994446503066,0.5038255482919018,152,44,0.5588283235664397
5_product_state_fe,st_MT,-0.015830882214046937,0.047047715298318894,-0.3364856744619139,152,44,0.5588283235664397
5_product_state_fe,st_NC,0.04878617436990673,0.05304893921197283,0.9196446732886976,152,44,0.5588283235664397
5_product_state_fe,st_NE,-0.05861733103515476,0.04825898820226484,-1.2146406963501941,152,44,0.5588283235664397
5_product_state_fe,st_NJ,0.016807551449202762,0.047340271353593796,0.3550370745377409,152,44,0.5588283235664397
5_product_state_fe,st_NM,-0.10512212461444381,0.07291655728713976,-1.441677014460255,152,44,0.5588283235664397
5_product_state_fe,st_NV,0.12727208070604412,0.07145387890565812,1.781178050166931,152,44,0.5588283235664397
5_product_state_fe,st_NY,0.023005955667096956,0.05573529246242031,0.4127717762064098,152,44,0.5588283235664397
5_product_state_fe,st_OH,0.048127700440447896,0.04800560456009634,1.0025433672061919,152,44,0.5588283235664397
5_product_state_fe,st_OK,-0.1520737657734781,0.06026992271419467,-2.5232115610073933,152,44,0.5588283235664397
5_product_state_fe,st_OR,0.06553162764750109,0.06014319877026343,1.0895933203988788,152,44,0.5588283235664397
5_product_state_fe,st_PA,0.034839299162388926,0.05351522395529129,0.6510166002761203,152,44,0.5588283235664397
5_product_state_fe,st_RI,0.2245046714669634,0.04757837608159671,4.718628292019443,152,44,0.5588283235664397
5_product_state_fe,st_SC,0.07546053165157574,0.053045801101235496,1.4225542848822803,152,44,0.5588283235664397
5_product_state_fe,st_TN,0.031193106017317618,0.07673291575445787,0.40651532280011693,152,44,0.5588283235664397
5_product_state_fe,st_TX,-0.12714165617766504,0.06423895345810819,-1.9791987467631653,152,44,0.5588283235664397
5_product_state_fe,st_UT,0.04296965229260863,0.05607286571685905,0.7663181066861228,152,44,0.5588283235664397
5_product_state_fe,st_VA,0.012630531526356847,0.06664080572013248,0.18953149485317686,152,44,0.5588283235664397
5_product_state_fe,st_WA,0.11687868091785969,0.06225523770627088,1.877411206255609,152,44,0.5588283235664397
5_product_state_fe,st_WI,-0.0567728350040575,0.04981377454566857,-1.1397015287811398,152,44,0.5588283235664397
6_annualized_all_metros,const,0.04737145128804412,0.0008972504813156188,52.79623948329834,168,2,0.06026814556346949
6_annualized_all_metros,d_mex_share_pp,0.0014235651815685361,0.0004545236642504838,3.1319935429897057,168,2,0.06026814556346949
7_annualized_all_metros_state_fe,const,0.053083008053876446,0.008586217238120837,6.18235092145119,168,44,0.5027913024558394
7_annualized_all_metros_state_fe,d_mex_share_pp,0.002522933382206126,0.0006648516436431818,3.794731360490033,168,44,0.5027913024558394
7_annualized_all_metros_state_fe,st_AR,-0.011156309032612999,0.009448662775862194,-1.180728881669182,168,44,0.5027913024558394
7_annualized_all_metros_state_fe,st_AZ,-0.0002037394687547378,0.009053349322024526,-0.0225043198387464,168,44,0.5027913024558394
7_annualized_all_metros_state_fe,st_CA,-0.008893988337812131,0.009118037728216356,-0.9754278939084788,168,44,0.5027913024558394
7_annualized_all_metros_state_fe,st_CO,-0.008741009585496062,0.009329021550756995,-0.9369695994310122,168,44,0.5027913024558394
7_annualized_all_metros_state_fe,st_CT,-0.004919245410649586,0.008594042934634663,-0.5724017727238299,168,44,0.5027913024558394
7_annualized_all_metros_state_fe,st_DE,-0.004423582137572213,0.008585772900664004,-0.5152223554888231,168,44,0.5027913024558394
7_annualized_all_metros_state_fe,st_FL,0.0010232029905972162,0.00869539240807937,0.11767185913846759,168,44,0.5027913024558394
7_annualized_all_metros_state_fe,st_GA,-0.0024373807297932704,0.008793279881270636,-0.2771867565576756,168,44,0.5027913024558394
7_annualized_all_metros_state_fe,st_IA,-0.02182210437725296,0.00915868382561325,-2.382668164198996,168,44,0.5027913024558394
