group,metric,allocation,weighting,n_adults_2025,n_adults_2026,weighted_adults_2025,weighted_adults_2026,estimate_asec2025,se_asec2025,estimate_asec2026,se_asec2026,estimate_asec2026_oasdi2025cap,se_asec2026_oasdi2025cap,change_2026_minus_2025,diff_from_ref_asec2025,se_diff_from_ref_asec2025,diff_from_ref_asec2026,se_diff_from_ref_asec2026,pooled_estimate,pooled_se_independent,pooled_diff_from_ref,pooled_se_diff_independent
all_second_gen,employer_payroll,equal_all_members,person,6871,6767,16869387.509126462,18218899.6981684,3494.3221196765962,49.490402222530385,3633.4669817573467,47.21225919407429,3657.8359908252114,47.97020845593492,139.1448620807505,5.49871010067227,52.40174925803506,-23.28318101643572,52.64568889131221,3563.8945507169715,34.199039936657186,-8.892235457881725,37.139978069941066
all_second_gen,sales_tax_share35,equal_all_members,person,6871,6767,16869387.509126462,18218899.6981684,1042.7094323874458,16.308187993350316,1101.7414239858688,17.763411525474844,1101.7414239858688,17.763411525474844,59.03199159842302,-7.020442854547582,18.39080808867129,13.77563126386076,20.461381723099095,1072.2254281866572,12.057111849960462,3.3775942046565888,13.755816625819703
all_second_gen,property_tax_owner,equal_all_members,person,6871,6767,16869387.509126462,18218899.6981684,1313.2307582569283,31.77106809925811,1378.8257377505831,51.107083645417056,1378.8257377505831,51.107083645417056,65.59497949365482,0.4749154568553422,34.65850442897128,-19.289057265688825,53.55600541453971,1346.0282480037558,30.088763545995672,-9.407070904416742,31.896150415117607
all_second_gen,k12_charged,equal_all_members,person,6871,6767,16869387.509126462,18218899.6981684,1855.49942998096,46.52059873054627,1706.9343477325285,40.53921032504169,1706.9343477325285,40.53921032504169,-148.5650822484315,203.9534230514796,51.47652935392306,19.406904052605114,47.32788798223567,1781.2168888567444,30.8528510839212,111.68016355204236,34.96341679235723
all_second_gen,extended_balance_base,equal_all_members,person,6871,6767,16869387.509126462,18218899.6981684,15658.90583238092,438.88099141794584,16631.908497030898,474.84145107116973,16656.277506098748,475.6533551282621,973.0026646499773,-326.6878156850107,488.47913729401563,-184.24046125512177,539.8885189587772,16145.40716470591,323.2997557543824,-255.46413847006625,364.03690763266286
mexican_second_gen,modeled_tax_total,equal_all_members,person,2452,2461,5614636.31290289,6025314.16292179,7418.525534208969,268.485720170089,7737.646086344956,384.6865203850634,7737.646086344956,384.6865203850634,319.12055213598705,-6964.790027890603,330.305160899794,-7126.611704408009,457.3344839117718,7578.085810276962,234.557189668756,-7045.7008661493055,282.071059084358
mexican_second_gen,selected_cash_total,equal_all_members,person,2452,2461,5614636.31290289,6025314.16292179,1459.661645664228,102.34758499748779,1648.1762382036525,120.08807356445351,1648.1762382036525,120.08807356445351,188.51459253942448,-993.6577211863575,118.63123778805299,-719.0167860258828,133.57859755014178,1553.9189419339402,78.89260669929658,-856.3372536061202,89.32610523048163
mexican_second_gen,selected_noncash_total,equal_all_members,person,2452,2461,5614636.31290289,6025314.16292179,238.7023335853714,13.920716345121694,227.81173133908413,14.492290243661168,227.81173133908413,14.492290243661168,-10.890602246287273,94.53666571393322,15.00162114098701,91.59261626936947,15.25140767674995,233.25703246222776,10.04754721397037,93.06464099165134,10.696425489154493
mexican_second_gen,cash_noncash_tax_balance,equal_all_members,person,2452,2461,5614636.31290289,6025314.16292179,5720.161554959391,277.9594585530811,5861.658116802205,406.7584319504665,5861.658116802205,406.7584319504665,141.49656184281412,-6065.66897241815,352.71696888013895,-6499.187534651516,488.5646623621324,5790.909835880798,246.33000353282398,-6282.428253534833,301.2908434739668
mexican_second_gen,employer_payroll,equal_all_members,person,2452,2461,5614636.31290289,6025314.16292179,2542.46579106587,51.68399605457528,2598.199062538379,62.39513930789181,2606.1893749343844,62.98790810852872,55.73327147250939,-946.3576185100542,54.94590996417078,-1058.5511002354033,67.98893546589836,2570.3324268021242,40.51045808621701,-1002.4543593727287,43.707975152072805
mexican_second_gen,sales_tax_share35,equal_all_members,person,2452,2461,5614636.31290289,6025314.16292179,784.0844215559681,16.48030094295693,817.7628706154612,20.65906801747198,817.7628706154612,20.65906801747198,33.67844905949312,-265.64545368602523,17.780003095471386,-270.2029221065468,23.220679958811708,800.9236460857146,13.213604831015653,-267.924187896286,14.622999759151094
