zcta,pop,Bulky Items,Graffiti Removal,Illegal Dumping Pickup,Metal/Household Appliances,Homeless Encampment,Electronic Waste,Dead Animal Removal,Single Streetlight Issue,Multiple Streetlight Issue,dump_per_bulky,hh,hu,mean_hh_inc,hisp_pct,mex_pct,fb_pct,nhwhite_pct,nhblack_pct,nhasian_pct,owner_pct,crowded_pct,pov_pct,log_inc
91304,53794,132.768,15.004,16.595,30.293,8.118,9.242,6.528,3.235,2.456,0.125,18369,18875,117649.992,41.664,25.551,37.843,32.084,4.19,16.751,51.233,10.632,11.911,11.675
91306,48177,159.199,19.384,19.746,30.278,9.714,9.851,6.811,2.437,2.019,0.124,14697,15176,112233.653,47.34,25.234,42.84,24.003,3.385,19.962,56.603,14.554,19.154,11.628
91307,25823,172.487,16.154,16.314,36.684,6.738,11.911,8.254,4.293,3.209,0.095,8735,8964,181086.182,15.281,8.682,28.738,59.04,4.372,15.587,80.572,2.645,6.618,12.107
91311,40557,160.17,34.938,26.742,38.669,20.504,11.751,9.2,5.868,5.893,0.167,14391,14879,145740.463,28.838,17.314,29.317,40.898,6.608,18.49,66.799,7.164,7.613,11.89
91316,29246,146.413,20.076,19.929,28.483,6.775,9.266,6.487,4.284,6.99,0.136,12874,13602,142353.892,11.796,5.276,36.839,73.056,1.583,6.086,50.186,5.981,8.627,11.866
91324,29510,147.17,55.599,17.181,30.585,6.811,9.556,10.926,3.5,3.079,0.117,10445,11408,125670.809,39.62,26.544,36.445,31.2,5.107,19.898,48.492,8.492,11.714,11.741
91325,35116,147.173,56.299,19.633,30.487,4.63,8.063,9.011,2.29,2.791,0.133,12795,13668,128276.491,36.163,23.704,34.79,37.39,5.194,15.654,45.791,10.027,16.074,11.762
91326,37068,164.956,7.55,7.827,45.376,1.148,14.082,5.823,1.807,2.771,0.047,12948,13670,183940.385,13.804,5.816,36.031,41.383,7.724,30.768,76.158,2.502,6.246,12.122
91331,98820,155.3,40.642,34.708,24.11,10.341,11.452,8.091,3.996,6.313,0.223,23036,23926,98597.76,87.449,66.615,42.295,4.251,1.913,4.627,62.836,23.494,16.902,11.499
91335,74802,163.836,56.345,28.063,28.576,9.505,9.784,7.542,2.145,2.361,0.171,24234,25615,102460.333,51.507,29.88,43.496,27.694,4.174,12.775,50.701,14.818,13.256,11.537
91340,33750,52.279,29.308,8.292,10.468,3.382,4.61,2.599,1.101,1.249,0.159,8542,9011,106521.248,91.055,77.55,34.865,4.098,1.822,1.926,64.739,18.298,12.623,11.576
91342,93513,148.815,110.246,19.489,30.929,7.906,11.893,7.531,3.071,3.055,0.131,25205,26403,111145.376,74.417,59.223,36.023,12.315,3.42,7.414,67.737,12.545,12.719,11.619
91343,61607,154.936,44.445,25.79,26.913,8.424,8.846,7.692,3.471,4.552,0.166,18175,18891,108165.854,58.422,34.692,41.552,20.389,3.888,13.649,49.32,17.524,18.239,11.591
91344,53248,177.694,25.318,15.236,39.529,11.99,11.96,8.199,2.176,2.125,0.086,17774,18424,145885.89,31.049,21.191,38.165,43.384,2.505,17.89,72.083,5.351,6.913,11.891
91345,18282,200.283,43.806,35.703,39.164,12.518,14.761,12.221,3.282,4.517,0.178,5489,5672,110490.763,66.005,47.626,38.683,18.357,2.576,10.825,72.49,9.729,8.787,11.613
91352,46153,171.897,61.033,59.733,24.79,22.119,10.815,7.299,4.838,6.042,0.347,12402,13119,96862.804,68.069,50.985,46.114,22.729,2.234,4.892,52.532,18.876,13.541,11.481
91356,30809,149.39,45.126,16.804,30.831,16.869,10.141,5.012,3.274,2.3,0.112,12155,12715,172459.77,16.554,6.514,32.305,62.618,5.531,7.985,57.54,4.5,9.0,12.058
91364,28662,151.275,28.076,14.011,38.239,30.259,11.309,5.787,2.044,1.141,0.093,10219,10969,185125.208,13.593,7.934,25.905,63.23,4.94,10.059,69.028,5.959,6.659,12.129
91367,45427,123.02,16.177,12.758,28.68,17.758,8.985,6.843,2.871,2.903,0.104,18919,20577,143604.292,14.304,7.022,29.943,56.539,7.421,14.496,47.772,8.077,10.941,11.875
91401,39011,183.992,66.04,26.527,26.974,11.092,10.041,6.844,1.392,2.197,0.144,15053,15785,104953.411,44.516,19.776,38.571,40.924,4.804,4.835,33.874,11.014,15.916,11.561
91402,66710,137.69,42.431,35.925,20.65,11.38,8.491,5.125,3.082,4.041,0.261,20147,20570,78327.473,69.591,44.164,50.211,11.686,2.53,14.65,34.367,22.157,20.08,11.269
91403,25566,151.496,25.922,11.444,27.157,11.209,9.035,5.297,4.213,2.76,0.076,11892,13095,183910.032,16.037,8.492,24.36,64.465,5.777,7.475,43.475,2.136,8.335,12.122
91405,54887,157.88,63.244,30.114,18.547,12.027,7.074,4.839,1.762,2.22,0.191,18722,19822,82760.303,60.051,27.83,47.015,23.49,4.147,9.133,26.797,21.21,20.69,11.324
91406,52661,172.768,78.977,38.391,28.05,13.786,9.327,9.166,2.398,2.998,0.222,19154,19650,103586.081,58.1,32.191,40.02,26.076,3.997,7.934,39.417,15.391,17.971,11.548
91411,23520,168.076,64.674,27.023,21.726,16.624,8.242,5.837,1.95,1.713,0.161,9346,10003,107197.036,47.304,23.469,38.924,31.998,6.65,9.664,27.252,14.755,17.191,11.582
91423,32536,161.105,19.161,11.469,27.912,18.52,8.926,5.598,2.27,2.125,0.071,15475,16678,170311.955,14.086,8.08,20.393,67.255,4.595,5.243,37.46,1.654,6.659,12.045
91436,16424,126.34,17.283,8.35,32.557,7.002,11.212,7.602,3.984,2.14,0.066,6012,6288,285179.94,8.658,2.545,24.616,79.085,1.894,4.865,78.343,1.297,6.728,12.561
91504,27268,22.706,0.288,0.938,5.181,0.194,2.164,0.262,0.068,0.089,0.041,10067,10629,156630.953,24.85,13.312,34.41,53.997,4.885,10.738,52.19,5.523,10.373,11.962
91505,31843,2.234,0.861,0.731,0.323,1.014,0.144,0.17,0.022,0.054,0.327,12975,14258,133550.004,29.35,20.111,17.947,49.609,3.178,10.398,44.185,4.609,8.4,11.802
91506,18773,0.008,0.0,0.0,0.0,0.008,0.0,0.008,0.0,0.0,0.0,7908,8530,150225.038,25.254,12.917,23.225,53.103,1.566,14.872,58.523,4.236,9.437,11.92
91601,37033,208.015,83.123,30.895,33.441,34.475,10.847,4.849,3.819,3.707,0.149,18732,20539,101307.228,32.949,18.489,24.956,42.991,10.402,7.971,16.037,6.775,15.499,11.526
91602,19760,172.195,35.309,16.758,31.521,40.862,9.738,5.972,5.09,7.989,0.097,10064,10791,145510.413,19.555,9.808,18.957,57.485,6.832,9.124,31.955,3.001,8.396,11.888
91604,32118,144.285,38.359,10.408,29.28,14.785,9.287,5.271,4.021,3.3,0.072,14848,15900,222132.206,10.714,5.825,17.763,68.336,4.614,8.26,44.706,2.148,7.439,12.311
91605,52086,168.14,92.493,35.949,22.093,17.976,8.917,6.958,2.383,3.801,0.214,16139,17206,87687.304,62.101,35.153,47.314,26.276,1.699,7.875,37.474,17.851,16.958,11.382
91606,43202,176.949,91.603,31.662,25.482,20.948,9.732,6.144,2.173,3.363,0.179,15589,16563,87405.658,52.84,28.209,43.151,33.478,4.574,4.687,33.421,15.697,18.222,11.378
91607,30918,175.654,29.747,15.488,30.061,9.477,9.929,5.623,2.389,4.131,0.088,13929,14597,117637.899,21.389,10.774,29.135,56.55,7.271,7.533,30.576,5.887,12.941,11.675
