benchmark,rule,end,convention,rate_path,window_start,financing,stock_entering_2024_bn,legacy_interest_2024_bn,stock_end_2024_brief_bn,flow_2024_bn,flow_2024_part_year_interest_bn,sum_flows_nominal_bn,rate_2024,stock_share_of_debt_end_fy2023,interest_per_member_usd,interest_per_other_resident_usd,interest_share_of_fy2024_net_interest,interest_share_of_account_interest_allocation,interest_share_of_per_head_net_interest
main,programme,high,low,treasury_10y,2010,all_borrowed,630.776574,26.792235,657.568809,35.646701,0.757047,567.755578,0.042475,0.024043,655.121744,89.541926,0.03045,0.199142,0.253233
main,programme,high,low,treasury_10y,2010,half_borrowed,315.388287,13.396117,328.784404,17.823351,0.378523,283.877789,0.042475,0.012021,327.560872,44.770963,0.015225,0.099571,0.126616
main,programme,high,low,treasury_10y,2015,all_borrowed,490.450466,20.831884,511.28235,35.646701,0.757047,460.539798,0.042475,0.018694,509.379672,69.621925,0.023676,0.15484,0.196897
main,programme,high,low,treasury_10y,2015,half_borrowed,245.225233,10.415942,255.641175,17.823351,0.378523,230.269899,0.042475,0.009347,254.689836,34.810963,0.011838,0.07742,0.098449
main,programme,high,low,gross_public_securities,2005,all_borrowed,556.335999,19.403594,575.739593,35.646701,0.621633,524.772127,0.034877,0.021205,474.455249,64.848461,0.022053,0.144224,0.183397
main,programme,high,low,gross_public_securities,2005,half_borrowed,278.167999,9.701797,287.869797,17.823351,0.310817,262.386064,0.034877,0.010603,237.227624,32.424231,0.011026,0.072112,0.091699
main,programme,high,low,gross_public_securities,2010,all_borrowed,627.638236,21.890436,649.528672,35.646701,0.621633,567.755578,0.034877,0.023923,535.263323,73.159698,0.024879,0.162708,0.206902
main,programme,high,low,gross_public_securities,2010,half_borrowed,313.819118,10.945218,324.764336,17.823351,0.310817,283.877789,0.034877,0.011962,267.631661,36.579849,0.012439,0.081354,0.103451
main,programme,high,low,gross_public_securities,2015,all_borrowed,487.171852,16.991324,504.163176,35.646701,0.621633,460.539798,0.034877,0.018569,415.470584,56.786447,0.019311,0.126294,0.160597
main,programme,high,low,gross_public_securities,2015,half_borrowed,243.585926,8.495662,252.081588,17.823351,0.310817,230.269899,0.034877,0.009285,207.735292,28.393224,0.009655,0.063147,0.080299
main,programme,low,central,effective,2005,all_borrowed,590.099586,19.078501,609.178087,38.643017,0.624683,558.322929,0.032331,0.022492,466.506091,63.761972,0.021683,0.141807,0.180325
main,programme,low,central,effective,2005,half_borrowed,295.049793,9.53925,304.589043,19.321509,0.312342,279.161464,0.032331,0.011246,233.253046,31.880986,0.010842,0.070904,0.090162
main,programme,low,central,effective,2010,all_borrowed,650.518228,21.031895,671.550123,38.643017,0.624683,595.861797,0.032331,0.024795,514.270342,70.290381,0.023903,0.156326,0.198788
main,programme,low,central,effective,2010,half_borrowed,325.259114,10.515948,335.775061,19.321509,0.312342,297.930898,0.032331,0.012398,257.135171,35.145191,0.011952,0.078163,0.099394
main,programme,low,central,effective,2015,all_borrowed,504.268072,16.303484,520.571555,38.643017,0.624683,480.679712,0.032331,0.019221,398.651571,54.487628,0.018529,0.121181,0.154096
main,programme,low,central,effective,2015,half_borrowed,252.134036,8.151742,260.285778,19.321509,0.312342,240.339856,0.032331,0.00961,199.325786,27.243814,0.009265,0.06059,0.077048
main,programme,low,central,constant_3_22,2005,all_borrowed,616.268782,19.848727,636.117509,38.643017,0.622305,558.322929,0.032208,0.02349,485.3396,66.336132,0.022558,0.147532,0.187605
main,programme,low,central,constant_3_22,2005,half_borrowed,308.134391,9.924363,318.058755,19.321509,0.311153,279.161464,0.032208,0.011745,242.6698,33.168066,0.011279,0.073766,0.093802
main,programme,low,central,constant_3_22,2010,all_borrowed,684.637075,22.050726,706.687801,38.643017,0.622305,595.861797,0.032208,0.026096,539.182729,73.695402,0.025061,0.163899,0.208417
main,programme,low,central,constant_3_22,2010,half_borrowed,342.318537,11.025363,353.343901,19.321509,0.311153,297.930898,0.032208,0.013048,269.591364,36.847701,0.012531,0.08195,0.104209
main,programme,low,central,constant_3_22,2015,all_borrowed,515.318729,16.597337,531.916067,38.643017,0.622305,480.679712,0.032208,0.019642,405.836857,55.469711,0.018863,0.123365,0.156873
main,programme,low,central,constant_3_22,2015,half_borrowed,257.659365,8.298669,265.958033,19.321509,0.311153,240.339856,0.032208,0.009821,202.918429,27.734856,0.009432,0.061683,0.078437
main,programme,low,central,treasury_10y,2005,all_borrowed,598.697659,25.429683,624.127342,38.643017,0.820681,558.322929,0.042475,0.02282,621.804726,84.988162,0.028901,0.189014,0.240354
main,programme,low,central,treasury_10y,2005,half_borrowed,299.34883,12.714842,312.063671,19.321509,0.410341,279.161464,0.042475,0.01141,310.902363,42.494081,0.014451,0.094507,0.120177
main,programme,low,central,treasury_10y,2010,all_borrowed,661.491164,28.096837,689.588001,38.643017,0.820681,595.861797,0.042475,0.025214,687.021781,93.902018,0.031933,0.208839,0.265563
main,programme,low,central,treasury_10y,2010,half_borrowed,330.745582,14.048419,344.794001,19.321509,0.410341,297.930898,0.042475,0.012607,343.51089,46.951009,0.015966,0.104419,0.132782
main,programme,low,central,treasury_10y,2015,all_borrowed,510.449293,21.681334,532.130627,38.643017,0.820681,480.679712,0.042475,0.019456,530.150366,72.46086,0.024641,0.161154,0.204926
main,programme,low,central,treasury_10y,2015,half_borrowed,255.224647,10.840667,266.065314,19.321509,0.410341,240.339856,0.042475,0.009728,265.075183,36.23043,0.012321,0.080577,0.102463
main,programme,low,central,gross_public_securities,2005,all_borrowed,594.593801,20.73793,615.33173,38.643017,0.673885,558.322929,0.034877,0.022664,507.082321,69.307924,0.023569,0.154141,0.196009
main,programme,low,central,gross_public_securities,2005,half_borrowed,297.2969,10.368965,307.665865,19.321509,0.336943,279.161464,0.034877,0.011332,253.541161,34.653962,0.011785,0.077071,0.098005
main,programme,low,central,gross_public_securities,2010,all_borrowed,658.029771,22.950416,680.980187,38.643017,0.673885,595.861797,0.034877,0.025082,561.181875,76.702241,0.026084,0.170587,0.216921
main,programme,low,central,gross_public_securities,2010,half_borrowed,329.014886,11.475208,340.490094,19.321509,0.336943,297.930898,0.034877,0.012541,280.590937,38.351121,0.013042,0.085293,0.10846
main,programme,low,central,gross_public_securities,2015,all_borrowed,506.83589,17.677156,524.513045,38.643017,0.673885,480.679712,0.034877,0.019319,432.240496,59.078556,0.02009,0.131391,0.167079
main,programme,low,central,gross_public_securities,2015,half_borrowed,253.417945,8.838578,262.256523,19.321509,0.336943,240.339856,0.034877,0.009659,216.120248,29.539278,0.010045,0.065696,0.08354
main,programme,low,high,effective,2005,all_borrowed,706.601065,22.845109,729.446174,48.4842,0.783771,658.101707,0.032331,0.026933,558.606901,76.350294,0.025964,0.169804,0.215926
main,programme,low,high,effective,2005,half_borrowed,353.300533,11.422554,364.723087,24.2421,0.391885,329.050854,0.032331,0.013466,279.303451,38.175147,0.012982,0.084902,0.107963
main,programme,low,high,effective,2010,all_borrowed,743.473799,24.03724,767.511039,48.4842,0.783771,679.071057,0.032331,0.028338,587.75682,80.3345,0.027319,0.178665,0.227193
main,programme,low,high,effective,2010,half_borrowed,371.7369,12.01862,383.75552,24.2421,0.391885,339.535529,0.032331,0.014169,293.87841,40.16725,0.013659,0.089332,0.113597
main,programme,low,high,effective,2015,all_borrowed,569.038789,18.397585,587.436374,48.4842,0.783771,541.257227,0.032331,0.02169,449.856376,61.486291,0.020909,0.136746,0.173889
main,programme,low,high,effective,2015,half_borrowed,284.519395,9.198792,293.718187,24.2421,0.391885,270.628614,0.032331,0.010845,224.928188,30.743146,0.010455,0.068373,0.086944
main,programme,low,high,constant_3_22,2005,all_borrowed,743.014715,23.930948,766.945662,48.4842,0.780787,658.101707,0.032208,0.028321,585.157766,79.979262,0.027198,0.177875,0.226189
main,programme,low,high,constant_3_22,2005,half_borrowed,371.507357,11.965474,383.472831,24.2421,0.390394,329.050854,0.032208,0.01416,292.578883,39.989631,0.013599,0.088937,0.113094
main,programme,low,high,constant_3_22,2010,all_borrowed,784.046107,25.252483,809.29859,48.4842,0.780787,679.071057,0.032208,0.029885,617.471848,84.395945,0.0287,0.187697,0.238679
main,programme,low,high,constant_3_22,2010,half_borrowed,392.023053,12.626242,404.649295,24.2421,0.390394,339.535529,0.032208,0.014942,308.735924,42.197972,0.01435,0.093849,0.11934
main,programme,low,high,constant_3_22,2015,all_borrowed,582.450969,18.759526,601.210495,48.4842,0.780787,541.257227,0.032208,0.022201,458.706539,62.69593,0.021321,0.139436,0.17731
main,programme,low,high,constant_3_22,2015,half_borrowed,291.225484,9.379763,300.605247,24.2421,0.390394,270.628614,0.032208,0.0111,229.353269,31.347965,0.01066,0.069718,0.088655
main,programme,low,high,treasury_10y,2005,all_borrowed,717.753706,30.486589,748.240295,48.4842,1.029683,658.101707,0.042475,0.027358,745.455806,101.88877,0.034649,0.226602,0.288151
main,programme,low,high,treasury_10y,2005,half_borrowed,358.876853,15.243294,374.120147,24.2421,0.514842,329.050854,0.042475,0.013679,372.727903,50.944385,0.017324,0.113301,0.144075
main,programme,low,high,treasury_10y,2010,all_borrowed,755.954886,32.109184,788.06407,48.4842,1.029683,679.071057,0.042475,0.028814,785.131382,107.311621,0.036493,0.238662,0.303487
main,programme,low,high,treasury_10y,2010,half_borrowed,377.977443,16.054592,394.032035,24.2421,0.514842,339.535529,0.042475,0.014407,392.565691,53.655811,0.018246,0.119331,0.151743
main,programme,low,high,treasury_10y,2015,all_borrowed,575.87255,24.460187,600.332737,48.4842,1.029683,541.257227,0.042475,0.02195,598.098669,81.748022,0.027799,0.181808,0.231191
main,programme,low,high,treasury_10y,2015,half_borrowed,287.936275,12.230093,300.166368,24.2421,0.514842,270.628614,0.042475,0.010975,299.049334,40.874011,0.0139,0.090904,0.115595
main,programme,low,high,gross_public_securities,2005,all_borrowed,713.541927,24.88654,738.428467,48.4842,0.845503,658.101707,0.034877,0.027197,608.523829,83.172931,0.028284,0.184977,0.235221
main,programme,low,high,gross_public_securities,2005,half_borrowed,356.770963,12.44327,369.214233,24.2421,0.422752,329.050854,0.034877,0.013599,304.261915,41.586466,0.014142,0.092489,0.11761
main,programme,low,high,gross_public_securities,2010,all_borrowed,752.392962,26.241566,778.634528,48.4842,0.845503,679.071057,0.034877,0.028678,641.656824,87.701543,0.029824,0.195049,0.248028
main,programme,low,high,gross_public_securities,2010,half_borrowed,376.196481,13.120783,389.317264,24.2421,0.422752,339.535529,0.034877,0.014339,320.828412,43.850772,0.014912,0.097525,0.124014
main,programme,low,high,gross_public_securities,2015,all_borrowed,572.134175,19.954595,592.08877,48.4842,0.845503,541.257227,0.034877,0.021808,487.928272,66.689952,0.022679,0.148319,0.188605
main,programme,low,high,gross_public_securities,2015,half_borrowed,286.067088,9.977297,296.044385,24.2421,0.422752,270.628614,0.034877,0.010904,243.964136,33.344976,0.011339,0.07416,0.094303
