convention,line,year,federal_share
central,other_state_benefits,2006,0.0
central,other_state_benefits,2007,0.0
central,other_state_benefits,2008,0.0
central,other_state_benefits,2009,0.0
central,other_state_benefits,2010,0.0
central,other_state_benefits,2011,0.0
central,other_state_benefits,2012,0.0
central,other_state_benefits,2013,0.0
central,other_state_benefits,2014,0.0
central,other_state_benefits,2015,0.0
central,other_state_benefits,2016,0.0
central,other_state_benefits,2017,0.0
central,other_state_benefits,2018,0.0
central,other_state_benefits,2019,0.0
central,other_state_benefits,2020,0.0
central,other_state_benefits,2021,0.0
central,other_state_benefits,2022,0.0
central,other_state_benefits,2023,0.0
central,other_state_benefits,2024,0.0
central,defense,2005,1.0
central,defense,2006,1.0
central,defense,2007,1.0
central,defense,2008,1.0
central,defense,2009,1.0
central,defense,2010,1.0
central,defense,2011,1.0
central,defense,2012,1.0
central,defense,2013,1.0
central,defense,2014,1.0
central,defense,2015,1.0
central,defense,2016,1.0
central,defense,2017,1.0
central,defense,2018,1.0
central,defense,2019,1.0
central,defense,2020,1.0
central,defense,2021,1.0
central,defense,2022,1.0
central,defense,2023,1.0
central,defense,2024,1.0
central,housing_community_services,2005,0.128351
central,housing_community_services,2006,0.107258
central,housing_community_services,2007,0.139125
central,housing_community_services,2008,0.149193
central,housing_community_services,2009,0.160132
central,housing_community_services,2010,0.187775
central,housing_community_services,2011,0.199887
central,housing_community_services,2012,0.20202
central,housing_community_services,2013,0.193972
central,housing_community_services,2014,0.197185
central,housing_community_services,2015,0.189418
central,housing_community_services,2016,0.174585
central,housing_community_services,2017,0.171896
central,housing_community_services,2018,0.158118
central,housing_community_services,2019,0.152371
central,housing_community_services,2020,0.165756
central,housing_community_services,2021,0.151363
central,housing_community_services,2022,0.124062
central,housing_community_services,2023,0.162936
central,housing_community_services,2024,0.190136
central,medicaid_and_chip_other_medical,2005,0.573691
central,medicaid_and_chip_other_medical,2006,0.567004
central,medicaid_and_chip_other_medical,2007,0.5695
central,medicaid_and_chip_other_medical,2008,0.590012
central,medicaid_and_chip_other_medical,2009,0.660528
central,medicaid_and_chip_other_medical,2010,0.670609
central,medicaid_and_chip_other_medical,2011,0.607915
central,medicaid_and_chip_other_medical,2012,0.575449
central,medicaid_and_chip_other_medical,2013,0.576854
central,medicaid_and_chip_other_medical,2014,0.614211
central,medicaid_and_chip_other_medical,2015,0.631308
central,medicaid_and_chip_other_medical,2016,0.633386
central,medicaid_and_chip_other_medical,2017,0.624741
central,medicaid_and_chip_other_medical,2018,0.624162
central,medicaid_and_chip_other_medical,2019,0.630322
central,medicaid_and_chip_other_medical,2020,0.684907
central,medicaid_and_chip_other_medical,2021,0.69855
central,medicaid_and_chip_other_medical,2022,0.706384
central,medicaid_and_chip_other_medical,2023,0.678265
central,medicaid_and_chip_other_medical,2024,0.640442
central,health_services,2005,0.697148
central,health_services,2006,0.682386
central,health_services,2007,0.632819
central,health_services,2008,0.575023
central,health_services,2009,0.708619
central,health_services,2010,0.71172
central,health_services,2011,0.697587
central,health_services,2012,0.724836
central,health_services,2013,0.724957
central,health_services,2014,0.74681
central,health_services,2015,0.776156
central,health_services,2016,0.775221
central,health_services,2017,0.754951
central,health_services,2018,0.774387
central,health_services,2019,0.762155
central,health_services,2020,0.807212
central,health_services,2021,0.759423
central,health_services,2022,0.78513
central,health_services,2023,0.756839
central,health_services,2024,0.759553
central,energy_assistance,2005,0.924368
central,energy_assistance,2006,0.868865
central,energy_assistance,2007,0.930128
central,energy_assistance,2008,0.915886
central,energy_assistance,2009,0.898351
central,energy_assistance,2010,0.934383
central,energy_assistance,2011,0.889827
central,energy_assistance,2012,0.903679
central,energy_assistance,2013,0.929558
central,energy_assistance,2014,0.886421
central,energy_assistance,2015,0.917591
central,energy_assistance,2016,0.912539
central,energy_assistance,2017,0.926185
central,energy_assistance,2018,0.892766
central,energy_assistance,2019,0.92482
central,energy_assistance,2020,0.935155
central,energy_assistance,2021,0.909325
central,energy_assistance,2022,0.892021
central,energy_assistance,2023,0.896687
central,energy_assistance,2024,0.921186
central,general_public_services,2005,0.225168
central,general_public_services,2006,0.214361
central,general_public_services,2007,0.218751
central,general_public_services,2008,0.232551
central,general_public_services,2009,0.243882
central,general_public_services,2010,0.257908
central,general_public_services,2011,0.25403
central,general_public_services,2012,0.262925
central,general_public_services,2013,0.254702
central,general_public_services,2014,0.249572
central,general_public_services,2015,0.257468
central,general_public_services,2016,0.26312
central,general_public_services,2017,0.261804
central,general_public_services,2018,0.259941
central,general_public_services,2019,0.257996
central,general_public_services,2020,0.276921
central,general_public_services,2021,0.236484
central,general_public_services,2022,0.228224
central,general_public_services,2023,0.246431
central,general_public_services,2024,0.252523
central,public_order_safety,2005,0.158008
central,public_order_safety,2006,0.159667
central,public_order_safety,2007,0.154656
central,public_order_safety,2008,0.16135
central,public_order_safety,2009,0.173777
central,public_order_safety,2010,0.177831
central,public_order_safety,2011,0.180642
central,public_order_safety,2012,0.185297
central,public_order_safety,2013,0.172737
central,public_order_safety,2014,0.168573
central,public_order_safety,2015,0.16323
central,public_order_safety,2016,0.164282
central,public_order_safety,2017,0.162711
central,public_order_safety,2018,0.158978
central,public_order_safety,2019,0.149808
central,public_order_safety,2020,0.140747
central,public_order_safety,2021,0.151728
central,public_order_safety,2022,0.153033
central,public_order_safety,2023,0.159766
central,public_order_safety,2024,0.158937
central,economic_affairs_services,2005,0.442514
central,economic_affairs_services,2006,0.435186
central,economic_affairs_services,2007,0.425588
central,economic_affairs_services,2008,0.421905
central,economic_affairs_services,2009,0.44016
central,economic_affairs_services,2010,0.47761
central,economic_affairs_services,2011,0.458905
central,economic_affairs_services,2012,0.443837
central,economic_affairs_services,2013,0.42111
central,economic_affairs_services,2014,0.413468
central,economic_affairs_services,2015,0.416977
central,economic_affairs_services,2016,0.414597
central,economic_affairs_services,2017,0.411693
central,economic_affairs_services,2018,0.414486
central,economic_affairs_services,2019,0.403368
central,economic_affairs_services,2020,0.851992
central,economic_affairs_services,2021,1.0
central,economic_affairs_services,2022,0.401131
