end,convention,side,line,gap_bn,federal_bn,state_local_bn
high,central,production,induced_receipts_F,-8.946297,-7.908967,-1.03733
high,low,receipt,federal_income_tax,-128.208872,-128.208872,0.0
high,low,receipt,state_local_income_tax,-26.83208,-0.0,-26.83208
high,low,receipt,personal_motor_vehicle,-2.850033,-0.0,-2.850033
high,low,receipt,other_personal_tax,-0.48648,-0.0,-0.48648
high,low,receipt,employee_oasdi,-55.142869,-55.142869,0.0
high,low,receipt,employee_hi,-16.376287,-16.376287,0.0
high,low,receipt,self_employment_oasdi_hi,-8.897074,-8.897074,0.0
high,low,receipt,employer_oasdi,-55.619046,-55.619046,0.0
high,low,receipt,employer_hi,-14.566937,-14.566937,0.0
high,low,receipt,medicare_supplementary_premiums,-7.441656,-7.441656,0.0
high,low,receipt,other_domestic_social_contributions,-10.986479,-7.824232,-3.162246
high,low,receipt,general_sales_tax,-48.821293,-0.0,-48.821293
high,low,receipt,excise_selective_sales,-30.087298,-8.101143,-21.986155
high,low,receipt,customs_duties,-6.773941,-6.773941,0.0
high,low,receipt,personal_current_transfers,-11.431993,-2.055271,-9.376722
high,low,spending,general_public_services,40.564666,10.243526,30.32114
high,low,spending,public_order_safety,68.369035,10.095544,58.273491
high,low,spending,housing_community_services,1.747999,0.332357,1.415642
high,low,spending,health_services,23.534996,16.619598,6.915398
high,low,spending,education_services,151.032396,1.478465,149.55393
high,low,spending,income_security_services,27.686978,15.221618,12.46536
high,low,spending,social_security,59.918598,59.918598,0.0
high,low,spending,medicare,63.964982,63.964982,0.0
high,low,spending,unemployment,4.089921,4.089921,0.0
high,low,spending,railroad_retirement,0.599738,0.599738,0.0
high,low,spending,pension_guaranty,0.039259,0.039259,0.0
high,low,spending,veterans_life_insurance,0.022483,0.022483,0.0
high,low,spending,workers_compensation,2.280171,0.732263,1.547908
high,low,spending,military_medical,0.648414,0.648414,0.0
high,low,spending,veterans_pension_disability,9.039544,9.039544,0.0
high,low,spending,veterans_readjustment,0.570389,0.570389,0.0
high,low,spending,veterans_other,2.369884,2.369884,0.0
high,low,spending,snap,14.284937,14.284937,0.0
high,low,spending,black_lung,0.033085,0.033085,0.0
high,low,spending,ssi,5.303504,4.882784,0.42072
high,low,spending,refundable_tax_credits,52.141735,52.141735,0.0
high,low,spending,other_federal_benefits,3.944957,3.944957,0.0
high,low,spending,temporary_disability,2.512529,0.0,2.512529
high,low,spending,medicaid_and_chip_other_medical,122.661209,76.331082,46.330127
high,low,spending,family_and_general_assistance,10.404601,4.678262,5.726339
high,low,spending,energy_assistance,0.553172,0.0,0.553172
high,low,spending,other_state_welfare,5.069837,2.279571,2.790266
high,low,spending,education_benefits,9.045576,0.0,9.045576
high,low,spending,employment_training,0.172623,0.0,0.172623
high,low,spending,other_state_benefits,0.345704,0.0,0.345704
high,low,production,induced_receipts_F,-8.946297,-7.908967,-1.03733
high,high,receipt,federal_income_tax,-128.208872,-128.208872,0.0
high,high,receipt,state_local_income_tax,-26.83208,-0.0,-26.83208
high,high,receipt,personal_motor_vehicle,-2.850033,-0.0,-2.850033
high,high,receipt,other_personal_tax,-0.48648,-0.0,-0.48648
high,high,receipt,employee_oasdi,-55.142869,-55.142869,0.0
high,high,receipt,employee_hi,-16.376287,-16.376287,0.0
high,high,receipt,self_employment_oasdi_hi,-8.897074,-8.897074,0.0
high,high,receipt,employer_oasdi,-55.619046,-55.619046,0.0
high,high,receipt,employer_hi,-14.566937,-14.566937,0.0
high,high,receipt,medicare_supplementary_premiums,-7.441656,-7.441656,0.0
high,high,receipt,other_domestic_social_contributions,-10.986479,-7.824232,-3.162246
high,high,receipt,general_sales_tax,-48.821293,-0.0,-48.821293
high,high,receipt,excise_selective_sales,-30.087298,-8.101143,-21.986155
high,high,receipt,customs_duties,-6.773941,-6.773941,0.0
high,high,receipt,personal_current_transfers,-11.431993,-2.055271,-9.376722
high,high,spending,general_public_services,40.564666,14.874583,25.690083
high,high,spending,public_order_safety,68.369035,13.139574,55.229461
high,high,spending,housing_community_services,1.747999,0.332357,1.415642
high,high,spending,health_services,23.534996,13.79674,9.738256
high,high,spending,education_services,151.032396,16.81486,134.217536
high,high,spending,income_security_services,27.686978,20.220244,7.466734
high,high,spending,social_security,59.918598,59.918598,0.0
high,high,spending,medicare,63.964982,63.964982,0.0
high,high,spending,unemployment,4.089921,4.089921,0.0
high,high,spending,railroad_retirement,0.599738,0.599738,0.0
high,high,spending,pension_guaranty,0.039259,0.039259,0.0
high,high,spending,veterans_life_insurance,0.022483,0.022483,0.0
high,high,spending,workers_compensation,2.280171,0.732263,1.547908
high,high,spending,military_medical,0.648414,0.648414,0.0
high,high,spending,veterans_pension_disability,9.039544,9.039544,0.0
high,high,spending,veterans_readjustment,0.570389,0.570389,0.0
high,high,spending,veterans_other,2.369884,2.369884,0.0
high,high,spending,snap,14.284937,14.284937,0.0
high,high,spending,black_lung,0.033085,0.033085,0.0
high,high,spending,ssi,5.303504,4.882784,0.42072
high,high,spending,refundable_tax_credits,52.141735,52.141735,0.0
high,high,spending,other_federal_benefits,3.944957,3.944957,0.0
high,high,spending,temporary_disability,2.512529,0.0,2.512529
high,high,spending,medicaid_and_chip_other_medical,122.661209,83.296912,39.364297
high,high,spending,family_and_general_assistance,10.404601,6.974562,3.430039
high,high,spending,energy_assistance,0.553172,0.509574,0.043598
high,high,spending,other_state_welfare,5.069837,3.398486,1.671351
high,high,spending,education_benefits,9.045576,0.659944,8.385632
high,high,spending,employment_training,0.172623,0.012287,0.160337
high,high,spending,other_state_benefits,0.345704,0.0,0.345704
high,high,production,induced_receipts_F,-8.946297,-7.908967,-1.03733
