STATE,union_persons,hisp_persons,hisp_records,persons,population,f,hisp_share,union_share
17,722,1408,33,38798,inst65_mcd,0.5127840909090909,0.036290530439713385,0.01860920666013712
18,52,297,7,26463,inst65_mcd,0.1750841750841751,0.01122321732229906,0.001965007746665155
19,136,136,3,10769,inst65_mcd,1.0,0.012628842046615284,0.012628842046615284
20,173,516,12,9775,inst65_mcd,0.33527131782945735,0.05278772378516624,0.017698209718670078
21,9,434,8,15258,inst65_mcd,0.020737327188940093,0.028444094901035524,0.0005898545025560362
22,0,198,6,14594,inst65_mcd,0.0,0.013567219405235028,0.0
23,0,0,0,4739,inst65_mcd,,0.0,0.0
24,0,355,6,13543,inst65_mcd,0.0,0.026212803662408624,0.0
25,0,1023,27,24358,inst65_mcd,0.0,0.041998522046145,0.0
26,147,147,4,22342,inst65_mcd,1.0,0.006579536299346522,0.006579536299346522
27,177,361,5,16851,inst65_mcd,0.4903047091412742,0.021423060945937926,0.010503827666013887
28,0,0,0,10148,inst65_mcd,,0.0,0.0
29,96,96,2,21930,inst65_mcd,1.0,0.004377564979480164,0.004377564979480164
30,9,9,1,3296,inst65_mcd,1.0,0.0027305825242718447,0.0027305825242718447
31,0,0,0,5788,inst65_mcd,,0.0,0.0
32,332,389,7,3719,inst65_mcd,0.8534704370179949,0.10459801021780048,0.08927130949179887
33,0,0,0,5349,inst65_mcd,,0.0,0.0
34,0,3398,63,19676,inst65_mcd,0.0,0.17269770278511892,0.0
35,475,1042,31,3705,inst65_mcd,0.45585412667946257,0.2812415654520918,0.1282051282051282
36,545,7871,176,70697,inst65_mcd,0.06924151950196926,0.11133428575469963,0.007708955118321852
37,0,76,2,25006,inst65_mcd,0.0,0.003039270575061985,0.0
38,0,225,4,3810,inst65_mcd,0.0,0.05905511811023622,0.0
39,550,723,12,44043,inst65_mcd,0.7607192254495159,0.01641577549213269,0.012487796017528325
40,97,238,7,12856,inst65_mcd,0.40756302521008403,0.01851275668948351,0.0075451151213441195
