KOEN,ALDER,HERKOMST,TID,INDHOLD
Men,15-29 years,Immigrants from non-western countries,2023,3117
Men,15-29 years,Immigrants from non-western countries,2024,3084
Men,15-29 years,"Descendants, total",2008,2526
Men,15-29 years,"Descendants, total",2009,2920
Men,15-29 years,"Descendants, total",2010,3465
Men,15-29 years,"Descendants, total",2011,3663
Men,15-29 years,"Descendants, total",2012,4429
Men,15-29 years,"Descendants, total",2013,4612
Men,15-29 years,"Descendants, total",2014,5033
Men,15-29 years,"Descendants, total",2015,4967
Men,15-29 years,"Descendants, total",2016,5283
Men,15-29 years,"Descendants, total",2017,5488
Men,15-29 years,"Descendants, total",2018,6024
Men,15-29 years,"Descendants, total",2019,6687
Men,15-29 years,"Descendants, total",2020,7257
Men,15-29 years,"Descendants, total",2021,7056
Men,15-29 years,"Descendants, total",2022,6546
Men,15-29 years,"Descendants, total",2023,6463
Men,15-29 years,"Descendants, total",2024,6046
Men,15-29 years,Descendants from western countries,2008,150
Men,15-29 years,Descendants from western countries,2009,148
Men,15-29 years,Descendants from western countries,2010,143
Men,15-29 years,Descendants from western countries,2011,164
Men,15-29 years,Descendants from western countries,2012,179
Men,15-29 years,Descendants from western countries,2013,223
Men,15-29 years,Descendants from western countries,2014,194
Men,15-29 years,Descendants from western countries,2015,188
Men,15-29 years,Descendants from western countries,2016,195
Men,15-29 years,Descendants from western countries,2017,180
Men,15-29 years,Descendants from western countries,2018,207
Men,15-29 years,Descendants from western countries,2019,239
Men,15-29 years,Descendants from western countries,2020,243
Men,15-29 years,Descendants from western countries,2021,244
Men,15-29 years,Descendants from western countries,2022,227
Men,15-29 years,Descendants from western countries,2023,253
Men,15-29 years,Descendants from western countries,2024,268
Men,15-29 years,Descendants from non-western countries,2008,2376
Men,15-29 years,Descendants from non-western countries,2009,2772
Men,15-29 years,Descendants from non-western countries,2010,3322
Men,15-29 years,Descendants from non-western countries,2011,3499
Men,15-29 years,Descendants from non-western countries,2012,4250
Men,15-29 years,Descendants from non-western countries,2013,4389
Men,15-29 years,Descendants from non-western countries,2014,4839
Men,15-29 years,Descendants from non-western countries,2015,4779
Men,15-29 years,Descendants from non-western countries,2016,5088
Men,15-29 years,Descendants from non-western countries,2017,5308
Men,15-29 years,Descendants from non-western countries,2018,5817
Men,15-29 years,Descendants from non-western countries,2019,6448
Men,15-29 years,Descendants from non-western countries,2020,7014
Men,15-29 years,Descendants from non-western countries,2021,6812
Men,15-29 years,Descendants from non-western countries,2022,6319
Men,15-29 years,Descendants from non-western countries,2023,6210
Men,15-29 years,Descendants from non-western countries,2024,5778
Men,30-49 years,Total,2008,44672
Men,30-49 years,Total,2009,45809
Men,30-49 years,Total,2010,47919
Men,30-49 years,Total,2011,50222
Men,30-49 years,Total,2012,51334
Men,30-49 years,Total,2013,48643
Men,30-49 years,Total,2014,50015
Men,30-49 years,Total,2015,48603
Men,30-49 years,Total,2016,45641
Men,30-49 years,Total,2017,41780
Men,30-49 years,Total,2018,41359
Men,30-49 years,Total,2019,45302
Men,30-49 years,Total,2020,52176
Men,30-49 years,Total,2021,49571
Men,30-49 years,Total,2022,47387
Men,30-49 years,Total,2023,46683
Men,30-49 years,Total,2024,47221
Men,30-49 years,Persons of Danish origin,2008,38237
Men,30-49 years,Persons of Danish origin,2009,38598
Men,30-49 years,Persons of Danish origin,2010,40289
Men,30-49 years,Persons of Danish origin,2011,42087
Men,30-49 years,Persons of Danish origin,2012,42604
Men,30-49 years,Persons of Danish origin,2013,39985
Men,30-49 years,Persons of Danish origin,2014,40811
Men,30-49 years,Persons of Danish origin,2015,39159
Men,30-49 years,Persons of Danish origin,2016,36401
Men,30-49 years,Persons of Danish origin,2017,32086
Men,30-49 years,Persons of Danish origin,2018,30873
Men,30-49 years,Persons of Danish origin,2019,33240
Men,30-49 years,Persons of Danish origin,2020,37908
Men,30-49 years,Persons of Danish origin,2021,34958
Men,30-49 years,Persons of Danish origin,2022,33312
Men,30-49 years,Persons of Danish origin,2023,31814
Men,30-49 years,Persons of Danish origin,2024,32177
Men,30-49 years,"Immigrants, total",2008,5931
Men,30-49 years,"Immigrants, total",2009,6598
Men,30-49 years,"Immigrants, total",2010,6901
Men,30-49 years,"Immigrants, total",2011,7305
Men,30-49 years,"Immigrants, total",2012,7706
Men,30-49 years,"Immigrants, total",2013,7627
Men,30-49 years,"Immigrants, total",2014,8057
Men,30-49 years,"Immigrants, total",2015,8232
Men,30-49 years,"Immigrants, total",2016,7996
Men,30-49 years,"Immigrants, total",2017,8348
Men,30-49 years,"Immigrants, total",2018,9001
Men,30-49 years,"Immigrants, total",2019,10210
Men,30-49 years,"Immigrants, total",2020,11797
Men,30-49 years,"Immigrants, total",2021,11928
Men,30-49 years,"Immigrants, total",2022,11352
Men,30-49 years,"Immigrants, total",2023,11839
Men,30-49 years,"Immigrants, total",2024,11729
Men,30-49 years,Immigrants from western countries,2008,1069
Men,30-49 years,Immigrants from western countries,2009,1253
Men,30-49 years,Immigrants from western countries,2010,1335
Men,30-49 years,Immigrants from western countries,2011,1552
Men,30-49 years,Immigrants from western countries,2012,1670
Men,30-49 years,Immigrants from western countries,2013,1717
Men,30-49 years,Immigrants from western countries,2014,1982
Men,30-49 years,Immigrants from western countries,2015,2115
Men,30-49 years,Immigrants from western countries,2016,2239
Men,30-49 years,Immigrants from western countries,2017,2332
Men,30-49 years,Immigrants from western countries,2018,2552
Men,30-49 years,Immigrants from western countries,2019,3045
Men,30-49 years,Immigrants from western countries,2020,3562
Men,30-49 years,Immigrants from western countries,2021,3864
Men,30-49 years,Immigrants from western countries,2022,3902
Men,30-49 years,Immigrants from western countries,2023,4102
Men,30-49 years,Immigrants from western countries,2024,4035
Men,30-49 years,Immigrants from non-western countries,2008,4862
Men,30-49 years,Immigrants from non-western countries,2009,5345
Men,30-49 years,Immigrants from non-western countries,2010,5566
Men,30-49 years,Immigrants from non-western countries,2011,5753
Men,30-49 years,Immigrants from non-western countries,2012,6036
Men,30-49 years,Immigrants from non-western countries,2013,5910
Men,30-49 years,Immigrants from non-western countries,2014,6075
Men,30-49 years,Immigrants from non-western countries,2015,6117
Men,30-49 years,Immigrants from non-western countries,2016,5757
Men,30-49 years,Immigrants from non-western countries,2017,6016
Men,30-49 years,Immigrants from non-western countries,2018,6449
Men,30-49 years,Immigrants from non-western countries,2019,7165
Men,30-49 years,Immigrants from non-western countries,2020,8235
Men,30-49 years,Immigrants from non-western countries,2021,8064
Men,30-49 years,Immigrants from non-western countries,2022,7450
Men,30-49 years,Immigrants from non-western countries,2023,7737
Men,30-49 years,Immigrants from non-western countries,2024,7694
Men,30-49 years,"Descendants, total",2008,504
Men,30-49 years,"Descendants, total",2009,613
Men,30-49 years,"Descendants, total",2010,729
Men,30-49 years,"Descendants, total",2011,830
Men,30-49 years,"Descendants, total",2012,1024
Men,30-49 years,"Descendants, total",2013,1031
Men,30-49 years,"Descendants, total",2014,1147
Men,30-49 years,"Descendants, total",2015,1212
Men,30-49 years,"Descendants, total",2016,1244
Men,30-49 years,"Descendants, total",2017,1346
Men,30-49 years,"Descendants, total",2018,1485
Men,30-49 years,"Descendants, total",2019,1852
Men,30-49 years,"Descendants, total",2020,2471
Men,30-49 years,"Descendants, total",2021,2685
Men,30-49 years,"Descendants, total",2022,2723
Men,30-49 years,"Descendants, total",2023,3030
Men,30-49 years,"Descendants, total",2024,3315
Men,30-49 years,Descendants from western countries,2008,102
Men,30-49 years,Descendants from western countries,2009,104
Men,30-49 years,Descendants from western countries,2010,111
Men,30-49 years,Descendants from western countries,2011,129
Men,30-49 years,Descendants from western countries,2012,116
Men,30-49 years,Descendants from western countries,2013,115
Men,30-49 years,Descendants from western countries,2014,113
Men,30-49 years,Descendants from western countries,2015,129
Men,30-49 years,Descendants from western countries,2016,128
Men,30-49 years,Descendants from western countries,2017,117
Men,30-49 years,Descendants from western countries,2018,121
Men,30-49 years,Descendants from western countries,2019,124
Men,30-49 years,Descendants from western countries,2020,171
Men,30-49 years,Descendants from western countries,2021,159
Men,30-49 years,Descendants from western countries,2022,167
Men,30-49 years,Descendants from western countries,2023,152
Men,30-49 years,Descendants from western countries,2024,155
Men,30-49 years,Descendants from non-western countries,2008,402
Men,30-49 years,Descendants from non-western countries,2009,509
Men,30-49 years,Descendants from non-western countries,2010,618
Men,30-49 years,Descendants from non-western countries,2011,701
Men,30-49 years,Descendants from non-western countries,2012,908
Men,30-49 years,Descendants from non-western countries,2013,916
Men,30-49 years,Descendants from non-western countries,2014,1034
Men,30-49 years,Descendants from non-western countries,2015,1083
Men,30-49 years,Descendants from non-western countries,2016,1116
Men,30-49 years,Descendants from non-western countries,2017,1229
Men,30-49 years,Descendants from non-western countries,2018,1364
Men,30-49 years,Descendants from non-western countries,2019,1728
Men,30-49 years,Descendants from non-western countries,2020,2300
Men,30-49 years,Descendants from non-western countries,2021,2526
Men,30-49 years,Descendants from non-western countries,2022,2556
Men,30-49 years,Descendants from non-western countries,2023,2878
Men,30-49 years,Descendants from non-western countries,2024,3160
Men,50-79 years,Total,2008,20066
Men,50-79 years,Total,2009,21711
Men,50-79 years,Total,2010,24462
Men,50-79 years,Total,2011,27010
Men,50-79 years,Total,2012,27941
Men,50-79 years,Total,2013,29320
Men,50-79 years,Total,2014,30376
Men,50-79 years,Total,2015,30976
Men,50-79 years,Total,2016,32106
Men,50-79 years,Total,2017,29888
Men,50-79 years,Total,2018,28708
Men,50-79 years,Total,2019,32019
Men,50-79 years,Total,2020,36724
Men,50-79 years,Total,2021,35609
Men,50-79 years,Total,2022,34390
Men,50-79 years,Total,2023,33855
Men,50-79 years,Total,2024,35545
Men,50-79 years,Persons of Danish origin,2008,18391
Men,50-79 years,Persons of Danish origin,2009,19823
Men,50-79 years,Persons of Danish origin,2010,22221
Men,50-79 years,Persons of Danish origin,2011,24616
Men,50-79 years,Persons of Danish origin,2012,25201
Men,50-79 years,Persons of Danish origin,2013,26548
Men,50-79 years,Persons of Danish origin,2014,27267
Men,50-79 years,Persons of Danish origin,2015,27665
Men,50-79 years,Persons of Danish origin,2016,28786
Men,50-79 years,Persons of Danish origin,2017,26452
Men,50-79 years,Persons of Danish origin,2018,25085
Men,50-79 years,Persons of Danish origin,2019,28020
Men,50-79 years,Persons of Danish origin,2020,31978
Men,50-79 years,Persons of Danish origin,2021,30759
Men,50-79 years,Persons of Danish origin,2022,29549
Men,50-79 years,Persons of Danish origin,2023,28645
Men,50-79 years,Persons of Danish origin,2024,30278
Men,50-79 years,"Immigrants, total",2008,1633
Men,50-79 years,"Immigrants, total",2009,1848
Men,50-79 years,"Immigrants, total",2010,2192
Men,50-79 years,"Immigrants, total",2011,2340
Men,50-79 years,"Immigrants, total",2012,2671
Men,50-79 years,"Immigrants, total",2013,2715
Men,50-79 years,"Immigrants, total",2014,3045
Men,50-79 years,"Immigrants, total",2015,3257
Men,50-79 years,"Immigrants, total",2016,3274
Men,50-79 years,"Immigrants, total",2017,3372
Men,50-79 years,"Immigrants, total",2018,3568
