KOEN,ALDER,IELAND,TID,INDHOLD
Men,"Age, total",Switzerland,2010,23
Men,"Age, total",Switzerland,2011,29
Men,"Age, total",Switzerland,2012,21
Men,"Age, total",Switzerland,2013,20
Men,"Age, total",Switzerland,2014,14
Men,"Age, total",Switzerland,2015,17
Men,"Age, total",Switzerland,2016,17
Men,"Age, total",Switzerland,2017,21
Men,"Age, total",Switzerland,2018,11
Men,"Age, total",Switzerland,2019,14
Men,"Age, total",Switzerland,2020,11
Men,"Age, total",Switzerland,2021,26
Men,"Age, total",Switzerland,2022,17
Men,"Age, total",Switzerland,2023,17
Men,"Age, total",Switzerland,2024,20
Men,"Age, total",Serbia and Montenegro,2008,48
Men,"Age, total",Serbia and Montenegro,2009,37
Men,"Age, total",Serbia and Montenegro,2010,44
Men,"Age, total",Serbia and Montenegro,2011,41
Men,"Age, total",Serbia and Montenegro,2012,58
Men,"Age, total",Serbia and Montenegro,2013,50
Men,"Age, total",Serbia and Montenegro,2014,48
Men,"Age, total",Serbia and Montenegro,2015,36
Men,"Age, total",Serbia and Montenegro,2016,41
Men,"Age, total",Serbia and Montenegro,2017,43
Men,"Age, total",Serbia and Montenegro,2018,45
Men,"Age, total",Serbia and Montenegro,2019,38
Men,"Age, total",Serbia and Montenegro,2020,57
Men,"Age, total",Serbia and Montenegro,2021,48
Men,"Age, total",Serbia and Montenegro,2022,38
Men,"Age, total",Serbia and Montenegro,2023,32
Men,"Age, total",Serbia and Montenegro,2024,36
Men,"Age, total",Soviet Union,2008,29
Men,"Age, total",Soviet Union,2009,27
Men,"Age, total",Soviet Union,2010,28
Men,"Age, total",Soviet Union,2011,30
Men,"Age, total",Soviet Union,2012,27
Men,"Age, total",Soviet Union,2013,28
Men,"Age, total",Soviet Union,2014,36
Men,"Age, total",Soviet Union,2015,22
Men,"Age, total",Soviet Union,2016,25
Men,"Age, total",Soviet Union,2017,24
Men,"Age, total",Soviet Union,2018,19
Men,"Age, total",Soviet Union,2019,25
Men,"Age, total",Soviet Union,2020,23
Men,"Age, total",Soviet Union,2021,28
Men,"Age, total",Soviet Union,2022,25
Men,"Age, total",Soviet Union,2023,19
Men,"Age, total",Soviet Union,2024,21
Men,"Age, total",Spain,2008,38
Men,"Age, total",Spain,2009,42
Men,"Age, total",Spain,2010,31
Men,"Age, total",Spain,2011,45
Men,"Age, total",Spain,2012,60
Men,"Age, total",Spain,2013,74
Men,"Age, total",Spain,2014,57
Men,"Age, total",Spain,2015,56
Men,"Age, total",Spain,2016,75
Men,"Age, total",Spain,2017,62
Men,"Age, total",Spain,2018,72
Men,"Age, total",Spain,2019,81
Men,"Age, total",Spain,2020,119
Men,"Age, total",Spain,2021,123
Men,"Age, total",Spain,2022,121
Men,"Age, total",Spain,2023,135
Men,"Age, total",Spain,2024,118
Men,"Age, total",United Kingdom,2008,246
Men,"Age, total",United Kingdom,2009,268
Men,"Age, total",United Kingdom,2010,267
Men,"Age, total",United Kingdom,2011,288
Men,"Age, total",United Kingdom,2012,274
Men,"Age, total",United Kingdom,2013,277
Men,"Age, total",United Kingdom,2014,285
Men,"Age, total",United Kingdom,2015,262
Men,"Age, total",United Kingdom,2016,282
Men,"Age, total",United Kingdom,2017,260
Men,"Age, total",United Kingdom,2018,243
Men,"Age, total",United Kingdom,2019,302
Men,"Age, total",United Kingdom,2020,334
Men,"Age, total",United Kingdom,2021,356
Men,"Age, total",United Kingdom,2022,325
Men,"Age, total",United Kingdom,2023,326
Men,"Age, total",United Kingdom,2024,323
Men,"Age, total",Sweden,2008,145
Men,"Age, total",Sweden,2009,180
Men,"Age, total",Sweden,2010,189
Men,"Age, total",Sweden,2011,194
Men,"Age, total",Sweden,2012,208
Men,"Age, total",Sweden,2013,222
Men,"Age, total",Sweden,2014,195
Men,"Age, total",Sweden,2015,185
Men,"Age, total",Sweden,2016,186
Men,"Age, total",Sweden,2017,176
Men,"Age, total",Sweden,2018,179
Men,"Age, total",Sweden,2019,195
Men,"Age, total",Sweden,2020,240
Men,"Age, total",Sweden,2021,221
Men,"Age, total",Sweden,2022,225
Men,"Age, total",Sweden,2023,231
Men,"Age, total",Sweden,2024,224
Men,"Age, total",Czechoslovakia,2008,16
Men,"Age, total",Czechoslovakia,2009,19
Men,"Age, total",Czechoslovakia,2010,18
Men,"Age, total",Czechoslovakia,2011,22
Men,"Age, total",Czechoslovakia,2012,16
Men,"Age, total",Czechoslovakia,2013,28
Men,"Age, total",Czechoslovakia,2014,15
Men,"Age, total",Czechoslovakia,2015,25
Men,"Age, total",Czechoslovakia,2016,11
Men,"Age, total",Czechoslovakia,2017,12
Men,"Age, total",Czechoslovakia,2018,17
Men,"Age, total",Czechoslovakia,2019,16
Men,"Age, total",Czechoslovakia,2020,17
Men,"Age, total",Czechoslovakia,2021,12
Men,"Age, total",Czechoslovakia,2022,13
Men,"Age, total",Czechoslovakia,2023,11
Men,"Age, total",Czechoslovakia,2024,12
Men,"Age, total",Turkey,2008,2840
Men,"Age, total",Turkey,2009,3194
Men,"Age, total",Turkey,2010,3484
Men,"Age, total",Turkey,2011,3475
Men,"Age, total",Turkey,2012,3940
Men,"Age, total",Turkey,2013,3709
Men,"Age, total",Turkey,2014,3919
Men,"Age, total",Turkey,2015,3708
Men,"Age, total",Turkey,2016,3476
Men,"Age, total",Turkey,2017,3499
Men,"Age, total",Turkey,2018,3693
Men,"Age, total",Turkey,2019,3931
Men,"Age, total",Turkey,2020,4596
Men,"Age, total",Turkey,2021,4288
Men,"Age, total",Turkey,2022,3890
Men,"Age, total",Turkey,2023,3810
Men,"Age, total",Turkey,2024,3766
Men,"Age, total",Germany,2008,361
Men,"Age, total",Germany,2009,362
Men,"Age, total",Germany,2010,413
Men,"Age, total",Germany,2011,420
Men,"Age, total",Germany,2012,434
Men,"Age, total",Germany,2013,407
Men,"Age, total",Germany,2014,403
Men,"Age, total",Germany,2015,405
Men,"Age, total",Germany,2016,381
Men,"Age, total",Germany,2017,396
Men,"Age, total",Germany,2018,402
Men,"Age, total",Germany,2019,441
Men,"Age, total",Germany,2020,470
Men,"Age, total",Germany,2021,492
Men,"Age, total",Germany,2022,450
Men,"Age, total",Germany,2023,487
Men,"Age, total",Germany,2024,445
Men,"Age, total",Ukraine,2008,153
Men,"Age, total",Ukraine,2009,211
Men,"Age, total",Ukraine,2010,184
Men,"Age, total",Ukraine,2011,161
Men,"Age, total",Ukraine,2012,164
Men,"Age, total",Ukraine,2013,162
Men,"Age, total",Ukraine,2014,205
Men,"Age, total",Ukraine,2015,205
Men,"Age, total",Ukraine,2016,177
Men,"Age, total",Ukraine,2017,218
Men,"Age, total",Ukraine,2018,204
Men,"Age, total",Ukraine,2019,258
Men,"Age, total",Ukraine,2020,307
Men,"Age, total",Ukraine,2021,312
Men,"Age, total",Ukraine,2022,318
Men,"Age, total",Ukraine,2023,598
Men,"Age, total",Ukraine,2024,666
Men,"Age, total",Hungary,2008,31
Men,"Age, total",Hungary,2009,39
Men,"Age, total",Hungary,2010,48
Men,"Age, total",Hungary,2011,47
Men,"Age, total",Hungary,2012,64
Men,"Age, total",Hungary,2013,59
Men,"Age, total",Hungary,2014,68
Men,"Age, total",Hungary,2015,82
Men,"Age, total",Hungary,2016,88
Men,"Age, total",Hungary,2017,95
Men,"Age, total",Hungary,2018,97
Men,"Age, total",Hungary,2019,86
Men,"Age, total",Hungary,2020,104
Men,"Age, total",Hungary,2021,97
Men,"Age, total",Hungary,2022,110
Men,"Age, total",Hungary,2023,108
Men,"Age, total",Hungary,2024,89
Men,"Age, total",Austria,2008,19
Men,"Age, total",Austria,2009,20
Men,"Age, total",Austria,2010,30
Men,"Age, total",Austria,2011,16
Men,"Age, total",Austria,2012,22
Men,"Age, total",Austria,2013,18
Men,"Age, total",Austria,2014,30
Men,"Age, total",Austria,2015,28
Men,"Age, total",Austria,2016,24
Men,"Age, total",Austria,2017,23
Men,"Age, total",Austria,2018,19
Men,"Age, total",Austria,2019,25
Men,"Age, total",Austria,2020,24
Men,"Age, total",Austria,2021,16
Men,"Age, total",Austria,2022,28
Men,"Age, total",Austria,2023,22
Men,"Age, total",Austria,2024,26
Men,"Age, total",Algeria,2008,43
Men,"Age, total",Algeria,2009,55
Men,"Age, total",Algeria,2010,53
Men,"Age, total",Algeria,2011,65
Men,"Age, total",Algeria,2012,61
Men,"Age, total",Algeria,2013,67
Men,"Age, total",Algeria,2014,82
Men,"Age, total",Algeria,2015,74
Men,"Age, total",Algeria,2016,69
Men,"Age, total",Algeria,2017,70
Men,"Age, total",Algeria,2018,62
Men,"Age, total",Algeria,2019,81
Men,"Age, total",Algeria,2020,98
Men,"Age, total",Algeria,2021,93
Men,"Age, total",Algeria,2022,78
Men,"Age, total",Algeria,2023,97
Men,"Age, total",Algeria,2024,85
Men,"Age, total",Egypt,2008,90
Men,"Age, total",Egypt,2009,111
Men,"Age, total",Egypt,2010,113
Men,"Age, total",Egypt,2011,101
Men,"Age, total",Egypt,2012,104
Men,"Age, total",Egypt,2013,124
Men,"Age, total",Egypt,2014,130
Men,"Age, total",Egypt,2015,118
Men,"Age, total",Egypt,2016,118
Men,"Age, total",Egypt,2017,110
Men,"Age, total",Egypt,2018,116
Men,"Age, total",Egypt,2019,136
Men,"Age, total",Egypt,2020,133
Men,"Age, total",Egypt,2021,134
Men,"Age, total",Egypt,2022,145
Men,"Age, total",Egypt,2023,134
Men,"Age, total",Egypt,2024,148
Men,"Age, total",Ethiopia,2008,36
Men,"Age, total",Ethiopia,2009,40
Men,"Age, total",Ethiopia,2010,51
Men,"Age, total",Ethiopia,2011,45
Men,"Age, total",Ethiopia,2012,60
Men,"Age, total",Ethiopia,2013,54
Men,"Age, total",Ethiopia,2014,62
Men,"Age, total",Ethiopia,2015,62
Men,"Age, total",Ethiopia,2016,57
Men,"Age, total",Ethiopia,2017,82
Men,"Age, total",Ethiopia,2018,83
Men,"Age, total",Ethiopia,2019,82
Men,"Age, total",Ethiopia,2020,90
Men,"Age, total",Ethiopia,2021,94
Men,"Age, total",Ethiopia,2022,89
Men,"Age, total",Ethiopia,2023,89
Men,"Age, total",Ethiopia,2024,87
Men,"Age, total",Ghana,2008,51
Men,"Age, total",Ghana,2009,53
Men,"Age, total",Ghana,2010,54
Men,"Age, total",Ghana,2011,64
Men,"Age, total",Ghana,2012,63
Men,"Age, total",Ghana,2013,84
Men,"Age, total",Ghana,2014,75
Men,"Age, total",Ghana,2015,64
Men,"Age, total",Ghana,2016,70
Men,"Age, total",Ghana,2017,82
Men,"Age, total",Ghana,2018,72
Men,"Age, total",Ghana,2019,100
Men,"Age, total",Ghana,2020,89
Men,"Age, total",Ghana,2021,104
Men,"Age, total",Ghana,2022,128
Men,"Age, total",Ghana,2023,122
Men,"Age, total",Ghana,2024,107
Men,"Age, total",Kenya,2008,25
Men,"Age, total",Kenya,2009,27
Men,"Age, total",Kenya,2010,39
Men,"Age, total",Kenya,2011,33
Men,"Age, total",Kenya,2012,36
Men,"Age, total",Kenya,2013,32
Men,"Age, total",Kenya,2014,40
Men,"Age, total",Kenya,2015,41
Men,"Age, total",Kenya,2016,28
Men,"Age, total",Kenya,2017,34
Men,"Age, total",Kenya,2018,34
Men,"Age, total",Kenya,2019,25
Men,"Age, total",Kenya,2020,37
Men,"Age, total",Kenya,2021,35
Men,"Age, total",Kenya,2022,47
Men,"Age, total",Kenya,2023,34
Men,"Age, total",Kenya,2024,33
