OMRÅDE,KØN,ALDER,HERKOMST,TID,INDHOLD
All Denmark,Men,35 years,Immigrants from western countries,2018Q1,3112
All Denmark,Men,35 years,Immigrants from western countries,2019Q1,3312
All Denmark,Men,35 years,Immigrants from western countries,2020Q1,3317
All Denmark,Men,35 years,Immigrants from western countries,2021Q1,3433
All Denmark,Men,35 years,Immigrants from non-western countries,2010Q1,2691
All Denmark,Men,35 years,Immigrants from non-western countries,2011Q1,2633
All Denmark,Men,35 years,Immigrants from non-western countries,2012Q1,2639
All Denmark,Men,35 years,Immigrants from non-western countries,2013Q1,2788
All Denmark,Men,35 years,Immigrants from non-western countries,2014Q1,2951
All Denmark,Men,35 years,Immigrants from non-western countries,2015Q1,3164
All Denmark,Men,35 years,Immigrants from non-western countries,2016Q1,3672
All Denmark,Men,35 years,Immigrants from non-western countries,2017Q1,3858
All Denmark,Men,35 years,Immigrants from non-western countries,2018Q1,4295
All Denmark,Men,35 years,Immigrants from non-western countries,2019Q1,4328
All Denmark,Men,35 years,Immigrants from non-western countries,2020Q1,4594
All Denmark,Men,35 years,Immigrants from non-western countries,2021Q1,4617
All Denmark,Men,35 years,Descendants from western countries,2010Q1,120
All Denmark,Men,35 years,Descendants from western countries,2011Q1,94
All Denmark,Men,35 years,Descendants from western countries,2012Q1,101
All Denmark,Men,35 years,Descendants from western countries,2013Q1,97
All Denmark,Men,35 years,Descendants from western countries,2014Q1,109
All Denmark,Men,35 years,Descendants from western countries,2015Q1,114
All Denmark,Men,35 years,Descendants from western countries,2016Q1,95
All Denmark,Men,35 years,Descendants from western countries,2017Q1,96
All Denmark,Men,35 years,Descendants from western countries,2018Q1,97
All Denmark,Men,35 years,Descendants from western countries,2019Q1,81
All Denmark,Men,35 years,Descendants from western countries,2020Q1,85
All Denmark,Men,35 years,Descendants from western countries,2021Q1,73
All Denmark,Men,35 years,Descendants from non-western countries,2010Q1,296
All Denmark,Men,35 years,Descendants from non-western countries,2011Q1,327
All Denmark,Men,35 years,Descendants from non-western countries,2012Q1,361
All Denmark,Men,35 years,Descendants from non-western countries,2013Q1,393
All Denmark,Men,35 years,Descendants from non-western countries,2014Q1,451
All Denmark,Men,35 years,Descendants from non-western countries,2015Q1,554
All Denmark,Men,35 years,Descendants from non-western countries,2016Q1,570
All Denmark,Men,35 years,Descendants from non-western countries,2017Q1,592
All Denmark,Men,35 years,Descendants from non-western countries,2018Q1,524
All Denmark,Men,35 years,Descendants from non-western countries,2019Q1,530
All Denmark,Men,35 years,Descendants from non-western countries,2020Q1,567
All Denmark,Men,35 years,Descendants from non-western countries,2021Q1,647
All Denmark,Men,36 years,Persons of Danish origin,2010Q1,33885
All Denmark,Men,36 years,Persons of Danish origin,2011Q1,33472
All Denmark,Men,36 years,Persons of Danish origin,2012Q1,33968
All Denmark,Men,36 years,Persons of Danish origin,2013Q1,31215
All Denmark,Men,36 years,Persons of Danish origin,2014Q1,29345
All Denmark,Men,36 years,Persons of Danish origin,2015Q1,29381
All Denmark,Men,36 years,Persons of Danish origin,2016Q1,28019
All Denmark,Men,36 years,Persons of Danish origin,2017Q1,27059
All Denmark,Men,36 years,Persons of Danish origin,2018Q1,25093
All Denmark,Men,36 years,Persons of Danish origin,2019Q1,25175
All Denmark,Men,36 years,Persons of Danish origin,2020Q1,24253
All Denmark,Men,36 years,Persons of Danish origin,2021Q1,24748
All Denmark,Men,36 years,Immigrants from western countries,2010Q1,1578
All Denmark,Men,36 years,Immigrants from western countries,2011Q1,1631
All Denmark,Men,36 years,Immigrants from western countries,2012Q1,1671
All Denmark,Men,36 years,Immigrants from western countries,2013Q1,1786
All Denmark,Men,36 years,Immigrants from western countries,2014Q1,2030
All Denmark,Men,36 years,Immigrants from western countries,2015Q1,2181
All Denmark,Men,36 years,Immigrants from western countries,2016Q1,2612
All Denmark,Men,36 years,Immigrants from western countries,2017Q1,2752
All Denmark,Men,36 years,Immigrants from western countries,2018Q1,2987
All Denmark,Men,36 years,Immigrants from western countries,2019Q1,3237
All Denmark,Men,36 years,Immigrants from western countries,2020Q1,3245
All Denmark,Men,36 years,Immigrants from western countries,2021Q1,3317
All Denmark,Men,36 years,Immigrants from non-western countries,2010Q1,2627
All Denmark,Men,36 years,Immigrants from non-western countries,2011Q1,2754
All Denmark,Men,36 years,Immigrants from non-western countries,2012Q1,2654
All Denmark,Men,36 years,Immigrants from non-western countries,2013Q1,2673
All Denmark,Men,36 years,Immigrants from non-western countries,2014Q1,2862
All Denmark,Men,36 years,Immigrants from non-western countries,2015Q1,3112
All Denmark,Men,36 years,Immigrants from non-western countries,2016Q1,3362
All Denmark,Men,36 years,Immigrants from non-western countries,2017Q1,3784
All Denmark,Men,36 years,Immigrants from non-western countries,2018Q1,3889
All Denmark,Men,36 years,Immigrants from non-western countries,2019Q1,4329
All Denmark,Men,36 years,Immigrants from non-western countries,2020Q1,4275
All Denmark,Men,36 years,Immigrants from non-western countries,2021Q1,4606
All Denmark,Men,36 years,Descendants from western countries,2010Q1,87
All Denmark,Men,36 years,Descendants from western countries,2011Q1,118
All Denmark,Men,36 years,Descendants from western countries,2012Q1,94
All Denmark,Men,36 years,Descendants from western countries,2013Q1,105
All Denmark,Men,36 years,Descendants from western countries,2014Q1,98
All Denmark,Men,36 years,Descendants from western countries,2015Q1,111
All Denmark,Men,36 years,Descendants from western countries,2016Q1,111
All Denmark,Men,36 years,Descendants from western countries,2017Q1,91
All Denmark,Men,36 years,Descendants from western countries,2018Q1,97
All Denmark,Men,36 years,Descendants from western countries,2019Q1,95
All Denmark,Men,36 years,Descendants from western countries,2020Q1,75
All Denmark,Men,36 years,Descendants from western countries,2021Q1,80
All Denmark,Men,36 years,Descendants from non-western countries,2010Q1,230
All Denmark,Men,36 years,Descendants from non-western countries,2011Q1,295
All Denmark,Men,36 years,Descendants from non-western countries,2012Q1,329
All Denmark,Men,36 years,Descendants from non-western countries,2013Q1,363
All Denmark,Men,36 years,Descendants from non-western countries,2014Q1,393
All Denmark,Men,36 years,Descendants from non-western countries,2015Q1,452
All Denmark,Men,36 years,Descendants from non-western countries,2016Q1,556
All Denmark,Men,36 years,Descendants from non-western countries,2017Q1,574
All Denmark,Men,36 years,Descendants from non-western countries,2018Q1,591
All Denmark,Men,36 years,Descendants from non-western countries,2019Q1,519
All Denmark,Men,36 years,Descendants from non-western countries,2020Q1,531
All Denmark,Men,36 years,Descendants from non-western countries,2021Q1,564
All Denmark,Men,37 years,Persons of Danish origin,2010Q1,35593
All Denmark,Men,37 years,Persons of Danish origin,2011Q1,33861
All Denmark,Men,37 years,Persons of Danish origin,2012Q1,33437
All Denmark,Men,37 years,Persons of Danish origin,2013Q1,33905
All Denmark,Men,37 years,Persons of Danish origin,2014Q1,31141
All Denmark,Men,37 years,Persons of Danish origin,2015Q1,29317
All Denmark,Men,37 years,Persons of Danish origin,2016Q1,29341
All Denmark,Men,37 years,Persons of Danish origin,2017Q1,28031
All Denmark,Men,37 years,Persons of Danish origin,2018Q1,27027
All Denmark,Men,37 years,Persons of Danish origin,2019Q1,25063
All Denmark,Men,37 years,Persons of Danish origin,2020Q1,25151
All Denmark,Men,37 years,Persons of Danish origin,2021Q1,24253
All Denmark,Men,37 years,Immigrants from western countries,2010Q1,1539
All Denmark,Men,37 years,Immigrants from western countries,2011Q1,1598
All Denmark,Men,37 years,Immigrants from western countries,2012Q1,1672
All Denmark,Men,37 years,Immigrants from western countries,2013Q1,1712
All Denmark,Men,37 years,Immigrants from western countries,2014Q1,1896
All Denmark,Men,37 years,Immigrants from western countries,2015Q1,2176
All Denmark,Men,37 years,Immigrants from western countries,2016Q1,2324
All Denmark,Men,37 years,Immigrants from western countries,2017Q1,2701
All Denmark,Men,37 years,Immigrants from western countries,2018Q1,2814
All Denmark,Men,37 years,Immigrants from western countries,2019Q1,3067
All Denmark,Men,37 years,Immigrants from western countries,2020Q1,3213
All Denmark,Men,37 years,Immigrants from western countries,2021Q1,3241
All Denmark,Men,37 years,Immigrants from non-western countries,2010Q1,2625
All Denmark,Men,37 years,Immigrants from non-western countries,2011Q1,2644
All Denmark,Men,37 years,Immigrants from non-western countries,2012Q1,2741
All Denmark,Men,37 years,Immigrants from non-western countries,2013Q1,2680
All Denmark,Men,37 years,Immigrants from non-western countries,2014Q1,2748
All Denmark,Men,37 years,Immigrants from non-western countries,2015Q1,2996
All Denmark,Men,37 years,Immigrants from non-western countries,2016Q1,3302
All Denmark,Men,37 years,Immigrants from non-western countries,2017Q1,3467
All Denmark,Men,37 years,Immigrants from non-western countries,2018Q1,3777
All Denmark,Men,37 years,Immigrants from non-western countries,2019Q1,3867
All Denmark,Men,37 years,Immigrants from non-western countries,2020Q1,4280
All Denmark,Men,37 years,Immigrants from non-western countries,2021Q1,4314
All Denmark,Men,37 years,Descendants from western countries,2010Q1,86
All Denmark,Men,37 years,Descendants from western countries,2011Q1,90
All Denmark,Men,37 years,Descendants from western countries,2012Q1,118
All Denmark,Men,37 years,Descendants from western countries,2013Q1,94
All Denmark,Men,37 years,Descendants from western countries,2014Q1,106
All Denmark,Men,37 years,Descendants from western countries,2015Q1,97
All Denmark,Men,37 years,Descendants from western countries,2016Q1,110
All Denmark,Men,37 years,Descendants from western countries,2017Q1,108
All Denmark,Men,37 years,Descendants from western countries,2018Q1,89
All Denmark,Men,37 years,Descendants from western countries,2019Q1,93
All Denmark,Men,37 years,Descendants from western countries,2020Q1,94
All Denmark,Men,37 years,Descendants from western countries,2021Q1,74
All Denmark,Men,37 years,Descendants from non-western countries,2010Q1,121
All Denmark,Men,37 years,Descendants from non-western countries,2011Q1,225
All Denmark,Men,37 years,Descendants from non-western countries,2012Q1,293
All Denmark,Men,37 years,Descendants from non-western countries,2013Q1,326
All Denmark,Men,37 years,Descendants from non-western countries,2014Q1,363
All Denmark,Men,37 years,Descendants from non-western countries,2015Q1,393
All Denmark,Men,37 years,Descendants from non-western countries,2016Q1,451
All Denmark,Men,37 years,Descendants from non-western countries,2017Q1,553
All Denmark,Men,37 years,Descendants from non-western countries,2018Q1,574
All Denmark,Men,37 years,Descendants from non-western countries,2019Q1,590
All Denmark,Men,37 years,Descendants from non-western countries,2020Q1,517
All Denmark,Men,37 years,Descendants from non-western countries,2021Q1,533
All Denmark,Men,38 years,Persons of Danish origin,2010Q1,35787
All Denmark,Men,38 years,Persons of Danish origin,2011Q1,35565
All Denmark,Men,38 years,Persons of Danish origin,2012Q1,33794
All Denmark,Men,38 years,Persons of Danish origin,2013Q1,33384
All Denmark,Men,38 years,Persons of Danish origin,2014Q1,33871
All Denmark,Men,38 years,Persons of Danish origin,2015Q1,31134
All Denmark,Men,38 years,Persons of Danish origin,2016Q1,29280
All Denmark,Men,38 years,Persons of Danish origin,2017Q1,29306
All Denmark,Men,38 years,Persons of Danish origin,2018Q1,28028
All Denmark,Men,38 years,Persons of Danish origin,2019Q1,27000
All Denmark,Men,38 years,Persons of Danish origin,2020Q1,25061
All Denmark,Men,38 years,Persons of Danish origin,2021Q1,25149
All Denmark,Men,38 years,Immigrants from western countries,2010Q1,1539
All Denmark,Men,38 years,Immigrants from western countries,2011Q1,1576
All Denmark,Men,38 years,Immigrants from western countries,2012Q1,1641
All Denmark,Men,38 years,Immigrants from western countries,2013Q1,1735
All Denmark,Men,38 years,Immigrants from western countries,2014Q1,1788
All Denmark,Men,38 years,Immigrants from western countries,2015Q1,2028
All Denmark,Men,38 years,Immigrants from western countries,2016Q1,2321
All Denmark,Men,38 years,Immigrants from western countries,2017Q1,2444
All Denmark,Men,38 years,Immigrants from western countries,2018Q1,2725
All Denmark,Men,38 years,Immigrants from western countries,2019Q1,2919
All Denmark,Men,38 years,Immigrants from western countries,2020Q1,3053
All Denmark,Men,38 years,Immigrants from western countries,2021Q1,3192
All Denmark,Men,38 years,Immigrants from non-western countries,2010Q1,2538
All Denmark,Men,38 years,Immigrants from non-western countries,2011Q1,2665
All Denmark,Men,38 years,Immigrants from non-western countries,2012Q1,2638
All Denmark,Men,38 years,Immigrants from non-western countries,2013Q1,2760
All Denmark,Men,38 years,Immigrants from non-western countries,2014Q1,2727
All Denmark,Men,38 years,Immigrants from non-western countries,2015Q1,2876
All Denmark,Men,38 years,Immigrants from non-western countries,2016Q1,3180
All Denmark,Men,38 years,Immigrants from non-western countries,2017Q1,3396
All Denmark,Men,38 years,Immigrants from non-western countries,2018Q1,3490
All Denmark,Men,38 years,Immigrants from non-western countries,2019Q1,3837
All Denmark,Men,38 years,Immigrants from non-western countries,2020Q1,3875
All Denmark,Men,38 years,Immigrants from non-western countries,2021Q1,4277
All Denmark,Men,38 years,Descendants from western countries,2010Q1,86
All Denmark,Men,38 years,Descendants from western countries,2011Q1,87
All Denmark,Men,38 years,Descendants from western countries,2012Q1,89
All Denmark,Men,38 years,Descendants from western countries,2013Q1,120
All Denmark,Men,38 years,Descendants from western countries,2014Q1,95
All Denmark,Men,38 years,Descendants from western countries,2015Q1,107
All Denmark,Men,38 years,Descendants from western countries,2016Q1,96
All Denmark,Men,38 years,Descendants from western countries,2017Q1,109
All Denmark,Men,38 years,Descendants from western countries,2018Q1,109
All Denmark,Men,38 years,Descendants from western countries,2019Q1,84
All Denmark,Men,38 years,Descendants from western countries,2020Q1,92
All Denmark,Men,38 years,Descendants from western countries,2021Q1,92
All Denmark,Men,38 years,Descendants from non-western countries,2010Q1,74
All Denmark,Men,38 years,Descendants from non-western countries,2011Q1,117
All Denmark,Men,38 years,Descendants from non-western countries,2012Q1,224
All Denmark,Men,38 years,Descendants from non-western countries,2013Q1,289
All Denmark,Men,38 years,Descendants from non-western countries,2014Q1,324
All Denmark,Men,38 years,Descendants from non-western countries,2015Q1,364
All Denmark,Men,38 years,Descendants from non-western countries,2016Q1,396
All Denmark,Men,38 years,Descendants from non-western countries,2017Q1,449
All Denmark,Men,38 years,Descendants from non-western countries,2018Q1,557
All Denmark,Men,38 years,Descendants from non-western countries,2019Q1,578
All Denmark,Men,38 years,Descendants from non-western countries,2020Q1,592
All Denmark,Men,38 years,Descendants from non-western countries,2021Q1,517
All Denmark,Men,39 years,Persons of Danish origin,2010Q1,33523
All Denmark,Men,39 years,Persons of Danish origin,2011Q1,35739
All Denmark,Men,39 years,Persons of Danish origin,2012Q1,35469
All Denmark,Men,39 years,Persons of Danish origin,2013Q1,33746
All Denmark,Men,39 years,Persons of Danish origin,2014Q1,33355
All Denmark,Men,39 years,Persons of Danish origin,2015Q1,33827
All Denmark,Men,39 years,Persons of Danish origin,2016Q1,31127
All Denmark,Men,39 years,Persons of Danish origin,2017Q1,29256
All Denmark,Men,39 years,Persons of Danish origin,2018Q1,29281
All Denmark,Men,39 years,Persons of Danish origin,2019Q1,28012
All Denmark,Men,39 years,Persons of Danish origin,2020Q1,26988
All Denmark,Men,39 years,Persons of Danish origin,2021Q1,25063
All Denmark,Men,39 years,Immigrants from western countries,2010Q1,1611
All Denmark,Men,39 years,Immigrants from western countries,2011Q1,1601
All Denmark,Men,39 years,Immigrants from western countries,2012Q1,1587
All Denmark,Men,39 years,Immigrants from western countries,2013Q1,1692
All Denmark,Men,39 years,Immigrants from western countries,2014Q1,1809
All Denmark,Men,39 years,Immigrants from western countries,2015Q1,1901
All Denmark,Men,39 years,Immigrants from western countries,2016Q1,2165
All Denmark,Men,39 years,Immigrants from western countries,2017Q1,2373
All Denmark,Men,39 years,Immigrants from western countries,2018Q1,2531
All Denmark,Men,39 years,Immigrants from western countries,2019Q1,2851
All Denmark,Men,39 years,Immigrants from western countries,2020Q1,2881
All Denmark,Men,39 years,Immigrants from western countries,2021Q1,3021
All Denmark,Men,39 years,Immigrants from non-western countries,2010Q1,2968
All Denmark,Men,39 years,Immigrants from non-western countries,2011Q1,2557
All Denmark,Men,39 years,Immigrants from non-western countries,2012Q1,2678
All Denmark,Men,39 years,Immigrants from non-western countries,2013Q1,2631
All Denmark,Men,39 years,Immigrants from non-western countries,2014Q1,2832
All Denmark,Men,39 years,Immigrants from non-western countries,2015Q1,2861
All Denmark,Men,39 years,Immigrants from non-western countries,2016Q1,3059
All Denmark,Men,39 years,Immigrants from non-western countries,2017Q1,3225
All Denmark,Men,39 years,Immigrants from non-western countries,2018Q1,3427
All Denmark,Men,39 years,Immigrants from non-western countries,2019Q1,3547
All Denmark,Men,39 years,Immigrants from non-western countries,2020Q1,3830
All Denmark,Men,39 years,Immigrants from non-western countries,2021Q1,3832
All Denmark,Men,39 years,Descendants from western countries,2010Q1,79
All Denmark,Men,39 years,Descendants from western countries,2011Q1,85
All Denmark,Men,39 years,Descendants from western countries,2012Q1,85
All Denmark,Men,39 years,Descendants from western countries,2013Q1,87
All Denmark,Men,39 years,Descendants from western countries,2014Q1,118
All Denmark,Men,39 years,Descendants from western countries,2015Q1,91
All Denmark,Men,39 years,Descendants from western countries,2016Q1,106
All Denmark,Men,39 years,Descendants from western countries,2017Q1,90
All Denmark,Men,39 years,Descendants from western countries,2018Q1,112
All Denmark,Men,39 years,Descendants from western countries,2019Q1,105
All Denmark,Men,39 years,Descendants from western countries,2020Q1,83
All Denmark,Men,39 years,Descendants from western countries,2021Q1,92
All Denmark,Men,39 years,Descendants from non-western countries,2010Q1,33
All Denmark,Men,39 years,Descendants from non-western countries,2011Q1,75
All Denmark,Men,39 years,Descendants from non-western countries,2012Q1,117
All Denmark,Men,39 years,Descendants from non-western countries,2013Q1,227
All Denmark,Men,39 years,Descendants from non-western countries,2014Q1,288
All Denmark,Men,39 years,Descendants from non-western countries,2015Q1,323
All Denmark,Men,39 years,Descendants from non-western countries,2016Q1,363
All Denmark,Men,39 years,Descendants from non-western countries,2017Q1,397
All Denmark,Men,39 years,Descendants from non-western countries,2018Q1,449
All Denmark,Men,39 years,Descendants from non-western countries,2019Q1,555
All Denmark,Men,39 years,Descendants from non-western countries,2020Q1,577
All Denmark,Men,39 years,Descendants from non-western countries,2021Q1,585
All Denmark,Men,40 years,Persons of Danish origin,2010Q1,33720
All Denmark,Men,40 years,Persons of Danish origin,2011Q1,33464
All Denmark,Men,40 years,Persons of Danish origin,2012Q1,35645
All Denmark,Men,40 years,Persons of Danish origin,2013Q1,35426
All Denmark,Men,40 years,Persons of Danish origin,2014Q1,33691
All Denmark,Men,40 years,Persons of Danish origin,2015Q1,33301
All Denmark,Men,40 years,Persons of Danish origin,2016Q1,33801
All Denmark,Men,40 years,Persons of Danish origin,2017Q1,31118
All Denmark,Men,40 years,Persons of Danish origin,2018Q1,29244
All Denmark,Men,40 years,Persons of Danish origin,2019Q1,29265
All Denmark,Men,40 years,Persons of Danish origin,2020Q1,27963
All Denmark,Men,40 years,Persons of Danish origin,2021Q1,26981
All Denmark,Men,40 years,Immigrants from western countries,2010Q1,1501
All Denmark,Men,40 years,Immigrants from western countries,2011Q1,1619
All Denmark,Men,40 years,Immigrants from western countries,2012Q1,1568
All Denmark,Men,40 years,Immigrants from western countries,2013Q1,1619
All Denmark,Men,40 years,Immigrants from western countries,2014Q1,1755
All Denmark,Men,40 years,Immigrants from western countries,2015Q1,1932
All Denmark,Men,40 years,Immigrants from western countries,2016Q1,2035
All Denmark,Men,40 years,Immigrants from western countries,2017Q1,2221
All Denmark,Men,40 years,Immigrants from western countries,2018Q1,2412
All Denmark,Men,40 years,Immigrants from western countries,2019Q1,2561
All Denmark,Men,40 years,Immigrants from western countries,2020Q1,2820
All Denmark,Men,40 years,Immigrants from western countries,2021Q1,2880
All Denmark,Men,40 years,Immigrants from non-western countries,2010Q1,3017
All Denmark,Men,40 years,Immigrants from non-western countries,2011Q1,2970
All Denmark,Men,40 years,Immigrants from non-western countries,2012Q1,2560
All Denmark,Men,40 years,Immigrants from non-western countries,2013Q1,2683
All Denmark,Men,40 years,Immigrants from non-western countries,2014Q1,2692
All Denmark,Men,40 years,Immigrants from non-western countries,2015Q1,2913
All Denmark,Men,40 years,Immigrants from non-western countries,2016Q1,2993
All Denmark,Men,40 years,Immigrants from non-western countries,2017Q1,3110
All Denmark,Men,40 years,Immigrants from non-western countries,2018Q1,3248
All Denmark,Men,40 years,Immigrants from non-western countries,2019Q1,3440
All Denmark,Men,40 years,Immigrants from non-western countries,2020Q1,3532
All Denmark,Men,40 years,Immigrants from non-western countries,2021Q1,3793
All Denmark,Men,40 years,Descendants from western countries,2010Q1,67
All Denmark,Men,40 years,Descendants from western countries,2011Q1,76
All Denmark,Men,40 years,Descendants from western countries,2012Q1,84
All Denmark,Men,40 years,Descendants from western countries,2013Q1,82
All Denmark,Men,40 years,Descendants from western countries,2014Q1,90
All Denmark,Men,40 years,Descendants from western countries,2015Q1,117
All Denmark,Men,40 years,Descendants from western countries,2016Q1,91
All Denmark,Men,40 years,Descendants from western countries,2017Q1,105
All Denmark,Men,40 years,Descendants from western countries,2018Q1,94
All Denmark,Men,40 years,Descendants from western countries,2019Q1,111
All Denmark,Men,40 years,Descendants from western countries,2020Q1,103
All Denmark,Men,40 years,Descendants from western countries,2021Q1,83
All Denmark,Men,40 years,Descendants from non-western countries,2010Q1,21
All Denmark,Men,40 years,Descendants from non-western countries,2011Q1,31
All Denmark,Men,40 years,Descendants from non-western countries,2012Q1,74
All Denmark,Men,40 years,Descendants from non-western countries,2013Q1,115
All Denmark,Men,40 years,Descendants from non-western countries,2014Q1,226
All Denmark,Men,40 years,Descendants from non-western countries,2015Q1,293
All Denmark,Men,40 years,Descendants from non-western countries,2016Q1,322
All Denmark,Men,40 years,Descendants from non-western countries,2017Q1,366
All Denmark,Men,40 years,Descendants from non-western countries,2018Q1,397
All Denmark,Men,40 years,Descendants from non-western countries,2019Q1,448
All Denmark,Men,40 years,Descendants from non-western countries,2020Q1,556
All Denmark,Men,40 years,Descendants from non-western countries,2021Q1,575
All Denmark,Men,41 years,Persons of Danish origin,2010Q1,35149
All Denmark,Men,41 years,Persons of Danish origin,2011Q1,33682
All Denmark,Men,41 years,Persons of Danish origin,2012Q1,33418
All Denmark,Men,41 years,Persons of Danish origin,2013Q1,35592
All Denmark,Men,41 years,Persons of Danish origin,2014Q1,35345
All Denmark,Men,41 years,Persons of Danish origin,2015Q1,33622
All Denmark,Men,41 years,Persons of Danish origin,2016Q1,33262
All Denmark,Men,41 years,Persons of Danish origin,2017Q1,33773
All Denmark,Men,41 years,Persons of Danish origin,2018Q1,31105
All Denmark,Men,41 years,Persons of Danish origin,2019Q1,29222
All Denmark,Men,41 years,Persons of Danish origin,2020Q1,29246
All Denmark,Men,41 years,Persons of Danish origin,2021Q1,27971
All Denmark,Men,41 years,Immigrants from western countries,2010Q1,1509
All Denmark,Men,41 years,Immigrants from western countries,2011Q1,1499
All Denmark,Men,41 years,Immigrants from western countries,2012Q1,1646
All Denmark,Men,41 years,Immigrants from western countries,2013Q1,1601
All Denmark,Men,41 years,Immigrants from western countries,2014Q1,1699
All Denmark,Men,41 years,Immigrants from western countries,2015Q1,1823
All Denmark,Men,41 years,Immigrants from western countries,2016Q1,2035
All Denmark,Men,41 years,Immigrants from western countries,2017Q1,2121
All Denmark,Men,41 years,Immigrants from western countries,2018Q1,2273
All Denmark,Men,41 years,Immigrants from western countries,2019Q1,2512
All Denmark,Men,41 years,Immigrants from western countries,2020Q1,2552
All Denmark,Men,41 years,Immigrants from western countries,2021Q1,2815
All Denmark,Men,41 years,Immigrants from non-western countries,2010Q1,3048
All Denmark,Men,41 years,Immigrants from non-western countries,2011Q1,3042
All Denmark,Men,41 years,Immigrants from non-western countries,2012Q1,2975
All Denmark,Men,41 years,Immigrants from non-western countries,2013Q1,2562
All Denmark,Men,41 years,Immigrants from non-western countries,2014Q1,2731
All Denmark,Men,41 years,Immigrants from non-western countries,2015Q1,2803
All Denmark,Men,41 years,Immigrants from non-western countries,2016Q1,3066
All Denmark,Men,41 years,Immigrants from non-western countries,2017Q1,3052
All Denmark,Men,41 years,Immigrants from non-western countries,2018Q1,3136
All Denmark,Men,41 years,Immigrants from non-western countries,2019Q1,3242
All Denmark,Men,41 years,Immigrants from non-western countries,2020Q1,3393
All Denmark,Men,41 years,Immigrants from non-western countries,2021Q1,3504
All Denmark,Men,41 years,Descendants from western countries,2010Q1,72
All Denmark,Men,41 years,Descendants from western countries,2011Q1,70
All Denmark,Men,41 years,Descendants from western countries,2012Q1,73
All Denmark,Men,41 years,Descendants from western countries,2013Q1,85
All Denmark,Men,41 years,Descendants from western countries,2014Q1,79
All Denmark,Men,41 years,Descendants from western countries,2015Q1,88
All Denmark,Men,41 years,Descendants from western countries,2016Q1,117
All Denmark,Men,41 years,Descendants from western countries,2017Q1,93
All Denmark,Men,41 years,Descendants from western countries,2018Q1,104
All Denmark,Men,41 years,Descendants from western countries,2019Q1,92
All Denmark,Men,41 years,Descendants from western countries,2020Q1,111
All Denmark,Men,41 years,Descendants from western countries,2021Q1,103
All Denmark,Men,41 years,Descendants from non-western countries,2010Q1,12
All Denmark,Men,41 years,Descendants from non-western countries,2011Q1,22
All Denmark,Men,41 years,Descendants from non-western countries,2012Q1,31
All Denmark,Men,41 years,Descendants from non-western countries,2013Q1,76
All Denmark,Men,41 years,Descendants from non-western countries,2014Q1,117
All Denmark,Men,41 years,Descendants from non-western countries,2015Q1,229
All Denmark,Men,41 years,Descendants from non-western countries,2016Q1,294
All Denmark,Men,41 years,Descendants from non-western countries,2017Q1,319
All Denmark,Men,41 years,Descendants from non-western countries,2018Q1,364
All Denmark,Men,41 years,Descendants from non-western countries,2019Q1,399
All Denmark,Men,41 years,Descendants from non-western countries,2020Q1,451
All Denmark,Men,41 years,Descendants from non-western countries,2021Q1,556
All Denmark,Men,42 years,Persons of Danish origin,2010Q1,37852
All Denmark,Men,42 years,Persons of Danish origin,2011Q1,35087
All Denmark,Men,42 years,Persons of Danish origin,2012Q1,33592
All Denmark,Men,42 years,Persons of Danish origin,2013Q1,33362
All Denmark,Men,42 years,Persons of Danish origin,2014Q1,35511
All Denmark,Men,42 years,Persons of Danish origin,2015Q1,35335
All Denmark,Men,42 years,Persons of Danish origin,2016Q1,33578
All Denmark,Men,42 years,Persons of Danish origin,2017Q1,33239
All Denmark,Men,42 years,Persons of Danish origin,2018Q1,33752
All Denmark,Men,42 years,Persons of Danish origin,2019Q1,31049
All Denmark,Men,42 years,Persons of Danish origin,2020Q1,29184
All Denmark,Men,42 years,Persons of Danish origin,2021Q1,29235
All Denmark,Men,42 years,Immigrants from western countries,2010Q1,1572
All Denmark,Men,42 years,Immigrants from western countries,2011Q1,1533
All Denmark,Men,42 years,Immigrants from western countries,2012Q1,1496
All Denmark,Men,42 years,Immigrants from western countries,2013Q1,1731
All Denmark,Men,42 years,Immigrants from western countries,2014Q1,1676
All Denmark,Men,42 years,Immigrants from western countries,2015Q1,1823
All Denmark,Men,42 years,Immigrants from western countries,2016Q1,1928
All Denmark,Men,42 years,Immigrants from western countries,2017Q1,2130
All Denmark,Men,42 years,Immigrants from western countries,2018Q1,2212
All Denmark,Men,42 years,Immigrants from western countries,2019Q1,2356
All Denmark,Men,42 years,Immigrants from western countries,2020Q1,2517
All Denmark,Men,42 years,Immigrants from western countries,2021Q1,2545
All Denmark,Men,42 years,Immigrants from non-western countries,2010Q1,2960
All Denmark,Men,42 years,Immigrants from non-western countries,2011Q1,3052
All Denmark,Men,42 years,Immigrants from non-western countries,2012Q1,3012
All Denmark,Men,42 years,Immigrants from non-western countries,2013Q1,2975
All Denmark,Men,42 years,Immigrants from non-western countries,2014Q1,2583
All Denmark,Men,42 years,Immigrants from non-western countries,2015Q1,2815
All Denmark,Men,42 years,Immigrants from non-western countries,2016Q1,2905
All Denmark,Men,42 years,Immigrants from non-western countries,2017Q1,3129
All Denmark,Men,42 years,Immigrants from non-western countries,2018Q1,3054
All Denmark,Men,42 years,Immigrants from non-western countries,2019Q1,3124
All Denmark,Men,42 years,Immigrants from non-western countries,2020Q1,3253
