cbsa,cbsa_title,year,2554_nc_pop,2554_nc_emp,2554_nc_lf,2554_nc_ssi,2554_nc_pa,2554_nc_snap,mx_pre2000_n,mx_pre2000_emp,mx_pre2000_wagesum,mx_pre2000_ftfy_n,mx_pre2000_ftfy_wagesum,mx_pre2000_nc_n,mx_pre2000_nc_wagesum,mx_post2000_n,mx_post2000_emp,mx_post2000_wagesum,mx_post2000_ftfy_n,mx_post2000_ftfy_wagesum,mx_post2000_nc_n,mx_post2000_nc_wagesum,nat_epop,nat_lfp,nat_ssi,nat_pa,nat_snap,mx_pre_ftfy_wage,mx_pre_wage_pp,mx_pre_nc_wage_pp,mx_pre_n,mx_pre_epop,mx_post_ftfy_wage,mx_post_wage_pp,mx_post_nc_wage_pp,mx_post_n,mx_post_epop,nat_pop
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2024,596304.1594,494255.0827,516582.6714,18565.5949,25514.8582,78773.999,14422.9918,12885.9918,539952886.74,9027.6387,432004355.6,12798.326,518978593.14,20824.88,17293.2651,819223567.44,14032.3733,694674691.84,15246.3591,546764243.44,82.88640535348914,86.63073420782179,3.1134438033571095,4.278832840219159,13.210372216632235,47853.52736812563,37436.95442855344,40550.50583490372,14422.9918,89.3434037728566,49505.146206451056,39338.693305315566,35861.95496602202,20824.88,83.04136734521398,596304.1594
33540,"Missoula, MT",2005,29073.313599999998,23608.3042,24640.1838,371.25079999999997,376.8972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.20266071081764,84.7518935715673,1.2769469799961157,1.2963682268401633,0.0,,,,0.0,,,,,0.0,,29073.313599999998
33540,"Missoula, MT",2008,28628.6596,20223.9932,21481.023,1421.4812,590.7546,5310.4392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.6424732508259,75.03328238252553,4.96523840047335,2.0635077165820226,18.54938119422119,,,,0.0,,,,,0.0,,28628.6596
33540,"Missoula, MT",2021,24467.3985,17214.8343,18235.1313,418.2654,642.0543,3510.7236,45.096,45.096,3156720.0,0.0,0.0,45.096,3156720.0,100.9023,100.9023,6054138.0,100.9023,6054138.0,100.9023,6054138.0,70.35825365741275,74.52828015205623,1.7094804745997005,2.6241216449717775,14.348577352839534,,70000.0,70000.0,45.096,100.0,60000.0,60000.0,60000.0,100.9023,100.0,24467.3985
33540,"Missoula, MT",2024,23919.168,18292.8,18946.368000000002,1002.3744,472.416,3495.8784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.47757647757648,79.20997920997921,4.190674190674191,1.9750519750519748,14.615384615384615,,,,0.0,,,,,0.0,,23919.168
33660,"Mobile, AL",2005,125020.0,89542.0,95095.0,5455.0,2039.0,0.0,226.0,0.0,4339200.0,0.0,0.0,226.0,4339200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.6221404575268,76.06382978723404,4.363301871700528,1.6309390497520397,0.0,,19200.0,19200.0,226.0,0.0,,,,0.0,,125020.0
33660,"Mobile, AL",2008,125270.0,92532.0,100215.0,3726.0,1195.0,21334.0,60.0,60.0,1020000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.86604933343978,79.99920172427557,2.9743753492456295,0.9539394907000878,17.030414305100983,,17000.0,,60.0,100.0,,,,0.0,,125270.0
33660,"Mobile, AL",2021,108083.0,78445.0,84363.0,3488.0,1247.0,29075.0,944.0,705.0,19228000.0,643.0,16128000.0,944.0,19228000.0,600.0,109.0,3488000.0,109.0,3488000.0,533.0,3488000.0,72.57848135229408,78.05390301897616,3.2271495054726462,1.1537429568017172,26.900622669615018,25082.426127527215,20368.64406779661,20368.64406779661,944.0,74.6822033898305,32000.0,5813.333333333333,6544.090056285178,600.0,18.166666666666668,108083.0
33660,"Mobile, AL",2024,101478.0,73480.0,77851.0,5204.0,860.0,24566.0,116.0,116.0,0.0,116.0,0.0,116.0,0.0,333.0,333.0,2235000.0,0.0,0.0,333.0,2235000.0,72.40978340132837,76.71712095232465,5.128205128205129,0.847474329411301,24.20820276316049,0.0,0.0,0.0,116.0,100.0,,6711.711711711711,6711.711711711711,333.0,100.0,101478.0
33700,"Modesto, CA",2005,121260.0,86658.0,95063.0,6374.0,3344.0,0.0,31961.0,20356.0,582359900.0,0.0,0.0,30987.0,567082900.0,8607.0,4252.0,106339560.0,117.0,44460.0,7943.0,97484560.0,71.46462147451757,78.39600857661223,5.256473692891308,2.7577107042718128,0.0,,18220.9536622759,18300.67124923355,31961.0,63.69012233659773,380.0,12355.008713837575,12273.015233538965,8607.0,49.40164981991402,121260.0
33700,"Modesto, CA",2008,123101.0,86823.0,96745.0,5052.0,5098.0,13403.0,37363.0,25485.0,755481710.0,17911.0,619615400.0,35648.0,697997410.0,4859.0,2577.0,64293700.0,1518.0,41850400.0,4859.0,64293700.0,70.5298900902511,78.58993834331159,4.103947165335781,4.141314855281435,10.887807572643602,34594.12651443247,20220.049514225302,19580.268458258528,37363.0,68.2091909107941,27569.43346508564,13231.878987445976,13231.878987445976,4859.0,53.0356040337518,123101.0
33700,"Modesto, CA",2021,112513.0,80384.0,90020.0,3703.0,3181.0,21509.0,24778.0,16886.0,703761000.0,12400.0,552597300.0,23414.0,661311400.0,22372.0,16200.0,577714240.0,9624.0,414679600.0,20708.0,491275240.0,71.4441886715313,80.00853234737319,3.291175241972039,2.8272288535547005,19.116902046874582,44564.29838709677,28402.65558156429,28244.27265738447,24778.0,68.14916458148357,43088.0714879468,25823.093152154477,23723.934711222715,22372.0,72.41194350080458,112513.0
33700,"Modesto, CA",2024,112234.0,81847.0,88458.0,4952.0,4837.0,28225.0,22923.0,15753.0,866393700.0,13075.0,791147300.0,21561.0,785803700.0,20756.0,14299.0,649054700.0,10341.0,520405000.0,19797.0,623053700.0,72.92531674893526,78.81568865049806,4.412210203681594,4.309745709856193,25.14835076714721,60508.397705544936,37795.82515377568,36445.605491396505,22923.0,68.72137154822667,50324.436708248715,31270.702447485066,31472.127089963127,20756.0,68.89092310657159,112234.0
33740,"Monroe, LA",2005,52270.5316,38048.8211,41382.8067,1466.9966,533.4799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.79210663317609,79.17043395824197,2.8065461649140757,1.0206131134889778,0.0,,,,0.0,,,,,0.0,,52270.5316
33740,"Monroe, LA",2008,49792.747,35459.7285,38136.4446,1381.2759,427.1941,11635.6155,218.2034,218.2034,3407143.4,218.2034,3407143.4,218.2034,3407143.4,21.5605,21.5605,0.0,21.5605,0.0,21.5605,0.0,71.21464598046778,76.59036084110805,2.7740504053732966,0.8579444311437566,23.368093148184816,15614.52937946888,15614.52937946888,15614.52937946888,218.2034,100.0,0.0,0.0,0.0,21.5605,100.0,49792.747
33740,"Monroe, LA",2021,46034.0914,29770.645,33536.4452,2752.2127,2131.1571,14422.0366,0.8778000000000001,0.8778000000000001,26334.000000000004,0.8778000000000001,26334.000000000004,0.8778000000000001,26334.000000000004,2.4871000000000003,1.6093000000000002,48864.200000000004,1.6093000000000002,48864.200000000004,2.4871000000000003,48864.200000000004,64.67086477566494,72.85132426877877,5.978640212718525,4.62951920019866,31.329034985580275,30000.0,30000.0,30000.0,0.8778000000000001,100.0,30363.636363636364,19647.058823529413,19647.058823529413,2.4871000000000003,64.70588235294117,46034.0914
33740,"Monroe, LA",2024,43023.144,30941.516,33319.26,2701.74,165.224,11848.564,151.328,148.368,16317754.0,113.588,15585672.0,42.327999999999996,948754.0,207.764,105.764,1666232.0,6.808,272320.0,207.764,1666232.0,71.91830518011422,77.44496775967838,6.279736320525529,0.38403516023840556,27.539977087680995,137212.31115962955,107830.36847113555,22414.335664335667,151.328,98.04398392894903,40000.0,8019.830191948557,8019.830191948557,207.764,50.905835467164664,43023.144
33780,"Monroe, MI",2005,51560.0,38700.0,41521.0,442.0,535.0,388.0,209.0,209.0,5880000.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.05818463925523,80.52948021722266,0.8572536850271528,1.0376260667183863,0.752521334367727,,28133.97129186603,0.0,209.0,100.0,,,,0.0,,51560.0
33780,"Monroe, MI",2008,56559.0,42753.0,48151.0,922.0,1187.0,8243.0,108.0,108.0,2073600.0,108.0,2073600.0,108.0,2073600.0,175.0,175.0,2782500.0,0.0,0.0,175.0,2782500.0,75.59009176258421,85.13410774589367,1.6301561201577115,2.098693399812585,14.574161495075938,19200.0,19200.0,19200.0,108.0,100.0,,15900.0,15900.0,175.0,100.0,56559.0
33780,"Monroe, MI",2021,43259.0,30998.0,33303.0,654.0,1128.0,9232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,100.0,2600000.0,0.0,0.0,192.0,2600000.0,71.656765066229,76.98513604105504,1.5118241290829655,2.607549874014656,21.341223791580944,,,,0.0,,,13541.666666666666,13541.666666666666,192.0,52.083333333333336,43259.0
33780,"Monroe, MI",2024,39257.0,31774.0,32635.0,1358.0,736.0,6417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080.0,643.0,57170000.0,643.0,57170000.0,338.0,0.0,80.93843136255954,83.13167078482819,3.4592556741472857,1.8748248719973508,16.3461293527269,,,,0.0,,88911.3530326594,52935.18518518518,0.0,1080.0,59.53703703703704,39257.0
