design,window,outcome,treat,geo,natl_shift,estimator,n,coef,se,lo,hi,first_stage_F
1,2000-2007,pa_rate,Mexico-born,published-ACS,2561050.0,IV,42,-0.29603936916065354,0.30565768494715173,-0.8951174232549616,0.3030386849336545,14.36826674959167
1,2000-2007,pa_rate,Mexico-born,published-ACS,2561050.0,Z-ON-BASELINE-LEVEL (exogeneity test),42,-0.0027300358940179903,0.2254855317219836,-0.4446735571039697,0.43921348531593374,14.36826674959167
1-levelctl,2000-2007,pa_rate,Mexico-born,published-ACS,2561050.0,OLS+ctl,42,-0.16517439689676466,0.10915677843192848,-0.37911775129176306,0.048768957498233706,
1-levelctl,2000-2007,pa_rate,Mexico-born,published-ACS,2561050.0,first-stage,42,0.3717930712593507,0.10177849612631217,0.17231088445112944,0.571275258067572,13.344138012816446
1-levelctl,2000-2007,pa_rate,Mexico-born,published-ACS,2561050.0,reduced-form+ctl,42,-0.11136776009928999,0.06521480729928793,-0.23918643366461417,0.01645091346603418,13.344138012816446
1-levelctl,2000-2007,pa_rate,Mexico-born,published-ACS,2561050.0,IV+ctl,42,-0.29954232262064817,0.18863504248607907,-0.6692602121155461,0.07017556687424975,13.344138012816446
1,2000-2008,ssi_rate,all foreign-born,published-ACS,6853046.0,OLS,333,0.0023371569455458013,0.03446767550293867,-0.06521824567102749,0.0698925595621191,
1,2000-2008,ssi_rate,all foreign-born,published-ACS,6853046.0,first-stage,333,0.1460166535861359,0.03617803561925442,0.07510900674099001,0.2169243004312818,16.289764960460424
1,2000-2008,ssi_rate,all foreign-born,published-ACS,6853046.0,reduced-form,333,-0.05275834545499271,0.019888247061044428,-0.09173859341027436,-0.013778097499711053,16.289764960460424
1,2000-2008,ssi_rate,all foreign-born,published-ACS,6853046.0,IV,333,-0.36131731661601485,0.1586100160161334,-0.6721872355949574,-0.05044739763707223,16.289764960460424
1,2000-2008,ssi_rate,all foreign-born,published-ACS,6853046.0,Z-ON-BASELINE-LEVEL (exogeneity test),333,0.1696488690496091,0.04468615233685139,0.08206561986171002,0.2572321182375082,16.289764960460424
1-levelctl,2000-2008,ssi_rate,all foreign-born,published-ACS,6853046.0,OLS+ctl,333,-0.06461003312038918,0.02810586589757555,-0.11969651803394978,-0.009523548206828589,
1-levelctl,2000-2008,ssi_rate,all foreign-born,published-ACS,6853046.0,first-stage,333,0.21212170306516762,0.04055256479024932,0.13264013659555185,0.2916032695347834,27.36110022310697
1-levelctl,2000-2008,ssi_rate,all foreign-born,published-ACS,6853046.0,reduced-form+ctl,333,-0.021569260012680943,0.015186539269553151,-0.05133433003080834,0.008195810005446454,27.36110022310697
1-levelctl,2000-2008,ssi_rate,all foreign-born,published-ACS,6853046.0,IV+ctl,333,-0.10168341900429922,0.07105027433204072,-0.2409393977867897,0.03757255977819124,27.36110022310697
1,2000-2008,pa_rate,all foreign-born,published-ACS,6853046.0,OLS,333,0.04454694014431289,0.07843459468457614,-0.10918204057945312,0.19827592086807888,
1,2000-2008,pa_rate,all foreign-born,published-ACS,6853046.0,first-stage,333,0.1460166535861359,0.03617803561925442,0.07510900674099001,0.2169243004312818,16.289764960460424
1,2000-2008,pa_rate,all foreign-born,published-ACS,6853046.0,reduced-form,333,-0.220621564765961,0.03703837285388613,-0.29321544160554386,-0.14802768792637816,16.289764960460424
1,2000-2008,pa_rate,all foreign-born,published-ACS,6853046.0,IV,333,-1.5109342622745139,0.48899678931036933,-2.4693503578785587,-0.5525181666704692,16.289764960460424
1,2000-2008,pa_rate,all foreign-born,published-ACS,6853046.0,Z-ON-BASELINE-LEVEL (exogeneity test),333,0.25872807509399326,0.06542278176501218,0.1305017790661456,0.38695437112184095,16.289764960460424
1-levelctl,2000-2008,pa_rate,all foreign-born,published-ACS,6853046.0,OLS+ctl,333,-0.08478178537103397,0.054060258843030014,-0.19073794569828578,0.021174374956217837,
1-levelctl,2000-2008,pa_rate,all foreign-born,published-ACS,6853046.0,first-stage,333,0.24111888105190438,0.0538649066956899,0.13554560389774178,0.34669215820606697,20.03782665861712
1-levelctl,2000-2008,pa_rate,all foreign-born,published-ACS,6853046.0,reduced-form+ctl,333,-0.13354746777113627,0.03457846815029026,-0.20132001998627053,-0.06577491555600201,20.03782665861712
1-levelctl,2000-2008,pa_rate,all foreign-born,published-ACS,6853046.0,IV+ctl,333,-0.5538656582534021,0.2260480185214217,-0.9969116333320317,-0.11081968317477242,20.03782665861712
1,2000-2008,ssi_rate,Mexico-born,published-ACS,2235181.0,OLS,42,0.07512650310602603,0.13873570762686854,-0.19679048721231518,0.34704349342436724,
1,2000-2008,ssi_rate,Mexico-born,published-ACS,2235181.0,first-stage,42,0.20913422783166286,0.09933448893626584,0.014442207093889353,0.4038262485694364,4.432513948280958
1,2000-2008,ssi_rate,Mexico-born,published-ACS,2235181.0,reduced-form,42,0.006185059339106631,0.06596271256475575,-0.12309948161038234,0.1354696002885956,4.432513948280958
1,2000-2008,ssi_rate,Mexico-born,published-ACS,2235181.0,IV,42,0.029574591415446605,0.3083684219695269,-0.574816409614276,0.6339655924451693,4.432513948280958
1,2000-2008,ssi_rate,Mexico-born,published-ACS,2235181.0,Z-ON-BASELINE-LEVEL (exogeneity test),42,-0.04398779680756121,0.2029104637657172,-0.44168499787468657,0.35370940425956415,4.432513948280958
1-levelctl,2000-2008,ssi_rate,Mexico-born,published-ACS,2235181.0,OLS+ctl,42,-0.03374170293527509,0.09170689338946754,-0.21348391111268583,0.14600050524213565,
1-levelctl,2000-2008,ssi_rate,Mexico-born,published-ACS,2235181.0,first-stage,42,0.20533657807378586,0.10445477337216215,0.0006089842510546006,0.4100641718965171,3.86434647603796
1-levelctl,2000-2008,ssi_rate,Mexico-born,published-ACS,2235181.0,reduced-form+ctl,42,-0.0031393149189599123,0.04872032848390842,-0.09862940406238135,0.09235077422446153,3.86434647603796
1-levelctl,2000-2008,ssi_rate,Mexico-born,published-ACS,2235181.0,IV+ctl,42,-0.01528862976294576,0.2292268401043922,-0.46456498065747615,0.4339877211315846,3.86434647603796
1,2000-2008,pa_rate,Mexico-born,published-ACS,2235181.0,OLS,42,0.0383693213795443,0.2938313208815609,-0.537529485078147,0.6142681278372356,
1,2000-2008,pa_rate,Mexico-born,published-ACS,2235181.0,first-stage,42,0.20913422783166286,0.09933448893626584,0.014442207093889353,0.4038262485694364,4.432513948280958
1,2000-2008,pa_rate,Mexico-born,published-ACS,2235181.0,reduced-form,42,-0.10169487853724887,0.12577042467088737,-0.34820038121249597,0.14481062413799825,4.432513948280958
1,2000-2008,pa_rate,Mexico-born,published-ACS,2235181.0,IV,42,-0.486266067451691,0.6072860476303222,-1.6765248491207985,0.7039927142174165,4.432513948280958
1,2000-2008,pa_rate,Mexico-born,published-ACS,2235181.0,Z-ON-BASELINE-LEVEL (exogeneity test),42,-0.0017560195161450687,0.24900964243954263,-0.4898059505008452,0.48629391146855505,4.432513948280958
1-levelctl,2000-2008,pa_rate,Mexico-born,published-ACS,2235181.0,OLS+ctl,42,0.0005308127998265855,0.2204135277511926,-0.43147176329793063,0.4325333888975838,
1-levelctl,2000-2008,pa_rate,Mexico-born,published-ACS,2235181.0,first-stage,42,0.20910858483386924,0.10166701621458012,0.009844894637642515,0.408372275030096,4.230420813455881
1-levelctl,2000-2008,pa_rate,Mexico-born,published-ACS,2235181.0,reduced-form+ctl,42,-0.10242256447883119,0.08637823438189163,-0.2717207929154982,0.06687566395783581,4.230420813455881
1-levelctl,2000-2008,pa_rate,Mexico-born,published-ACS,2235181.0,IV+ctl,42,-0.4898056412184264,0.4948021661810226,-1.4596000664056334,0.47998878396878053,4.230420813455881
1,2000-2010,ssi_rate,all foreign-born,published-ACS,8847965.0,OLS,334,-0.1436947563378436,0.03245827708228572,-0.20731181041934543,-0.08007770225634175,
1,2000-2010,ssi_rate,all foreign-born,published-ACS,8847965.0,first-stage,334,0.15296841468112732,0.028361494765078696,0.0973809063938518,0.20855592296840283,29.090105698792776
1,2000-2010,ssi_rate,all foreign-born,published-ACS,8847965.0,reduced-form,334,-0.06768231959735037,0.012775718747436228,-0.09272226821893854,-0.04264237097576219,29.090105698792776
1,2000-2010,ssi_rate,all foreign-born,published-ACS,8847965.0,IV,334,-0.4424594432676745,0.09811200833114114,-0.6347554460476048,-0.25016344048774414,29.090105698792776
1,2000-2010,ssi_rate,all foreign-born,published-ACS,8847965.0,Z-ON-BASELINE-LEVEL (exogeneity test),334,0.13201828296206486,0.03467589113072818,0.06405478521400573,0.19998178071012399,29.090105698792776
1-levelctl,2000-2010,ssi_rate,all foreign-born,published-ACS,8847965.0,OLS+ctl,334,-0.13885821116399477,0.03608220628102939,-0.2095780359575573,-0.06813838637043224,
1-levelctl,2000-2010,ssi_rate,all foreign-born,published-ACS,8847965.0,first-stage,334,0.19616296532773203,0.030717942852523036,0.1359569036576273,0.25636902699783676,40.7802402228083
1-levelctl,2000-2010,ssi_rate,all foreign-born,published-ACS,8847965.0,reduced-form+ctl,334,-0.08320915298340543,0.01504399241655072,-0.11269483630353855,-0.05372346966327233,40.7802402228083
1-levelctl,2000-2010,ssi_rate,all foreign-born,published-ACS,8847965.0,IV+ctl,334,-0.4241838047481954,0.08746265136957894,-0.595607451424953,-0.2527601580714378,40.7802402228083
1,2000-2010,pa_rate,all foreign-born,published-ACS,8847965.0,OLS,334,0.022129191729711718,0.09124528298558032,-0.15670827668119108,0.20096666014061454,
1,2000-2010,pa_rate,all foreign-born,published-ACS,8847965.0,first-stage,334,0.15296841468112732,0.028361494765078696,0.0973809063938518,0.20855592296840283,29.090105698792776
1,2000-2010,pa_rate,all foreign-born,published-ACS,8847965.0,reduced-form,334,-0.15088097347245927,0.03317302641270432,-0.21589891049955567,-0.08586303644536285,29.090105698792776
1,2000-2010,pa_rate,all foreign-born,published-ACS,8847965.0,IV,334,-0.9863537762810726,0.2754291644207059,-1.5261850188376171,-0.4465225337245281,29.090105698792776
1,2000-2010,pa_rate,all foreign-born,published-ACS,8847965.0,Z-ON-BASELINE-LEVEL (exogeneity test),334,0.2009551202370617,0.05074218744362391,0.10150226035077828,0.30040798012334513,29.090105698792776
1-levelctl,2000-2010,pa_rate,all foreign-born,published-ACS,8847965.0,OLS+ctl,334,-0.05486540737901588,0.06763948551848062,-0.18743636292805643,0.07770554817002467,
1-levelctl,2000-2010,pa_rate,all foreign-born,published-ACS,8847965.0,first-stage,334,0.22619191561808766,0.03180258754341243,0.16385998941781713,0.28852384181835816,50.58587234339728
1-levelctl,2000-2010,pa_rate,all foreign-born,published-ACS,8847965.0,reduced-form+ctl,334,-0.07872089368092743,0.02971178301724704,-0.13695491831120044,-0.02048686905065441,50.58587234339728
1-levelctl,2000-2010,pa_rate,all foreign-born,published-ACS,8847965.0,IV+ctl,334,-0.3480269993992331,0.1255691384304739,-0.5941379882926864,-0.10191601050577984,50.58587234339728
1,2000-2010,ssi_rate,Mexico-born,published-ACS,2533616.0,OLS,25,0.06801464975469099,0.08091173243935525,-0.09056943175318646,0.22659873126256844,
1,2000-2010,ssi_rate,Mexico-born,published-ACS,2533616.0,first-stage,25,0.05993407432941508,0.10056269771145378,-0.13716519137322283,0.257033340032053,0.3552006678412784
1,2000-2010,ssi_rate,Mexico-born,published-ACS,2533616.0,reduced-form,25,-0.01287455086242581,0.0587848268513478,-0.12809069432849063,0.102341592603639,0.3552006678412784
1,2000-2010,ssi_rate,Mexico-born,published-ACS,2533616.0,IV,25,-0.21481187465519014,1.0522945632987062,-2.2772713198479586,1.8476475705375783,0.3552006678412784
1,2000-2010,ssi_rate,Mexico-born,published-ACS,2533616.0,Z-ON-BASELINE-LEVEL (exogeneity test),25,-0.05518903649314699,0.21650806730493335,-0.47953705077319037,0.3691589777868964,0.3552006678412784
1-levelctl,2000-2010,ssi_rate,Mexico-born,published-ACS,2533616.0,OLS+ctl,25,0.13025261732996282,0.07841477395730752,-0.023437515482209292,0.28394275014213494,
1-levelctl,2000-2010,ssi_rate,Mexico-born,published-ACS,2533616.0,first-stage,25,0.0678643288446898,0.0839690327814909,-0.09671195122369551,0.2324406089130751,0.6531979536189678
1-levelctl,2000-2010,ssi_rate,Mexico-born,published-ACS,2533616.0,reduced-form+ctl,25,-0.016383875254395906,0.0577946820056452,-0.12965937048340564,0.09689161997461382,0.6531979536189678
1-levelctl,2000-2010,ssi_rate,Mexico-born,published-ACS,2533616.0,IV+ctl,25,-0.24142101650915038,0.9585589825082047,-2.120162099282591,1.6373200662642904,0.6531979536189678
1,2000-2010,pa_rate,Mexico-born,published-ACS,2533616.0,OLS,25,-0.28723104511301534,0.34551233590200997,-0.9644227796952604,0.3899606894692297,
