a,tau,c,mstar
0.011,0.75,0.90,-0.017127
0.011,0.80,0.00,-0.057485
0.011,0.80,0.50,-0.026431
0.011,0.80,0.90,-0.018455
0.011,0.85,0.00,-0.059006
0.011,0.85,0.50,-0.028021
0.011,0.85,0.90,-0.019732
0.011,0.90,0.00,-0.060357
0.011,0.90,0.50,-0.029524
0.011,0.90,0.90,-0.020959
0.011,0.95,0.00,-0.061567
0.011,0.95,0.50,-0.030947
0.011,0.95,0.90,-0.022139
0.011,1.00,0.00,-0.062655
0.011,1.00,0.50,-0.032298
0.011,1.00,0.90,-0.023276
0.012,0.05,0.00,0.367831
0.012,0.05,0.50,0.018579
0.012,0.05,0.90,0.010559
0.012,0.10,0.00,0.142249
0.012,0.10,0.50,0.013679
0.012,0.10,0.90,0.007939
0.012,0.15,0.00,0.067055
0.012,0.15,0.50,0.009228
0.012,0.15,0.90,0.005461
0.012,0.20,0.00,0.029458
0.012,0.20,0.50,0.005168
0.012,0.20,0.90,0.003114
0.012,0.25,0.00,0.006899
0.012,0.25,0.50,0.001450
0.012,0.25,0.90,0.000888
0.012,0.30,0.00,-0.008139
0.012,0.30,0.50,-0.001969
0.012,0.30,0.90,-0.001226
0.012,0.35,0.00,-0.018881
0.012,0.35,0.50,-0.005123
0.012,0.35,0.90,-0.003236
0.012,0.40,0.00,-0.026938
0.012,0.40,0.50,-0.008042
0.012,0.40,0.90,-0.005151
0.012,0.45,0.00,-0.033204
0.012,0.45,0.50,-0.010750
0.012,0.45,0.90,-0.006976
0.012,0.50,0.00,-0.038217
0.012,0.50,0.50,-0.013270
0.012,0.50,0.90,-0.008718
0.012,0.55,0.00,-0.042318
0.012,0.55,0.50,-0.015622
0.012,0.55,0.90,-0.010382
0.012,0.60,0.00,-0.045736
0.012,0.60,0.50,-0.017820
0.012,0.60,0.90,-0.011974
0.012,0.65,0.00,-0.048628
0.012,0.65,0.50,-0.019880
0.012,0.65,0.90,-0.013497
0.012,0.70,0.00,-0.051107
0.012,0.70,0.50,-0.021815
0.012,0.70,0.90,-0.014957
0.012,0.75,0.00,-0.053256
