a,tau,c,mstar
0.039,0.45,0.50,0.025767
0.039,0.45,0.90,0.016721
0.039,0.50,0.00,0.063295
0.039,0.50,0.50,0.021979
0.039,0.50,0.90,0.014439
0.039,0.55,0.00,0.049965
0.039,0.55,0.50,0.018444
0.039,0.55,0.90,0.012258
0.039,0.60,0.00,0.038857
0.039,0.60,0.50,0.015140
0.039,0.60,0.90,0.010173
0.039,0.65,0.00,0.029458
0.039,0.65,0.50,0.012043
0.039,0.65,0.90,0.008176
0.039,0.70,0.00,0.021401
0.039,0.70,0.50,0.009135
0.039,0.70,0.90,0.006263
0.039,0.75,0.00,0.014419
0.039,0.75,0.50,0.006399
0.039,0.75,0.90,0.004429
0.039,0.80,0.00,0.008309
0.039,0.80,0.50,0.003821
0.039,0.80,0.90,0.002668
0.039,0.85,0.00,0.002919
0.039,0.85,0.50,0.001386
0.039,0.85,0.90,0.000976
0.039,0.90,0.00,-0.001873
0.039,0.90,0.50,-0.000916
0.039,0.90,0.90,-0.000650
0.039,0.95,0.00,-0.006161
0.039,0.95,0.50,-0.003097
0.039,0.95,0.90,-0.002215
0.039,1.00,0.00,-0.010019
0.039,1.00,0.50,-0.005165
0.039,1.00,0.90,-0.003722
0.040,0.05,0.00,1.420547
0.040,0.05,0.50,0.071750
0.040,0.05,0.90,0.040777
0.040,0.10,0.00,0.668607
0.040,0.10,0.50,0.064294
0.040,0.10,0.90,0.037313
0.040,0.15,0.00,0.417960
0.040,0.15,0.50,0.057521
0.040,0.15,0.90,0.034038
0.040,0.20,0.00,0.292637
0.040,0.20,0.50,0.051343
0.040,0.20,0.90,0.030936
0.040,0.25,0.00,0.217443
0.040,0.25,0.50,0.045684
0.040,0.25,0.90,0.027994
0.040,0.30,0.00,0.167313
0.040,0.30,0.50,0.040481
0.040,0.30,0.90,0.025200
0.040,0.35,0.00,0.131507
0.040,0.35,0.50,0.035682
0.040,0.35,0.90,0.022542
0.040,0.40,0.00,0.104652
0.040,0.40,0.50,0.031241
0.040,0.40,0.90,0.020011
0.040,0.45,0.00,0.083764
0.040,0.45,0.50,0.027119
0.040,0.45,0.90,0.017599
0.040,0.50,0.00,0.067055
0.040,0.50,0.50,0.023284
0.040,0.50,0.90,0.015296
0.040,0.55,0.00,0.053383
0.040,0.55,0.50,0.019706
0.040,0.55,0.90,0.013097
0.040,0.60,0.00,0.041990
0.040,0.60,0.50,0.016361
0.040,0.60,0.90,0.010993
0.040,0.65,0.00,0.032350
0.040,0.65,0.50,0.013225
0.040,0.65,0.90,0.008979
0.040,0.70,0.00,0.024087
0.040,0.70,0.50,0.010281
0.040,0.70,0.90,0.007049
0.040,0.75,0.00,0.016925
0.040,0.75,0.50,0.007512
0.040,0.75,0.90,0.005198
0.040,0.80,0.00,0.010659
0.040,0.80,0.50,0.004901
0.040,0.80,0.90,0.003422
0.040,0.85,0.00,0.005130
0.040,0.85,0.50,0.002436
0.040,0.85,0.90,0.001716
0.040,0.90,0.00,0.000216
0.040,0.90,0.50,0.000105
0.040,0.90,0.90,0.000075
0.040,0.95,0.00,-0.004182
0.040,0.95,0.50,-0.002102
0.040,0.95,0.90,-0.001504
0.040,1.00,0.00,-0.008139
0.040,1.00,0.50,-0.004196
0.040,1.00,0.90,-0.003024
