domain,outcome,a_basis,a,tau_basis,tau,c,mstar,mstar_over_observed,T_years,phi_at_optimum
fiscal,"ledger balance, common age (personal_sources)",a(G1->G2),0.009182,"repo, nearest 5 years since arrival",0.416113,0.50,-0.012843,-21.548,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G1->G2),0.009182,"repo, nearest 5 years since arrival",0.416113,0.90,-0.008262,-13.862,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G1->G3+),0.007069,paper Mexico row,0.239000,0.00,-0.027732,-46.531,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G1->G3+),0.007069,paper Mexico row,0.239000,0.50,-0.005622,-9.433,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G1->G3+),0.007069,paper Mexico row,0.239000,0.90,-0.003433,-5.759,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G1->G3+),0.007069,repo maximum,0.664480,0.00,-0.063335,-106.266,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G1->G3+),0.007069,repo maximum,0.664480,0.50,-0.026231,-44.011,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G1->G3+),0.007069,repo maximum,0.664480,0.90,-0.017860,-29.967,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G1->G3+),0.007069,repo minimum,0.347107,0.00,-0.045049,-75.586,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G1->G3+),0.007069,repo minimum,0.347107,0.50,-0.012150,-20.385,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G1->G3+),0.007069,repo minimum,0.347107,0.90,-0.007669,-12.867,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G1->G3+),0.007069,"repo, nearest 5 years since arrival",0.416113,0.00,-0.051398,-86.238,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G1->G3+),0.007069,"repo, nearest 5 years since arrival",0.416113,0.50,-0.015772,-26.463,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G1->G3+),0.007069,"repo, nearest 5 years since arrival",0.416113,0.90,-0.010146,-17.023,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G2->G3+),0.004956,paper Mexico row,0.239000,0.00,-0.044352,-74.416,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G2->G3+),0.004956,paper Mexico row,0.239000,0.50,-0.008991,-15.086,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G2->G3+),0.004956,paper Mexico row,0.239000,0.90,-0.005490,-9.211,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G2->G3+),0.004956,repo maximum,0.664480,0.00,-0.069313,-116.296,inf,
fiscal,"ledger balance, common age (personal_sources)",a(G2->G3+),0.004956,repo maximum,0.664480,0.50,-0.028706,-48.165,inf,
