spec,age_group,nativity,component,ledger_cost_bn,delta_cost_bn,se_bn,ci_lo_bn,ci_hi_bn,implied_ratio
pooled_excl_2020_2021,all ages,foreign_born,medical_transport_payers,34.242485464656085,-2.6234449998581924,2.485207868996713,-7.494362917187288,2.2474729174709025,0.9233862564513309
pooled_excl_2020_2021,all ages,foreign_born,M,11.272466084531787,-0.2498092087012577,0.8606861194623091,-1.936723004840922,1.4371045874384067,0.977838992210937
pooled_excl_2020_2021,all ages,foreign_born,medical+M,45.51495154918786,-2.630725904912157,3.3263341374058393,-9.15022101477371,3.888769204949396,0.9422008413637629
pooled_cpi_all_items,0-17,both,medical,17.765167580702354,6.175055227227051,4.445476401030999,-2.537918412916445,14.888028867370547,1.3475934127373381
pooled_cpi_all_items,0-17,both,medical_transport_payers,17.765167580702354,6.177772743008514,4.446533721489765,-2.5372732071542816,14.89281869317131,1.3477463815043997
pooled_cpi_all_items,0-17,both,M,9.138000853840099,3.565212912034998,2.4801368915515214,-1.295766072135106,8.426191896205102,1.3901523942774392
pooled_cpi_all_items,0-17,both,medical+M,26.903168434542454,9.74026813926205,6.920447083363687,-3.8235589010460376,23.304095179570137,1.3620491081918806
pooled_cpi_all_items,18-64,both,medical,41.20664847955583,-4.307381988370888,2.3704494432481877,-8.953377524310358,0.33861354756858253,0.8954687617822658
pooled_cpi_all_items,18-64,both,medical_transport_payers,41.20664847955583,-4.494221189521057,2.3890058530110063,-9.17658662027802,0.18814424123590565,0.8909345614033423
pooled_cpi_all_items,18-64,both,M,16.300277115190685,-0.627608012258255,1.142814803780241,-2.8674838686667363,1.612267844150226,0.9614970955510094
pooled_cpi_all_items,18-64,both,medical+M,57.50692559474652,-4.934990000629143,3.4680616846387116,-11.732265998684325,1.8622859974260388,0.9141844230135653
pooled_cpi_all_items,65+,both,medical,33.90586660943555,-4.1651164744833755,2.280014190516843,-8.633862172136634,0.3036292231698828,0.8771564660929717
pooled_cpi_all_items,65+,both,medical_transport_payers,33.90586660943555,-4.193054328806427,2.282791080807818,-8.667242631419015,0.28113397380615995,0.8763324831921696
pooled_cpi_all_items,65+,both,M,9.71210305891032,-1.044024013479578,0.7348588264652547,-2.4843208470728464,0.39627282011369064,0.892502786765453
pooled_cpi_all_items,65+,both,medical+M,43.617969668345864,-5.209140487962953,3.0079040281029394,-11.10452405199767,0.686243076071763,0.8805735221613652
pooled_cpi_all_items,all ages,both,medical,92.87768266969373,-2.297443235627197,6.682471650357115,-15.39484699803708,10.799960526782685,0.9752637752193094
pooled_cpi_all_items,all ages,both,medical_transport_payers,92.87768266969373,-2.50950277531897,6.701955031169887,-15.645093262418962,10.626087711781024,0.9729805621416755
pooled_cpi_all_items,all ages,both,M,35.1503810279411,1.8935808862971648,3.407060880210947,-4.7841357320516265,8.571297504645957,1.0538708495020852
pooled_cpi_all_items,all ages,both,medical+M,128.02806369763482,-0.40386234933003234,10.039245752286204,-20.080422455757713,19.27269775709765,0.9968455170088033
pooled_cpi_all_items,all ages,us_born,medical,58.63519720503764,0.6137603252198944,5.6365687492492516,-10.433711419692617,11.661232070132407,1.0104674385774415
pooled_cpi_all_items,all ages,us_born,medical_transport_payers,58.63519720503764,0.5989109065467376,5.644845660419632,-10.464783286162957,11.662605099256432,1.0102141876397626
pooled_cpi_all_items,all ages,us_born,M,23.877914943409316,2.2696529525819282,3.1080188079384135,-3.821951974250474,8.36125787941433,1.0950523928894549
pooled_cpi_all_items,all ages,us_born,medical+M,82.51311214844696,2.883413277801823,8.714713099026678,-14.197110531889908,19.96393708749355,1.0349449099994477
pooled_cpi_all_items,all ages,foreign_born,medical,34.242485464656085,-2.9112035608470994,2.3303098260475497,-7.478526892720095,1.6561197710258961,0.9149827028808425
pooled_cpi_all_items,all ages,foreign_born,medical_transport_payers,34.242485464656085,-3.1084136818656996,2.3316562336697775,-7.678375924186772,1.4615485604553728,0.9092234795551246
pooled_cpi_all_items,all ages,foreign_born,M,11.272466084531787,-0.37607206628476336,0.8184531812062394,-1.9802108244812273,1.2280666919117007,0.96663799531845
