window,reference,component,gap_total,gap_per_person
w4_2010_2015,all_native,cash,1916261257.278072,1947.6349633745856
w4_2010_2015,all_native,noncash,-99589634.51982528,-101.22015118962548
w4_2010_2015,all_native,school,-1150311797.4292889,-1169.1451084482476
w4_2010_2015,all_native,lunch,64391692.31200113,65.44593584063324
w4_2010_2015,all_native,medical,750060759.8374788,762.3410195068177
w5_2016_2025,third_plus_nh_white,tax,-16679025378.04541,-6969.446584268962
w5_2016_2025,third_plus_nh_white,employer,-3082920977.790101,-1288.2199403876855
w5_2016_2025,third_plus_nh_white,sales,-832905006.5258152,-348.03514121351657
w5_2016_2025,third_plus_nh_white,owner_property,-1874709453.6632137,-783.3603644208237
w5_2016_2025,third_plus_nh_white,cash,3570082689.1824727,1491.783844662293
w5_2016_2025,third_plus_nh_white,noncash,-176194139.34993273,-73.6239447346235
w5_2016_2025,third_plus_nh_white,school,-294426401.2563448,-123.02811645431436
w5_2016_2025,third_plus_nh_white,lunch,125232272.85561712,52.32917490746702
w5_2016_2025,third_plus_nh_white,medical,1880719313.0126715,785.8716258863856
w5_2016_2025,all_native,tax,-13592084247.43175,-5679.546795105384
w5_2016_2025,all_native,employer,-2549502220.0613866,-1065.3272080622762
w5_2016_2025,all_native,sales,-713366802.322402,-298.085272435707
w5_2016_2025,all_native,owner_property,-1634011053.7001,-682.7828664292404
w5_2016_2025,all_native,cash,3708072641.907641,1549.4439047009187
w5_2016_2025,all_native,noncash,-30070205.02581744,-12.565043997193692
w5_2016_2025,all_native,school,-159886785.22410107,-66.80980356422015
w5_2016_2025,all_native,lunch,92833290.86012661,38.791035280946204
w5_2016_2025,all_native,medical,1856291797.0190206,775.664418687803
mexico_born,third_plus_nh_white,tax,-105858796096.69774,-8662.195030892575
mexico_born,third_plus_nh_white,employer,-16236019648.466171,-1328.558172831942
mexico_born,third_plus_nh_white,sales,-5374790816.672341,-439.80744180897176
mexico_born,third_plus_nh_white,owner_property,-10250387182.396692,-838.7668874958176
mexico_born,third_plus_nh_white,cash,32462671822.61902,2656.3498256160387
mexico_born,third_plus_nh_white,noncash,-1314574371.975502,-107.56876152514775
mexico_born,third_plus_nh_white,school,-6424694006.472347,-525.7187361835691
mexico_born,third_plus_nh_white,lunch,740839357.1151018,60.62127319141382
mexico_born,third_plus_nh_white,medical,9154880910.36248,749.1239920933597
mexico_born,all_native,tax,-92464137735.52097,-7566.139271948339
mexico_born,all_native,employer,-14217659600.995829,-1163.4001602868223
mexico_born,all_native,sales,-4815112727.628174,-394.0102011395299
mexico_born,all_native,owner_property,-9024063865.065224,-738.419517817128
mexico_born,all_native,cash,32707786478.577858,2676.4070247637237
mexico_born,all_native,noncash,-782733813.4723275,-64.04940543040144
mexico_born,all_native,school,-6205016575.612557,-507.7430098371755
mexico_born,all_native,lunch,651835738.3780679,53.338300662129186
mexico_born,all_native,medical,8991576789.517105,735.761171087735
