arm,year,measure,group,n,wpop,rate,se,neff
citizens_18plus,2022,vote_item_nonresponse,9 US-born Asian (any),1507,4966806.629600,0.269106,0.012970,1169.265436
citizens_18plus,2024,registered_census_convention,1 India-born,335,1381718.207700,0.831854,0.021582,300.291851
citizens_18plus,2024,registered_census_convention,2 China-born,257,1008987.509300,0.593744,0.032986,221.682553
citizens_18plus,2024,registered_census_convention,3 Mexico-born,962,3933473.029700,0.556139,0.017026,851.525303
citizens_18plus,2024,registered_census_convention,4 Other foreign-born,4472,17414858.065400,0.688095,0.007608,3707.640561
citizens_18plus,2024,registered_census_convention,5 Indian 2nd gen,193,774790.888900,0.679846,0.036309,165.096371
citizens_18plus,2024,registered_census_convention,6 US-born NH white,50775,149414369.767100,0.779138,0.002115,38452.213845
citizens_18plus,2024,registered_census_convention,7 All US-born,66564,212399182.313000,0.743575,0.001958,49715.937821
citizens_18plus,2024,registered_census_convention,8 Indian 2nd gen (self-ID),233,964551.012700,0.648863,0.033438,203.769707
citizens_18plus,2024,registered_census_convention,9 US-born Asian (any),1663,5438930.165400,0.584213,0.013948,1248.572121
citizens_18plus,2024,turnout_census_convention,1 India-born,335,1381718.207700,0.763578,0.024519,300.291851
citizens_18plus,2024,turnout_census_convention,2 China-born,257,1008987.509300,0.503986,0.033581,221.682553
citizens_18plus,2024,turnout_census_convention,3 Mexico-born,962,3933473.029700,0.444724,0.017029,851.525303
citizens_18plus,2024,turnout_census_convention,4 Other foreign-born,4472,17414858.065400,0.600027,0.008045,3707.640561
citizens_18plus,2024,turnout_census_convention,5 Indian 2nd gen,193,774790.888900,0.600895,0.038113,165.096371
citizens_18plus,2024,turnout_census_convention,6 US-born NH white,50775,149414369.767100,0.707950,0.002319,38452.213845
citizens_18plus,2024,turnout_census_convention,7 All US-born,66564,212399182.313000,0.661704,0.002122,49715.937821
citizens_18plus,2024,turnout_census_convention,8 Indian 2nd gen (self-ID),233,964551.012700,0.580120,0.034574,203.769707
citizens_18plus,2024,turnout_census_convention,9 US-born Asian (any),1663,5438930.165400,0.516567,0.014142,1248.572121
citizens_18plus,2024,turnout_reported_only,1 India-born,306,1256635.684700,0.839583,0.022233,272.476580
citizens_18plus,2024,turnout_reported_only,2 China-born,220,856923.756100,0.593420,0.035832,187.917271
citizens_18plus,2024,turnout_reported_only,3 Mexico-born,841,3399290.662100,0.514610,0.018346,742.143646
citizens_18plus,2024,turnout_reported_only,4 Other foreign-born,3785,14658612.933200,0.712850,0.008087,3129.536048
citizens_18plus,2024,turnout_reported_only,5 Indian 2nd gen,162,639426.740100,0.728102,0.038016,136.984057
citizens_18plus,2024,turnout_reported_only,6 US-born NH white,44792,130801132.377700,0.808692,0.002139,33816.141862
citizens_18plus,2024,turnout_reported_only,7 All US-born,57943,182615967.573900,0.769623,0.002029,43076.019609
citizens_18plus,2024,turnout_reported_only,8 Indian 2nd gen (self-ID),183,737308.919400,0.758916,0.033908,159.130396
citizens_18plus,2024,turnout_reported_only,9 US-born Asian (any),1295,4030455.270600,0.697086,0.014947,945.087813
citizens_18plus,2024,vote_item_nonresponse,1 India-born,335,1381718.207700,0.090527,0.016558,300.291851
citizens_18plus,2024,vote_item_nonresponse,2 China-born,257,1008987.509300,0.150709,0.024029,221.682553
citizens_18plus,2024,vote_item_nonresponse,3 Mexico-born,962,3933473.029700,0.135804,0.011740,851.525303
citizens_18plus,2024,vote_item_nonresponse,4 Other foreign-born,4472,17414858.065400,0.158270,0.005994,3707.640561
citizens_18plus,2024,vote_item_nonresponse,5 Indian 2nd gen,193,774790.888900,0.174711,0.029552,165.096371
citizens_18plus,2024,vote_item_nonresponse,6 US-born NH white,50775,149414369.767100,0.124575,0.001684,38452.213845
citizens_18plus,2024,vote_item_nonresponse,7 All US-born,66564,212399182.313000,0.140223,0.001557,49715.937821
citizens_18plus,2024,vote_item_nonresponse,8 Indian 2nd gen (self-ID),233,964551.012700,0.235594,0.029729,203.769707
citizens_18plus,2024,vote_item_nonresponse,9 US-born Asian (any),1663,5438930.165400,0.258962,0.012397,1248.572121
citizens_18plus_pooled,pooled,registered_census_convention,1 India-born,1748,6255852.762000,0.751778,0.010978,1548.310790
citizens_18plus_pooled,pooled,registered_census_convention,2 China-born,1364,4953061.568200,0.533316,0.014465,1189.534962
citizens_18plus_pooled,pooled,registered_census_convention,3 Mexico-born,5242,18835958.823300,0.539002,0.007373,4570.417741
citizens_18plus_pooled,pooled,registered_census_convention,4 Other foreign-born,23476,80571328.148100,0.646650,0.003430,19425.449926
citizens_18plus_pooled,pooled,registered_census_convention,5 Indian 2nd gen,833,2941429.343600,0.662784,0.018059,685.296490
citizens_18plus_pooled,pooled,registered_census_convention,6 US-born NH white,290492,748832416.300700,0.747350,0.000926,220347.326489
