arm,year,measure,group,n,wpop,rate,se,neff
citizens_self_respondent_only,pooled,turnout_census_convention,7 All US-born,204201,550592219.984000,0.647626,0.001224,152222.668683
citizens_self_respondent_only,pooled,turnout_census_convention,8 Indian 2nd gen (self-ID),390,1352865.284500,0.537410,0.028077,315.345764
citizens_self_respondent_only,pooled,turnout_census_convention,9 US-born Asian (any),3590,10133561.268900,0.520127,0.009840,2578.034843
citizens_self_respondent_only,pooled,turnout_reported_only,1 India-born,742,2625422.202700,0.776922,0.016319,650.765689
citizens_self_respondent_only,pooled,turnout_reported_only,2 China-born,579,2084858.596900,0.532869,0.022332,499.104636
citizens_self_respondent_only,pooled,turnout_reported_only,3 Mexico-born,2150,7684264.772500,0.544474,0.011558,1856.693160
citizens_self_respondent_only,pooled,turnout_reported_only,4 Other foreign-born,10150,34702101.214300,0.661347,0.005173,8367.917674
citizens_self_respondent_only,pooled,turnout_reported_only,5 Indian 2nd gen,295,958195.202100,0.750739,0.028654,227.918056
citizens_self_respondent_only,pooled,turnout_reported_only,6 US-born NH white,140983,355414111.417900,0.770151,0.001289,106516.725368
citizens_self_respondent_only,pooled,turnout_reported_only,7 All US-born,179350,480283038.037600,0.742433,0.001198,133205.418948
citizens_self_respondent_only,pooled,turnout_reported_only,8 Indian 2nd gen (self-ID),306,1028657.612900,0.706788,0.029380,240.093845
citizens_self_respondent_only,pooled,turnout_reported_only,9 US-born Asian (any),2890,7894110.842700,0.667680,0.010486,2017.766036
citizens_self_respondent_only,pooled,vote_item_nonresponse,1 India-born,833,2934362.810100,0.105284,0.011346,731.775871
citizens_self_respondent_only,pooled,vote_item_nonresponse,2 China-born,663,2389596.081700,0.127527,0.013907,575.252141
citizens_self_respondent_only,pooled,vote_item_nonresponse,3 Mexico-born,2487,8899899.081100,0.136590,0.007404,2151.505212
citizens_self_respondent_only,pooled,vote_item_nonresponse,4 Other foreign-born,11865,40551193.954300,0.144240,0.003551,9788.803656
citizens_self_respondent_only,pooled,vote_item_nonresponse,5 Indian 2nd gen,336,1110631.298800,0.137252,0.021229,262.755593
citizens_self_respondent_only,pooled,vote_item_nonresponse,6 US-born NH white,159214,402787870.892000,0.117615,0.000928,120617.148486
citizens_self_respondent_only,pooled,vote_item_nonresponse,7 All US-born,204201,550592219.984000,0.127697,0.000855,152222.668683
citizens_self_respondent_only,pooled,vote_item_nonresponse,8 Indian 2nd gen (self-ID),390,1352865.284500,0.239645,0.024038,315.345764
citizens_self_respondent_only,pooled,vote_item_nonresponse,9 US-born Asian (any),3590,10133561.268900,0.220993,0.008172,2578.034843
naturalized_citizens_only,pooled,registered_census_convention,1 India-born,1748,6255852.762000,0.751778,0.010978,1548.310790
naturalized_citizens_only,pooled,registered_census_convention,2 China-born,1364,4953061.568200,0.533316,0.014465,1189.534962
naturalized_citizens_only,pooled,registered_census_convention,3 Mexico-born,5242,18835958.823300,0.539002,0.007373,4570.417741
naturalized_citizens_only,pooled,registered_census_convention,4 Other foreign-born,23476,80571328.148100,0.646650,0.003430,19425.449926
naturalized_citizens_only,pooled,registered_census_convention,5 Indian 2nd gen,0,0.000000,,,0.000000
naturalized_citizens_only,pooled,registered_census_convention,6 US-born NH white,0,0.000000,,,0.000000
naturalized_citizens_only,pooled,registered_census_convention,7 All US-born,0,0.000000,,,0.000000
naturalized_citizens_only,pooled,registered_census_convention,8 Indian 2nd gen (self-ID),0,0.000000,,,0.000000
naturalized_citizens_only,pooled,registered_census_convention,9 US-born Asian (any),0,0.000000,,,0.000000
naturalized_citizens_only,pooled,turnout_census_convention,1 India-born,1748,6255852.762000,0.651005,0.012114,1548.310790
naturalized_citizens_only,pooled,turnout_census_convention,2 China-born,1364,4953061.568200,0.425145,0.014334,1189.534962
naturalized_citizens_only,pooled,turnout_census_convention,3 Mexico-born,5242,18835958.823300,0.428628,0.007320,4570.417741
naturalized_citizens_only,pooled,turnout_census_convention,4 Other foreign-born,23476,80571328.148100,0.535803,0.003578,19425.449926
naturalized_citizens_only,pooled,turnout_census_convention,5 Indian 2nd gen,0,0.000000,,,0.000000
naturalized_citizens_only,pooled,turnout_census_convention,6 US-born NH white,0,0.000000,,,0.000000
naturalized_citizens_only,pooled,turnout_census_convention,7 All US-born,0,0.000000,,,0.000000
naturalized_citizens_only,pooled,turnout_census_convention,8 Indian 2nd gen (self-ID),0,0.000000,,,0.000000
naturalized_citizens_only,pooled,turnout_census_convention,9 US-born Asian (any),0,0.000000,,,0.000000
naturalized_citizens_only,pooled,turnout_reported_only,1 India-born,1497,5381348.179600,0.756798,0.011784,1325.407934
naturalized_citizens_only,pooled,turnout_reported_only,2 China-born,1150,4157418.143200,0.506509,0.015830,997.482672
naturalized_citizens_only,pooled,turnout_reported_only,3 Mexico-born,4368,15662316.962700,0.515480,0.008105,3801.884095
naturalized_citizens_only,pooled,turnout_reported_only,4 Other foreign-born,19574,67089301.975600,0.643476,0.003762,16212.053334
