arm,year,measure,group,n,wpop,rate,se,neff
adults_18plus,pooled,donated_nonpolitical,3 Mexico-born,4007,31044003.833800,0.302189,0.008245,3101.919176
adults_18plus,pooled,donated_nonpolitical,4 Other foreign-born,11154,76574066.449900,0.415171,0.005490,8055.493705
adults_18plus,pooled,donated_nonpolitical,5 Indian 2nd gen,240,1656993.324200,0.556800,0.040256,152.281124
adults_18plus,pooled,donated_nonpolitical,6 US-born NH white,97446,423835402.381400,0.578482,0.001940,64771.733544
adults_18plus,pooled,donated_nonpolitical,7 All US-born,123123,592254976.568600,0.523621,0.001781,78658.079103
adults_18plus,pooled,donated_nonpolitical,8 Indian 2nd gen (self-ID),241,1732157.950100,0.524760,0.039260,161.797747
adults_18plus,pooled,donated_nonpolitical,9 US-born Asian (any),2147,12484031.872100,0.473124,0.014002,1271.517311
adults_18plus,pooled,donated_political,1 India-born,1192,8142596.265900,0.060739,0.007775,943.854973
adults_18plus,pooled,donated_political,2 China-born,820,5796719.983000,0.042846,0.008016,638.219771
adults_18plus,pooled,donated_political,3 Mexico-born,4015,31087587.021600,0.020857,0.002563,3109.438964
adults_18plus,pooled,donated_political,4 Other foreign-born,11163,76665169.629900,0.054291,0.002524,8061.934923
adults_18plus,pooled,donated_political,5 Indian 2nd gen,241,1674210.374600,0.102675,0.024501,153.482565
adults_18plus,pooled,donated_political,6 US-born NH white,97317,423448245.700400,0.105458,0.001208,64669.430211
adults_18plus,pooled,donated_political,7 All US-born,123001,591922669.197500,0.091822,0.001030,78572.694660
adults_18plus,pooled,donated_political,8 Indian 2nd gen (self-ID),244,1769370.130300,0.096013,0.022957,164.687341
adults_18plus,pooled,donated_political,9 US-born Asian (any),2153,12550490.412200,0.072658,0.007274,1273.429012
adults_18plus,pooled,group_membership,1 India-born,1191,8138943.795300,0.161652,0.011987,943.138330
adults_18plus,pooled,group_membership,2 China-born,818,5767880.084700,0.143217,0.013899,635.216478
adults_18plus,pooled,group_membership,3 Mexico-born,4017,31100174.744700,0.073788,0.004687,3110.767371
adults_18plus,pooled,group_membership,4 Other foreign-born,11211,76956407.024600,0.153552,0.004007,8093.136459
adults_18plus,pooled,group_membership,5 Indian 2nd gen,243,1684860.437900,0.292197,0.036534,154.954408
adults_18plus,pooled,group_membership,6 US-born NH white,97910,426145753.879900,0.319604,0.001829,65039.477290
adults_18plus,pooled,group_membership,7 All US-born,123693,595169915.031800,0.277058,0.001592,79008.837293
adults_18plus,pooled,group_membership,8 Indian 2nd gen (self-ID),242,1737304.525800,0.256759,0.034112,164.002316
adults_18plus,pooled,group_membership,9 US-born Asian (any),2167,12660134.928500,0.217013,0.011534,1277.270237
adults_18plus,pooled,improved_neighborhood,1 India-born,1193,8156241.985600,0.310316,0.015038,946.346453
adults_18plus,pooled,improved_neighborhood,2 China-born,822,5763390.271400,0.179520,0.015158,641.074576
adults_18plus,pooled,improved_neighborhood,3 Mexico-born,4026,31166933.288900,0.112444,0.005658,3117.442207
adults_18plus,pooled,improved_neighborhood,4 Other foreign-born,11260,77310053.503700,0.173798,0.004203,8129.213627
adults_18plus,pooled,improved_neighborhood,5 Indian 2nd gen,241,1664086.456800,0.247923,0.034899,153.091641
adults_18plus,pooled,improved_neighborhood,6 US-born NH white,98204,427522203.227800,0.227526,0.001641,65261.742834
adults_18plus,pooled,improved_neighborhood,7 All US-born,124138,597531353.533200,0.207768,0.001441,79294.883096
adults_18plus,pooled,improved_neighborhood,8 Indian 2nd gen (self-ID),244,1762786.191200,0.258268,0.034125,164.500116
adults_18plus,pooled,improved_neighborhood,9 US-born Asian (any),2185,12748614.597400,0.168855,0.010423,1291.790249
adults_18plus,pooled,neighbor_favors_monthly,1 India-born,1189,8134068.380900,0.357644,0.015609,942.917161
adults_18plus,pooled,neighbor_favors_monthly,2 China-born,824,5788663.981600,0.226458,0.016518,642.056157
adults_18plus,pooled,neighbor_favors_monthly,3 Mexico-born,4026,31214388.778500,0.299965,0.008208,3117.146325
