scenario,m,lambda,sorting,theta,initial_gap,k,cost,gain_bn_2024,gain_bn_2024_fine_grid,sigma1,sigma_lambda,share_of_gdp_pct
mexico_born_arrived_2019_2024,0.00473398639386509,0.45,observed_sorting_2024,0.5225006341934204,0.06020120863864537,0.04733986393865091,high,-0.007448251935,0.0021572875575,0.1,0.1,-2.542237910468536e-05
mexico_born_arrived_2019_2024,0.00473398639386509,0.45,observed_sorting_2024,0.5225006341934204,0.06020120863864537,0.04733986393865091,prohibitive,0.00200609436,0.00200609436,0.0,0.0,6.8472027778812155e-06
mexico_born_arrived_2019_2024,0.00473398639386509,0.4,full_sorting_theta_1,1.0,0.12163953243244927,0.023669931969325455,low,0.294690215985,0.059183937525,0.3,0.3,0.0010058368667697703
mexico_born_arrived_2019_2024,0.00473398639386509,0.4,full_sorting_theta_1,1.0,0.12163953243244927,0.023669931969325455,medium,0.3339470577,0.06928455787875,0.2,0.2,0.0011398283484275878
mexico_born_arrived_2019_2024,0.00473398639386509,0.4,full_sorting_theta_1,1.0,0.12163953243244927,0.023669931969325455,high,-0.10144133387625,0.05261165077875,0.1,0.1,-0.0003462396370574687
mexico_born_arrived_2019_2024,0.00473398639386509,0.4,full_sorting_theta_1,1.0,0.12163953243244927,0.023669931969325455,prohibitive,0.11183081906624999,0.11183081906624999,0.0,0.0,0.0003817010357195554
mexico_born_arrived_2019_2024,0.00473398639386509,0.4,observed_sorting_2024,0.5131110548973083,0.12163953243244927,0.023669931969325455,low,0.051959106420000005,-0.0012269400487499998,0.3,0.3,0.00017734686109941995
mexico_born_arrived_2019_2024,0.00473398639386509,0.4,observed_sorting_2024,0.5131110548973083,0.12163953243244927,0.023669931969325455,medium,0.05803682413874999,0.00273438459375,0.2,0.2,0.0001980913317867324
mexico_born_arrived_2019_2024,0.00473398639386509,0.4,observed_sorting_2024,0.5131110548973083,0.12163953243244927,0.023669931969325455,high,-0.027698628056249997,0.0014774571075,0.1,0.1,-9.454097810745732e-05
mexico_born_arrived_2019_2024,0.00473398639386509,0.4,observed_sorting_2024,0.5131110548973083,0.12163953243244927,0.023669931969325455,prohibitive,0.0054916170825,0.0054916170825,0.0,0.0,1.8743991554990435e-05
mexico_born_arrived_2019_2024,0.00473398639386509,0.3,full_sorting_theta_1,1.0,0.2541893581161611,0.011834965984662724,low,0.47968132125374996,0.12286119867375,0.3,0.3,0.00163724864636298
mexico_born_arrived_2019_2024,0.00473398639386509,0.3,full_sorting_theta_1,1.0,0.2541893581161611,0.011834965984662724,medium,0.5136365652825,0.11755574952,0.2,0.2,0.0017531447108119587
mexico_born_arrived_2019_2024,0.00473398639386509,0.3,full_sorting_theta_1,1.0,0.2541893581161611,0.011834965984662724,high,-0.44522481303749994,0.19259752897125,0.1,0.1,-0.0015196416666123397
mexico_born_arrived_2019_2024,0.00473398639386509,0.3,full_sorting_theta_1,1.0,0.2541893581161611,0.011834965984662724,prohibitive,0.19557815389499997,0.19557815389499997,0.0,0.0,0.0006675475019244477
mexico_born_arrived_2019_2024,0.00473398639386509,0.3,observed_sorting_2024,0.39219582080841064,0.2541893581161611,0.011834965984662724,low,0.058262730971249996,0.010611182834999998,0.3,0.3,0.00019886239715727477
mexico_born_arrived_2019_2024,0.00473398639386509,0.3,observed_sorting_2024,0.39219582080841064,0.2541893581161611,0.011834965984662724,medium,0.06099754692375,0.006278355251249999,0.2,0.2,0.0002081968730225835
mexico_born_arrived_2019_2024,0.00473398639386509,0.3,observed_sorting_2024,0.39219582080841064,0.2541893581161611,0.011834965984662724,high,-0.06929821777124999,0.01598482708875,0.1,0.1,-0.000236528729000325
mexico_born_arrived_2019_2024,0.00473398639386509,0.3,observed_sorting_2024,0.39219582080841064,0.2541893581161611,0.011834965984662724,prohibitive,0.006260802596249999,0.006260802596249999,0.0,0.0,2.1369376128852146e-05
mexican_origin_union_upper,0.13131755634395173,0.45,full_sorting_theta_1,1.0,0.06020120863864537,1.3131755634395177,low,27.217623636251247,27.217623636251247,0.0,0.2,0.09289921345946309
mexican_origin_union_upper,0.13131755634395173,0.45,full_sorting_theta_1,1.0,0.06020120863864537,1.3131755634395177,medium,30.51627823894125,30.0212802427425,0.0,0.1,0.10415818382953564
mexican_origin_union_upper,0.13131755634395173,0.45,full_sorting_theta_1,1.0,0.06020120863864537,1.3131755634395177,high,33.4124411424225,33.371218766602496,0.0,0.1,0.11404336922924604
mexican_origin_union_upper,0.13131755634395173,0.45,full_sorting_theta_1,1.0,0.06020120863864537,1.3131755634395177,prohibitive,48.37596395738625,48.37596395738625,0.0,0.0,0.16511687655195678
mexican_origin_union_upper,0.13131755634395173,0.45,observed_sorting_2024,0.6116448044776917,0.06020120863864537,1.3131755634395177,low,1.80027003226125,1.81288213875375,0.4,0.2,0.006144683027689455
mexican_origin_union_upper,0.13131755634395173,0.45,observed_sorting_2024,0.6116448044776917,0.06020120863864537,1.3131755634395177,medium,2.71010751502875,2.3328742736287498,0.3,0.1,0.009250141007954191
mexican_origin_union_upper,0.13131755634395173,0.45,observed_sorting_2024,0.6116448044776917,0.06020120863864537,1.3131755634395177,high,2.77816956506625,2.9178809993175,0.2,0.1,0.009482450448316238
mexican_origin_union_upper,0.13131755634395173,0.45,observed_sorting_2024,0.6116448044776917,0.06020120863864537,1.3131755634395177,prohibitive,4.8138058114725,4.8138058114725,0.0,0.0,0.016430485615091032
mexican_origin_union_upper,0.13131755634395173,0.4,full_sorting_theta_1,1.0,0.12163953243244927,0.6565877817197588,low,23.3675787097725,23.3596115456775,0.7,0.2,0.079758237221659
mexican_origin_union_upper,0.13131755634395173,0.4,full_sorting_theta_1,1.0,0.12163953243244927,0.6565877817197588,medium,32.43001698281625,30.27809442477375,0.5,0.1,0.11069015834901925
mexican_origin_union_upper,0.13131755634395173,0.4,full_sorting_theta_1,1.0,0.12163953243244927,0.6565877817197588,high,38.246959441481245,38.1830932138275,0.3,0.1,0.1305445507225396
mexican_origin_union_upper,0.13131755634395173,0.4,full_sorting_theta_1,1.0,0.12163953243244927,0.6565877817197588,prohibitive,61.68431278270499,61.68431278270499,0.0,0.0,0.2105409427687297
mexican_origin_union_upper,0.13131755634395173,0.4,observed_sorting_2024,0.601786196231842,0.12163953243244927,0.6565877817197588,low,2.5036925356875,2.48327752819125,0.3,0.2,0.008545605245268682
mexican_origin_union_upper,0.13131755634395173,0.4,observed_sorting_2024,0.601786196231842,0.12163953243244927,0.6565877817197588,medium,5.489256819956251,3.2999786453024997,0.2,0.1,0.01873593550510149
mexican_origin_union_upper,0.13131755634395173,0.4,observed_sorting_2024,0.601786196231842,0.12163953243244927,0.6565877817197588,high,3.1940272918912496,4.334060019716249,0.1,0.1,0.010901856354187738
mexican_origin_union_upper,0.13131755634395173,0.4,observed_sorting_2024,0.601786196231842,0.12163953243244927,0.6565877817197588,prohibitive,8.58662668333125,8.58662668333125,0.0,0.0,0.029307880651603405
mexican_origin_union_upper,0.13131755634395173,0.3,full_sorting_theta_1,1.0,0.2541893581161611,0.3282938908598793,low,37.265363736510004,36.59591408701875,0.4,0.2,0.12719416752429594
mexican_origin_union_upper,0.13131755634395173,0.3,full_sorting_theta_1,1.0,0.2541893581161611,0.3282938908598793,medium,53.7054042452625,47.040972334799996,0.3,0.2,0.183307326149601
mexican_origin_union_upper,0.13131755634395173,0.3,full_sorting_theta_1,1.0,0.2541893581161611,0.3282938908598793,high,57.978812589869996,58.80430635820875,0.2,0.1,0.19789332672447785
mexican_origin_union_upper,0.13131755634395173,0.3,full_sorting_theta_1,1.0,0.2541893581161611,0.3282938908598793,prohibitive,101.841829152465,101.841829152465,0.0,0.0,0.34760660783536756
mexican_origin_union_upper,0.13131755634395173,0.3,observed_sorting_2024,0.469626247882843,0.2541893581161611,0.3282938908598793,low,-0.39190255154625,0.5558131413637499,0.3,0.2,-0.0013376420835988093
mexican_origin_union_upper,0.13131755634395173,0.3,observed_sorting_2024,0.469626247882843,0.2541893581161611,0.3282938908598793,medium,6.62473607797875,1.19624054016375,0.2,0.2,0.022611554162320666
mexican_origin_union_upper,0.13131755634395173,0.3,observed_sorting_2024,0.469626247882843,0.2541893581161611,0.3282938908598793,high,0.92847851183625,2.1998880361275,0.1,0.1,0.00316908355469789
mexican_origin_union_upper,0.13131755634395173,0.3,observed_sorting_2024,0.469626247882843,0.2541893581161611,0.3282938908598793,prohibitive,9.46769352750375,9.46769352750375,0.0,0.0,0.0323151386665838
