group,lowed,sex,measure,period,rate_pct,se_pct,years
mex_fb_minus_oth_nb,some_college_plus,all,long_distance,2006_2010,0.5079388217489459,0.10540413034187217,5
mex_fb_minus_oth_nb,some_college_plus,all,long_distance,2019_2024,0.107547999649722,0.08770586335405364,5
mex_fb_minus_oth_nb,some_college_plus,all,long_distance,2024,0.8655323198385899,0.21625395780675,1
mex_fb_minus_oth_nb,some_college_plus,all,moved_abroad,2006_2010,1.632238959232896,0.07769611578283375,5
mex_fb_minus_oth_nb,some_college_plus,all,moved_abroad,2019_2024,1.4796502954874922,0.059247476853472245,5
mex_fb_minus_oth_nb,some_college_plus,all,moved_abroad,2024,1.73778740146544,0.1492214653418,1
mex_fb_minus_oth_nb,some_college_plus,all,moved_any,2006_2010,3.7546923018529084,0.21193188304377708,5
mex_fb_minus_oth_nb,some_college_plus,all,moved_any,2019_2024,-0.7395232632544539,0.16094617839317663,5
mex_fb_minus_oth_nb,some_college_plus,all,moved_any,2024,0.72353329691948,0.36199841641868,1
mex_fb_minus_oth_nb,some_college_plus,all,moved_interstate,2006_2010,-1.12430013748395,0.07158053967937995,5
mex_fb_minus_oth_nb,some_college_plus,all,moved_interstate,2019_2024,-1.37210229583777,0.06247909958350588,5
mex_fb_minus_oth_nb,some_college_plus,all,moved_interstate,2024,-0.87225508162684,0.1399013234046,1
mex_fb_minus_oth_nb,some_college_plus,all,moved_within_state,2006_2010,3.245560145864946,0.19441758735241288,5
mex_fb_minus_oth_nb,some_college_plus,all,moved_within_state,2019_2024,-0.841975003195794,0.14421984065816668,5
mex_fb_minus_oth_nb,some_college_plus,all,moved_within_state,2024,-0.1516991718176,0.29530296982409,1
mex_fb_minus_oth_nb,some_college_plus,men,long_distance,2006_2010,0.6191161006280399,0.14290747480467852,5
mex_fb_minus_oth_nb,some_college_plus,men,long_distance,2019_2024,0.113030833203328,0.120725954524092,5
mex_fb_minus_oth_nb,some_college_plus,men,long_distance,2024,1.01864616350951,0.31284618760675004,1
mex_fb_minus_oth_nb,some_college_plus,men,moved_abroad,2006_2010,1.738879027444248,0.10491727933244474,5
mex_fb_minus_oth_nb,some_college_plus,men,moved_abroad,2019_2024,1.4917671005951019,0.08280107786124212,5
mex_fb_minus_oth_nb,some_college_plus,men,moved_abroad,2024,1.85056351330146,0.23654507296084,1
mex_fb_minus_oth_nb,some_college_plus,men,moved_any,2006_2010,4.351480370681355,0.2808323173513485,5
mex_fb_minus_oth_nb,some_college_plus,men,moved_any,2019_2024,-0.424139597994964,0.20758661446580412,5
mex_fb_minus_oth_nb,some_college_plus,men,moved_any,2024,1.25585933806755,0.45908423295213,1
mex_fb_minus_oth_nb,some_college_plus,men,moved_interstate,2006_2010,-1.119762926816208,0.09734332977972279,5
mex_fb_minus_oth_nb,some_college_plus,men,moved_interstate,2019_2024,-1.3787362673917738,0.08847298920873256,5
mex_fb_minus_oth_nb,some_college_plus,men,moved_interstate,2024,-0.83191734979195,0.18602952918951,1
mex_fb_minus_oth_nb,some_college_plus,men,moved_within_state,2006_2010,3.73685054547144,0.2634038035193195,5
mex_fb_minus_oth_nb,some_college_plus,men,moved_within_state,2019_2024,-0.53552302390323,0.19317957672804098,5
mex_fb_minus_oth_nb,some_college_plus,men,moved_within_state,2024,0.22975508534914002,0.40272023851627,1
mex_fb_minus_oth_nb,some_college_plus,women,long_distance,2006_2010,0.346560880056602,0.13798675154914078,5
mex_fb_minus_oth_nb,some_college_plus,women,long_distance,2019_2024,0.09465440045024201,0.10913712719101239,5
mex_fb_minus_oth_nb,some_college_plus,women,long_distance,2024,0.71952052460123,0.24304423221566998,1
mex_fb_minus_oth_nb,some_college_plus,women,moved_abroad,2006_2010,1.5002792257526039,0.09868635030270619,5
mex_fb_minus_oth_nb,some_college_plus,women,moved_abroad,2019_2024,1.4672621278162743,0.07430363515808346,5
mex_fb_minus_oth_nb,some_college_plus,women,moved_abroad,2024,1.63235325195621,0.16849999333155,1
mex_fb_minus_oth_nb,some_college_plus,women,moved_any,2006_2010,3.067685503058286,0.27804870441262286,5
mex_fb_minus_oth_nb,some_college_plus,women,moved_any,2019_2024,-1.042661412581694,0.2166966700564316,5
