year,origin,natl_stock
2014,taiwan,364595
2014,japan,336027
2014,korea,1079784
2014,other eastern asia,14923
2014,afghanistan,73386
2014,bangladesh,210190
2014,india,2205912
2014,iran,365288
2014,pakistan,371359
2014,other south central asia,76589
2014,cambodia,163383
2014,indonesia,94632
2014,laos,193979
2014,philippines,1926292
2014,thailand,252477
2014,vietnam,1291807
2014,other south eastern asia,1043
2014,iraq,217257
2014,israel,132730
2014,lebanon,119490
2014,syria,85737
2014,turkey,109408
2014,armenia,86337
2014,other western asia,80918
2014,ethiopia,214530
2014,other eastern africa,219263
2014,egypt,172631
2014,other northern africa,41624
2014,south africa,92218
2014,other southern africa,6069
2014,ghana,150305
2014,nigeria,264399
2014,other western africa,113233
2014,"africa, n.e.c.",119471
2014,australia,84368
2014,other australian and new zealand subregion,30376
2014,"oceania, n.e.c.",83147
2014,barbados,51378
2014,cuba,1172899
2014,dominican republic,997734
2014,haiti,628003
2014,jamaica,705804
2014,trinidad and tobago,220234
2014,other caribbean,81024
2014,mexico,11714489
2014,costa rica,83337
2014,el salvador,1315474
2014,guatemala,915595
2014,honduras,588301
2014,nicaragua,255233
2014,panama,107299
2014,other central america,6511
2014,argentina,184956
2014,bolivia,80650
2014,brazil,335608
2014,chile,94089
2014,colombia,706826
2014,ecuador,423576
2014,guyana,273019
2014,peru,448750
2014,venezuela,216187
2014,other south america,39518
2014,canada,806387
2014,other northern america,6255
2015,ireland,120144
2015,other northern europe,24671
2015,austria,43401
2015,france,173561
2015,germany,585298
2015,netherlands,88580
2015,other western europe,2527
2015,greece,141325
2015,italy,352492
2015,spain,108953
2015,other southern europe,8194
2015,czechoslovakia (includes czech republic and slovakia),66631
2015,hungary,70255
2015,poland,419332
2015,romania,159546
2015,russia,386529
2015,ukraine,345620
2015,bosnia and herzegovina,107969
2015,other eastern europe,130469
2015,"europe, n.e.c.",11497
2015,"china, excluding hong kong and taiwan",2065431
2015,hong kong,233373
2015,taiwan,377893
2015,japan,335767
2015,korea,1060019
2015,other eastern asia,13389
2015,afghanistan,70653
2015,bangladesh,228682
2015,india,2389639
2015,iran,394223
2015,pakistan,379435
2015,other south central asia,65719
2015,cambodia,166268
2015,indonesia,90833
2015,laos,197016
2015,philippines,1982369
2015,thailand,247205
2015,vietnam,1300515
2015,other south eastern asia,1625
2015,iraq,215193
2015,israel,129680
2015,lebanon,119613
2015,syria,82681
2015,turkey,116336
2015,armenia,86217
2015,other western asia,83981
2015,ethiopia,228745
2015,other eastern africa,125694
2015,egypt,185872
2015,other northern africa,42269
2015,south africa,94141
2015,other southern africa,4724
2015,ghana,155532
2015,nigeria,323635
2015,other western africa,122260
2015,"africa, n.e.c.",110075
2015,australia,83573
2015,other australian and new zealand subregion,29704
2015,"oceania, n.e.c.",83450
2015,barbados,51739
2015,cuba,1210674
2015,dominican republic,1063239
2015,haiti,675546
2015,jamaica,711134
2015,trinidad and tobago,227295
2015,other caribbean,72717
2015,mexico,11643298
2015,costa rica,90109
2015,el salvador,1352357
2015,guatemala,927593
2015,honduras,599030
2015,nicaragua,256171
2015,panama,103625
2015,other central america,6933
2015,argentina,181233
2015,bolivia,78093
2015,brazil,361374
2015,chile,95104
2015,colombia,699399
2015,ecuador,441257
2015,guyana,281408
2015,peru,445921
2015,venezuela,255520
2015,other south america,34749
2015,canada,830628
2015,other northern america,7848
2018,ireland,124990
2018,other northern europe,23625
2018,austria,38983
2018,france,191179
2018,germany,559102
2018,netherlands,88235
2018,other western europe,2172
2018,greece,125699
2018,italy,324903
2018,spain,117790
2018,other southern europe,5056
2018,czechoslovakia (includes czech republic and slovakia),64352
2018,hungary,67265
2018,poland,398786
2018,romania,162443
2018,russia,383305
2018,ukraine,325885
2018,bosnia and herzegovina,105569
2018,other eastern europe,141451
2018,"europe, n.e.c.",10936
2018,"china, excluding hong kong and taiwan",2221943
2018,hong kong,233248
2018,taiwan,390150
2018,japan,361565
2018,korea,1039099
2018,other eastern asia,16878
2018,afghanistan,113669
2018,bangladesh,261052
2018,india,2652853
2018,iran,381951
2018,pakistan,379103
2018,other south central asia,83934
2018,cambodia,138537
2018,indonesia,94079
2018,laos,184390
2018,philippines,2013756
2018,thailand,269381
2018,vietnam,1345753
2018,other south eastern asia,1235
2018,iraq,237422
2018,israel,129926
2018,lebanon,121926
2018,syria,111766
2018,turkey,126494
2018,armenia,87268
2018,other western asia,86647
2018,ethiopia,278083
2018,other eastern africa,157367
2018,egypt,207579
2018,other northern africa,44800
2018,south africa,99672
2018,other southern africa,4577
2018,ghana,195371
2018,nigeria,374711
2018,other western africa,155437
2018,"africa, n.e.c.",117290
2018,australia,90587
2018,other australian and new zealand subregion,30142
2018,"oceania, n.e.c.",116150
2018,barbados,53376
2018,cuba,1343960
2018,dominican republic,1177864
2018,haiti,687186
2018,jamaica,733429
2018,trinidad and tobago,222568
2018,other caribbean,88716
2018,mexico,11171893
2018,costa rica,87383
2018,el salvador,1419330
2018,guatemala,1006987
2018,honduras,646253
2018,nicaragua,262077
2018,panama,103750
2018,other central america,8680
2018,argentina,194421
2018,bolivia,79357
2018,brazil,472637
2018,chile,103030
2018,colombia,789561
2018,ecuador,443105
2018,guyana,280297
2018,peru,467172
2018,venezuela,393841
2018,other south america,33399
2018,canada,813664
2018,other northern america,8805
2023,ireland,117219
2023,other northern europe,20398
2023,austria,37929
2023,france,187003
2023,germany,520418
2023,netherlands,82469
2023,other western europe,2355
2023,greece,113433
2023,italy,295002
2023,spain,126067
2023,other southern europe,4570
2023,bosnia and herzegovina,104381
2023,czechoslovakia (includes czech republic and slovakia),63945
2023,hungary,62703
2023,poland,382844
2023,romania,152470
2023,russia,415809
2023,ukraine,468780
2023,other eastern europe,171805
2023,"europe, n.e.c.",14073
2023,"china, excluding hong kong and taiwan",2193250
