cbsa,period,num0,num1,wsum,fb0,fb1,h0,pop0,pop1,hc0,hn0,hn1,dlog,imm_pc,hisp_pc,_w,period_fe
40380,B,1.2377e+08,1.54763e+08,138977,69244,65053,0.0934122,990534,1009791,246,72989,85788,0.223465,-0.00423105,0.0129213,990534,B
40420,A,2.98465e+07,3.2458e+07,40623,27857,28821,0.137749,337309,329357,81,43525,46772,0.083882,0.00285791,0.00962613,337309,A
40420,B,3.42819e+07,4.27824e+07,42799,28376,29193,0.150869,323260,320756,81,46024,54296,0.221508,0.00252738,0.0255893,323260,B
40580,A,1.53087e+07,1.56573e+07,21332,5694,5147,0.0547029,151620,147335,32,8251,8766,0.0225148,-0.0036077,0.00339665,151620,A
40580,B,1.53326e+07,1.77221e+07,20923,4872,5319,0.0606309,144270,141369,31,8685,10386,0.144828,0.00309836,0.0117904,144270,B
40660,A,8.51573e+06,9.0747e+06,12394,6222,6650,0.100721,96147,96824,20,9228,10422,0.063576,0.00445152,0.0124184,96147,A
40660,B,1.04346e+07,1.37901e+07,14164,6650,6594,0.104975,96824,98985,20,10422,11878,0.278828,-0.000578369,0.0150377,96824,B
40900,A,3.19776e+08,3.66975e+08,298238,346136,381625,0.206256,1971731,2076071,434,417882,460058,0.137673,0.0179989,0.0213904,1971731,A
40900,B,3.90961e+08,5.47162e+08,316450,392811,422536,0.213008,2133479,2242647,443,467102,515739,0.336137,0.0139326,0.022797,2133479,B
40980,A,1.46234e+07,1.59378e+07,20955,4449,4682,0.0888731,189005,183207,52,15364,15897,0.0860684,0.00123277,0.00282009,189005,A
40980,B,1.63742e+07,1.94314e+07,21792,4475,4124,0.0981526,176487,172637,49,15565,16304,0.171188,-0.00198882,0.00418722,176487,B
41060,A,1.48749e+07,1.61063e+07,20537,6990,12214,0.0263587,189809,196598,38,5017,6071,0.0795366,0.0275224,0.00555296,189809,A
41060,B,1.86375e+07,2.4053e+07,23561,12189,12975,0.03215,193421,197392,37,6052,8505,0.255082,0.00406367,0.0126822,193421,B
41100,A,1.39236e+07,1.48107e+07,14477,8425,8694,0.0982255,141902,160537,21,13887,16435,0.0617614,0.00189567,0.017956,141902,A
41100,B,1.72881e+07,2.47196e+07,16577,8694,11161,0.108402,160537,189827,21,16435,22296,0.357576,0.0153672,0.0365087,160537,B
41140,A,1.02328e+07,1.11776e+07,15396,3463,3804,0.0492713,125612,124837,33,5639,6658,0.0883164,0.00271471,0.00811228,125612,A
41140,B,1.13603e+07,1.35488e+07,15655,3804,3653,0.0536338,124837,118831,33,6658,6688,0.176178,-0.00120958,0.000240333,124837,B
41180,A,2.59899e+08,2.85791e+08,324063,118409,125736,0.0265082,2663307,2665674,585,71308,79994,0.094968,0.00275109,0.00326136,2663307,A
41180,B,3.02399e+08,3.70037e+08,341062,123522,130974,0.0306868,2622760,2625774,571,79586,102373,0.201855,0.00284128,0.00868817,2622760,B
41420,A,4.38091e+07,5.15726e+07,54802,49244,48893,0.209985,394371,416980,70,87858,99408,0.16315,-0.000890025,0.0292871,394371,A
41420,B,5.4328e+07,7.62354e+07,57643,48893,52109,0.224611,416980,435085,70,99408,111592,0.338786,0.0077126,0.0292197,416980,B
41500,A,7.46656e+07,8.70092e+07,60348,120740,124510,0.54243,377760,392460,82,227146,244714,0.152994,0.00997988,0.0465057,377760,A
41500,B,8.65934e+07,1.19693e+08,60270,126226,122603,0.541255,408122,413364,85,245150,259946,0.32371,-0.00887725,0.0362539,408122,B
41540,A,3.41901e+07,3.61597e+07,36258,25168,27710,0.0608137,367544,388002,88,24741,27637,0.0560078,0.00691618,0.00787928,367544,A
41540,B,4.10741e+07,4.94087e+07,40802,26768,32759,0.0668417,375168,408205,85,26220,36532,0.18475,0.0159688,0.0274864,375168,B
41620,A,1.05509e+08,1.22919e+08,114435,123831,139001,0.170492,1027880,1099179,204,179877,202851,0.152724,0.0147585,0.0223509,1027880,A
41620,B,1.36493e+08,1.88815e+08,126240,142151,153928,0.178474,1136655,1214396,208,207104,242434,0.324498,0.0103611,0.0310825,1136655,B
41660,A,1.15993e+07,1.33767e+07,15281,7778,7785,0.363743,113572,118990,25,41066,46693,0.142566,6.16349e-05,0.0495457,113572,A
41660,B,1.42573e+07,1.81415e+07,16305,7785,7247,0.391168,118990,120830,25,46693,48305,0.240932,-0.00452139,0.0135473,118990,B
41700,A,2.30854e+08,2.67246e+08,270791,247892,276243,0.566576,2077310,2290517,424,1.15701e+06,1.30192e+06,0.146384,0.0136479,0.069759,2077310,A
41700,B,2.94517e+08,3.78245e+08,292900,277987,295171,0.577621,2304213,2467066,424,1.30214e+06,1.37489e+06,0.250206,0.00745764,0.0315722,2304213,B
41740,A,6.1743e+08,7.38834e+08,470622,661959,694664,0.339614,2785450,2926244,555,950283,1.03287e+06,0.179507,0.0117414,0.0296484,2785450,A
41740,B,8.14467e+08,1.11465e+09,509836,732466,693503,0.354203,3058596,3036771,566,1.07014e+06,1.08364e+06,0.313758,-0.0127389,0.00441377,3058596,B
41860,A,9.25394e+08,1.18081e+09,675107,1098457,1192756,0.229099,3557078,3775619,780,864660,921919,0.243736,0.0265102,0.0160972,3557078,A
41860,B,1.2594e+09,1.6809e+09,713725,1225100,1245968,0.227275,3891081,3874225,795,933620,978352,0.288696,0.00536303,0.011496,3891081,B
41940,A,3.47818e+08,4.67272e+08,232728,528861,581047,0.318103,1433587,1520245,286,456932,468001,0.295232,0.0364024,0.00772116,1433587,A
41940,B,5.10805e+08,6.6129e+08,249900,585718,610462,0.310546,1515531,1508278,285,466981,455410,0.258205,0.016327,-0.00763495,1515531,B
42020,A,5.2945e+07,6.06492e+07,42450,27306,28782,0.206984,266591,278131,51,55944,62320,0.135853,0.00553657,0.0239169,266591,A
42020,B,5.82327e+07,7.81108e+07,40931,28500,26735,0.218603,274779,278799,50,61885,67967,0.293682,-0.00642334,0.0221341,274779,B
42100,A,5.25011e+07,6.29578e+07,37861,47445,47953,0.297197,254464,263615,49,84471,90636,0.18163,0.00199635,0.0242273,254464,A
42100,B,6.39474e+07,8.6e+07,38448,48512,46910,0.30947,268253,263694,50,91205,92882,0.296286,-0.00597197,0.00625154,268253,B
42140,A,1.65751e+07,1.92115e+07,18001,19090,18077,0.500176,132699,136703,45,71200,73510,0.147611,-0.00763382,0.0174078,132699,A
42140,B,1.83532e+07,2.33492e+07,17527,17456,17384,0.509348,126727,131736,42,70310,67775,0.240755,-0.00056815,-0.0200037,126727,B
42200,A,8.41919e+07,1.00141e+08,63005,92362,94407,0.434421,382074,398480,74,176025,190981,0.173478,0.00535237,0.0391442,382074,A
42200,B,1.07905e+08,1.40007e+08,67399,99215,95519,0.432196,425021,425800,82,196484,207573,0.260439,-0.00869604,0.0260905,425021,B
