group,sex,age_band,by,region,n_records,share_of_group,share_se,rate,se,white_rate,white_se,ratio,ratio_se,ratio_age_standardised,ratio_age_standardised_se,white_age_cells_missing
usb_mexican_ancestry,men,25_49,birth_region,west_south_central_ex_texas,482,0.00683699,0.00041003,0.12349,0.026394,0.0867955,0.00173974,1.42277,0.304162,1.53147,0.32544,0
usb_mexican_ancestry,men,25_49,birth_region,mountain,5905,0.0935494,0.00140484,0.0715593,0.00401229,0.0871319,0.00159022,0.821275,0.0488395,0.85881,0.0511865,0
usb_mexican_ancestry,men,25_49,birth_region,pacific_ex_california,1375,0.0203055,0.000733552,0.0638131,0.00718307,0.0950219,0.00208526,0.671563,0.0786727,0.709166,0.0825501,0
usb_mexican_ancestry,men,25_49,birth_region,outside_states,871,0.0145106,0.000603515,0.0516566,0.00770446,0.127914,0.00467636,0.403838,0.0596142,0.397932,0.0582182,0
usb_mexican_ancestry,men,25_49,birth_region,california,30251,0.442468,0.0024874,0.0536224,0.00187843,0.0877034,0.0013722,0.611406,0.023913,0.642334,0.0259455,0
usb_mexican_ancestry,men,25_49,birth_region,texas,17371,0.276311,0.00216374,0.0702852,0.00259071,0.098216,0.00146269,0.715618,0.0288346,0.733351,0.0292184,0
usb_mexican_ancestry,men,25_49,residence_region,all,65218,1,0,0.062113,0.00130278,0.079685,0.000338777,0.779482,0.0167461,0.812,0.0175574,0
usb_mexican_ancestry,men,25_49,residence_region,new_england,317,0.00458804,0.000322493,0.152549,0.0228704,0.0567941,0.00150725,2.68601,0.411152,2.87257,0.44042,0
usb_mexican_ancestry,men,25_49,residence_region,middle_atlantic,962,0.0165361,0.000550102,0.0655949,0.00930839,0.0482889,0.00095197,1.35838,0.190294,1.54196,0.217654,0
usb_mexican_ancestry,men,25_49,residence_region,east_north_central,4467,0.0747914,0.00121533,0.0507381,0.00464217,0.0582783,0.000727329,0.870617,0.080699,0.927565,0.0856428,0
