group,sex,age_band,n_records,outcome,spec,group_rate,group_rate_se,comparison_rate,comparison_se,ratio,ratio_se,n_eff,ref_share_off_support,margins,replicate_fallbacks,max_factor,top10_cell_share,share_at_finest_cell,share_unmatched,expected_ratio
usb_mexican_hisp,men,25_49,104249,reserve_guard_only,b_raked_full,0.0153899,0.00104372,0.0127304,0.000172787,1.20891,0.0852693,10076.391161144978,0.0,"age x educ, state, metro x educ, division x metro (min 20)",0,19.094607222171113,0.07625856940754548,,,
usb_mexican_hisp,men,25_49,104249,ever_active_duty,age_indirect,0.0660273,0.00108881,0.0765754,0.000343949,0.862253,0.0147733,,,,,,,1.0,0.0,
usb_mexican_hisp,men,25_49,104249,now_active_duty,age_indirect,0.0115908,0.000364457,0.0146047,0.000143587,0.793635,0.0256496,,,,,,,1.0,0.0,
usb_mexican_hisp,men,25_49,104249,reserve_guard_only,age_indirect,0.0108211,0.000429843,0.0128603,0.000178465,0.841434,0.0368624,,,,,,,1.0,0.0,
usb_mexican_hisp,men,25_49,104249,ever_active_duty,a_age_education_indirect,0.0660273,0.00108881,0.0752007,0.00040448,0.878014,0.014827,,,,,,,1.0,0.0,
usb_mexican_hisp,men,25_49,104249,now_active_duty,a_age_education_indirect,0.0115908,0.000364457,0.0132654,0.000160695,0.873766,0.0286222,,,,,,,1.0,0.0,
usb_mexican_hisp,men,25_49,104249,reserve_guard_only,a_age_education_indirect,0.0108211,0.000429843,0.0129587,0.000200121,0.835045,0.0380284,,,,,,,1.0,0.0,
usb_mexican_hisp,men,25_49,104249,ever_active_duty,b_indirect_geo,0.0660273,0.00108881,0.0880672,0.000760499,0.749738,0.0135045,,,,,,,0.9997198317911651,0.0,
usb_mexican_hisp,men,25_49,104249,now_active_duty,b_indirect_geo,0.0115908,0.000364457,0.021094,0.000430758,0.549484,0.0187456,,,,,,,0.9997198317911651,0.0,
usb_mexican_hisp,men,25_49,104249,reserve_guard_only,b_indirect_geo,0.0108211,0.000429843,0.0108483,0.00029251,0.997496,0.0484426,,,,,,,0.9997198317911651,0.0,
usb_mexican_hisp,men,25_49,104249,ever_active_duty,b_indirect_full,0.0660273,0.00108881,0.0852718,0.000927148,0.774317,0.0138197,,,,,,,0.9771191202067612,0.0,
usb_mexican_hisp,men,25_49,104249,now_active_duty,b_indirect_full,0.0115908,0.000364457,0.0188295,0.000469816,0.615567,0.0233219,,,,,,,0.9771191202067612,0.0,
usb_mexican_hisp,men,25_49,104249,reserve_guard_only,b_indirect_full,0.0108211,0.000429843,0.0112291,0.000344433,0.963666,0.0509743,,,,,,,0.9771191202067612,0.0,
usb_mexican_hisp,men,25_49,104249,ever_active_duty,c_neighborhood_per_teen_15_17,0.0660273,0.00108881,0.0852112,0.000362271,0.774867,0.0131614,,,,,,,,,1.06935
usb_mexican_hisp,men,25_49,104249,now_active_duty,c_neighborhood_per_teen_15_17,0.0115908,0.000364457,0.0141448,0.000141216,0.819443,0.0268371,,,,,,,,,1.06935
usb_mexican_hisp,men,25_49,104249,reserve_guard_only,c_neighborhood_per_teen_15_17,0.0108211,0.000429843,0.0136132,0.00018477,0.794897,0.0346947,,,,,,,,,1.06935
usb_mexican_hisp,men,25_49,104249,ever_active_duty,c_age_neighborhood_per_teen_15_17,0.0660273,0.00108881,0.0818859,0.000367802,0.806334,0.0138152,,,,,,,,,1.06935
usb_mexican_hisp,men,25_49,104249,now_active_duty,c_age_neighborhood_per_teen_15_17,0.0115908,0.000364457,0.0156176,0.000153545,0.742166,0.0239861,,,,,,,,,1.06935
usb_mexican_hisp,men,25_49,104249,reserve_guard_only,c_age_neighborhood_per_teen_15_17,0.0108211,0.000429843,0.0137522,0.000190841,0.786865,0.0344718,,,,,,,,,1.06935
usb_mexican_hisp,men,25_49,104249,ever_active_duty,c_neighborhood_per_youth_18_24,0.0660273,0.00108881,0.081419,0.000346149,0.810958,0.0137744,,,,,,,,,1.02176
