group,sex,age_band,universe,outcome,n_records,adults_per_year,rate,se,ratio_to_nh_white,ratio_se,share_in_group_quarters
mexico_born,men,25_49,all,now_active_duty,64968,2943320,0.00179389,0.000206395,0.135619,0.0154874,0.0303662
mexico_born,men,25_49,all,reserve_guard_only,64968,2943320,0.0031076,0.000279304,0.244109,0.022421,0.0361152
mexico_born,men,25_49,household,ever_active_duty,60251,2866174,0.0142801,0.00062329,0.179266,0.00784033,0
mexico_born,men,25_49,household,now_active_duty,60251,2866174,0.00178624,0.000213644,0.140939,0.0167928,0
mexico_born,men,25_49,household,reserve_guard_only,60251,2866174,0.00307599,0.000289674,0.239822,0.0231082,0
mexico_born,men,25_34,all,ever_active_duty,20217,872606,0.0131717,0.000988802,0.199663,0.0147819,0.019634
mexico_born,men,25_34,all,now_active_duty,20217,872606,0.00309342,0.000466359,0.167503,0.0253049,0.043591
mexico_born,men,25_34,all,reserve_guard_only,20217,872606,0.00429136,0.000640696,0.315627,0.0490115,0.0414812
mexico_born,men,25_34,household,ever_active_duty,18098,836314,0.0134734,0.0010416,0.20767,0.0158687,0
mexico_born,men,25_34,household,now_active_duty,18098,836314,0.00308696,0.000493447,0.181494,0.0291267,0
mexico_born,men,25_34,household,reserve_guard_only,18098,836314,0.00429185,0.000670686,0.313782,0.0510054,0
mexico_born,men,18_plus_born_1956_on,all,ever_active_duty,118099,5105640,0.0156342,0.000427072,0.166878,0.00452537,0.0326181
mexico_born,men,18_plus_born_1956_on,all,now_active_duty,118099,5105640,0.00141478,0.000123749,0.142638,0.0125453,0.118228
mexico_born,men,18_plus_born_1956_on,all,reserve_guard_only,118099,5105640,0.00333618,0.000189658,0.231582,0.0135586,0.0310176
mexico_born,men,18_plus_born_1956_on,household,ever_active_duty,110937,4988983,0.0154779,0.000439543,0.16557,0.00467152,0
mexico_born,men,18_plus_born_1956_on,household,now_active_duty,110937,4988983,0.00127668,0.000126162,0.156685,0.0155685,0
mexico_born,men,18_plus_born_1956_on,household,reserve_guard_only,110937,4988983,0.00330829,0.000196975,0.227906,0.0139887,0
mexico_born,women,18_24,all,ever_active_duty,5905,260834,0.00409072,0.00106928,0.607901,0.158355,0.323961
