cbsa,d_native_birth_rate,d_fb_share,d_log_rent,d_log_income,d_ba,d_black,d_hisp,d_own,d_age,d_w2034,fb_share_2010,pop,name,native_women_15_50,bartik_raw,bartik,k,zori_growth
30780,-8.655961866567708,0.26042964344732855,0.3438710242671821,0.36461230998533445,6.96128285902126,0.959927316193177,2.369820252990607,-0.216022141030507,1.7000000000000028,-0.7624005079545384,4.561551517500745,764582.0,"Little Rock-North Little Rock-Conway, AR Metro Area",175894.0,0.0,0.0,"('little rock', 'ar')",0.3265797851564324
30860,8.76587993968171,1.056542424829006,0.7685451980441576,0.6106518662037494,9.845183486788493,-0.06035101977205365,1.5675791502092231,-3.4196612413869545,-0.10000000000000142,-1.9336796397393243,6.025868305363659,157164.0,"Logan, UT-ID Metro Area",39140.0,0.0,0.0,"('logan', 'ut')",
31080,-6.677098482488681,-1.4349663990941295,0.510658385702218,0.48373823191896825,7.507224573174675,-0.7056528389664072,0.5335363564659517,-1.5916712774845792,3.5,-1.6325002707217706,34.30824655160485,12799100.0,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2204456.0,-8697421.138200544,-67.68746124386318,"('los angeles', 'ca')",0.41291792331998284
31140,-4.5561235271756075,1.9857133590955547,0.4787211100293085,0.43347971068905444,6.431966226774879,-0.6302833257733091,3.1168921130376366,1.3551571709956534,1.2999999999999972,-1.698266312656834,4.786482411240524,1364742.0,"Louisville/Jefferson County, KY-IN Metro Area",286145.0,0.0,0.0,"('louisville/jefferson county', 'ky')",
31180,11.547965717111296,0.26862053762142946,0.4172840244113072,0.30401638993983404,2.1072801087021773,-0.10903429346727034,5.343915983649424,-3.552347976823171,2.1999999999999993,-5.236394094896816,5.7123641935506235,360342.0,"Lubbock, TX Metro Area",87404.0,0.0,0.0,"('lubbock', 'tx')",0.2585358742286389
31340,-6.622349244506907,0.9292565951667036,0.3597629546273087,0.4858359829709116,10.186208521820731,-1.906862867111231,2.4346216751448058,1.1197016504011117,-0.5999999999999943,1.5740974200523254,2.097874239092329,265565.0,"Lynchburg, VA Metro Area",59650.0,0.0,0.0,"('lynchburg', 'va')",0.4667895309039368
31540,-18.87482306357451,0.7874506950040328,0.4825160409248781,0.35490931348379817,5.852782568549905,0.35766463909466406,1.77264362341797,-4.185603949111517,1.1000000000000014,0.10914085278473351,7.175881654188372,694345.0,"Madison, WI Metro Area",154651.0,0.0,0.0,"('madison', 'wi')",0.3524785666409077
31700,-1.6199564913573141,2.5094495772616163,0.4928035496959673,0.4176770011823763,7.649706174368774,0.650790804680689,3.5123600736675167,0.03429906854290721,1.2000000000000028,1.141761990989849,8.308045988475454,427354.0,"Manchester-Nashua, NH Metro Area",83673.0,0.0,0.0,"('manchester', 'nh')",0.5522041830090059
32580,-25.75650145893556,-3.0234516227933277,0.43144059451142436,0.46423953896682235,4.902810718203643,0.2602432498240481,1.2655801651579992,-1.5284276075096415,2.900000000000002,2.3578170751640783,28.869472251171985,898471.0,"McAllen-Edinburg-Mission, TX Metro Area",166697.0,0.0,0.0,"('mcallen', 'tx')",0.28611339896552335
32780,-6.514624953332699,0.4381445953342258,0.550845340557296,0.5787217445033601,6.066263348744329,0.20897779832605068,4.369957294843022,2.9480369047254342,0.7999999999999972,-6.106754762129881,5.430006585996402,220768.0,"Medford, OR Metro Area",43059.0,0.0,0.0,"('medford', 'or')",0.5190313760859017
32820,-47.9821751699461,1.3581381591221522,0.41425361414124406,0.34426826333695715,6.398581460867494,0.4101628268228126,2.7334683390910257,-2.3541396562367467,1.4000000000000057,-2.1758562507978993,5.052184487220289,1335549.0,"Memphis, TN-MS-AR Metro Area",298285.0,0.0,0.0,"('memphis', 'tn')",0.41620421929602014
32900,-0.9948741691411911,1.3194888252189578,0.4721698067908964,0.3046982433338652,2.153151796158369,-0.6738926747482381,8.831222835777588,-2.0184950299328435,-0.09999999999999787,-0.4285440077624756,24.48963696266814,291920.0,"Merced, CA Metro Area",54700.0,0.0,0.0,"('merced', 'ca')",0.6404673851471713
33100,-2.8099931813297445,3.8702143521379426,0.588100193670952,0.5198385103832575,9.495823031609689,-0.8671690813053772,4.910184517832121,-2.2168249010066674,0.3999999999999986,-1.5833207805055949,38.82262150839315,6183199.0,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",773461.0,-8128856.595786511,-145.6170813298288,"('miami', 'fl')",0.5346977157302197
33260,-9.269390799048438,4.521190551226527,0.44704153495390475,0.5583952362774287,13.399082550539468,-0.2360376221127698,8.787314844941115,-2.7689486180789515,-1.4999999999999964,-8.324704044816606,7.499178682241285,182432.0,"Midland, TX Metro Area",38951.0,0.0,0.0,"('midland', 'tx')",
33340,-7.60118295411371,1.5899150037294572,0.38430029691612067,0.4363905815542246,8.769020897632078,-0.8681036346119839,2.7081737841029287,-1.0046353563466113,1.0,-2.595199893153662,6.433481201404533,1560424.0,"Milwaukee-Waukesha, WI Metro Area",327883.0,0.0,0.0,"('milwaukee', 'wi')",0.3219483029859946
33460,1.2036119165942978,1.1381529987115169,0.5239929901196625,0.4221542512280685,8.249773598323905,2.1871447706362224,1.4977089549903146,-1.0585914753806378,0.8000000000000043,-3.1068040842461,9.508960971579592,3712020.0,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",746739.0,-4708280.744939054,-143.27453924490342,"('minneapolis', 'mn')",0.3080646783200743
33660,-15.659511270672027,0.4582698498530817,0.3856049251988578,0.3248833393326169,6.12289906626501,0.6976934246689552,1.1147586348005074,-0.3335794827501246,1.6000000000000014,-4.8109584708510695,3.1412345714859526,411640.0,"Mobile, AL Metro Area",94471.0,0.0,0.0,"('mobile', 'al')",0.4742782769928511
33700,-5.541753949983509,1.5207472804745166,0.48911934518412714,0.5438034286291948,4.924893700082276,0.18028684334938472,8.8282533134471,1.6604681994319392,0.5,-3.266044519084957,20.15453335351348,551430.0,"Modesto, CA Metro Area",103365.0,0.0,0.0,"('modesto', 'ca')",0.6103293104692427
33860,6.269881727195013,0.9434967074216716,0.26502004727078177,0.31495811608214375,3.2652374560794932,2.4954985300023225,1.045415172966666,-1.3321293375181682,3.4000000000000057,-4.1647905118247195,3.632299153659677,385463.0,"Montgomery, AL Metro Area",85558.0,0.0,0.0,"('montgomery', 'al')",0.32987629809211266
34180,-43.94667020126599,-1.4819728230665987,0.4135392436364276,0.5796096726384885,4.390561078901808,0.2594986125368999,5.738436499740033,1.1900814444406578,-0.09999999999999787,-0.5031133361124702,17.71037618113746,102678.0,"Moses Lake, WA Micro Area",18633.0,0.0,0.0,"('moses lake', 'wa')",0.5410914678628547
34580,-35.54129514811787,0.7271282848758531,0.6197250206919982,0.4978016571118644,8.083263309993018,0.38369682511005576,2.8145826942980605,1.8121794860100948,2.8999999999999986,-4.1027706167017755,9.510512203036669,131417.0,"Mount Vernon-Anacortes, WA Metro Area",22924.0,0.0,0.0,"('mount vernon', 'wa')",
34740,-21.256107442155894,-0.7220223573132927,0.4353180712578455,0.4601712648166121,5.537918927377145,-1.8343536839918375,1.6219761667291417,8.547273054938884,0.29999999999999716,-2.2690409609230286,3.065648464560523,176564.0,"Muskegon-Norton Shores, MI Metro Area",36742.0,0.0,0.0,"('muskegon', 'mi')",
34900,-42.337276764516254,-1.2860246125594017,0.6354430370410835,0.485836232618464,11.635151841893716,-0.12659074706400952,4.343080138027332,0.47117333335278744,-1.0,-0.7484537751884446,23.196305659881045,133216.0,"Napa, CA Metro Area",22761.0,0.0,0.0,"('napa', 'ca')",
34980,3.355974923534653,2.329882425803353,0.6931471805599454,0.5682584484493223,12.69321779448407,-1.8741741587153395,3.398136013743538,-1.4547236832192567,0.3999999999999986,-1.5462481164044917,7.415084272307837,2104235.0,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",468937.0,0.0,0.0,"('nashville', 'tn')",0.4205078139788174
35300,-6.348495914784756,1.9707655453934478,0.3710538291255503,0.3471141719424722,10.657113983241885,1.5149349413842028,4.825067294690408,-4.710711832667755,1.2999999999999972,1.645647110766788,11.896327763158048,568158.0,"New Haven, CT Metro Area",112008.0,0.0,0.0,"('new haven', 'ct')",0.4356623646546765
35380,-9.458812165164723,2.472393366828536,0.27085578070210836,0.2793236588952137,7.752536129109547,3.853211746007972,5.215076284819558,-0.951875785229376,2.6000000000000014,-6.750570221690495,7.098106495461197,962165.0,"New Orleans-Metairie, LA Metro Area",202826.0,0.0,0.0,"('new orleans', 'la')",0.28540438217003644
35620,-0.8116893298284467,1.663955278724064,0.42782201520944074,0.43023373177886093,8.664376424447852,-1.4372132580348076,2.7501954454329187,-1.0895831926132118,0.10000000000000142,-0.7813984819934703,28.790358849688182,19498249.0,"New York-Newark-Jersey City, NY-NJ Metro Area",3090527.0,-6649105.44047366,-35.14329500440703,"('new york', 'ny')",0.29036285685076807
35840,-15.190732423852886,3.6296282211549826,0.7083648655308323,0.5554269657913,12.88265137904424,-0.21135864632722345,3.1621353076844176,1.4989959300931446,5.100000000000001,0.40582608173436796,11.551537091093673,910108.0,"North Port-Bradenton-Sarasota, FL Metro Area",124139.0,0.0,0.0,"('north port', 'fl')",0.5560197381374495
35980,-1.4714987274194584,-0.44878473771784577,0.344665950991522,0.2818913888963124,7.752523343071545,-0.6876919863113367,6.683198709228678,-3.6872798120436414,-1.2000000000000028,1.5528356953969151,9.534947364580102,279634.0,"Norwich-New London-Willimantic, CT Metro Area",54081.0,0.0,0.0,"('norwich', 'ct')",0.45758157253122933
36020,0.6760283430871681,-0.16801302336685353,0.5453189664721743,0.498824430412931,3.7757628583577016,-0.24490214653542908,3.344107096074463,5.663600972187822,4.300000000000004,-6.8209829666561035,8.422617912837914,86267.0,"Oak Harbor, WA Micro Area",14435.0,0.0,0.0,"('oak harbor', 'wa')",0.6177070449652977
36100,56.63173431485618,2.8861444065438064,0.5083865981666325,0.4587306851120374,6.2856239371147815,0.22473170515281105,6.6416868427985545,-0.7187409505367413,-0.30000000000000426,-1.8117170224038404,7.343415134776178,409959.0,"Ocala, FL Metro Area",70193.0,0.0,0.0,"('ocala', 'fl')",0.6083608912418802
36220,-50.306876116697076,7.4070796484066594,0.6055656781272782,0.4544632268796782,4.090940591248799,0.30328590233111186,11.63660832940868,2.269465853901984,0.20000000000000284,-5.2454966357746144,12.251996062561522,164494.0,"Odessa, TX Metro Area",28813.0,0.0,0.0,"('odessa', 'tx')",
36260,-38.593169460029834,0.8649324348792309,0.6673059493760585,0.5293380354808832,5.203650474989672,0.09138265813192503,3.019885772454245,2.6086203992773846,3.0,-2.517223820565434,5.289809188766503,658013.0,"Ogden, UT Metro Area",151969.0,0.0,0.0,"('ogden', 'ut')",0.576656782314602
36420,-3.8824876168563307,0.21475098597069042,0.4693021209742456,0.41319214508954616,7.201159097659268,-0.9542177139253987,4.611530502336363,-3.8306807139913346,0.10000000000000142,-4.082956148830277,7.66724039925428,1477926.0,"Oklahoma City, OK Metro Area",329906.0,0.0,0.0,"('oklahoma city', 'ok')",0.3155992479603205
36500,-11.24578837451596,1.4273417892722966,0.6426424853232726,0.4233716056772856,9.874290757304792,0.9109317606402225,3.8478215965727003,0.636987392893289,2.1000000000000014,-5.573589883293849,6.989296170881949,299003.0,"Olympia-Lacey-Tumwater, WA Metro Area",62413.0,0.0,0.0,"('olympia', 'wa')",0.5533433067113581
36540,-12.65683008069616,1.4728185839800396,0.43898293558827906,0.4089858483914064,7.062454896301958,-0.7498518091251603,3.4445864181826202,-1.7282884765399587,1.5,-3.757229777206682,6.544058196024592,984548.0,"Omaha, NE-IA Metro Area",209733.0,0.0,0.0,"('omaha', 'ne')",0.3923213977380892
36740,1.5139091684998505,6.136182385882698,0.6115236475374415,0.5097234201084095,10.047620350379496,-0.085649689538986,8.066121062545562,-2.5853544470159804,1.0,-3.013490561128542,15.774700520133877,2817933.0,"Orlando-Kissimmee-Sanford, FL Metro Area",528428.0,-7337402.9315315,-342.741968826137,"('orlando', 'fl')",0.5254846497686004
36780,-23.356087833741533,-0.6050814989253963,0.4043892607747006,0.3729990388368378,13.184349172180212,0.3789948371569134,1.703893511919862,-0.8404354791929336,0.8000000000000043,-0.9598265771929633,3.830981868681125,171735.0,"Oshkosh-Neenah, WI Metro Area",36364.0,0.0,0.0,"('oshkosh', 'wi')",
37100,1.4057774265830076,-0.08071632436525888,0.49432528591378144,0.40426768659808054,7.127004312051017,0.041148896815992986,4.356433392871551,-0.6222040200949479,2.299999999999997,-0.44792825396975644,23.007583813124768,829590.0,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",143522.0,0.0,0.0,"('oxnard', 'ca')",0.43195866415444123
37340,2.430940320666849,0.792307152480868,0.6353821546298155,0.5297326929195219,7.962382961410505,-0.8593136564255452,4.361834487825279,1.7584250617537691,1.1000000000000014,-0.6559699358324096,8.965309167305955,643979.0,"Palm Bay-Melbourne-Titusville, FL Metro Area",114032.0,0.0,0.0,"('palm bay', 'fl')",0.6200051329388017
37860,12.725082379583291,0.3994025732578299,0.5100980864476137,0.5771406053588564,7.718244066287134,-2.0819077704355813,2.4122481302860415,2.7129239796228575,1.5,-5.666365238185939,5.354337357697291,530090.0,"Pensacola-Ferry Pass-Brent, FL Metro Area",110712.0,0.0,0.0,"('pensacola', 'fl')",0.5812082428945706
