domain,race_code,race_label,measure,measure_label,estimate,se,n_obs,weighted_n,cv,ci95_lo,ci95_hi
65-74,2,Non-Hispanic black,PAMTOOP,Out-of-pocket payments,1437.3596837355256,188.20419413734922,231,3020249.2285435004,0.13093743776660624,1068.479463226321,1806.23990424473
65-74,2,Non-Hispanic black,PAMTALPR,All private insurance payments,1243.1729423644892,435.00369268687075,231,3020249.2285435004,0.34991406091859006,390.5657046982226,2095.780180030756
65-74,2,Non-Hispanic black,PAMTOTH,Other payments (includes VA),540.7288806966166,293.10566332930034,231,3020249.2285435004,0.5420566087605581,-33.75821942881214,1115.2159808220454
65-74,2,Non-Hispanic black,PUBLIC,Public = PAMTCARE + PAMTMADV + PAMTCAID,11959.413496704487,2095.668097843531,231,3020249.2285435004,0.1752316782441722,7851.904024931166,16066.922968477807
65-74,2,Non-Hispanic black,ANY_MEDICAID,Share with any Medicaid payment (dual-eligibility proxy),0.274562038900942,0.028600576389683656,231,3020249.2285435004,0.10416799242958102,0.21850490917716203,0.33061916862472196
65-74,2,Non-Hispanic black,ANY_MADV,Share with any Medicare MCO/HMO payment (MA-enrolment proxy),0.5949118659423319,0.03455178019157584,231,3020249.2285435004,0.05807882170386081,0.5271903767668433,0.6626333551178205
65-74,3,Hispanic,PAMTTOT,"Total payments, all sources",16907.711079838526,2097.8640153445094,266,2698695.7524768002,0.12407735177389516,12795.897609763288,21019.524549913764
65-74,3,Hispanic,PAMTCARE,Medicare payments,8911.418256289558,1782.1009024200227,266,2698695.7524768002,0.1999794927325109,5418.500487546315,12404.336025032802
65-74,3,Hispanic,PAMTMADV,Medicare MCO/HMO (Medicare Advantage) payments,3730.647756555806,543.083494757386,266,2698695.7524768002,0.1455735116785106,2666.2041068313297,4795.091406280282
65-74,3,Hispanic,PAMTCAID,Medicaid payments,2026.7551494761485,755.9415006971034,266,2698695.7524768002,0.3729811669122884,545.109808109826,3508.4004908424713
65-74,3,Hispanic,PAMTOOP,Out-of-pocket payments,1274.1409944569846,171.97232489710038,266,2698695.7524768002,0.13497118893846738,937.0752376586679,1611.2067512553012
65-74,3,Hispanic,PAMTALPR,All private insurance payments,559.4087296916143,215.51208736212828,266,2698695.7524768002,0.3852497752062857,137.0050384618429,981.8124209213858
65-74,3,Hispanic,PAMTOTH,Other payments (includes VA),220.51914846260993,67.06079209276307,266,2698695.7524768002,0.3041041676438976,89.07999596079432,351.9583009644256
65-74,3,Hispanic,PUBLIC,Public = PAMTCARE + PAMTMADV + PAMTCAID,14668.821162321517,2163.546661146268,266,2698695.7524768002,0.14749287875317316,10428.269706474832,18909.372618168203
65-74,3,Hispanic,ANY_MEDICAID,Share with any Medicaid payment (dual-eligibility proxy),0.34713093480123713,0.039438229162404276,266,2698695.7524768002,0.11361196945753659,0.26983200564292475,0.4244298639595495
65-74,3,Hispanic,ANY_MADV,Share with any Medicare MCO/HMO payment (MA-enrolment proxy),0.5977288782148729,0.036076613879239085,266,2698695.7524768002,0.06035615007757779,0.5270187150115643,0.6684390414181814
65-74,4,Other,PAMTTOT,"Total payments, all sources",12554.791944480616,2928.43428783311,122,1746785.0636973004,0.2332523151943206,6815.06074032772,18294.52314863351
65-74,4,Other,PAMTCARE,Medicare payments,6417.577714605619,2234.483935245826,122,1746785.0636973004,0.3481818272586579,2037.9892015238001,10797.166227687438
65-74,4,Other,PAMTMADV,Medicare MCO/HMO (Medicare Advantage) payments,2120.1097405147816,533.2364585856002,122,1746785.0636973004,0.2515136119586553,1074.9662816870052,3165.253199342558
65-74,4,Other,PAMTCAID,Medicaid payments,901.79976845706,631.1337854218967,122,1746785.0636973004,0.6998602211904966,-335.2224509698576,2138.8219878839777
65-74,4,Other,PAMTOOP,Out-of-pocket payments,1618.6050261101293,327.52541266314984,122,1746785.0636973004,0.20235042359300393,976.6552172903556,2260.554834929903
65-74,4,Other,PAMTALPR,All private insurance payments,727.0548270268675,211.6566329347467,122,1746785.0636973004,0.2911150921042233,312.207826474764,1141.901827578971
65-74,4,Other,PAMTOTH,Other payments (includes VA),441.6693872922143,273.95673025492704,122,1746785.0636973004,0.6202755684166846,-95.28580400744272,978.6245785918713
65-74,4,Other,PUBLIC,Public = PAMTCARE + PAMTMADV + PAMTCAID,9439.487223577462,2814.298659605381,122,1746785.0636973004,0.29814105289278553,3923.461850750915,14955.512596404009
65-74,4,Other,ANY_MEDICAID,Share with any Medicaid payment (dual-eligibility proxy),0.18701454206904605,0.050001607397761785,122,1746785.0636973004,0.2673674830019428,0.08901139156943295,0.28501769256865916
65-74,4,Other,ANY_MADV,Share with any Medicare MCO/HMO payment (MA-enrolment proxy),0.5204865563010969,0.04983794018496923,122,1746785.0636973004,0.09575259837477614,0.42280419353855714,0.6181689190636366
75+,1,Non-Hispanic white,PAMTTOT,"Total payments, all sources",20667.39840736641,757.0464073933571,2610,18042907.767068967,0.03662998082639785,19183.58744887543,22151.20936585739
75+,1,Non-Hispanic white,PAMTCARE,Medicare payments,9411.92920308005,514.5729544855292,2610,18042907.767068967,0.054672420858960076,8403.366212288412,10420.492193871687
75+,1,Non-Hispanic white,PAMTMADV,Medicare MCO/HMO (Medicare Advantage) payments,4467.157525860239,381.5015075584245,2610,18042907.767068967,0.08540140018567152,3719.414571045727,5214.900480674751
75+,1,Non-Hispanic white,PAMTCAID,Medicaid payments,249.9920526850929,67.49976559912233,2610,18042907.767068967,0.27000764573964137,117.69251211081314,382.29159325937263
75+,1,Non-Hispanic white,PAMTOOP,Out-of-pocket payments,3678.8985210953015,125.44357709901661,2610,18042907.767068967,0.034098134639948936,3433.029109981229,3924.767932209374
75+,1,Non-Hispanic white,PAMTALPR,All private insurance payments,1520.4582046628962,123.33419594071474,2610,18042907.767068967,0.08111646578806118,1278.7231806190953,1762.193228706697
75+,1,Non-Hispanic white,PAMTOTH,Other payments (includes VA),750.5181390126551,73.77166981121579,2610,18042907.767068967,0.09829431958602118,605.9256661826721,895.110611842638
