scheme,band,band_label,nativity,subgroup,denominator,measure,ratio,se,ci_lo,ci_hi,excludes_one,difference,se_difference,n_mexican,n_denominator,pooled_ratio,coverage_composition_part,standard_share_medicaid_ever
pooled,18_64,18_64,us_born,all,all_donors,total_all_sources,0.5424635967898606,0.0713703337900226,0.4025803129968142,0.6823468805829069,True,-3855.877849592285,636.7226662672932,870,7952,,,
pooled,18_64,18_64,us_born,all,all_donors,share_medicaid_ever,1.552715262828247,0.13082322199874613,1.2963064593692164,1.8091240662872776,True,0.10765513266601098,0.02626333618031951,870,7952,,,
pooled,18_64,18_64,foreign_born,all,nh_white,public,0.3365418048980955,0.22422785779921203,-0.10293672071892879,0.7760203305151198,True,-2439.1552965045285,2319.2117192602864,697,275,,,
pooled,18_64,18_64,foreign_born,all,nh_white,medicare,0.07897517747394732,0.09470146853032307,-0.10663629012853922,0.26458664507643387,True,-2417.673919998593,2244.120493115728,697,275,,,
pooled,18_64,18_64,foreign_born,all,nh_white,medicaid,5.641015788369011,2.2421317412472965,1.2465183269302305,10.035513249807792,True,730.4754973619915,215.0369571174334,697,275,,,
pooled,18_64,18_64,foreign_born,all,nh_white,out_of_pocket,0.2490767571433117,0.040622002302900695,0.16945909564972322,0.3286944186369002,True,-1296.735129084082,253.29338994807756,697,275,,,
pooled,18_64,18_64,foreign_born,all,nh_white,private,0.23039884850915945,0.056545285937645066,0.11957212457585595,0.341225572442463,True,-3804.2492168141152,807.614366148111,697,275,,,
pooled,18_64,18_64,foreign_born,all,nh_white,total_all_sources,0.2789025602706402,0.07606628052180561,0.12981539000998057,0.42798973053129985,True,-7552.10945160323,2537.430778720096,697,275,,,
pooled,18_64,18_64,foreign_born,all,nh_white,share_medicaid_ever,2.0638260669647717,0.5455656465020706,0.9945370486184026,3.1331150853111405,False,0.0969480278730672,0.03190142327044523,697,275,,,
pooled,18_64,18_64,foreign_born,all,all_donors,public,0.8578512116341097,0.2536938864678889,0.3606203310590541,1.3550820922091653,False,-205.0199398691616,400.4376171534959,697,2140,,,
pooled,18_64,18_64,foreign_born,all,all_donors,medicare,0.3970494616181396,0.38618735446808083,-0.35986384442410235,1.1539627676603814,False,-314.8140286381268,346.04060659541074,697,2140,,,
pooled,18_64,18_64,foreign_born,all,all_donors,medicaid,1.2899405721764,0.2548071359937513,0.7905277626248477,1.789353381727952,False,199.5672216117714,177.99810552055953,697,2140,,,
pooled,18_64,18_64,foreign_born,all,all_donors,out_of_pocket,0.5201542069483797,0.06369997995470615,0.3953045404212322,0.6450038734755271,True,-396.7879806798046,77.58616522964722,697,2140,,,
pooled,18_64,18_64,foreign_born,all,all_donors,private,0.4415467476324641,0.08940752520764111,0.26631121827863047,0.6167822769862977,True,-1440.4350805062193,323.5098359253874,697,2140,,,
pooled,18_64,18_64,foreign_born,all,all_donors,total_all_sources,0.5908056717474562,0.08598546333915008,0.4222772604087329,0.7593340830861796,True,-2023.0740175927058,544.8541897493685,697,2140,,,
