scheme,band,band_label,nativity,subgroup,group,n,population,mean_public,se_public,mean_medicare,se_medicare,mean_medicaid,se_medicaid,mean_out_of_pocket,se_out_of_pocket,mean_private,se_private,mean_total_all_sources,se_total_all_sources,mean_share_medicaid_ever,se_share_medicaid_ever
transport,3,50-64,us_born,all,nh_white,2025,35578415.472524,3045.206926578735,307.04929316227765,1487.0538085697683,191.67171213730987,1169.678083670855,200.83624844123952,1830.022524985633,140.483446379856,8084.303691003317,653.9759777815801,13100.664055057521,766.5554526883374,0.11146981910728275,0.008267543375466483
transport,3,50-64,us_born,all,all_donors,2820,47970147.851844,3362.149766353808,299.2827847054082,1522.6210253587562,161.45744929269324,1446.478239419818,225.62224138908826,1697.5344379264461,126.64791691395365,7772.110504160323,585.7466102712123,13031.402179894605,691.7648373830067,0.13537956534929377,0.007996219159825985
transport,3,50-64,foreign_born,all,mexican_origin,269,3435312.6665160004,1767.7636151876154,707.1339610689548,594.8017861788232,510.32731476171375,1158.6818794320002,430.2353556739208,496.45756276582597,76.73671890771445,1457.555666591503,350.03072885588347,3841.883738593451,771.0546426096431,0.2016012048467712,0.038346235283569376
transport,3,50-64,foreign_born,all,nh_white,117,2170817.0360539993,9122.657874713483,5998.527100296681,6904.400172823956,5847.237423008652,184.5632729705847,66.75803405421824,1875.7114584393864,324.5083488305694,6820.280311559618,1322.7814308728446,18118.689900484565,6090.567232456295,0.0910213924809483,0.030855260475907788
transport,3,50-64,foreign_born,all,all_donors,802,13152331.594999,3038.6645751452784,1028.7919644926978,1508.1770624411588,983.614502631269,1052.7473075568996,189.1975251830106,938.354597596865,105.38917251352561,3866.1833832149246,595.5840883119238,7977.34887914067,1239.5155601032918,0.15581439588097273,0.015417897626830003
transport,3,50-64,both,all,mexican_origin,423,5806183.457963999,2370.1091036266926,555.2461940240331,666.8263956381314,309.20364752057395,1557.8421282427178,430.60420346013996,1221.3338533594406,470.65313629647795,3441.954570381303,723.9588445303343,7168.111535464107,1261.4639524673262,0.17730023834899342,0.026665269388199745
transport,3,50-64,both,all,nh_white,2142,37749232.508578,3394.6983778551416,458.1306522595141,1798.585116525655,384.31540293763936,1113.0278189786836,189.10301329243688,1832.6499244984047,133.31674310204383,8011.6144387001505,615.9167554627579,13389.231934951158,804.091131829329,0.11029390664678808,0.00810437885200062
transport,3,50-64,both,all,all_donors,3622,61122479.446843,3292.5422416043193,326.0778868996322,1519.5129742528889,243.826416881391,1361.7552402559397,182.0915021681767,1534.1741637586292,100.79940843856542,6931.6333320055055,485.21318420260445,11943.871282720762,618.9249502728163,0.13977673100213667,0.007273336427690681
transport,4,65+,us_born,all,mexican_origin,125,1580047.7888260004,10730.130610798715,2485.472429198091,9200.33902794297,2343.3623137754803,799.1923539777719,325.7594413268948,1130.32300038315,254.08601554020274,1888.666540746607,552.0701526628118,13803.609741024027,2964.462123209708,0.16315660593123316,0.03511055138364591
transport,4,65+,us_born,all,nh_white,3372,43371443.22599,11020.139429652229,415.21877591098104,9889.630570950172,383.7551345556161,279.01665485241676,70.11515651286237,2323.9202075475387,118.98731423037027,2967.94493930574,270.3135027067335,16464.27941196557,529.728515574426,0.0706122434155889,0.005799867478116002
transport,4,65+,us_born,all,all_donors,4177,52425731.664561,11054.624840822691,417.9201984063778,9696.947832670441,359.6196308021974,413.8470298677796,80.85169586297796,2136.4391071763516,101.42275875024892,2923.9350523112107,249.82494291263978,16263.29718278439,502.1422678222952,0.09550359686565046,0.006508391027141064
transport,4,65+,foreign_born,all,mexican_origin,155,1515519.152906,8817.972599417491,1721.785898296908,7536.133646264343,1575.8703039117822,1156.9869196137588,367.14312615111055,703.1000738849353,253.88806065853709,303.23029253281476,141.54762255075966,9994.898392517125,1784.7071640645954,0.35679216334624475,0.04296889481028127
transport,4,65+,foreign_born,all,nh_white,130,1834144.452439,11939.318603540365,2464.966448967609,10814.186986348719,2477.846383005568,621.9491967824081,324.5771995951268,1738.3792670797168,229.0992735103973,2944.7633632023026,1377.9024647451954,16683.638637806835,2976.510498319584,0.09018010575014998,0.025286332610881507
transport,4,65+,foreign_born,all,all_donors,662,9393198.075164,10450.997846978153,1084.2849796563685,9020.598285892225,1032.872328715388,1187.5394945332525,306.7170834533256,994.475105089213,138.63315841824559,1421.8338533584308,342.3714179675724,12929.282823499783,1221.6747440656636,0.28246334325082095,0.025444860124903823
transport,4,65+,both,all,mexican_origin,280,3095566.9417319996,9793.981548549884,1649.641055754408,8385.581932464995,1448.4579098096658,974.3604337620939,293.4441565175515,921.1643745624675,180.66885752072272,1112.47302107584,302.2137022369666,11938.951310047545,1882.2055707721108,0.2579561697816878,0.029145182111476722
transport,4,65+,both,all,nh_white,3502,45205587.678429,11057.433655193041,409.4508179542897,9927.142969468978,379.158265227949,292.9305945143899,77.22448022735351,2300.162819959202,115.05775857326232,2967.0043839144155,266.5256133683758,16473.179561876903,534.1449123419369,0.07140617814778022,0.005780231255470733
transport,4,65+,both,all,all_donors,4839,61818929.739725,10962.905557739503,388.6881318809247,9594.17857917991,342.0653990488415,531.4072432273863,89.7546263296253,1962.9211554506605,89.90776570248886,2695.6953504899416,215.4705416911268,15756.703856208618,456.87902619155574,0.1239115608545486,0.007511787313003717
ledger,0,0-17,us_born,all,mexican_origin,691,12192175.372419,3759.656572802809,2519.403497269601,0.15366368987327708,0.10483831413033963,3595.2104684958754,2523.311668735217,230.25019410545116,54.590670242935936,796.576399980563,184.371216513654,4802.168270937077,2505.888619642459,0.6197758550615208,0.035360976055612656
ledger,0,0-17,us_born,all,nh_white,1546,32959123.605705,814.8420177151544,133.0980789698085,7.011006902038932,4.862483902274962,730.2315573018088,126.38030670913591,715.5714908799115,89.54319971385742,2045.2434033566967,224.8257173209334,3624.2605907431252,301.4448674663574,0.28418893114930105,0.02056062603364564
ledger,0,0-17,us_born,all,all_donors,3372,69117110.24212399,1543.5018624361212,466.899952152847,4.3140569851956965,2.39249272160489,1460.2526762729576,466.57049382437236,496.46841879967536,46.49491701785694,1547.1986879183014,133.14975760385934,3615.4999023393966,469.917841671788,0.4380523376428936,0.017321529095031075
ledger,0,0-17,foreign_born,all,mexican_origin,38,540567.273043,459.5993722068154,138.00277445867818,0.0,0.0,459.5993722068154,138.00277445867818,615.8622237310302,396.8269575873418,333.0280058427026,254.49796108202142,1507.2017493841684,679.6015614801245,0.5970419817503957,0.11682808400142326
ledger,0,0-17,foreign_born,all,nh_white,27,543906.116269,52.32408829917776,28.56662985967567,0.0,0.0,14.191309950154226,14.36670763417838,404.2834412815516,119.7611862334577,703.053646352505,244.47401937388778,1163.9760055075835,338.0589842641566,0.07628595030448064,0.05722139752698989
ledger,0,0-17,foreign_born,all,all_donors,173,3274759.305565,336.847608815215,96.8314280588706,0.0,0.0,303.7267688991132,93.24101085109831,443.95455867040096,100.41064449735507,731.3704180947259,275.0854232515747,1544.4438004589663,326.6392295403513,0.38978633074309893,0.052021616264503634
ledger,0,0-17,both,all,mexican_origin,729,12732742.645461999,3619.5529854230795,2407.0734126181937,0.14713991380134592,0.10002117483311386,3462.088423478461,2410.8673824051584,246.62131296895603,59.90689322070001,776.8965008166643,179.481098777733,4662.280807809983,2393.6742395868314,0.6188106908197162,0.03487971795480135
ledger,0,0-17,both,all,nh_white,1573,33503029.721974,802.4628935280034,131.0666571614553,6.8971864635034255,4.782712276177819,718.6069766814506,124.41514250083483,710.5178740726244,88.00538549682892,2023.4535764638354,221.20491071274517,3584.319013973001,296.371523705673,0.28081372288275164,0.02040448311643982
ledger,0,0-17,both,all,all_donors,3545,72391869.54768899,1488.9169723050331,445.58595914478497,4.118903878289117,2.282694634272951,1407.9354201920858,445.29791493511743,494.09287230247935,44.95257566094864,1510.2934216910248,126.44806434221415,3521.812444281524,448.69342871702787,0.4358689494222946,0.01679558657861461
ledger,1,18-24,us_born,all,mexican_origin,255,5015766.314138001,758.0502183518325,172.5633614267716,12.791724419859952,7.5973679409428865,738.6136193572829,173.51314957395363,205.71195980709172,71.46765141225815,282.6508999716975,68.68946852842133,1316.8125146419836,218.5721364685274,0.5049487025484092,0.043234479581483846
ledger,1,18-24,us_born,all,nh_white,474,13908600.588668,1151.6688529943206,301.69799086079536,39.577584563494135,34.62517352048149,990.453637405865,274.27301030009625,660.9684174202022,98.5595882113769,3485.120972637631,1107.2673345605374,5351.3003035485535,1170.0746506372698,0.20720760282533934,0.023193132013412034
ledger,1,18-24,us_born,all,all_donors,1079,27821754.718952,1032.8507559888526,168.8485391127056,36.024085915804925,21.38360100970892,921.1340117333154,155.82350498918964,497.32232720449,60.0497167598007,2221.5555365799196,570.8892617880534,3800.2268095030404,598.7768085781922,0.30470682063091425,0.02070704665144065
ledger,1,18-24,foreign_born,all,mexican_origin,28,447491.973949,1982.4848089256855,1106.1811895542714,0.0,0.0,1982.4848089256855,1106.1811895542714,357.82688658130695,266.7403949859239,169.93143636121505,115.59886176409088,2515.1698721922253,1169.7985878172638,0.20604100782265225,0.09769129823578326
ledger,1,18-24,foreign_born,all,nh_white,13,273069.055159,28.41707234313564,29.145054955738605,0.0,0.0,28.41707234313564,29.145054955738605,316.9557964652898,179.65931744701584,1254.5516015422447,565.986873777571,1599.9244703506702,594.5863058762716,0.03898089484655095,0.039979499253413715
ledger,1,18-24,foreign_born,all,all_donors,110,2299121.129308,916.9887722821555,339.14697116416187,0.0,0.0,904.0369575860752,338.94555134377975,196.1789024460698,66.55871758766098,451.52488663899027,137.62686986179241,1576.9767990082478,354.70235431871566,0.28489637181019184,0.06357348829912983
ledger,1,18-24,both,all,mexican_origin,283,5463258.288086999,858.3428684544493,188.19144954078496,11.743962496661714,6.891816597838213,840.4983087874001,189.42759079324813,218.17159566171225,68.61096706505539,273.4181211767581,63.57473057077126,1414.9691953531642,232.42202508814995,0.4804653654466207,0.043258564064426394
ledger,1,18-24,both,all,nh_white,487,14181669.643826999,1130.0405602649382,296.513665248618,38.8155153647568,33.96115831291061,971.9295550906039,269.6231397589985,654.344429996562,96.90841701585602,3442.1712011418076,1090.0946127573861,5279.067295726124,1153.9589767356822,0.20396838562778793,0.0226958685751958
ledger,1,18-24,both,all,all_donors,1189,30120875.84826,1024.0070312523758,158.918312150923,33.27437380549727,19.757206313194676,919.8289966123452,146.9262582884414,474.33610282302817,55.46121507253055,2086.449409941937,528.1585234354382,3630.526529185392,554.0588293571864,0.30319469257413906,0.019425660033935203
ledger,2,25-34,us_born,all,mexican_origin,252,4905802.771473,1178.3467790701911,408.25567569789,61.944963363523904,54.43826639611962,675.2334567023295,372.21695738654836,565.109524181958,124.21244974944076,1564.7072855136196,379.0696600822452,3347.9295856211384,658.6262641172997,0.2286774343971758,0.03656332579256959
ledger,2,25-34,us_born,all,nh_white,938,22489578.8331,1175.2500003583855,281.75238174268026,134.17887980609933,53.1896882824834,956.1059422686127,270.39157485979774,926.1631030188207,73.42375398774718,4167.814597376932,431.2181297215338,6382.588788601293,535.2045484593874,0.18450966184389947,0.016066311014679324
ledger,2,25-34,us_born,all,all_donors,1595,37494116.198166996,1112.560995600414,183.8487323090425,108.64847908994533,34.26086679053583,879.4052791363953,182.2752071696245,831.428578011614,60.87919936425628,3419.7332526345344,334.33531776825834,5461.986078279269,395.7734401209786,0.22722588980090438,0.01458499259496427
ledger,2,25-34,foreign_born,all,mexican_origin,106,1705534.2379889998,1507.1792172645423,414.18748324953566,5.455887208967313,5.339787157044823,967.9838781594093,380.6748026700797,388.7635926192608,106.62013508467102,1400.268719808693,788.2861592289363,3473.4889112813134,897.0487247936616,0.24474085568412507,0.040668885652383496
ledger,2,25-34,foreign_born,all,nh_white,51,1258372.6082820003,842.7896618285952,536.8781343644798,1.5508527296413146,1.5535035456905206,307.11712524542094,177.7188015241537,2574.9292604488674,850.800800591,4734.2100443547815,1566.6025736336364,8170.689840126289,1962.3460023175112,0.14551935411086409,0.057826365721775616
ledger,2,25-34,foreign_born,all,all_donors,356,8183437.794213001,771.9331041531909,168.99122842970203,11.96206012525389,6.837712460766476,547.0356730780894,142.1011824371538,1193.748185442764,238.13779597469218,2567.6745906347073,458.96424494214466,4613.787479817818,538.1914662116899,0.17097014713491243,0.023195479954991764
ledger,2,25-34,both,all,mexican_origin,358,6611337.009462,1263.1760626325345,319.04773879668824,47.37241119804228,40.36927330198479,750.7546207673557,288.5513041636409,519.6173607088514,95.46884045500978,1522.286878952258,204.90696986969058,3380.3202697604825,412.58858272508223,0.23282133372418387,0.03083796024925291
ledger,2,25-34,both,all,nh_white,989,23747951.441382,1157.633365745556,267.687632418331,127.15109567173079,50.21750835229542,921.7168812820623,256.0461751443814,1013.5290459336679,84.77631748642737,4197.8271446777735,411.192965903558,6477.337903683212,505.7072715567453,0.18244361689004968,0.015792554860369252
ledger,2,25-34,both,all,all_donors,1951,45677553.99238,1051.5352418768825,152.55794034657072,91.32646365814786,28.190890161301066,819.8590522014116,150.96249640418944,896.3405470179039,65.76694803136995,3267.081272656379,291.7319253344397,5310.0256543737805,339.08044726297595,0.21714729910510672,0.013405141276799312
ledger,3,35-44,us_born,all,mexican_origin,148,2587075.8068190003,1274.8064089191505,423.33544968844166,55.14561415917734,28.71510469702956,603.6846421658154,225.6332403311584,819.9804301915524,273.40029280962654,4000.3720729076235,1142.3228947531302,6170.206276612288,1285.4705761919608,0.22603478489755457,0.049398048106510016
ledger,3,35-44,us_born,all,nh_white,1127,22741653.698679,1888.4669470061085,396.9689623004086,697.6696055008913,273.47874173474247,1064.5561261809485,251.1518473118682,1300.1961324844551,161.90940055299166,5497.6153289301565,596.2406789559647,8730.707557576116,765.1130360625862,0.14750212045458463,0.012492025075455082
ledger,3,35-44,us_born,all,all_donors,1706,34111741.030262,2052.024843897155,424.7200952221602,581.7868147273551,196.123955941706,1297.0719366544076,339.9462997080558,1192.640843091679,146.05439098553742,4828.005044665883,442.53230925830184,8119.771767426522,655.0712421578479,0.1770406065933251,0.012629603176630866
ledger,3,35-44,foreign_born,all,mexican_origin,194,3008195.033503,667.4042809651683,319.8741870556711,2.5282412593925376,1.5210942197676296,533.6189833957418,300.75688031611344,287.73548423997187,71.58705922623449,911.6520952873339,372.5568555121157,1885.7353280746954,572.1120647476263,0.15016659200416485,0.033755797306795156
ledger,3,35-44,foreign_born,all,nh_white,66,1438009.285959,140.7152968903633,67.41601540768774,57.404171575656,54.95151720162113,76.45756609311823,39.627401450788504,1101.2604593388623,357.55287848958596,2064.3736592070577,526.1519631680956,3339.3570634257208,700.017592016037,0.09216826582632993,0.03831183722532977
