year,month,group,n,n_mex,pop_m,mex_rate,mex_other_rate,mex_catx_rate,mex_noncit_rate,mex_share_hisp,hisp_rate,mex_level_m,mex_other_level_m
2026,5,all,92941,2668,337.740854,0.032894,0.015191,0.017703,0.019872,0.158611,0.207391,11.109801,5.13069
2026,5,mis1_4,47080,1375,172.295398,0.033436,0.0149,0.018536,0.02018,0.160641,0.20814,11.292675,5.032447
2026,5,mis5_8,45861,1293,165.445455,0.032331,0.015494,0.016836,0.019551,0.156481,0.206611,10.919355,5.233
2026,5,new,70281,2042,255.425974,0.033151,0.014821,0.01833,0.019942,0.159065,0.208412,11.196447,5.005658
2026,5,old,22660,626,82.31488,0.032098,0.01634,0.015758,0.019652,0.157174,0.204222,10.840934,5.51867
2026,6,all,91664,2595,337.814909,0.033208,0.01555,0.017658,0.019854,0.160015,0.20753,11.218104,5.253
2026,6,mis1_4,45652,1289,170.587046,0.033426,0.015645,0.017781,0.019978,0.162939,0.205147,11.291928,5.285262
2026,6,mis5_8,46012,1306,167.227863,0.032985,0.015453,0.017532,0.019727,0.1571,0.209961,11.142797,5.220089
2026,6,new,80439,2270,296.250094,0.03312,0.015462,0.017658,0.019726,0.159159,0.208091,11.188302,5.223218
2026,6,old,11225,325,41.564815,0.033837,0.016178,0.017658,0.020763,0.166251,0.203528,11.430512,5.465263
2026,7,all,90412,2505,337.893594,0.03233,0.014966,0.017364,0.018923,0.155682,0.207664,10.923951,5.056777
2026,7,mis1_4,44386,1217,169.216391,0.032455,0.01469,0.017765,0.019022,0.158103,0.205277,10.966293,4.963679
2026,7,mis5_8,46026,1288,168.677203,0.032204,0.015242,0.016962,0.018823,0.153309,0.210059,10.881474,5.150173
2026,7,new,90412,2505,337.893594,0.03233,0.014966,0.017364,0.018923,0.155682,0.207664,10.923951,5.056777
2026,8,all,91776,2515,337.9892,0.032531,0.015557,0.016974,0.019277,0.156541,0.20781,10.995087,5.258055
2026,8,mis1_4,44612,1203,168.259836,0.032751,0.015158,0.017593,0.019948,0.160351,0.204243,11.069366,5.123171
2026,8,mis5_8,47164,1312,169.729364,0.032313,0.015952,0.016361,0.018612,0.152892,0.211346,10.92145,5.391772
2026,8,new,91776,2515,337.9892,0.032531,0.015557,0.016974,0.019277,0.156541,0.20781,10.995087,5.258055
