arm,outcome,regressor,window,unit,n,clusters,coef,se,coef10,se10,t,stars,mean_y0,mean_dx
R_logratio_2007_2022,lo_ed,hisp,2007-2022,dollars_pc,3102,49,-0.0153892,0.00628173,-0.153892,0.0628173,-2.44983,**,-1.66075,3.23868
R_logratio_2007_2022_unwtd,lo_ed,hisp,2007-2022,dollars_pc,3102,49,-0.00871381,0.00565391,-0.0871381,0.0565391,-1.5412,,-2.00469,2.43915
R_logratio_2007_2022_noCA,lo_ed,hisp,2007-2022,dollars_pc,3044,48,-0.00962296,0.00576638,-0.0962296,0.0576638,-1.6688,*,-1.71745,3.17583
R_logratio_2007_2022_fb,lo_ed,fb,2007-2022,dollars_pc,3102,49,-0.0209343,0.008203,-0.209343,0.08203,-2.55204,**,-1.66075,1.12721
R_share_2007_2022,education,hisp,2007-2022,share_pp,3124,50,0.416412,0.122883,4.16412,1.22883,3.38868,***,45.3199,3.23377
R_share_2007_2022,police,hisp,2007-2022,share_pp,3124,50,-0.0463067,0.0263962,-0.463067,0.263962,-1.75429,*,5.50306,3.23377
R_share_2007_2022,corrections,hisp,2007-2022,share_pp,3124,50,0.0101416,0.0262044,0.101416,0.262044,0.387018,,1.78939,3.23377
R_share_2007_2022,judicial,hisp,2007-2022,share_pp,3124,50,-0.0200713,0.00782945,-0.200713,0.0782945,-2.56357,**,1.52133,3.23377
R_share_2007_2022,law_order,hisp,2007-2022,share_pp,3124,50,-0.0562364,0.0417061,-0.562364,0.417061,-1.3484,,8.81378,3.23377
R_share_2007_2022,welfare,hisp,2007-2022,share_pp,3124,50,-0.0162382,0.0366161,-0.162382,0.366161,-0.443473,,2.94615,3.23377
R_share_2007_2022,health_hosp,hisp,2007-2022,share_pp,3124,50,-0.140433,0.108809,-1.40433,1.08809,-1.29064,,7.25315,3.23377
R_share_2007_2022,highways,hisp,2007-2022,share_pp,3124,50,0.0264677,0.0236985,0.264677,0.236985,1.11685,,4.5484,3.23377
R_share_2007_2022_unwtd,education,hisp,2007-2022,share_pp,3124,50,0.224985,0.0576227,2.24985,0.576227,3.90445,***,50.6765,2.44164
R_share_2007_2022_unwtd,police,hisp,2007-2022,share_pp,3124,50,-0.043518,0.01618,-0.43518,0.1618,-2.68961,***,4.4538,2.44164
R_share_2007_2022_unwtd,corrections,hisp,2007-2022,share_pp,3124,50,0.0686688,0.0397911,0.686688,0.397911,1.72574,*,1.60696,2.44164
R_share_2007_2022_unwtd,judicial,hisp,2007-2022,share_pp,3124,50,-0.000347706,0.00930225,-0.00347706,0.0930225,-0.0373788,,1.31388,2.44164
