fips,year,total_direct,interest,n_units,admin,corrections,educ_elemsec,education,fire,health_hosp,highways,housing,judicial,libraries,parks,police,sewer_waste,welfare
06041,2007,1503845.0,,83,,29647.0,395131.0,451647.0,,93860.0,53623.0,,34938.0,,,90900.0,,55205.0
06043,2007,89846.0,,9,,3320.0,25954.0,25954.0,,19784.0,4905.0,,2993.0,,,5750.0,,8620.0
06045,2007,818209.0,,70,,13144.0,181220.0,207178.0,,63700.0,20648.0,,11947.0,,,21389.0,,54060.0
06047,2007,1459753.0,,81,,31581.0,634628.0,704287.0,,51172.0,43651.0,,37720.0,,,55163.0,,137792.0
06049,2007,73710.0,,42,,1214.0,26948.0,26948.0,,19464.0,6124.0,,1487.0,,,2761.0,,5178.0
06051,2007,177665.0,,29,,2082.0,38081.0,38081.0,,51500.0,15346.0,,4232.0,,,9086.0,,5822.0
06053,2007,2615711.0,,103,,60198.0,774153.0,877238.0,,569810.0,129690.0,,44397.0,,,120552.0,,130369.0
06055,2007,783787.0,,26,,20778.0,238293.0,320470.0,,40551.0,34552.0,,21018.0,,,52287.0,,29584.0
06057,2007,478932.0,,48,,15222.0,138823.0,138823.0,,106492.0,27626.0,,11262.0,,,18632.0,,26866.0
06059,2007,14319043.0,,130,,320377.0,5003624.0,6001093.0,,431555.0,580770.0,,339950.0,,,992441.0,,802097.0
06061,2007,2150405.0,,70,,42278.0,723227.0,808742.0,,51998.0,177113.0,,40711.0,,,102987.0,,94406.0
06063,2007,179462.0,,51,,3163.0,35223.0,50478.0,,62777.0,8812.0,,3265.0,,,6564.0,,9027.0
06065,2007,11703173.0,,144,,199666.0,4321597.0,4668784.0,,954009.0,515911.0,,228598.0,,,617363.0,,734823.0
06067,2007,8822347.0,,140,,258376.0,2542034.0,2858321.0,,527960.0,564055.0,,190512.0,,,417633.0,,768124.0
06069,2007,306335.0,,24,,7430.0,104878.0,104878.0,,76785.0,27782.0,,5084.0,,,10808.0,,14664.0
06071,2007,11088600.0,,156,,227366.0,4122837.0,4527954.0,,1154119.0,381051.0,,179694.0,,,591668.0,,803994.0
06073,2007,16422443.0,,162,,309974.0,5417636.0,6224436.0,,1444609.0,462639.0,,412097.0,,,944771.0,,1050418.0
06075,2007,7192875.0,,9,,182802.0,719147.0,1020403.0,,1482723.0,241914.0,,83603.0,,,345073.0,,588240.0
06077,2007,3820603.0,,125,,84830.0,1479217.0,1602963.0,,314936.0,105513.0,,74576.0,,,205789.0,,305650.0
06079,2007,1131705.0,,62,,26733.0,346217.0,409139.0,,63724.0,55597.0,,29986.0,,,71431.0,,98478.0
06081,2007,3839512.0,,89,,109119.0,978632.0,1127922.0,,418035.0,134029.0,,83845.0,,,281603.0,,192520.0
06083,2007,2546624.0,,75,,63552.0,713680.0,919392.0,,347972.0,116042.0,,68016.0,,,133954.0,,134086.0
06085,2007,11105170.0,,89,,277175.0,2879322.0,3505712.0,,1789365.0,315019.0,,250615.0,,,554963.0,,607665.0
06087,2007,1480212.0,,56,,36418.0,442576.0,550346.0,,89623.0,46477.0,,36952.0,,,64861.0,,120058.0
06089,2007,957431.0,,72,,23660.0,318615.0,379889.0,,64413.0,24980.0,,23894.0,,,47141.0,,91063.0
06091,2007,28994.0,,16,,505.0,8827.0,8827.0,,2624.0,3552.0,,785.0,,,3333.0,,2546.0
06093,2007,247275.0,,85,,7180.0,82544.0,108435.0,,18935.0,17733.0,,8767.0,,,13078.0,,17556.0
06095,2007,2147894.0,,60,,35906.0,706198.0,790738.0,,105519.0,112183.0,,62865.0,,,174667.0,,148579.0
06097,2007,2641611.0,,107,,96828.0,738907.0,884796.0,,221828.0,114039.0,,64645.0,,,171515.0,,131506.0
06099,2007,2916188.0,,101,,55630.0,1136144.0,1440160.0,,212438.0,85380.0,,56334.0,,,136198.0,,244956.0
06101,2007,475357.0,,40,,9795.0,205002.0,205002.0,,35853.0,9483.0,,8866.0,,,26941.0,,27738.0
