item,family,label,group,n,mean,se
conarmy_great,A1 institutional confidence,conarmy: share 'a great deal' of confidence,Mex G3+,490,0.4569676050294916,0.027995298506973583
conarmy_great,A1 institutional confidence,conarmy: share 'a great deal' of confidence,Hisp G1,1185,0.4553040266447939,0.017353441746763364
conarmy_great,A1 institutional confidence,conarmy: share 'a great deal' of confidence,Hisp G2,665,0.45750473822475735,0.024756596824952442
conarmy_great,A1 institutional confidence,conarmy: share 'a great deal' of confidence,Hisp G3+,823,0.4440589916750931,0.022344583941545024
conarmy_great,A1 institutional confidence,conarmy: share 'a great deal' of confidence,Hisp all,2719,0.45038734998454616,0.01219690202055611
conarmy_great,A1 institutional confidence,conarmy: share 'a great deal' of confidence,NHWhite all,14919,0.527904402925184,0.0054857927254047525
conarmy_great,A1 institutional confidence,conarmy: share 'a great deal' of confidence,NHWhite G3+,13155,0.535796456512321,0.005768348078807377
conarmy_great,A1 institutional confidence,conarmy: share 'a great deal' of confidence,White G3+ liberal,3457,0.4035206243439667,0.01081488186705343
conarmy_great,A1 institutional confidence,conarmy: share 'a great deal' of confidence,White G3+ moderate,4497,0.5484316906497899,0.00934851561544682
conarmy_great,A1 institutional confidence,conarmy: share 'a great deal' of confidence,White G3+ conservative,4886,0.6101722955916461,0.009190471814715035
conarmy_great,A1 institutional confidence,conarmy: share 'a great deal' of confidence,White G3+ no BA,8696,0.5588609652959677,0.007149701463363662
conarmy_great,A1 institutional confidence,conarmy: share 'a great deal' of confidence,White G3+ BA+,4448,0.4805482621416164,0.009345344633564425
conarmy_great,A1 institutional confidence,conarmy: share 'a great deal' of confidence,White G3+ no HS,1062,0.6096058192850963,0.018061466659500515
conarmy_mean,A1 institutional confidence,"conarmy: 3-point confidence mean (3=a great deal, 1=hardly any)",Mex G1,604,2.319438422002532,0.031752738091649246
conarmy_mean,A1 institutional confidence,"conarmy: 3-point confidence mean (3=a great deal, 1=hardly any)",Mex G2,435,2.2645181265072547,0.042032987732336706
conarmy_mean,A1 institutional confidence,"conarmy: 3-point confidence mean (3=a great deal, 1=hardly any)",Mex G3+,490,2.3300254308842816,0.04121716035369314
conarmy_mean,A1 institutional confidence,"conarmy: 3-point confidence mean (3=a great deal, 1=hardly any)",Hisp G1,1185,2.3471029929894436,0.022782522307534078
conarmy_mean,A1 institutional confidence,"conarmy: 3-point confidence mean (3=a great deal, 1=hardly any)",Hisp G2,665,2.299600478057286,0.03493438902875328
conarmy_mean,A1 institutional confidence,"conarmy: 3-point confidence mean (3=a great deal, 1=hardly any)",Hisp G3+,823,2.30291985315257,0.03282829373425866
conarmy_mean,A1 institutional confidence,"conarmy: 3-point confidence mean (3=a great deal, 1=hardly any)",Hisp all,2719,2.3210455095071874,0.016314709516912034
conarmy_mean,A1 institutional confidence,"conarmy: 3-point confidence mean (3=a great deal, 1=hardly any)",NHWhite all,14919,2.443303650300433,0.006985283742774333
conarmy_mean,A1 institutional confidence,"conarmy: 3-point confidence mean (3=a great deal, 1=hardly any)",NHWhite G3+,13155,2.455039697207208,0.007219504071735032
conarmy_mean,A1 institutional confidence,"conarmy: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ liberal,3457,2.2522380040799264,0.015317358654978654
conarmy_mean,A1 institutional confidence,"conarmy: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ moderate,4497,2.482880477330201,0.0116135724623333
conarmy_mean,A1 institutional confidence,"conarmy: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ conservative,4886,2.562806371034956,0.01083322893232507
conarmy_mean,A1 institutional confidence,"conarmy: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ no BA,8696,2.477540308561624,0.008979430087885635
conarmy_mean,A1 institutional confidence,"conarmy: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ BA+,4448,2.4012225859950185,0.011698391507849057
conarmy_mean,A1 institutional confidence,"conarmy: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ no HS,1062,2.5204212274945283,0.02402111045692995
conpress_great,A1 institutional confidence,conpress: share 'a great deal' of confidence,Mex G1,605,0.10738577497793952,0.014563951459146388
conpress_great,A1 institutional confidence,conpress: share 'a great deal' of confidence,Mex G2,438,0.119267596272685,0.021134695847902143
conpress_great,A1 institutional confidence,conpress: share 'a great deal' of confidence,Mex G3+,496,0.11127286688517615,0.017990409783751857
conpress_great,A1 institutional confidence,conpress: share 'a great deal' of confidence,Hisp G1,1184,0.13265904020628583,0.011565272925701704
conpress_great,A1 institutional confidence,conpress: share 'a great deal' of confidence,Hisp G2,668,0.10944771688834667,0.016049764043635062
conpress_great,A1 institutional confidence,conpress: share 'a great deal' of confidence,Hisp G3+,829,0.10076130428575106,0.013638061719680062
conpress_great,A1 institutional confidence,conpress: share 'a great deal' of confidence,Hisp all,2725,0.11832471934680311,0.0076075723079498106
conpress_great,A1 institutional confidence,conpress: share 'a great deal' of confidence,NHWhite all,14911,0.08110062194808342,0.002793790749204401
conpress_great,A1 institutional confidence,conpress: share 'a great deal' of confidence,NHWhite G3+,13144,0.07623015107430686,0.002776108411619162
conpress_great,A1 institutional confidence,conpress: share 'a great deal' of confidence,White G3+ liberal,3455,0.1417295024450351,0.007698236726104475
conpress_great,A1 institutional confidence,conpress: share 'a great deal' of confidence,White G3+ moderate,4496,0.07118828925862056,0.004332177116446727
conpress_great,A1 institutional confidence,conpress: share 'a great deal' of confidence,White G3+ conservative,4884,0.038302647410547036,0.0030719776328616945
conpress_great,A1 institutional confidence,conpress: share 'a great deal' of confidence,White G3+ no BA,8680,0.06755912492207934,0.003094334238593605
conpress_great,A1 institutional confidence,conpress: share 'a great deal' of confidence,White G3+ BA+,4453,0.0964346922719844,0.005636551650166876
conpress_great,A1 institutional confidence,conpress: share 'a great deal' of confidence,White G3+ no HS,1061,0.10935541487657281,0.011217066406716082
conpress_mean,A1 institutional confidence,"conpress: 3-point confidence mean (3=a great deal, 1=hardly any)",Mex G1,605,1.7391287775716204,0.031918588526883694
conpress_mean,A1 institutional confidence,"conpress: 3-point confidence mean (3=a great deal, 1=hardly any)",Mex G2,438,1.6794038509568903,0.04097288092193071
conpress_mean,A1 institutional confidence,"conpress: 3-point confidence mean (3=a great deal, 1=hardly any)",Mex G3+,496,1.6476160473683423,0.03584514690270579
conpress_mean,A1 institutional confidence,"conpress: 3-point confidence mean (3=a great deal, 1=hardly any)",Hisp G1,1184,1.7574765826963914,0.02443146658161308
conpress_mean,A1 institutional confidence,"conpress: 3-point confidence mean (3=a great deal, 1=hardly any)",Hisp G2,668,1.6582944677458666,0.031772584539705384
conpress_mean,A1 institutional confidence,"conpress: 3-point confidence mean (3=a great deal, 1=hardly any)",Hisp G3+,829,1.601890532096107,0.028871036263903294
conpress_mean,A1 institutional confidence,"conpress: 3-point confidence mean (3=a great deal, 1=hardly any)",Hisp all,2725,1.6964246241852277,0.015887928486877763
conpress_mean,A1 institutional confidence,"conpress: 3-point confidence mean (3=a great deal, 1=hardly any)",NHWhite all,14911,1.5828376523541994,0.0067996949489893795
conpress_mean,A1 institutional confidence,"conpress: 3-point confidence mean (3=a great deal, 1=hardly any)",NHWhite G3+,13144,1.567855631824596,0.007031948246979697
conpress_mean,A1 institutional confidence,"conpress: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ liberal,3455,1.8125859107084765,0.014690457446416168
conpress_mean,A1 institutional confidence,"conpress: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ moderate,4496,1.6023449651338726,0.01136787877924319
conpress_mean,A1 institutional confidence,"conpress: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ conservative,4884,1.3778466266250524,0.009800332378678047
conpress_mean,A1 institutional confidence,"conpress: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ no BA,8680,1.5367214528393245,0.00807945758106266
conpress_mean,A1 institutional confidence,"conpress: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ BA+,4453,1.6412873735798603,0.0127550794938516
conpress_mean,A1 institutional confidence,"conpress: 3-point confidence mean (3=a great deal, 1=hardly any)",White G3+ no HS,1061,1.6579448355621564,0.024104074292159224
consci_great,A1 institutional confidence,consci: share 'a great deal' of confidence,Mex G1,583,0.37571155301171205,0.024890781506573693
consci_great,A1 institutional confidence,consci: share 'a great deal' of confidence,Mex G2,429,0.3744684677036938,0.02902875351326896
consci_great,A1 institutional confidence,consci: share 'a great deal' of confidence,Mex G3+,485,0.4597213305070717,0.027812313166978634
consci_great,A1 institutional confidence,consci: share 'a great deal' of confidence,Hisp G1,1148,0.3840911231502659,0.018146378292718587
