spec,offence,victims,victimisations_local,p_off_hispanic_local,delta,local_exposure,national_exposure,p_off_hispanic_national,shr_logit_shift,p_off_hispanic_national_shr_calibrated,p_off_hispanic_national_shr2224_calibrated,benchmark_shr_2024,benchmark_shr_2022_2024,benchmark_ncvs_2022_2024
incidents with an arrest only,Rape/sexual assault,NH,1959.0000,0.1960,-0.5063,0.2709,0.1326,0.0918,0.1513,0.1027,0.1091,0.0688,0.0734,0.1059
incidents with an arrest only,Robbery,H,4257.0000,0.5078,-0.4015,0.5757,0.4466,0.3810,0.9482,0.5393,0.5201,0.7190,0.7022,0.3307
incidents with an arrest only,Robbery,NH,4908.0000,0.2266,-0.2952,0.2724,0.1326,0.1074,0.1513,0.1198,0.1270,0.0688,0.0734,0.1059
incidents with an arrest only,Aggravated assault,H,21473.0000,0.7512,1.1154,0.5732,0.4466,0.6345,0.9482,0.7751,0.7602,0.7190,0.7022,0.3307
incidents with an arrest only,Aggravated assault,NH,32438.0000,0.1363,-1.0224,0.2711,0.1326,0.0614,0.1513,0.0692,0.0739,0.0688,0.0734,0.1059
incidents with an arrest only,Simple assault,H,68451.0000,0.7911,1.4128,0.5721,0.4466,0.6818,0.9482,0.8119,0.7984,0.7190,0.7022,0.3307
incidents with an arrest only,Simple assault,NH,102452.0000,0.1284,-1.0935,0.2697,0.1326,0.0579,0.1513,0.0654,0.0698,0.0688,0.0734,0.1059
"states=TX+AZ+CA, alloc=b",Murder,H,1904.0000,0.5468,-0.1570,0.5739,0.4466,0.4206,1.8163,0.7190,0.7022,0.7190,0.7022,0.3307
"states=TX+AZ+CA, alloc=b",Murder,NH,2652.0000,0.1181,-1.2490,0.2763,0.1326,0.0510,0.3702,0.0688,0.0734,0.0688,0.0734,0.1059
"states=TX+AZ+CA, alloc=b",Rape/sexual assault,H,20097.0000,0.6422,0.4039,0.5731,0.4466,0.5149,1.8163,0.7950,0.7808,0.7190,0.7022,0.3307
"states=TX+AZ+CA, alloc=b",Rape/sexual assault,NH,26951.0000,0.1725,-0.7223,0.2753,0.1326,0.0778,0.3702,0.1030,0.1094,0.0688,0.0734,0.1059
"states=TX+AZ+CA, alloc=b",Robbery,H,36950.0000,0.3685,-1.2147,0.5749,0.4466,0.2619,1.8163,0.5486,0.5294,0.7190,0.7022,0.3307
"states=TX+AZ+CA, alloc=b",Robbery,NH,37800.0000,0.1671,-0.7910,0.2789,0.1326,0.0737,0.3702,0.0978,0.1040,0.0688,0.0734,0.1059
"states=TX+AZ+CA, alloc=b",Aggravated assault,H,103450.0000,0.5731,-0.0034,0.5737,0.4466,0.4460,1.8163,0.7411,0.7250,0.7190,0.7022,0.3307
"states=TX+AZ+CA, alloc=b",Aggravated assault,NH,133203.0000,0.1382,-1.0453,0.2772,0.1326,0.0602,0.3702,0.0807,0.0859,0.0688,0.0734,0.1059
"states=TX+AZ+CA, alloc=b",Simple assault,H,274270.0000,0.7065,0.8008,0.5738,0.4466,0.5823,1.8163,0.8403,0.8282,0.7190,0.7022,0.3307
"states=TX+AZ+CA, alloc=b",Simple assault,NH,379136.0000,0.1317,-1.0963,0.2751,0.1326,0.0578,0.3702,0.0776,0.0827,0.0688,0.0734,0.1059
"states=TX+AZ+CA, alloc=c",Murder,H,1904.0000,0.8042,1.4904,0.5739,0.4466,0.6937,0.1688,0.7190,0.7022,0.7190,0.7022,0.3307
"states=TX+AZ+CA, alloc=c",Murder,NH,2652.0000,0.3360,0.3433,0.2763,0.1326,0.1673,-1.2221,0.0688,0.0734,0.0688,0.0734,0.1059
"states=TX+AZ+CA, alloc=c",Rape/sexual assault,H,20097.0000,0.8043,1.4915,0.5731,0.4466,0.6939,0.1688,0.7192,0.7024,0.7190,0.7022,0.3307
"states=TX+AZ+CA, alloc=c",Rape/sexual assault,NH,26951.0000,0.3668,0.5149,0.2753,0.1326,0.1869,-1.2221,0.0787,0.0839,0.0688,0.0734,0.1059
"states=TX+AZ+CA, alloc=c",Robbery,H,36950.0000,0.6648,0.5294,0.5749,0.4466,0.5363,0.1688,0.5650,0.5459,0.7190,0.7022,0.3307
"states=TX+AZ+CA, alloc=c",Robbery,NH,37800.0000,0.4609,0.9714,0.2789,0.1326,0.2463,-1.2221,0.1109,0.1177,0.0688,0.0734,0.1059
"states=TX+AZ+CA, alloc=c",Aggravated assault,H,103450.0000,0.8004,1.4561,0.5737,0.4466,0.6885,0.1688,0.7140,0.6970,0.7190,0.7022,0.3307
"states=TX+AZ+CA, alloc=c",Aggravated assault,NH,133203.0000,0.3314,0.3130,0.2772,0.1326,0.1640,-1.2221,0.0672,0.0717,0.0688,0.0734,0.1059
"states=TX+AZ+CA, alloc=c",Simple assault,H,274270.0000,0.7946,1.4167,0.5738,0.4466,0.6824,0.1688,0.7081,0.6910,0.7190,0.7022,0.3307
"states=TX+AZ+CA, alloc=c",Simple assault,NH,379136.0000,0.2202,-0.3578,0.2751,0.1326,0.1025,-1.2221,0.0387,0.0415,0.0688,0.0734,0.1059
