spec,offence,victimisations,V_H,V_NHW,V_NHB,V_NHO,pop_H,pop_NHW,pop_NHB,pop_NHO,pop_total,rate_H,rate_NHW,rate_NHB,rate_NHO,rate_all,RR_H_NHW,RR_NHB_NHW,RR_NHO_NHW,RR_H_all,local_share_H,local_pop_share_H,national_share_H,national_share_H_vector,national_share_H_vs_all,share_noinfo,share_eth_unknown,share_nh_race_unknown
attribution=first,Robbery,49966.000000,16271.785974,4758.283108,28535.224644,400.706274,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.866842,0.205193,4.710393,0.087125,0.949672,4.224526,22.955951,0.424602,0.912781,0.325657,0.356775,0.186581,0.186581,0.170651,0.131569,0.157927,0.004303
attribution=first,Aggravated assault,170185.000000,66237.503433,36355.544412,64618.749531,2973.202624,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,3.528650,1.567770,10.666807,0.646462,3.234597,2.250745,6.803810,0.412345,1.090909,0.389209,0.356775,0.222868,0.222868,0.203954,0.112360,0.102248,0.003855
attribution=first,Simple assault,533367.000000,208572.758958,148078.750188,163801.037689,12914.453165,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,11.111232,6.385639,27.039118,2.807981,10.137363,1.740035,4.234364,0.439734,1.096067,0.391049,0.356775,0.219652,0.219652,0.204918,0.034385,0.058309,0.002141
attribution=anyH,Murder,3810.000000,1460.153392,683.610936,1596.136574,70.099098,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.077786,0.029480,0.263479,0.015242,0.072414,2.638654,8.937691,0.517023,1.074185,0.383242,0.356775,0.221083,0.221083,0.200827,0.095276,0.121451,0.005381
attribution=anyH,Rape/sexual assault,36730.000000,15659.247819,10854.091599,9254.586485,962.074097,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.834210,0.468064,1.527682,0.209183,0.698103,1.782257,3.263832,0.446912,1.194966,0.426334,0.356775,0.243048,0.243048,0.223408,0.056085,0.128701,0.004646
attribution=anyH,Robbery,49966.000000,18270.869750,4239.033325,27087.301406,368.795519,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.973338,0.182801,4.471380,0.080187,0.949672,5.324581,24.460379,0.438657,1.024921,0.365666,0.356775,0.215285,0.215285,0.191617,0.131569,0.155707,0.005012
attribution=anyH,Aggravated assault,170185.000000,68244.496945,35522.428904,63530.742204,2887.331948,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,3.635568,1.531843,10.487206,0.627791,3.234597,2.373329,6.846136,0.409827,1.123963,0.401002,0.356775,0.231589,0.231589,0.210134,0.112360,0.100116,0.003809
attribution=anyH,Simple assault,533367.000000,215086.145996,144295.930878,161390.320520,12594.602606,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,11.458217,6.222511,26.641174,2.738436,10.137363,1.841414,4.281418,0.440085,1.130296,0.403261,0.356775,0.228630,0.228630,0.211317,0.034385,0.057414,0.002123
attribution=allH,Murder,3810.000000,1263.980319,779.109506,1691.846635,75.063539,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.067336,0.033598,0.279278,0.016321,0.072414,2.004171,8.312406,0.485777,0.929868,0.331753,0.356775,0.184275,0.184275,0.173846,0.095276,0.134885,0.006037
attribution=allH,Rape/sexual assault,36730.000000,15307.073178,11046.042135,9400.212431,976.672256,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.815449,0.476341,1.551721,0.212357,0.698103,1.711900,3.257581,0.445809,1.168092,0.416746,0.356775,0.235866,0.235866,0.218384,0.056085,0.132072,0.004705
attribution=allH,Robbery,49966.000000,14478.091235,5393.890912,29651.091561,442.926292,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.771287,0.232602,4.894593,0.096305,0.949672,3.315906,21.042765,0.414034,0.812162,0.289759,0.356775,0.161936,0.161936,0.151840,0.131569,0.178582,0.005466
attribution=allH,Aggravated assault,170185.000000,64006.254529,37607.239401,65529.679954,3041.826116,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,3.409785,1.621747,10.817176,0.661382,3.234597,2.102539,6.670077,0.407821,1.054161,0.376098,0.356775,0.213216,0.213216,0.197083,0.112360,0.108157,0.004019
attribution=allH,Simple assault,533367.000000,202418.126337,151762.117615,165991.688825,13195.067224,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,10.783358,6.544477,27.400735,2.868995,10.137363,1.647703,4.186848,0.438384,1.063724,0.379510,0.356775,0.211306,0.211306,0.198871,0.034385,0.061606,0.002219
victims: all ages,Murder,3973.000000,1431.370380,769.561754,1691.113565,80.954300,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.076253,0.033186,0.279157,0.017602,0.075512,2.297744,8.411890,0.530399,1.009809,0.360274,0.356775,0.204115,0.204115,0.188792,0.093380,0.125057,0.005495
victims: all ages,Rape/sexual assault,48004.000000,20584.644725,14911.622569,11375.776549,1131.956157,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,1.096599,0.643038,1.877833,0.246120,0.912381,1.705342,2.920253,0.382747,1.201909,0.428811,0.356775,0.243654,0.243654,0.224706,0.056287,0.128834,0.004529
victims: all ages,Robbery,50619.000000,16557.587860,4840.913444,28809.097769,411.400928,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.882067,0.208756,4.755602,0.089451,0.962083,4.225351,22.780676,0.428494,0.916831,0.327102,0.356775,0.187544,0.187544,0.171409,0.131492,0.167443,0.005306
victims: all ages,Aggravated assault,179947.000000,70165.281092,38671.088667,67993.222042,3117.408198,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,3.737893,1.667623,11.223841,0.677816,3.420137,2.241449,6.730441,0.406456,1.092908,0.389922,0.356775,0.223279,0.223279,0.204327,0.114900,0.105586,0.004013
victims: all ages,Simple assault,554540.000000,216823.116497,153888.347211,170431.202027,13397.334266,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,11.550750,6.636167,28.133578,2.912974,10.539785,1.740576,4.239432,0.438954,1.095919,0.390996,0.356775,0.219624,0.219624,0.204890,0.036017,0.060653,0.002251
victims: individuals + officers,Murder,3818.000000,1365.434132,733.336838,1645.222303,74.006726,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.072740,0.031624,0.271582,0.016091,0.072566,2.300172,8.587868,0.508832,1.002399,0.357631,0.356775,0.202413,0.202413,0.187406,0.095076,0.127802,0.005719
victims: individuals + officers,Rape/sexual assault,36730.000000,15475.053942,10951.691482,9333.547144,969.707432,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.824398,0.472273,1.540716,0.210843,0.698103,1.745597,3.262344,0.446443,1.180911,0.421319,0.356775,0.239284,0.239284,0.220780,0.056085,0.130419,0.004680
victims: individuals + officers,Robbery,49966.000000,16350.203428,4787.160163,28422.582829,406.053580,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.871019,0.206438,4.691799,0.088288,0.949672,4.219279,22.727405,0.427673,0.917179,0.327227,0.356775,0.187618,0.187618,0.171474,0.131569,0.167287,0.005271
victims: individuals + officers,Aggravated assault,172850.000000,67280.074069,37399.948717,65118.756462,3051.220752,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,3.584190,1.612808,10.749344,0.663425,3.285249,2.222330,6.664988,0.411348,1.090995,0.389240,0.356775,0.222694,0.222694,0.203970,0.110848,0.103474,0.003875
victims: individuals + officers,Simple assault,544092.000000,212447.786715,151489.041531,166982.917855,13172.253899,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,11.317665,6.532702,27.564360,2.864035,10.341206,1.732463,4.219443,0.438415,1.094424,0.390463,0.356775,0.219194,0.219194,0.204611,0.033753,0.059085,0.002153
denominator: all ages,Murder,3810.000000,1361.387328,730.143786,1645.755308,72.713578,23522031.983424,26348992.590688,7240049.817563,5611504.047792,62717867.000000,0.057877,0.027711,0.227313,0.012958,0.060748,2.088635,8.203125,0.467619,0.952737,0.357320,0.375045,0.205036,0.205036,0.192933,0.095276,0.128070,0.005731
denominator: all ages,Rape/sexual assault,36730.000000,15475.053942,10951.691482,9333.547144,969.707432,23522031.983424,26348992.590688,7240049.817563,5611504.047792,62717867.000000,0.657896,0.415640,1.289155,0.172807,0.585639,1.582851,3.101616,0.415761,1.123383,0.421319,0.375045,0.242638,0.242638,0.227489,0.056085,0.130419,0.004680
denominator: all ages,Robbery,49966.000000,16350.203428,4787.160163,28422.582829,406.053580,23522031.983424,26348992.590688,7240049.817563,5611504.047792,62717867.000000,0.695102,0.181683,3.925744,0.072361,0.796679,3.825907,21.607675,0.398281,0.872499,0.327227,0.375045,0.190165,0.190165,0.176684,0.131569,0.167287,0.005271
denominator: all ages,Aggravated assault,170185.000000,66114.469725,36548.153755,64556.474183,2965.902336,23522031.983424,26348992.590688,7240049.817563,5611504.047792,62717867.000000,2.810747,1.387080,8.916579,0.528540,2.713501,2.026377,6.428310,0.381045,1.035838,0.388486,0.375045,0.225348,0.225348,0.209761,0.112360,0.104193,0.003915
denominator: all ages,Simple assault,533367.000000,208703.504892,147991.355406,163780.180184,12891.959518,23522031.983424,26348992.590688,7240049.817563,5611504.047792,62717867.000000,8.872682,5.616585,22.621416,2.297416,8.504227,1.579729,4.027610,0.409041,1.043326,0.391294,0.375045,0.222951,0.222951,0.211278,0.034385,0.059486,0.002173
simple assault incl. intimidation 13C,Murder,3810.000000,1361.387328,730.143786,1645.755308,72.713578,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.072525,0.031486,0.271670,0.015810,0.072414,2.303384,8.628219,0.502127,1.001527,0.357320,0.356775,0.202229,0.202229,0.187243,0.095276,0.128070,0.005731
simple assault incl. intimidation 13C,Rape/sexual assault,36730.000000,15475.053942,10951.691482,9333.547144,969.707432,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.824398,0.472273,1.540716,0.210843,0.698103,1.745597,3.262344,0.446443,1.180911,0.421319,0.356775,0.239284,0.239284,0.220780,0.056085,0.130419,0.004680
simple assault incl. intimidation 13C,Robbery,49966.000000,16350.203428,4787.160163,28422.582829,406.053580,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.871019,0.206438,4.691799,0.088288,0.949672,4.219279,22.727405,0.427673,0.917179,0.327227,0.356775,0.187618,0.187618,0.171474,0.131569,0.167287,0.005271
simple assault incl. intimidation 13C,Aggravated assault,170185.000000,66114.469725,36548.153755,64556.474183,2965.902336,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,3.522096,1.576076,10.656527,0.644874,3.234597,2.234725,6.761431,0.409165,1.088882,0.388486,0.356775,0.222279,0.222279,0.203575,0.112360,0.104193,0.003915
simple assault incl. intimidation 13C,Simple assault,681026.000000,260746.555100,187386.578906,217010.257765,15882.608228,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,13.890670,8.080720,35.822520,3.453345,12.943823,1.718989,4.433085,0.427356,1.073151,0.382873,0.356775,0.214219,0.214219,0.200634,0.048411,0.070174,0.003059
translation: rate vs all residents,Murder,3810.000000,1361.387328,730.143786,1645.755308,72.713578,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.072525,0.031486,0.271670,0.015810,0.072414,2.303384,8.628219,0.502127,1.001527,0.357320,0.356775,0.187243,0.202229,0.187243,0.095276,0.128070,0.005731
translation: rate vs all residents,Rape/sexual assault,36730.000000,15475.053942,10951.691482,9333.547144,969.707432,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.824398,0.472273,1.540716,0.210843,0.698103,1.745597,3.262344,0.446443,1.180911,0.421319,0.356775,0.220780,0.239284,0.220780,0.056085,0.130419,0.004680
translation: rate vs all residents,Robbery,49966.000000,16350.203428,4787.160163,28422.582829,406.053580,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.871019,0.206438,4.691799,0.088288,0.949672,4.219279,22.727405,0.427673,0.917179,0.327227,0.356775,0.171474,0.187618,0.171474,0.131569,0.167287,0.005271
translation: rate vs all residents,Aggravated assault,170185.000000,66114.469725,36548.153755,64556.474183,2965.902336,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,3.522096,1.576076,10.656527,0.644874,3.234597,2.234725,6.761431,0.409165,1.088882,0.388486,0.356775,0.203575,0.222279,0.203575,0.112360,0.104193,0.003915
translation: rate vs all residents,Simple assault,533367.000000,208703.504892,147991.355406,163780.180184,12891.959518,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,11.118197,6.381870,27.035675,2.803090,10.137363,1.742153,4.236325,0.439227,1.096754,0.391294,0.356775,0.205047,0.219832,0.205047,0.034385,0.059486,0.002173
incidents with an arrest only,Murder,1841.000000,621.301962,364.661138,811.310685,43.726215,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.033098,0.015725,0.133925,0.009507,0.034991,2.104778,8.516516,0.604587,0.945921,0.337481,0.356775,0.188433,0.188433,0.176847,0.000000,0.059450,0.003983
incidents with an arrest only,Rape/sexual assault,3718.000000,1685.592229,1041.986501,877.811300,112.609970,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.089796,0.044934,0.144903,0.024485,0.070666,1.998405,3.224804,0.544906,1.270717,0.453360,0.356775,0.263888,0.263888,0.237570,0.000000,0.039105,0.001748
incidents with an arrest only,Robbery,9533.000000,3411.621991,1371.791104,4612.561577,137.025328,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,0.181746,0.059156,0.761409,0.029793,0.181188,3.072316,12.871183,0.503639,1.003083,0.357875,0.356775,0.205721,0.205721,0.187534,0.000000,0.050932,0.001325
incidents with an arrest only,Aggravated assault,56437.000000,21402.388198,14245.404992,19406.290121,1382.916689,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,1.140163,0.614308,3.203453,0.300687,1.072662,1.856011,5.214732,0.489472,1.062929,0.379226,0.356775,0.213238,0.213238,0.198723,0.000000,0.036375,0.001155
incidents with an arrest only,Simple assault,179957.000000,70303.601338,54574.486358,49379.755092,5699.157212,18771344.517594,23189340.646249,6057928.336411,4599195.149123,52613977.707281,3.745262,2.353430,8.151261,1.239164,3.420327,1.591406,3.463567,0.526535,1.095001,0.390669,0.356775,0.217619,0.217619,0.204719,0.000000,0.035250,0.001263
"states=TX+AZ+CA, alloc=b",Murder,4945.000000,1437.379212,1173.724001,2177.956124,155.940663,27764645.341511,32569240.257272,7154067.428561,9473858.371673,76957980.456920,0.051770,0.036038,0.304436,0.016460,0.064256,1.436550,8.447686,0.456745,0.805687,0.290673,0.360777,0.138367,0.138367,0.150629,0.108999,0.140266,0.006330
"states=TX+AZ+CA, alloc=b",Rape/sexual assault,52511.000000,18838.449206,18121.425458,13214.123684,2337.001651,27764645.341511,32569240.257272,7154067.428561,9473858.371673,76957980.456920,0.678505,0.556397,1.847078,0.246679,0.682333,1.219462,3.319714,0.443351,0.994389,0.358752,0.360777,0.179204,0.179204,0.185909,0.072575,0.141831,0.007950
"states=TX+AZ+CA, alloc=b",Robbery,80091.000000,20963.299065,13259.538290,44428.524171,1439.638475,27764645.341511,32569240.257272,7154067.428561,9473858.371673,76957980.456920,0.755036,0.407118,6.210247,0.151959,1.040711,1.854585,15.254153,0.373255,0.725500,0.261744,0.360777,0.121937,0.121937,0.135638,0.145784,0.167452,0.005602
"states=TX+AZ+CA, alloc=b",Aggravated assault,253768.000000,81548.038791,71977.100515,92305.579710,7937.280985,27764645.341511,32569240.257272,7154067.428561,9473858.371673,76957980.456920,2.937118,2.209972,12.902531,0.837809,3.297488,1.329030,5.838324,0.379104,0.890714,0.321349,0.360777,0.155822,0.155822,0.166526,0.114593,0.110916,0.005716
"states=TX+AZ+CA, alloc=b",Simple assault,699056.000000,254893.880886,217684.786611,203879.263619,22598.068885,27764645.341511,32569240.257272,7154067.428561,9473858.371673,76957980.456920,9.180520,6.683754,28.498370,2.385308,9.083606,1.373557,4.263827,0.356881,1.010669,0.364626,0.360777,0.182342,0.182342,0.188952,0.038269,0.070447,0.004320
"states=TX+AZ+CA, alloc=c",Murder,4945.000000,2669.994719,752.042954,1421.894549,101.067777,27764645.341511,32569240.257272,7154067.428561,9473858.371673,76957980.456920,0.096165,0.023091,0.198753,0.010668,0.064256,4.164695,8.607546,0.462009,1.496600,0.539938,0.360777,0.315089,0.315089,0.279801,0.108999,0.140266,0.006330
"states=TX+AZ+CA, alloc=c",Rape/sexual assault,52511.000000,30097.134325,11484.175967,9460.944645,1468.745063,27764645.341511,32569240.257272,7154067.428561,9473858.371673,76957980.456920,1.084009,0.352608,1.322457,0.155031,0.682333,3.074261,3.750501,0.439670,1.588680,0.573159,0.360777,0.343894,0.343894,0.297016,0.072575,0.141831,0.007950
"states=TX+AZ+CA, alloc=c",Robbery,80091.000000,46050.707179,6855.007143,26418.315587,766.970090,27764645.341511,32569240.257272,7154067.428561,9473858.371673,76957980.456920,1.658610,0.210475,3.692769,0.080956,1.040711,7.880321,17.544937,0.384637,1.593728,0.574980,0.360777,0.346557,0.346557,0.297960,0.145784,0.167452,0.005602
"states=TX+AZ+CA, alloc=c",Aggravated assault,253768.000000,138775.013704,45446.049264,64457.533238,5089.403794,27764645.341511,32569240.257272,7154067.428561,9473858.371673,76957980.456920,4.998264,1.395367,9.009914,0.537205,3.297488,3.582042,6.457020,0.384992,1.515779,0.546858,0.360777,0.320118,0.320118,0.283387,0.114593,0.110916,0.005716
"states=TX+AZ+CA, alloc=c",Simple assault,699056.000000,330892.194957,172731.576358,177232.214787,18200.013898,27764645.341511,32569240.257272,7154067.428561,9473858.371673,76957980.456920,11.917753,5.303519,24.773629,1.921077,9.083606,2.247141,4.671168,0.362227,1.312007,0.473341,0.360777,0.259021,0.259021,0.245290,0.038269,0.070447,0.004320
