acs_year,state,geo,geoid,name,total,hisp,nhw,nhb,total_12,hisp_12,nhw_12,nhb_12,total_18,hisp_18,nhw_18,nhb_18,mexican,hisp_b03001,nho,nho_12,nho_18
2022,CA,place,07525,"Bootjack CDP, California",337,17,320,0.0,304.0,17.0,287.0,0.0,258,17,241,0.0,17,17,0.0,0.0,0.0
2022,CA,place,07568,"Boron CDP, California",2469,797,1182,139.0,2048.6,655.2,1023.8,98.5,1825,554,970,69.5,459,797,351.0,271.1,231.5
2022,CA,place,07578,"Boronda CDP, California",1885,1576,135,0.0,1648.8,1348.2,126.6,0.0,1457,1185,114,0.0,1576,1576,174.0,174.0,158.0
2022,CA,place,07596,"Borrego Springs CDP, California",2946,1042,1904,0.0,2734.0,938.0,1796.0,0.0,2602,825,1777,0.0,1042,1042,0.0,0.0,0.0
2022,CA,place,07624,"Bostonia CDP, California",16850,4754,9272,1161.0,14082.8,3546.0,8065.6,983.6,12786,3047,7493,971.0,4099,4754,1663.0,1487.6,1275.0
2022,CA,place,07652,"Boulder Creek CDP, California",5492,657,4251,44.0,5064.0,575.0,3927.0,44.0,4788,500,3737,44.0,643,657,540.0,518.0,507.0
2022,CA,place,07694,"Boulevard CDP, California",359,0,359,0.0,359.0,0.0,359.0,0.0,359,0,359,0.0,0,0,0.0,0.0,0.0
2022,CA,place,07750,"Bowles CDP, California",226,122,92,0.0,154.0,50.0,92.0,0.0,151,50,89,0.0,122,122,12.0,12.0,12.0
2022,CA,place,07848,"Boyes Hot Springs CDP, California",7374,3428,3364,0.0,6051.0,2707.4,2902.0,0.0,5436,2310,2752,0.0,3195,3428,582.0,441.6,374.0
2022,CA,place,07946,"Bradbury city, California",767,126,347,1.0,699.2,114.2,327.8,1.0,677,107,318,1.0,110,126,293.0,256.2,251.0
2022,CA,place,07974,"Bradley CDP, California",85,31,54,0.0,64.0,10.0,54.0,0.0,64,10,54,0.0,10,31,0.0,0.0,0.0
2022,CA,place,08058,"Brawley city, California",26509,22416,3418,75.0,21003.8,17278.8,3143.0,54.6,18475,14948,3001,54.6,22027,22416,600.0,527.4,471.4
2022,CA,place,08100,"Brea city, California",47099,14647,17873,377.0,40619.4,12124.2,16495.2,377.0,36669,10512,15610,318.2,12034,14647,14202.0,11623.0,10228.8
2022,CA,place,08142,"Brentwood city, California",64443,16420,28967,6072.0,55216.6,13389.2,25815.6,5419.5,47898,11249,22883,4613.3,11111,16420,12984.0,10592.3,9152.7
2022,CA,place,08172,"Bret Harte CDP, California",4926,4571,236,21.0,3572.8,3291.6,173.0,21.0,2845,2626,158,21.0,4361,4571,98.0,87.2,40.0
2022,CA,place,08240,"Bridgeport CDP, California",408,184,178,7.0,373.0,184.0,149.0,7.0,373,184,149,7.0,176,184,39.0,33.0,33.0
2022,CA,place,08310,"Brisbane city, California",4756,1091,1912,1.0,4033.4,777.2,1763.2,1.0,3797,693,1713,1.0,709,1091,1752.0,1492.0,1390.0
2022,CA,place,08338,"Broadmoor CDP, California",4419,979,1059,96.0,3787.6,774.4,901.0,96.0,3511,667,821,96.0,318,979,2285.0,2016.2,1927.0
2022,CA,place,08478,"Brookdale CDP, California",1128,78,919,9.0,1034.0,78.0,881.0,9.0,1015,78,871,9.0,57,78,122.0,66.0,57.0
2022,CA,place,08506,"Brooks CDP, California",0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0
2022,CA,place,08530,"Brooktrails CDP, California",4440,1058,2875,0.0,3344.2,612.6,2404.8,0.0,3113,549,2263,0.0,1024,1058,507.0,326.8,301.0
2022,CA,place,08680,"Buckhorn CDP, California",3196,362,2616,19.0,2983.6,341.2,2424.4,19.0,2807,288,2301,19.0,282,362,199.0,199.0,199.0
