design,endpoint,outcome,y,x,controls,estimator,n,coef,se,lo,hi,F,hansen_J,hansen_p,ar_lo,ar_hi,ar_kind
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_fbemp,none,reduced form on Z2_exmex,340,0.12940890341584946,0.2026129262670747,-0.26771243206761697,0.5265302388993158,,,,,,
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_fbemp,none,IV with Z2,340,0.02211798306097401,0.18979708763888622,-0.349884308711243,0.394120274833191,,,,-0.3753577332773955,0.3805225837400946,bounded
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_fbemp,none,IV with Z2 + baseline level,340,0.870279249733421,0.3198092912816875,0.24345303882131353,1.4971054606455283,,,,,,
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_fbemp,none,IV with Z2_exmex,340,0.1157148540174392,0.1786928975410191,-0.23452322516295826,0.46595293319783665,,,,-0.25162215174192304,0.45474702616661117,bounded
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_fbemp,none,IV with Z2_exmex + baseline level,340,0.7762566808243728,0.2906339797691814,0.2066140804767772,1.3458992811719686,,,,,,
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_fbemp,none,IV with Z2_mex,340,-0.23559544366991703,0.28854518387153366,-0.801144004058123,0.329953116718289,,,,-0.8768817141102575,0.29844189591264003,bounded
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_fbemp,none,IV with Z2_mex + baseline level,340,1.3771479351801967,0.5761726560150663,0.24784952939066685,2.5064463409697266,,,,,,
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_fbemp,none,IV with Z,340,0.49062825427261014,0.23987382955052466,0.020475548353581785,0.9607809601916385,,,,-0.046492271243466776,0.9294262051510005,bounded
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_fbemp,none,IV with Z + baseline level,340,1.4745620568869031,0.5317967938945951,0.4322403408534967,2.5168837729203095,,,,,,
FG_noLA,2009-11 ACS,adj_hour_hsl,d_adj_hour_hsl,d_fbemp,none,IV with Z+Z2,340,0.14496184583615973,0.1757483188593598,-0.19950485912818544,0.4894285508005049,,7.063059029559047,0.007868951917093803,,,
