block,recipients,donors,level_mean,level_max,spec,seed,variant
social_security_any,2670,83709,0.8352059925093633,4,all_items,20260925,pooled
ssi_recipient,438,1374,2.2557077625570776,5,all_items,20260925,pooled
ssi_any,1856,90172,0.822198275862069,4,all_items,20260925,pooled
public_assistance_recipient,197,368,3.6294416243654823,5,all_items,20260925,pooled
public_assistance_any,3189,89087,0.7870805895264973,4,all_items,20260925,pooled
unemployment_recipient,277,836,3.299638989169675,4,all_items,20260925,pooled
unemployment_any,2154,90039,0.840297121634169,4,all_items,20260925,pooled
veterans_recipient,555,1338,2.2900900900900902,5,all_items,20260925,pooled
veterans_any,2637,89289,0.7717102768297307,4,all_items,20260925,pooled
workers_comp_recipient,97,208,4.0,5,all_items,20260925,pooled
workers_comp_any,2031,90342,0.8133924175283112,4,all_items,20260925,pooled
pensions_retirement_any,8715,83777,0.770281124497992,4,all_items,20260925,pooled
survivor_disability_any,3600,88872,0.8025,4,all_items,20260925,pooled
other_income_any,8739,83765,0.7626730747225083,4,all_items,20260925,pooled
MCARE,33500,105672,0.45546268656716415,4,all_items,20260925,pooled
MCAID,33735,105040,0.4588409663554172,4,all_items,20260925,pooled
SPM_SNAPSUB,13011,45122,0.109215279378987,4,all_items,20260925,pooled
SPM_CAPHOUSESUB,4775,46627,0.16397905759162304,4,all_items,20260925,pooled
SPM_ENGVAL,14292,43816,0.10684298908480269,4,all_items,20260925,pooled
SPM_SCHLUNCH,2989,46995,0.23084643693542992,4,all_items,20260925,pooled
SPM_WICVAL,11932,46215,0.10794502179014415,4,all_items,20260925,pooled
