item,measure,group,estimate,se,n_unweighted,n_flagged,note
wic_unit,dollars,union_minus_other,-0.06302761928423745,0.040763756094722624,,,
property_value,dollars,union,0.36886912672750266,0.012602186278272975,10920.0,4062.0,
property_value,dollars,other,0.32538414550204237,0.005547316226557867,88788.0,31473.0,
property_value,dollars,union_minus_other,0.043484981225460295,0.0130066784974914,,,
tax_unit_material_5pct,persons,union,0.4704797970982176,0.0091793468420608,18331.0,8539.0,
tax_unit_material_5pct,persons,other,0.541562328783172,0.00343664040594709,123318.0,66904.0,
tax_unit_material_5pct,persons,union_minus_other,-0.07108253168495443,0.009426784729189818,,,
tax_unit_material_5pct,dollars_federal_liability,union,0.5717834669222414,0.018427619527875163,18331.0,8539.0,
tax_unit_material_5pct,dollars_federal_liability,other,0.5940446085390997,0.006814363970633859,123318.0,66904.0,
tax_unit_material_5pct,dollars_federal_liability,union_minus_other,-0.022261141616858326,0.019925518800668673,,,
tax_unit_material_5pct,dollars_refundable_credits,union,0.45484791925631163,0.01900512571572088,18331.0,8539.0,
tax_unit_material_5pct,dollars_refundable_credits,other,0.5021948932469016,0.010682586237251582,123318.0,66904.0,
tax_unit_material_5pct,dollars_refundable_credits,union_minus_other,-0.04734697399058996,0.021293634942422507,,,
tax_unit_material_5pct,dollars_state_liability,union,0.5520293359852309,0.017980945193044412,18331.0,8539.0,
tax_unit_material_5pct,dollars_state_liability,other,0.5796146641032598,0.0069191859352969315,123318.0,66904.0,
tax_unit_material_5pct,dollars_state_liability,union_minus_other,-0.02758532811802894,0.019126101697640795,,,
tax_unit_material_1pct,persons,union,0.5163099947075089,0.008757208755984904,18331.0,9431.0,
tax_unit_material_1pct,persons,other,0.6205657379500109,0.003111548801221264,123318.0,76937.0,
tax_unit_material_1pct,persons,union_minus_other,-0.10425574324250197,0.008874888002719688,,,
tax_unit_material_1pct,dollars_federal_liability,union,0.6521666068705846,0.017002866612510097,18331.0,9431.0,
tax_unit_material_1pct,dollars_federal_liability,other,0.7142011886917895,0.006096680674568983,123318.0,76937.0,
tax_unit_material_1pct,dollars_federal_liability,union_minus_other,-0.062034581821204915,0.018016001707974374,,,
tax_unit_material_1pct,dollars_refundable_credits,union,0.47502731969481715,0.018113149955260442,18331.0,9431.0,
tax_unit_material_1pct,dollars_refundable_credits,other,0.5300357871565885,0.010457342597724196,123318.0,76937.0,
tax_unit_material_1pct,dollars_refundable_credits,union_minus_other,-0.05500846746177135,0.020600288969069614,,,
tax_unit_material_1pct,dollars_state_liability,union,0.6379592201465146,0.01654671119686035,18331.0,9431.0,
tax_unit_material_1pct,dollars_state_liability,other,0.7039358754049566,0.005949590087054992,123318.0,76937.0,
tax_unit_material_1pct,dollars_state_liability,union_minus_other,-0.06597665525844199,0.01743809853081009,,,
tax_unit_material_anyflag,persons,union,0.6138862445861133,0.008309689328941505,18331.0,11220.0,
tax_unit_material_anyflag,persons,other,0.7352046429229663,0.0028466661886596824,123318.0,91128.0,
tax_unit_material_anyflag,persons,union_minus_other,-0.12131839833685298,0.008465719586625066,,,
tax_unit_material_anyflag,dollars_federal_liability,union,0.7728588573077889,0.014788017136375524,18331.0,11220.0,
tax_unit_material_anyflag,dollars_federal_liability,other,0.838614197195613,0.005074126846559262,123318.0,91128.0,
tax_unit_material_anyflag,dollars_federal_liability,union_minus_other,-0.06575533988782412,0.015213733278878854,,,
tax_unit_material_anyflag,dollars_refundable_credits,union,0.5433526002195999,0.018281007150646098,18331.0,11220.0,
tax_unit_material_anyflag,dollars_refundable_credits,other,0.6109803792101294,0.009393343954222394,123318.0,91128.0,
tax_unit_material_anyflag,dollars_refundable_credits,union_minus_other,-0.06762777899052952,0.02078834726994421,,,
tax_unit_material_anyflag,dollars_state_liability,union,0.7674581961197868,0.01371108514403813,18331.0,11220.0,
tax_unit_material_anyflag,dollars_state_liability,other,0.836468234068401,0.0046210460226366774,123318.0,91128.0,
tax_unit_material_anyflag,dollars_state_liability,union_minus_other,-0.06901003794861416,0.014300124675085518,,,
spm_resources,persons,union,0.6721292203867674,0.008694123986207397,18331.0,12199.0,
spm_resources,persons,other,0.685251283172109,0.0033660072686164705,123318.0,84375.0,
spm_resources,persons,union_minus_other,-0.01312206278534167,0.008913932820543527,,,
spm_resources,dollars,union,0.7042093512537685,0.010244652290725745,18331.0,12199.0,
spm_resources,dollars,other,0.7087844932584613,0.004280552240983056,123318.0,84375.0,
spm_resources,dollars,union_minus_other,-0.004575142004692778,0.010873294766499536,,,
definition_PXNATVTY,persons,union,0.028243793903906807,0.002832910303826067,18331.0,472.0,codes 10+: edited or allocated
definition_PXNATVTY,persons,other,0.02205721024439049,0.0009661477312948686,123318.0,2253.0,codes 10+: edited or allocated
definition_PXNATVTY,persons,union_minus_other,0.0061865836595163155,0.0029015185058588766,,,codes 10+: edited or allocated
definition_PXMNTVTY,persons,union,0.03383725376843941,0.0031318494010337044,18331.0,570.0,codes 10+: edited or allocated
definition_PXMNTVTY,persons,other,0.02797493053616055,0.0010113045222511893,123318.0,2865.0,codes 10+: edited or allocated
definition_PXMNTVTY,persons,union_minus_other,0.0058623232322788585,0.0031925095990296306,,,codes 10+: edited or allocated
definition_PXFNTVTY,persons,union,0.037619536743988484,0.003129591272570246,18331.0,635.0,codes 10+: edited or allocated
definition_PXFNTVTY,persons,other,0.029429581232570928,0.0010150261931046105,123318.0,3033.0,codes 10+: edited or allocated
definition_PXFNTVTY,persons,union_minus_other,0.008189955511417556,0.0031728061259329566,,,codes 10+: edited or allocated
definition_PXHSPNON,persons,union,0.005566331226583448,0.0010418051597194508,18331.0,93.0,codes 10+: edited or allocated
definition_PXHSPNON,persons,other,0.009254560576679118,0.0005392879353674259,123318.0,1012.0,codes 10+: edited or allocated
definition_PXHSPNON,persons,union_minus_other,-0.00368822935009567,0.001227112886249192,,,codes 10+: edited or allocated
definition_PRCITFLG,persons,union,0.03505299698006711,0.0022932289494419387,18331.0,591.0,codes 10+: edited or allocated
definition_PRCITFLG,persons,other,0.011984872955545048,0.0005493816611487696,123318.0,1297.0,codes 10+: edited or allocated
definition_PRCITFLG,persons,union_minus_other,0.02306812402452206,0.0023763316949435096,,,codes 10+: edited or allocated
