item,arm,label,group,total_bn,per_person,se_bn,common_age_gap_per_person_vs_white,source,external
M,central,MEPS-to-NHEA coverage scaling,mexico_born,-10.826607780645798,-885.9177657118514,0.2727834522885173,239.69778928393796,params:meps_coverage,False
M,central,MEPS-to-NHEA coverage scaling,mexican_second_gen,-11.243658847542699,-784.447645427103,0.2625289199200082,3.1774612254949495,params:meps_coverage,False
M,central,MEPS-to-NHEA coverage scaling,mexican_third_plus_selfid,-13.080114399752597,-911.9781321569266,0.3342190052055529,1.5419436776049924,params:meps_coverage,False
M,central,MEPS-to-NHEA coverage scaling,mexican_observed_total,-35.1503810279411,-859.4945116183942,0.40347652938717427,64.00742533017154,params:meps_coverage,False
M,central,MEPS-to-NHEA coverage scaling,third_plus_nh_white,-229.04247049287483,-1323.5326059209133,0.6110236142022581,0.0,params:meps_coverage,False
M,central,MEPS-to-NHEA coverage scaling,all_native,-339.1046691671461,-1195.4103829012831,0.6838306711217365,2.8063352746283297,params:meps_coverage,False
M,zero,MEPS-to-NHEA coverage scaling,mexico_born,0.0,0.0,0.0,0.0,convention,False
M,zero,MEPS-to-NHEA coverage scaling,mexican_second_gen,0.0,0.0,0.0,0.0,convention,False
M,zero,MEPS-to-NHEA coverage scaling,mexican_third_plus_selfid,0.0,0.0,0.0,0.0,convention,False
M,zero,MEPS-to-NHEA coverage scaling,mexican_observed_total,0.0,0.0,0.0,0.0,convention,False
M,zero,MEPS-to-NHEA coverage scaling,third_plus_nh_white,0.0,0.0,0.0,0.0,convention,False
M,zero,MEPS-to-NHEA coverage scaling,all_native,0.0,0.0,0.0,0.0,convention,False
E,zero,immigration enforcement,mexico_born,0.0,0.0,0.0,0.0,convention,False
E,zero,immigration enforcement,mexican_second_gen,0.0,0.0,0.0,0.0,convention,False
E,zero,immigration enforcement,mexican_third_plus_selfid,0.0,0.0,0.0,0.0,convention,False
E,zero,immigration enforcement,mexican_observed_total,0.0,0.0,0.0,0.0,convention,False
E,zero,immigration enforcement,third_plus_nh_white,0.0,0.0,0.0,0.0,convention,False
E,zero,immigration enforcement,all_native,0.0,0.0,0.0,0.0,convention,False
E,stock,immigration enforcement,mexico_born,-2.716778160145586,-222.30804757456227,0.07252420587582724,-223.32107500996958,"params:enforcement,unauthorized",False
E,stock,immigration enforcement,mexican_second_gen,0.0,0.0,0.0,0.0,"params:enforcement,unauthorized",False
E,stock,immigration enforcement,mexican_third_plus_selfid,0.0,0.0,0.0,0.0,"params:enforcement,unauthorized",False
E,stock,immigration enforcement,mexican_observed_total,-2.716778160145586,-66.43045820964814,0.07252420587582724,-76.34961490974851,"params:enforcement,unauthorized",False
E,stock,immigration enforcement,third_plus_nh_white,0.0,0.0,0.0,0.0,"params:enforcement,unauthorized",False
