F_arm,E_arm,C_arm,R_arm,union_absolute_bn,union_per_person,se_bn
proportional_to_federal_tax,stock_plus_flow,per_capita,all_per_capita,-405.1599969490713,-9906.942215739888,6.967414406250008
proportional_to_federal_tax,stock_plus_flow,per_capita,all_zero,-221.97655951261294,-5427.754380738213,5.976546436023901
proportional_to_federal_tax,stock_plus_flow,all_capital,central,-394.9258311014315,-9656.69715096956,7.083015972304205
proportional_to_federal_tax,stock_plus_flow,all_capital,central_housing_by_reported_subsidy,-395.3518163897347,-9667.113311665962,7.112721434301086
proportional_to_federal_tax,stock_plus_flow,all_capital,all_per_capita,-462.97001628245556,-11320.508523715338,7.666805380327064
proportional_to_federal_tax,stock_plus_flow,all_capital,all_zero,-279.7865788459972,-6841.320688713663,6.624108489564871
proportional_to_federal_tax,stock_pew_secondary,wage25_capital75,central,-382.8010100659733,-9360.221925678325,7.089463168393787
proportional_to_federal_tax,stock_pew_secondary,wage25_capital75,central_housing_by_reported_subsidy,-383.2269953542765,-9370.638086374725,7.1185916117102375
proportional_to_federal_tax,stock_pew_secondary,wage25_capital75,all_per_capita,-450.8451952469973,-11024.033298424101,7.656361001908889
proportional_to_federal_tax,stock_pew_secondary,wage25_capital75,all_zero,-267.6617578105389,-6544.845463422427,6.632353739108805
proportional_to_federal_tax,stock_pew_secondary,per_capita,central,-333.76141032793026,-8161.109267601978,6.448034300515287
proportional_to_federal_tax,stock_pew_secondary,per_capita,central_housing_by_reported_subsidy,-334.1873956162335,-8171.5254282983815,6.474797662492097
proportional_to_federal_tax,stock_pew_secondary,per_capita,all_per_capita,-401.8055955089543,-9824.920640347756,6.953109433095242
proportional_to_federal_tax,stock_pew_secondary,per_capita,all_zero,-218.62215807249595,-5345.7328053460815,5.967642539793836
proportional_to_federal_tax,stock_pew_secondary,all_capital,central,-391.5714296613144,-9574.675575577428,7.069430398182243
proportional_to_federal_tax,stock_pew_secondary,all_capital,central_housing_by_reported_subsidy,-391.9974149496177,-9585.09173627383,7.1002686006945686
proportional_to_federal_tax,stock_pew_secondary,all_capital,all_per_capita,-459.6156148423385,-11238.486948323205,7.649630488605373
proportional_to_federal_tax,stock_pew_secondary,all_capital,all_zero,-276.4321774058801,-6759.299113321531,6.611243306258169
proportional_to_federal_tax,zero,wage25_capital75,central,-380.8944643945447,-9313.603212229951,7.082398467992643
proportional_to_federal_tax,zero,wage25_capital75,central_housing_by_reported_subsidy,-381.3204496828479,-9324.019372926354,7.112166311954264
proportional_to_federal_tax,zero,wage25_capital75,all_per_capita,-448.9386495755687,-10977.41458497573,7.647189639669176
proportional_to_federal_tax,zero,wage25_capital75,all_zero,-265.75521213911037,-6498.226749974056,6.625745003889951
proportional_to_federal_tax,zero,per_capita,central,-331.85486465650166,-8114.490554153605,6.4429300165479475
proportional_to_federal_tax,zero,per_capita,central_housing_by_reported_subsidy,-332.2808499448049,-8124.90671485001,6.470385513931873
proportional_to_federal_tax,zero,per_capita,all_per_capita,-399.8990498375257,-9778.301926899385,6.945480343087211
proportional_to_federal_tax,zero,per_capita,all_zero,-216.71561240106735,-5299.11409189771,5.963175247530427
proportional_to_federal_tax,zero,all_capital,central,-389.6648839898859,-9528.056862129055,7.062203171956964
proportional_to_federal_tax,zero,all_capital,central_housing_by_reported_subsidy,-390.09086927818913,-9538.47302282546,7.093684850656845
proportional_to_federal_tax,zero,all_capital,all_per_capita,-457.7090691709099,-11191.868234874833,7.640319342118929
proportional_to_federal_tax,zero,all_capital,all_zero,-274.52563173445157,-6712.680399873159,6.604461085833499
