window,outcome,sample,weighted,method,instruments,controls,n,clusters,note,beta,se,ci_lo,ci_hi,fs_coef,fs_se,F_eff,F_robust,rf_coef,rf_se,ar_type,ar_lo,ar_hi,ar_pieces,J,J_p,beta_gmm
1222,financial_admin,all,False,2SLS,bartik,lnpop0,3065,48,,-0.487564,0.600698,-1.66493,0.689804,0.29705,0.0435796,46.4613,46.4613,-0.144831,0.178836,interval,-1.73195,0.726752,,,,
1222,financial_admin,all,False,2SLS,imm,lnpop0,3065,48,,-4.21777,3.16456,-10.4203,1.98476,-0.67919,0.218613,9.65229,9.65229,2.86467,2.29174,interval,-12.5767,3.42698,,,,
1222,financial_admin,all,False,2SLS,imm_nomex,lnpop0,3065,48,,-1.84084,2.18891,-6.13111,2.44942,-0.946742,0.293232,10.4241,10.4241,1.7428,2.19017,interval,-6.86477,3.96074,,,,
1222,financial_admin,all,False,2SLS,bartik+imm,lnpop0,3065,48,,-1.08638,0.748404,-2.55325,0.380491,0.299221;-0.705147,0.0448128;0.202841,30.3302,44.9667,-0.153692;2.878,0.182144;2.28907,interval,-1.865,0.734,"[[-1.864999999998619, 0.7340000000022489]]",1.80114,0.179574,-0.563667
1222,central_staff,all,True,OLS,,lnpop0,3088,48,,0.705041,0.205175,0.302897,1.10718,,,,,,,,,,,,,
1222,central_staff,all,True,2SLS,bartik,lnpop0,3088,48,,-0.651382,0.702861,-2.02899,0.726226,0.803937,0.104603,59.0685,59.0685,-0.52367,0.596716,interval,-1.92785,0.93874,,,,
1222,central_staff,all,True,2SLS,imm,lnpop0,3088,48,,-1.71516,0.713078,-3.11279,-0.317529,-0.735311,0.139407,27.821,27.821,1.26118,0.535073,interval,-3.33462,-0.315792,,,,
1222,central_staff,all,True,2SLS,imm_nomex,lnpop0,3088,48,,-1.53732,0.657749,-2.82651,-0.248137,-0.806309,0.122546,43.2916,43.2916,1.23956,0.550506,interval,-2.91701,-0.215444,,,,
1222,central_staff,all,True,2SLS,bartik+imm,lnpop0,3088,48,,-1.0532,0.559168,-2.14917,0.0427649,0.746946;-0.649438,0.104236;0.127614,40.9425,34.8259,-0.417204;1.21321,0.584449;0.532627,interval,-2.171,0.042,"[[-2.1709999999987213, 0.04200000000201776]]",1.20375,0.272574,-1.09251
1222,central_staff,all,False,OLS,,lnpop0,3088,48,,0.512966,0.197312,0.126233,0.899698,,,,,,,,,,,,,
1222,central_staff,all,False,2SLS,bartik,lnpop0,3088,48,,1.12111,0.819165,-0.484452,2.72668,0.288722,0.0432697,44.524,44.524,0.32369,0.22915,interval,-0.433504,2.9358,,,,
1222,central_staff,all,False,2SLS,imm,lnpop0,3088,48,,-2.4855,1.68312,-5.78441,0.813404,-0.666044,0.219474,9.20957,9.20957,1.65545,0.905623,interval,-9.52547,0.166482,,,,
1222,central_staff,all,False,2SLS,imm_nomex,lnpop0,3088,48,,-1.11591,1.26344,-3.59226,1.36044,-0.935906,0.289951,10.4188,10.4188,1.04439,1.03438,interval,-5.85922,0.931925,,,,
1222,central_staff,all,False,2SLS,bartik+imm,lnpop0,3088,48,,0.542123,0.768026,-0.963208,2.04745,0.291025;-0.693814,0.0443586;0.204261,29.0923,41.0229,0.318298;1.62508,0.228927;0.901143,interval,-0.158,0.68,"[[-0.15799999999804903, 0.6800000000022308]]",3.58061,0.0584575,0.489474
1222,public_buildings,all,True,OLS,,lnpop0,2716,48,,1.93959,0.611461,0.741127,3.13805,,,,,,,,,,,,,
1222,public_buildings,all,True,2SLS,bartik,lnpop0,2716,48,,1.05164,1.50054,-1.88942,3.99269,0.848019,0.111859,57.4735,57.4735,0.891808,1.24199,interval,-1.75646,4.35245,,,,
1222,public_buildings,all,True,2SLS,imm,lnpop0,2716,48,,3.8658,2.73585,-1.49648,9.22807,-0.67364,0.143741,21.9631,21.9631,-2.60416,1.86862,interval,-1.76074,10.0593,,,,
1222,public_buildings,all,True,2SLS,imm_nomex,lnpop0,2716,48,,3.73368,2.40984,-0.989601,8.45697,-0.742201,0.120836,37.7268,37.7268,-2.77114,1.81702,interval,-1.14611,8.82357,,,,
1222,public_buildings,all,True,2SLS,bartik+imm,lnpop0,2716,48,,1.92173,0.900307,0.157125,3.68633,0.793947;-0.577668,0.107474;0.131339,38.45,32.4546,0.655463;-2.52492,1.2732;1.97806,interval,-0.19,3.901,"[[-0.18999999999805972, 3.9010000000033065]]",0.600827,0.438263,1.99953
1222,public_buildings,all,False,OLS,,lnpop0,2716,48,,0.893718,0.278092,0.348657,1.43878,,,,,,,,,,,,,
1222,public_buildings,all,False,2SLS,bartik,lnpop0,2716,48,,0.353153,1.22314,-2.0442,2.75051,0.358617,0.0446035,64.6432,64.6432,0.126647,0.438776,interval,-2.11302,2.83076,,,,
1222,public_buildings,all,False,2SLS,imm,lnpop0,2716,48,,1.47875,2.77209,-3.95456,6.91205,-0.632273,0.176783,12.7917,12.7917,-0.934972,1.77252,interval,-5.02339,7.96733,,,,
1222,public_buildings,all,False,2SLS,imm_nomex,lnpop0,2716,48,,0.631162,1.99528,-3.27959,4.54191,-0.830575,0.243601,11.6252,11.6252,-0.524227,1.64583,interval,-3.76129,5.83122,,,,
1222,public_buildings,all,False,2SLS,bartik+imm,lnpop0,2716,48,,0.468067,1.18333,-1.85126,2.78739,0.360915;-0.667915,0.045688;0.157307,48.6339,54.3199,0.129908;-0.947801,0.440193;1.78191,interval,-2.557,3.372,"[[-2.55699999999885, 3.37200000000313]]",0.15483,0.693961,0.487788
0717,admin,all,True,OLS,,lnpop0,3095,48,,0.485187,0.178421,0.135482,0.834892,,,,,,,,,,,,,
0717,admin,all,True,2SLS,bartik,lnpop0,3095,48,,0.909141,0.822509,-0.702977,2.52126,0.406741,0.10438,15.1845,15.1845,0.369785,0.337464,interval,-0.839486,2.89868,,,,
0717,admin,all,True,2SLS,imm,lnpop0,3095,48,,-5.41947,15.5558,-35.9089,25.07,0.149966,0.153764,0.951207,0.951207,-0.812737,1.74062,real line,-inf,inf,,,,
0717,admin,all,True,2SLS,imm_nomex,lnpop0,3095,48,,-4.95308,13.8118,-32.0242,22.1181,0.16775,0.156896,1.14314,1.14314,-0.830876,1.7402,real line,-inf,inf,,,,
0717,admin,all,True,2SLS,imm_mex,lnpop0,3095,48,,-0.887609,0.324125,-1.52289,-0.252325,-33.412,8.54581,15.2861,15.2861,29.6568,9.39415,interval,-1.87937,-0.344101,,,,
0717,admin,all,True,2SLS,bartik+imm,lnpop0,3095,48,,0.370917,1.20387,-1.98867,2.7305,0.409944;0.16267,0.103499;0.146707,7.45527,8.97284,0.354;-0.801767,0.339975;1.73791,interval,-1.282,2.975,"[[-1.2819999999984244, 2.9750000000029972]]",0.324643,0.568831,0.874874
0717,admin,all,True,2SLS,bartik+imm_nomex,lnpop0,3095,48,,0.309636,1.2578,-2.15565,2.77493,0.409786;0.178773,0.103423;0.149544,7.46364,8.76242,0.355797;-0.821305,0.339697;1.73659,interval,-1.285,2.943,"[[-1.2849999999984254, 2.9430000000029866]]",0.346529,0.556085,0.871331
0717,admin,all,False,OLS,,lnpop0,3095,48,,0.619667,0.171011,0.284486,0.954848,,,,,,,,,,,,,
0717,admin,all,False,2SLS,bartik,lnpop0,3095,48,,0.2149,2.22132,-4.13889,4.56869,0.0853638,0.0569208,2.24908,2.24908,0.0183447,0.192683,real line,-inf,inf,,,,
0717,admin,all,False,2SLS,imm,lnpop0,3095,48,,-2.76041,2.1514,-6.97715,1.45633,0.540762,0.330354,2.67949,2.67949,-1.49273,1.18678,real line,-inf,inf,,,,
0717,admin,all,False,2SLS,imm_nomex,lnpop0,3095,48,,-2.71166,2.11285,-6.85284,1.42952,0.550137,0.328716,2.80091,2.80091,-1.49178,1.18666,real line,-inf,inf,,,,
0717,admin,all,False,2SLS,imm_mex,lnpop0,3095,48,,0.03939,1.61342,-3.12291,3.20169,-25.7974,9.39044,7.54709,7.54709,-1.01616,41.7104,interval,-5.68086,3.59974,,,,
0717,admin,all,False,2SLS,bartik+imm,lnpop0,3095,48,,-1.53464,1.90322,-5.26495,2.19567,0.0783889;0.509805,0.0554317;0.321786,2.41892,2.02902,0.0389781;-1.50812,0.187097;1.16911,unbounded on grid,-inf,inf,"[[-6.0, 6.0000000000040075]]",1.41605,0.234055,-1.92258
0717,admin,all,False,2SLS,bartik+imm_nomex,lnpop0,3095,48,,-1.53257,1.88645,-5.23,2.16486,0.0782407;0.519162,0.0554591;0.320259,2.48043,2.0854,0.0390246;-1.50723,0.186981;1.16868,unbounded on grid,-inf,inf,"[[-6.0, 6.0000000000040075]]",1.38292,0.239605,-1.91622
0717,admin,drop 25 largest,True,OLS,,lnpop0,3070,48,,0.56647,0.167332,0.238499,0.894441,,,,,,,,,,,,,
0717,admin,drop 25 largest,True,2SLS,bartik,lnpop0,3070,48,,0.63958,1.67144,-2.63643,3.91559,0.206058,0.0971097,4.5025,4.5025,0.131791,0.350966,interval,-8.25354,8.85906,,,,
0717,admin,drop 25 largest,True,2SLS,imm,lnpop0,3070,48,,0.325631,3.21654,-5.97878,6.63005,0.582944,0.155756,14.0076,14.0076,0.189824,1.84533,interval,-4.84689,10.9128,,,,
0717,admin,drop 25 largest,True,2SLS,imm_nomex,lnpop0,3070,48,,0.310524,3.21934,-5.99939,6.62044,0.581472,0.154042,14.2489,14.2489,0.180561,1.8439,interval,-4.87152,10.8293,,,,
0717,admin,drop 25 largest,True,2SLS,imm_mex,lnpop0,3070,48,,3.33198,5.17335,-6.8078,13.4718,23.3667,18.649,1.56994,1.56994,77.8575,72.4132,two rays,-11.028,-1.61632,,,,
0717,admin,drop 25 largest,True,2SLS,bartik+imm,lnpop0,3070,48,,0.406469,2.52562,-4.54375,5.35669,0.189082;0.56629,0.0943195;0.15981,8.77459,12.8452,0.126434;0.178688,0.343513;1.84487,unbounded on grid,-4.109,inf,"[[-4.1089999999993685, 6.0000000000040075]]",0.0096576,0.921715,0.595184
0717,admin,drop 25 largest,True,2SLS,bartik+imm_nomex,lnpop0,3070,48,,0.395709,2.52422,-4.55176,5.34318,0.188942;0.564601,0.0945261;0.157858,8.81606,12.8267,0.12666;0.169252,0.343529;1.84349,unbounded on grid,-4.148,inf,"[[-4.1479999999993815, 6.0000000000040075]]",0.0105921,0.918028,0.593161
0717,admin,drop 25 largest,False,OLS,,lnpop0,3070,48,,0.61917,0.170192,0.285593,0.952746,,,,,,,,,,,,,
0717,admin,drop 25 largest,False,2SLS,bartik,lnpop0,3070,48,,0.251564,2.28301,-4.22313,4.72626,0.0831991,0.0560823,2.20083,2.20083,0.0209299,0.193196,real line,-inf,inf,,,,
0717,admin,drop 25 largest,False,2SLS,imm,lnpop0,3070,48,,-1.32147,1.2974,-3.86436,1.22143,0.912278,0.283816,10.3319,10.3319,-1.20555,1.37937,interval,-3.67923,3.04416,,,,
0717,admin,drop 25 largest,False,2SLS,imm_nomex,lnpop0,3070,48,,-1.30871,1.2908,-3.83868,1.22126,0.919099,0.282996,10.5479,10.5479,-1.20284,1.37883,interval,-3.65351,2.98452,,,,
0717,admin,drop 25 largest,False,2SLS,imm_mex,lnpop0,3070,48,,0.0564201,2.22481,-4.30421,4.41705,-21.2513,8.93882,5.6521,5.6521,-1.199,47.472,interval,-12.9486,4.62045,,,,
0717,admin,drop 25 largest,False,2SLS,bartik+imm,lnpop0,3070,48,,-1.00129,1.35264,-3.65247,1.64988,0.0701434;0.875693,0.0544745;0.279131,5.54202,5.95131,0.0392083;-1.226,0.18774;1.35999,interval,-4.431,4.579,"[[-4.430999999999476, 4.579000000003533]]",0.453988,0.500447,-1.14703
0717,admin,drop 25 largest,False,2SLS,bartik+imm_nomex,lnpop0,3070,48,,-0.995877,1.34641,-3.63483,1.64308,0.0700237;0.882598,0.0545346;0.278422,5.62039,6.08238,0.0391908;-1.22326,0.187601;1.35907,interval,-4.395,4.495,"[[-4.394999999999464, 4.495000000003505]]",0.44954,0.502553,-1.14169
0717,admin,drop areas without a county government,True,OLS,,lnpop0,3011,47,,0.537059,0.203992,0.137235,0.936882,,,,,,,,,,,,,
0717,admin,drop areas without a county government,True,2SLS,bartik,lnpop0,3011,47,,0.509597,0.786988,-1.0329,2.05209,0.400976,0.104498,14.7238,14.7238,0.204336,0.306963,interval,-1.04352,2.58224,,,,
0717,admin,drop areas without a county government,True,2SLS,imm,lnpop0,3011,47,,55.517,182.719,-302.613,413.646,-0.0552329,0.192805,0.0820652,0.0820652,-3.06636,1.3626,two rays,-2.29207,7.0875,,,,
0717,admin,drop areas without a county government,True,2SLS,imm_nomex,lnpop0,3011,47,,102.387,625.321,-1123.24,1328.02,-0.0305247,0.194011,0.0247543,0.0247543,-3.12533,1.33763,two rays,-2.18458,9.22237,,,,
0717,admin,drop areas without a county government,True,2SLS,imm_mex,lnpop0,3011,47,,-1.2986,0.332349,-1.95001,-0.647197,-32.8752,8.77332,14.0413,14.0413,42.6917,10.29,interval,-2.37912,-0.75801,,,,
0717,admin,drop areas without a county government,True,2SLS,bartik+imm,lnpop0,3011,47,,0.762547,0.848411,-0.900339,2.42543,0.40014;-0.0303121,0.103137;0.185858,6.15985,7.78941,0.119994;-3.05889,0.302938;1.36298,interval,-0.462,0.67,"[[-0.46199999999815056, 0.6700000000022275]]",2.54829,0.110414,0.402558
0717,admin,drop areas without a county government,True,2SLS,bartik+imm_nomex,lnpop0,3011,47,,0.57584,0.800064,-0.992285,2.14396,0.400782;-0.0078035,0.10364;0.18816,6.08236,7.64996,0.126739;-3.11815,0.30282;1.33765,interval,-0.324,0.449,"[[-0.32399999999810447, 0.4490000000021537]]",2.57223,0.108755,0.382297
0717,admin,drop areas without a county government,False,OLS,,lnpop0,3011,47,,0.72738,0.154921,0.423736,1.03103,,,,,,,,,,,,,
0717,admin,drop areas without a county government,False,2SLS,bartik,lnpop0,3011,47,,-0.261844,2.68157,-5.51773,4.99404,0.0740626,0.0563688,1.72632,1.72632,-0.0193929,0.19519,real line,-inf,inf,,,,
0717,admin,drop areas without a county government,False,2SLS,imm,lnpop0,3011,47,,-6.70037,5.58088,-17.6389,4.23815,0.3605,0.254755,2.00247,2.00247,-2.41548,1.10496,two rays,-0.646907,14.8216,,,,
0717,admin,drop areas without a county government,False,2SLS,imm_nomex,lnpop0,3011,47,,-6.45858,5.28854,-16.8241,3.90696,0.372549,0.254335,2.14562,2.14562,-2.40614,1.10954,two rays,-0.580022,16.6656,,,,
0717,admin,drop areas without a county government,False,2SLS,imm_mex,lnpop0,3011,47,,0.661052,1.95016,-3.16127,4.48337,-22.9936,8.78046,6.85772,6.85772,-15.2,46.31,interval,-6.48848,5.30697,,,,
0717,admin,drop areas without a county government,False,2SLS,bartik+imm,lnpop0,3011,47,,-2.5848,3.01747,-8.49904,3.32944,0.0705498;0.330206,0.0565411;0.252827,1.72646,1.92059,0.00633241;-2.4182,0.188553;1.06776,unbounded on grid,-inf,-0.7,"[[-6.0, -0.69999999999823]]",2.52186,0.112278,-2.81899
0717,admin,drop areas without a county government,False,2SLS,bartik+imm_nomex,lnpop0,3011,47,,-2.60015,2.98845,-8.45751,3.25721,0.0704055;0.342194,0.056567;0.252559,1.76931,2.00525,0.0063516;-2.40888,0.188412;1.07192,unbounded on grid,-inf,-0.573,"[[-6.0, -0.5729999999981876]]",2.40955,0.120597,-2.86735
0717,admin,trim 1% tails of outcome change,True,OLS,,lnpop0,3033,48,,0.437288,0.182069,0.0804328,0.794143,,,,,,,,,,,,,
0717,admin,trim 1% tails of outcome change,True,2SLS,bartik,lnpop0,3033,48,,1.0239,0.821316,-0.585878,2.63368,0.418815,0.106677,15.4135,15.4135,0.428826,0.340677,interval,-0.642733,3.09484,,,,
0717,admin,trim 1% tails of outcome change,True,2SLS,imm,lnpop0,3033,48,,-4.75364,14.3691,-32.9171,23.4098,0.156912,0.153855,1.04013,1.04013,-0.745903,1.74123,real line,-inf,inf,,,,
0717,admin,trim 1% tails of outcome change,True,2SLS,imm_nomex,lnpop0,3033,48,,-4.37537,12.8577,-29.5765,20.8258,0.174642,0.156923,1.23857,1.23857,-0.764122,1.74061,real line,-inf,inf,,,,
0717,admin,trim 1% tails of outcome change,True,2SLS,imm_mex,lnpop0,3033,48,,-0.910946,0.315653,-1.52963,-0.292265,-33.2499,8.58913,14.9859,14.9859,30.2889,9.72426,interval,-1.85191,-0.363967,,,,
0717,admin,trim 1% tails of outcome change,True,2SLS,bartik+imm,lnpop0,3033,48,,0.514367,1.17386,-1.78639,2.81513,0.422286;0.170358,0.105711;0.146595,7.7601,9.26258,0.413895;-0.732724,0.342488;1.73749,interval,-1.068,3.147,"[[-1.067999999998353, 3.1470000000030547]]",0.298925,0.584557,0.979036
0717,admin,trim 1% tails of outcome change,True,2SLS,bartik+imm_nomex,lnpop0,3033,48,,0.4566,1.22185,-1.93823,2.85144,0.422113;0.186356,0.105637;0.149349,7.77347,9.03668,0.415506;-0.752591,0.342176;1.7359,interval,-1.07,3.111,"[[-1.0699999999983536, 3.1110000000030427]]",0.322094,0.570352,0.97501
0717,admin,trim 1% tails of outcome change,False,OLS,,lnpop0,3033,48,,0.449299,0.0998459,0.253601,0.644997,,,,,,,,,,,,,
0717,admin,trim 1% tails of outcome change,False,2SLS,bartik,lnpop0,3033,48,,2.5062,1.94116,-1.29847,6.31087,0.113808,0.0560286,4.12597,4.12597,0.285226,0.131158,interval,0.184043,92.9024,,,,
0717,admin,trim 1% tails of outcome change,False,2SLS,imm,lnpop0,3033,48,,-1.87654,1.51676,-4.8494,1.09632,0.573795,0.32414,3.13363,3.13363,-1.07675,1.04391,real line,-inf,inf,,,,
0717,admin,trim 1% tails of outcome change,False,2SLS,imm_nomex,lnpop0,3033,48,,-1.82732,1.5015,-4.77026,1.11562,0.582379,0.322617,3.25864,3.25864,-1.06419,1.04261,real line,-inf,inf,,,,
0717,admin,trim 1% tails of outcome change,False,2SLS,imm_mex,lnpop0,3033,48,,1.37457,1.82284,-2.19819,4.94733,-24.7238,10.1587,5.92314,5.92314,-33.9846,40.7344,interval,-2.00355,12.1257,,,,
0717,admin,trim 1% tails of outcome change,False,2SLS,bartik+imm,lnpop0,3033,48,,0.430487,1.35339,-2.22216,3.08314,0.106783;0.534427,0.0545502;0.313434,3.53969,3.07465,0.300838;-1.18766,0.12864;1.06581,unbounded on grid,0.27,inf,"[[0.2700000000020939, 6.0000000000040075]]",3.66656,0.0555145,1.58696
0717,admin,trim 1% tails of outcome change,False,2SLS,bartik+imm_nomex,lnpop0,3033,48,,0.418832,1.34697,-2.22124,3.0589,0.106643;0.542927,0.0545751;0.312028,3.60576,3.12914,0.300737;-1.17545,0.128592;1.06377,unbounded on grid,0.279,inf,"[[0.2790000000020969, 6.0000000000040075]]",3.71087,0.0540593,1.57159
0717,admin,all,True,2SLS,bartik,lnpop0+bartik_pay,3095,48,controls for industry-mix pay-per-worker shock,0.898275,0.802912,-0.675433,2.47198,0.418693,0.0980944,18.2181,18.2181,0.376101,0.338648,interval,-0.781518,2.76647,,,,
0717,admin,all,True,2SLS,bartik,lnpop0+dlninc,3094,48,controls for actual median household income growth (bad control),0.930824,0.832608,-0.701088,2.56274,0.392041,0.10698,13.4294,13.4294,0.364921,0.322605,interval,-0.781513,3.10913,,,,
0717,admin,all,True,2SLS,bartik+imm,lnpop0+bartik_pay,3095,48,controls for industry-mix pay-per-worker shock,0.581941,0.943041,-1.26642,2.4303,0.420065;0.0976743,0.0976117;0.139173,8.39213,12.1153,0.363944;-0.865634,0.337268;1.76759,interval,-1.149,2.945,"[[-1.14899999999838, 2.9450000000029872]]",0.310303,0.577494,0.868323
0717,admin,all,True,2SLS,imm,lnpop0+dlninc,3094,48,controls for actual median household income growth (bad control),1457.53,184179,-359533,362448,-0.00163592,0.206885,6.25272e-05,6.25272e-05,-2.38441,1.59785,real line,-inf,inf,,,,
0717,foreign-born share change,all,True,first stage on foreign-born share (OLS of dfbshare on imm),,lnpop0,3095,48,,0.0203101,0.104109,-0.183744,0.224364,,,,,,,,,,,,,
0717,foreign-born share change,all,True,first stage on foreign-born share (OLS of dfbshare on imm_nomex),,lnpop0,3095,48,,0.0242849,0.105196,-0.181899,0.230469,,,,,,,,,,,,,
0717,admin,all,True,2SLS,bartik_drop5,lnpop0,3095,48,"Bartik without top-5 Rotemberg industries ['722///', '621///', '315///', '313///', '623///']",1.28917,1.14354,-0.952158,3.53051,0.434861,0.0990438,19.2773,19.2773,0.560611,0.513056,interval,-1.21195,3.79746,,,,
0717,admin,all,True,2SLS,bartik_drop5,lnpop0+share_kept,3095,48,"Bartik without top-5 industries, controls for sum of kept shares",1.16088,1.0627,-0.922026,3.24378,0.477379,0.0993611,23.0831,23.0831,0.554177,0.527836,interval,-1.19065,3.37409,,,,
0717,admin,all,False,2SLS,bartik,lnpop0+bartik_pay,3095,48,controls for industry-mix pay-per-worker shock,0.221601,1.9305,-3.56218,4.00538,0.10963,0.0555044,3.90127,3.90127,0.0242941,0.21521,interval,-135.733,7.08993,,,,
0717,admin,all,False,2SLS,bartik,lnpop0+dlninc,3094,48,controls for actual median household income growth (bad control),0.257983,2.10523,-3.86827,4.38423,0.0866737,0.0550882,2.47547,2.47547,0.0223603,0.185066,real line,-inf,inf,,,,
0717,admin,all,False,2SLS,bartik+imm,lnpop0+bartik_pay,3095,48,controls for industry-mix pay-per-worker shock,-1.12105,1.82483,-4.69772,2.45562,0.102383;0.439582,0.0539165;0.318758,2.87037,2.54256,0.0496729;-1.53942,0.207683;1.10689,unbounded on grid,-inf,inf,"[[-6.0, 6.0000000000040075]]",2.24165,0.134338,-1.39083
0717,admin,all,False,2SLS,imm,lnpop0+dlninc,3094,48,controls for actual median household income growth (bad control),-3.48327,2.37482,-8.13791,1.17138,0.527282,0.348164,2.2936,2.2936,-1.83666,1.15875,real line,-inf,inf,,,,
0717,foreign-born share change,all,False,first stage on foreign-born share (OLS of dfbshare on imm),,lnpop0,3095,48,,0.220763,0.0694993,0.0845442,0.356981,,,,,,,,,,,,,
0717,foreign-born share change,all,False,first stage on foreign-born share (OLS of dfbshare on imm_nomex),,lnpop0,3095,48,,0.222479,0.0711449,0.0830353,0.361923,,,,,,,,,,,,,
0717,admin,all,False,2SLS,bartik_drop5,lnpop0,3095,48,"Bartik without top-5 Rotemberg industries ['212///', '722///', '621///', '624///', '321///']",-0.651309,2.91516,-6.36502,5.0624,0.0650451,0.0617082,1.11108,1.11108,-0.0423645,0.190664,real line,-inf,inf,,,,
0717,admin,all,False,2SLS,bartik_drop5,lnpop0+share_kept,3095,48,"Bartik without top-5 industries, controls for sum of kept shares",0.325404,2.55302,-4.67852,5.32933,0.0852041,0.0608366,1.96151,1.96151,0.0277257,0.211795,real line,-inf,inf,,,,
0717,admin_judicial,all,True,OLS,,lnpop0,3095,48,,0.578891,0.137224,0.309931,0.847851,,,,,,,,,,,,,
0717,admin_judicial,all,True,2SLS,bartik,lnpop0,3095,48,,1.52315,0.607622,0.332209,2.71408,0.406741,0.10438,15.1845,15.1845,0.619527,0.247452,interval,0.377968,3.18105,,,,
0717,admin_judicial,all,True,2SLS,imm,lnpop0,3095,48,,-2.63671,11.5598,-25.2939,20.0205,0.149966,0.153764,0.951207,0.951207,-0.395417,1.47084,real line,-inf,inf,,,,
0717,admin_judicial,all,True,2SLS,imm_nomex,lnpop0,3095,48,,-2.37977,10.3268,-22.6204,17.8609,0.16775,0.156896,1.14314,1.14314,-0.399205,1.47639,real line,-inf,inf,,,,
0717,admin_judicial,all,True,2SLS,bartik+imm,lnpop0,3095,48,,1.16937,0.861871,-0.519899,2.85863,0.409944;0.16267,0.103499;0.146707,7.45527,8.97284,0.612115;-0.376448,0.248386;1.46342,interval,0.074,3.134,"[[0.07400000000202844, 3.1340000000030503]]",0.213604,0.643957,1.46444
0717,admin_judicial,all,False,OLS,,lnpop0,3095,48,,0.582052,0.161899,0.26473,0.899375,,,,,,,,,,,,,
0717,admin_judicial,all,False,2SLS,bartik,lnpop0,3095,48,,0.510626,2.04626,-3.50005,4.5213,0.0853638,0.0569208,2.24908,2.24908,0.0435889,0.179747,real line,-inf,inf,,,,
0717,admin_judicial,all,False,2SLS,imm,lnpop0,3095,48,,-2.34399,1.91839,-6.10403,1.41604,0.540762,0.330354,2.67949,2.67949,-1.26754,0.961429,real line,-inf,inf,,,,
0717,admin_judicial,all,False,2SLS,imm_nomex,lnpop0,3095,48,,-2.32392,1.89948,-6.04691,1.39906,0.550137,0.328716,2.80091,2.80091,-1.27848,0.968314,real line,-inf,inf,,,,
0717,admin_judicial,all,False,2SLS,bartik+imm,lnpop0,3095,48,,-1.16794,1.66014,-4.42182,2.08594,0.0783889;0.509805,0.0554317;0.321786,2.41892,2.02902,0.0612619;-1.29173,0.175131;0.945611,unbounded on grid,-inf,inf,"[[-6.0, 6.0000000000040075]]",1.69739,0.192629,-1.62368
0717,admin_direct,all,True,OLS,,lnpop0,3095,48,,0.461786,0.24528,-0.018964,0.942536,,,,,,,,,,,,,
0717,admin_direct,all,True,2SLS,bartik,lnpop0,3095,48,,0.928884,0.848825,-0.734814,2.59258,0.406741,0.10438,15.1845,15.1845,0.377816,0.32201,interval,-0.623816,3.31514,,,,
0717,admin_direct,all,True,2SLS,imm,lnpop0,3095,48,,-10.6147,17.5514,-45.0155,23.786,0.149966,0.153764,0.951207,0.951207,-1.59185,1.48673,real line,-inf,inf,,,,
0717,admin_direct,all,True,2SLS,imm_nomex,lnpop0,3095,48,,-9.69305,15.486,-40.0455,20.6594,0.16775,0.156896,1.14314,1.14314,-1.626,1.47069,two rays,5.12232,16.6499,,,,
0717,admin_direct,all,True,2SLS,bartik+imm,lnpop0,3095,48,,-0.0528544,1.1204,-2.24885,2.14314,0.409944;0.16267,0.103499;0.146707,7.45527,8.97284,0.346686;-1.58111,0.317271;1.48449,interval,-0.649,2.378,"[[-0.648999999998213, 2.378000000002798]]",1.36254,0.243098,0.880788
0717,admin_direct,all,False,OLS,,lnpop0,3095,48,,0.598171,0.214683,0.177392,1.01895,,,,,,,,,,,,,
0717,admin_direct,all,False,2SLS,bartik,lnpop0,3095,48,,1.07332,2.66221,-4.14461,6.29124,0.0853638,0.0569208,2.24908,2.24908,0.0916224,0.229386,real line,-inf,inf,,,,
0717,admin_direct,all,False,2SLS,imm,lnpop0,3095,48,,-3.00515,2.35407,-7.61913,1.60883,0.540762,0.330354,2.67949,2.67949,-1.62507,1.20741,real line,-inf,inf,,,,
0717,admin_direct,all,False,2SLS,imm_nomex,lnpop0,3095,48,,-2.94598,2.29936,-7.45273,1.56077,0.550137,0.328716,2.80091,2.80091,-1.62069,1.20472,real line,-inf,inf,,,,
0717,admin_direct,all,False,2SLS,bartik+imm,lnpop0,3095,48,,-1.32489,1.97369,-5.19332,2.54353,0.0783889;0.509805,0.0554317;0.321786,2.41892,2.02902,0.114474;-1.67028,0.223264;1.19508,unbounded on grid,-inf,inf,"[[-6.0, 6.0000000000040075]]",2.20882,0.137224,-1.95124
0717,admin_judicial_direct,all,True,OLS,,lnpop0,3095,48,,0.578881,0.164371,0.256714,0.901048,,,,,,,,,,,,,
0717,admin_judicial_direct,all,True,2SLS,bartik,lnpop0,3095,48,,1.52252,0.730561,0.0906203,2.95442,0.406741,0.10438,15.1845,15.1845,0.619272,0.249257,interval,0.309597,3.78533,,,,
0717,admin_judicial_direct,all,True,2SLS,imm,lnpop0,3095,48,,-6.52619,12.5798,-31.1827,18.1303,0.149966,0.153764,0.951207,0.951207,-0.978707,1.24647,real line,-inf,inf,,,,
0717,admin_judicial_direct,all,True,2SLS,imm_nomex,lnpop0,3095,48,,-5.91551,11.1768,-27.822,15.991,0.16775,0.156896,1.14314,1.14314,-0.992324,1.24457,real line,-inf,inf,,,,
