cut,group,n_group,outcome_id,outcome,variable,estimate,jrr_se,n_base,small_cell_flag,replicates_used
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,age_18_29,Aged 18-29,agerec,18.85,8.11,67,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,age_30_49,Aged 30-49,agerec,37.92,10.3,67,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,age_50_plus,Aged 50 or older,agerec,43.23,8.87,67,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,female,Female,sex,63.23,12.07,67,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,race_black,"Black, non-Hispanic",racethn,3.7,2.72,67,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,income_lt_30k,"Family income under $30,000",income,16.07,8.89,58,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,income_30_75k,"Family income $30,000-$75,000",income,29.69,10.37,58,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,income_75_100k,"Family income $75,000-$100,000",income,3.56,1.91,58,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,income_ge_100k,"Family income $100,000 or more",income,50.68,13.15,58,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,income_refused,Income not reported (of all respondents),income,21.37,9.51,67,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,edu_lt_hs,Did not finish high school,educrec,10.87,7.74,67,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,edu_hs,High school graduate,educrec,22.59,9.5,67,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,edu_some_college,Some college or associate degree,educrec,23.23,10.85,67,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,edu_ba_plus,Four-year college degree or more,educrec,43.3,9.95,67,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,edu_postgrad,Postgraduate or professional schooling,educrec,26.18,10.21,67,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,citizen_yes_of_foreign_born,U.S. citizen (item asked of the foreign born only),citizen,63.13,7.5,67,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,citizen_or_us_born,"U.S. citizen, counting the U.S. born as citizens",citizen+respondent_birthregion2,63.13,7.5,67,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,party_republican,Identifies as Republican,party,4.99,3.42,62,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,party_democrat,Identifies as Democrat,party,55.68,10.73,62,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,party_independent,Identifies as independent,party,37.47,10.98,62,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,party_rep_or_lean,Republican or leans Republican,party+partyln,7.81,4.2,62,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,party_dem_or_lean,Democrat or leans Democratic,party+partyln,91.53,4.32,62,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,fert_none,No children ever born,fertREC,32.52,10.11,66,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,fert_3plus,Three or more children ever born,fertREC,22.54,10.41,66,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,fert_mean_floor,Mean children ever born (top code 4+ counted as 4: a floor),fertREC,1.57,0.37,66,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,satisfied_country,Satisfied with the way things are going in the country,qa2,47.63,9.66,63,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,homeowner,Owns their home,qa6,52.93,8.73,67,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,civilians_often_sometimes,Killing civilians often or sometimes justified,qf3,5.9,3.67,67,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,civilians_rarely_never,Killing civilians rarely or never justified,qf3,87.58,4.31,67,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,civilians_no_answer,Killing civilians: no answer given (volunteered DK/refused),qf3,6.52,3.62,67,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,homosexuality_accepted,Homosexuality should be accepted by society,qb2c,60.25,12.85,67,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,discrim_a_lot,A lot of discrimination against Muslims in the U.S.,qb7a,67.07,8.98,64,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,harder_to_be_muslim,Has become more difficult to be a Muslim in the U.S.,qc3,36.91,9.45,66,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,exp_suspicion,Past year: people acted suspicious of them,qd1a,10.14,5.17,66,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,exp_offensive_names,Past year: called offensive names,qd1c,13.63,7.99,67,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,exp_threatened,Past year: physically threatened or attacked,qd1f,1.62,1.68,67,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,proud_american,Completely or mostly agree: proud to be an American,qc17b,96.52,2.25,64,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,belong_muslim_community,Completely or mostly agree: strong belonging to U.S. Muslim community,qc17d,59.78,10.93,63,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,lot_in_common,A lot in common with most Americans,qc13,51.06,8.71,67,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,employed_full_time,Employed full time,employ,49.5,13.97,66,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,employed_part_time,Employed part time,employ,4.2,2.92,66,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,not_employed,Not employed,employ,46.3,14.51,66,,100
origin,Foreign born: Other Asia/Pacific (excluding S. Asia),67,looking_for_work_of_not_employed,Looking for work (base: not employed),employ1,25.83,20.04,19,n<50,100
origin,Foreign born: Europe,30,age_18_29,Aged 18-29,agerec,9.55,5.66,30,n<50,100
origin,Foreign born: Europe,30,age_30_49,Aged 30-49,agerec,56.38,18.15,30,n<50,100
origin,Foreign born: Europe,30,age_50_plus,Aged 50 or older,agerec,34.07,17.31,30,n<50,100
origin,Foreign born: Europe,30,female,Female,sex,41.66,18.0,30,n<50,100
origin,Foreign born: Europe,30,race_black,"Black, non-Hispanic",racethn,5.35,3.91,28,n<50,100
origin,Foreign born: Europe,30,income_lt_30k,"Family income under $30,000",income,7.09,4.56,26,n<50,100
origin,Foreign born: Europe,30,income_30_75k,"Family income $30,000-$75,000",income,28.96,14.18,26,n<50,100
origin,Foreign born: Europe,30,income_75_100k,"Family income $75,000-$100,000",income,3.25,1.6,26,n<50,100
origin,Foreign born: Europe,30,income_ge_100k,"Family income $100,000 or more",income,60.7,16.91,26,n<50,100
origin,Foreign born: Europe,30,income_refused,Income not reported (of all respondents),income,5.15,3.27,30,n<50,100
origin,Foreign born: Europe,30,edu_lt_hs,Did not finish high school,educrec,0.0,0.0,30,n<50,100
origin,Foreign born: Europe,30,edu_hs,High school graduate,educrec,32.46,21.41,30,n<50,100
origin,Foreign born: Europe,30,edu_some_college,Some college or associate degree,educrec,50.04,18.95,30,n<50,100
origin,Foreign born: Europe,30,edu_ba_plus,Four-year college degree or more,educrec,17.5,8.35,30,n<50,100
origin,Foreign born: Europe,30,edu_postgrad,Postgraduate or professional schooling,educrec,4.38,2.79,30,n<50,100
origin,Foreign born: Europe,30,citizen_yes_of_foreign_born,U.S. citizen (item asked of the foreign born only),citizen,97.35,2.22,30,n<50,100
origin,Foreign born: Europe,30,citizen_or_us_born,"U.S. citizen, counting the U.S. born as citizens",citizen+respondent_birthregion2,97.35,2.22,30,n<50,100
origin,Foreign born: Europe,30,party_republican,Identifies as Republican,party,53.35,18.0,30,n<50,100
origin,Foreign born: Europe,30,party_democrat,Identifies as Democrat,party,17.73,9.38,30,n<50,100
origin,Foreign born: Europe,30,party_independent,Identifies as independent,party,25.58,12.09,30,n<50,100
origin,Foreign born: Europe,30,party_rep_or_lean,Republican or leans Republican,party+partyln,58.92,16.46,30,n<50,100
origin,Foreign born: Europe,30,party_dem_or_lean,Democrat or leans Democratic,party+partyln,37.85,15.59,30,n<50,100
origin,Foreign born: Europe,30,fert_none,No children ever born,fertREC,8.43,4.82,29,n<50,100
origin,Foreign born: Europe,30,fert_3plus,Three or more children ever born,fertREC,6.57,3.35,29,n<50,100
origin,Foreign born: Europe,30,fert_mean_floor,Mean children ever born (top code 4+ counted as 4: a floor),fertREC,1.46,0.21,29,n<50,100
origin,Foreign born: Europe,30,satisfied_country,Satisfied with the way things are going in the country,qa2,14.65,7.19,29,n<50,100
origin,Foreign born: Europe,30,homeowner,Owns their home,qa6,79.26,9.56,30,n<50,100
origin,Foreign born: Europe,30,civilians_often_sometimes,Killing civilians often or sometimes justified,qf3,6.49,4.3,30,n<50,100
origin,Foreign born: Europe,30,civilians_rarely_never,Killing civilians rarely or never justified,qf3,91.2,5.24,30,n<50,100
origin,Foreign born: Europe,30,civilians_no_answer,Killing civilians: no answer given (volunteered DK/refused),qf3,2.31,2.47,30,n<50,100
origin,Foreign born: Europe,30,homosexuality_accepted,Homosexuality should be accepted by society,qb2c,60.51,20.43,30,n<50,100
origin,Foreign born: Europe,30,discrim_a_lot,A lot of discrimination against Muslims in the U.S.,qb7a,39.13,16.14,29,n<50,100
origin,Foreign born: Europe,30,harder_to_be_muslim,Has become more difficult to be a Muslim in the U.S.,qc3,45.42,18.41,30,n<50,100
origin,Foreign born: Europe,30,exp_suspicion,Past year: people acted suspicious of them,qd1a,4.3,2.64,30,n<50,100
origin,Foreign born: Europe,30,exp_offensive_names,Past year: called offensive names,qd1c,6.02,4.49,30,n<50,100
origin,Foreign born: Europe,30,exp_threatened,Past year: physically threatened or attacked,qd1f,3.21,2.74,30,n<50,100
