allocation,weighting,group,metric,source,n_adults_unweighted,weighted_adults,estimate,se_sdr,difference_from_third_plus_nh_white,se_sdr_difference
equal_all_members,person,mexican_second_gen,college_fte_18_24,cps_asec_2025,2452,5614636.31290289,20.86325977161589,1.9340309378099796,5.528186327106361,2.023687189017086
equal_all_members,person,mexican_second_gen,extended_balance,cps_asec_2025,2452,5614636.31290289,7698.194188185536,374.8204670979844,-8286.230632973373,443.06107635198015
equal_all_members,person,mexican_second_gen,residual_balance_cps_only,cps_asec_2025,2452,5614636.31290289,6984.94286163041,378.22319382097237,-8469.708879941043,446.2370545949301
equal_all_members,person,mexican_second_gen,after_edu_assistance_government,cps_asec_2025,2452,5614636.31290289,7616.973795304112,377.0519081722985,-8311.618621890459,446.51249153391745
equal_all_members,person,mexican_second_gen,after_higher_ed_subsidy_nces,cps_asec_2025,2452,5614636.31290289,7428.647651602479,376.2466824951721,-8361.519836947198,446.2433619565508
equal_all_members,person,mexican_second_gen,after_aptc_measured,cps_asec_2025,2452,5614636.31290289,7231.892140064048,376.7630997478208,-8350.274379917579,446.14913201506505
equal_all_members,person,mexican_second_gen,after_uncompensated_care,cps_asec_2025,2452,5614636.31290289,6997.7325774073015,379.6863658970497,-8470.027879584575,447.45038774233166
equal_all_members,person,mexican_second_gen,after_other_public_transfers,cps_asec_2025,2452,5614636.31290289,6984.94286163041,378.22319382097237,-8469.708879941043,446.2370545949301
equal_all_members,person,mexican_second_gen,institutional_care_base,acs_pums_2023,2452,5614636.31290289,1057.4274625542353,,-47.71267135292942,
equal_all_members,person,mexican_second_gen,institutional_care_generic_hispanic_adjusted,acs_pums_2023,2452,5614636.31290289,1293.1314068801896,,187.99127297302493,
equal_all_members,person,mexican_second_gen,institutional_care_prison_45k,acs_pums_2023,2452,5614636.31290289,848.0546571260546,,-145.35326158569103,
equal_all_members,person,mexican_second_gen,institutional_care_prison_70k,acs_pums_2023,2452,5614636.31290289,1253.455386194042,,43.704559873209746,
equal_all_members,person,mexican_second_gen,institutional_care_nursing_medicaid_share_062,acs_pums_2023,2452,5614636.31290289,1012.460791528838,,136.83711792752126,
equal_all_members,person,mexican_second_gen,institutional_care_nursing_062_and_hispanic_adj,acs_pums_2023,2452,5614636.31290289,1238.4801451088529,,362.8564715075362,
equal_all_members,person,mexican_second_gen,full_residual_balance_cps_plus_acs,combined,2452,5614636.31290289,5927.5153990761755,,-8421.996208588112,
equal_all_members,person,mexican_third_plus_selfid,edu_assistance_government,cps_asec_2025,2477,5526182.2353818305,63.50410861832209,17.92636175677564,7.67170465398209,19.066223140415826
equal_all_members,person,mexican_third_plus_selfid,higher_ed_subsidy_nces,cps_asec_2025,2477,5526182.2353818305,171.99663633505847,19.54477035665306,33.57170769016514,19.30418632977074
equal_all_members,person,mexican_third_plus_selfid,aptc_measured,cps_asec_2025,2477,5526182.2353818305,196.79768645503623,25.362379831325228,-11.203282113013245,26.398788899514216
equal_all_members,person,mexican_third_plus_selfid,uncompensated_care,cps_asec_2025,2477,5526182.2353818305,179.4350491811303,11.588692914728899,65.02898619138084,12.103629359583485
equal_all_members,person,mexican_third_plus_selfid,other_public_transfers,cps_asec_2025,2477,5526182.2353818305,72.3361596493743,47.60717288169671,59.2274442289501,47.606790279354954
equal_all_members,person,mexican_third_plus_selfid,edu_assistance_government_proportional,cps_asec_2025,2477,5526182.2353818305,63.50410861832209,17.92636175677564,14.632007652418231,18.62976526561431
equal_all_members,person,mexican_third_plus_selfid,higher_ed_subsidy_brief074,cps_asec_2025,2477,5526182.2353818305,164.73185999109043,18.719240344201534,32.15370933245882,18.488818080854085
equal_all_members,person,mexican_third_plus_selfid,aptc_fallback_share,cps_asec_2025,2477,5526182.2353818305,247.2620958100456,28.241669937924502,-56.42794647569667,30.44139096085196
equal_all_members,person,mexican_third_plus_selfid,uncompensated_care_2024_prices,cps_asec_2025,2477,5526182.2353818305,215.32205901735668,13.9064314976747,78.03478342965735,14.524355231500213
equal_all_members,person,mexican_third_plus_selfid,uncompensated_care_ever_uninsured,cps_asec_2025,2477,5526182.2353818305,150.04374080096338,10.798913320721843,61.96733591974041,11.395486284742809
equal_all_members,person,mexican_third_plus_selfid,housing_subsidy_capped_resource,cps_asec_2025,2477,5526182.2353818305,122.11992681644604,20.55735337750941,81.2633570066613,20.09349437035003
equal_all_members,person,mexican_third_plus_selfid,college_fte_18_24,cps_asec_2025,2477,5526182.2353818305,19.054234495384893,2.1652204686645113,3.719161050875364,2.138567944744627
equal_all_members,person,mexican_third_plus_selfid,extended_balance,cps_asec_2025,2477,5526182.2353818305,9705.40450791297,560.6998245938888,-6279.020313245939,545.697686175268
equal_all_members,person,mexican_third_plus_selfid,residual_balance_cps_only,cps_asec_2025,2477,5526182.2353818305,9021.334867674048,569.1152800573867,-6433.3168738974055,554.9272111861314
equal_all_members,person,mexican_third_plus_selfid,after_edu_assistance_government,cps_asec_2025,2477,5526182.2353818305,9641.900399294647,563.1480421468231,-6286.692017899923,547.2404007818866
equal_all_members,person,mexican_third_plus_selfid,after_higher_ed_subsidy_nces,cps_asec_2025,2477,5526182.2353818305,9469.90376295959,564.7454310213628,-6320.263725590086,548.3706342937695
equal_all_members,person,mexican_third_plus_selfid,after_aptc_measured,cps_asec_2025,2477,5526182.2353818305,9273.106076504553,564.8563006455303,-6309.060443477074,550.4019178640054
