group,stratum_kind,stratum,generation,n_wave1,n_wave3,arrest5_n,arrest5_pct,incarc5_n,incarc5_pct,BAplus_n,BAplus_pct,noHS_n,noHS_pct,flag_small_cell
Filipino,"parental education (child report, V36/V41)",Some college+,both,622,468,458,5.0,458,3.1,453,30.2,453,1.8,
Filipino,"parental education (child report, V36/V41)",ALL (no stratum),both,819,593,579,5.5,581,3.8,573,27.1,573,1.9,
Filipino,wave-I family income (P56),<$15k,both,13,9,8,12.5,8,12.5,8,25.0,8,12.5,YES(<40)
Filipino,wave-I family income (P56),$15-35k,both,85,76,73,4.1,74,2.7,70,20.0,70,0.0,
Filipino,wave-I family income (P56),$35k+,both,247,204,200,2.5,200,2.0,199,31.2,199,0.5,
Filipino,wave-I family income (P56),ALL (no stratum),both,819,593,579,5.5,581,3.8,573,27.1,573,1.9,
Vietnamese,"parental education (child report, V36/V41)",<HS,both,99,46,44,0.0,45,0.0,45,48.9,45,6.7,
Vietnamese,"parental education (child report, V36/V41)",HS grad,both,47,25,21,9.5,21,4.8,22,45.5,22,13.6,YES(<40)
Vietnamese,"parental education (child report, V36/V41)",Some college+,both,113,73,73,6.8,73,6.8,72,51.4,72,0.0,
Vietnamese,"parental education (child report, V36/V41)",ALL (no stratum),both,370,200,191,7.9,192,6.8,194,42.3,194,4.6,
Vietnamese,wave-I family income (P56),<$15k,both,84,48,48,6.2,48,4.2,48,41.7,48,2.1,
Vietnamese,wave-I family income (P56),$15-35k,both,101,63,57,10.5,58,10.3,60,41.7,60,1.7,
Vietnamese,wave-I family income (P56),$35k+,both,62,43,43,9.3,43,7.0,42,54.8,42,4.8,
Vietnamese,wave-I family income (P56),ALL (no stratum),both,370,200,191,7.9,192,6.8,194,42.3,194,4.6,
Lao/Hmong/Cambodian,"parental education (child report, V36/V41)",<HS,both,106,64,61,4.9,61,4.9,62,8.1,62,6.5,
Lao/Hmong/Cambodian,"parental education (child report, V36/V41)",HS grad,both,27,18,18,0.0,18,0.0,17,29.4,17,11.8,YES(<40)
Lao/Hmong/Cambodian,"parental education (child report, V36/V41)",Some college+,both,59,37,37,2.7,37,2.7,36,13.9,36,8.3,YES(<40)
Lao/Hmong/Cambodian,"parental education (child report, V36/V41)",ALL (no stratum),both,301,186,180,4.4,180,3.9,179,13.4,179,6.7,
Lao/Hmong/Cambodian,wave-I family income (P56),<$15k,both,98,68,65,4.6,65,4.6,64,7.8,64,6.2,
Lao/Hmong/Cambodian,wave-I family income (P56),$15-35k,both,119,75,73,4.1,73,4.1,73,20.5,73,5.5,
Lao/Hmong/Cambodian,wave-I family income (P56),$35k+,both,44,24,24,8.3,24,4.2,23,17.4,23,4.3,YES(<40)
Lao/Hmong/Cambodian,wave-I family income (P56),ALL (no stratum),both,301,186,180,4.4,180,3.9,179,13.4,179,6.7,
Nicaraguan,"parental education (child report, V36/V41)",<HS,both,44,24,24,8.3,24,8.3,24,4.2,24,12.5,YES(<40)
Nicaraguan,"parental education (child report, V36/V41)",HS grad,both,48,29,28,10.7,28,7.1,29,20.7,29,10.3,YES(<40)
