origin,generation,sex,n_wave1,n_wave3,retention_pct,arrest5_n,arrest5_pct,incarc5_n,incarc5_pct,noHS_n,noHS_pct,BAplus_n,BAplus_pct,employed_n,employed_pct,welfare_n,welfare_pct,enrolled_n,enrolled_pct,faminc_w1_n,faminc_w1_median,paredu_w1_n,paredu_w1_mean_1to6,paredu_w1_ltHS_pct,paredu_w1_coll_pct,ses_w1_mean
Lao/Hmong/Cambodian,2nd,women,3,2,66.7,2,0.0,2,0.0,2,50.0,2,0.0,2,100.0,2,0.0,2,0.0,3,30000.0,2,6.0,0.0,100.0,0.653
Lao/Hmong/Cambodian,2nd,pooled,8,6,75.0,6,16.7,6,16.7,6,16.7,6,0.0,6,100.0,5,0.0,6,33.3,7,22500.0,6,5.17,16.7,83.3,0.271
Lao/Hmong/Cambodian,both,men,143,85,59.4,83,8.4,83,8.4,81,7.4,81,8.6,83,83.1,77,2.6,78,42.3,122,17500.0,90,3.21,55.6,31.1,-0.902
Lao/Hmong/Cambodian,both,women,160,103,64.4,99,1.0,99,0.0,100,6.0,100,18.0,102,80.4,102,3.9,100,41.0,141,17500.0,103,3.14,55.3,30.1,-0.976
Lao/Hmong/Cambodian,both,pooled,303,188,62.0,182,4.4,182,3.8,181,6.6,181,13.8,185,81.6,179,3.4,178,41.6,263,17500.0,193,3.17,55.4,30.6,-0.941
Jamaican+West Indian,1.5,men,48,20,41.7,19,21.1,19,10.5,19,10.5,19,21.1,20,75.0,20,5.0,20,50.0,23,22500.0,43,4.72,14.0,58.1,0.065
Jamaican+West Indian,1.5,women,84,52,61.9,48,2.1,48,0.0,52,0.0,52,38.5,51,86.3,52,7.7,52,59.6,33,30000.0,73,4.85,8.2,60.3,0.04
Jamaican+West Indian,1.5,pooled,132,72,54.5,67,7.5,67,3.0,71,2.8,71,33.8,71,83.1,72,6.9,72,56.9,56,26250.0,116,4.8,10.3,59.5,0.049
Jamaican+West Indian,2nd,men,47,25,53.2,25,32.0,24,20.8,25,4.0,25,40.0,25,72.0,25,4.0,25,44.0,27,30000.0,45,5.16,4.4,68.9,0.346
Jamaican+West Indian,2nd,women,93,62,66.7,57,5.3,57,1.8,61,8.2,61,31.1,62,77.4,60,6.7,59,57.6,44,42500.0,91,5.01,5.5,68.1,0.233
Jamaican+West Indian,2nd,pooled,140,87,62.1,82,13.4,81,7.4,86,7.0,86,33.7,87,75.9,85,5.9,84,53.6,71,42500.0,136,5.06,5.1,68.4,0.271
Jamaican+West Indian,both,men,95,45,47.4,44,27.3,43,16.3,44,6.8,44,31.8,45,73.3,45,4.4,45,46.7,50,30000.0,88,4.94,9.1,63.6,0.204
Jamaican+West Indian,both,women,177,114,64.4,105,3.8,105,1.0,113,4.4,113,34.5,113,81.4,112,7.1,111,58.6,77,30000.0,164,4.94,6.7,64.6,0.142
Jamaican+West Indian,both,pooled,272,159,58.5,149,10.7,148,5.4,157,5.1,157,33.8,158,79.1,157,6.4,156,55.1,127,30000.0,252,4.94,7.5,64.3,0.163
POOLED (all origins),1.5,men,1265,694,54.9,659,13.7,659,7.7,671,6.6,671,18.9,679,82.9,665,2.0,665,45.7,611,22500.0,1094,4.35,26.1,53.0,-0.218
POOLED (all origins),1.5,women,1363,869,63.8,837,2.7,836,1.4,856,4.3,856,27.7,864,80.3,862,3.8,849,51.4,671,22500.0,1193,4.26,30.1,51.6,-0.263
POOLED (all origins),1.5,pooled,2628,1563,59.5,1496,7.6,1495,4.2,1527,5.3,1527,23.8,1543,81.5,1527,3.0,1514,48.9,1282,22500.0,2287,4.3,28.2,52.3,-0.241
POOLED (all origins),2nd,men,1308,839,64.1,802,16.5,798,9.5,814,4.4,814,28.6,822,86.1,815,2.2,802,51.2,548,42500.0,1234,4.74,16.0,61.6,0.176
POOLED (all origins),2nd,women,1322,938,71.0,900,4.2,901,1.7,919,3.0,919,29.9,931,78.6,926,4.9,913,55.2,490,42500.0,1267,4.55,19.5,57.9,0.057
POOLED (all origins),2nd,pooled,2630,1777,67.6,1702,10.0,1699,5.4,1733,3.7,1733,29.3,1753,82.1,1741,3.6,1715,53.4,1038,42500.0,2501,4.64,17.8,59.7,0.116
POOLED (all origins),both,men,2573,1533,59.6,1461,15.2,1457,8.7,1485,5.4,1485,24.2,1501,84.7,1480,2.1,1467,48.7,1159,30000.0,2328,4.56,20.8,57.6,-0.018
POOLED (all origins),both,women,2685,1807,67.3,1737,3.5,1737,1.6,1775,3.7,1775,28.8,1795,79.4,1788,4.4,1762,53.3,1161,30000.0,2460,4.41,24.6,54.9,-0.105
POOLED (all origins),both,pooled,5258,3340,63.5,3198,8.8,3194,4.8,3260,4.4,3260,26.7,3296,81.8,3268,3.3,3229,51.3,2320,30000.0,4788,4.48,22.8,56.2,-0.063
