cbsa,dX,Z,w,pop,counties_x,rent_2000,rent_2010,value_2000,value_2010,renters_2000,owners_2000,units_2000,dlog_rent,dlog_value,log_rent_2000,log_value_2000,pred_2000s_all,pred_2000s_mex,pred_1990s_all,ancestry_2010_all,counties_y,elasticity,WRLURI,Z2
23420,0.8143062231916502,6.271455117930028,799407.0,799407.0,1,534.0,819.0,102600.0,257000.0,110084.0,142856.0,270767.0,0.4276882448928747,0.9182381521585494,6.280395838960195,11.538593211718807,32167.541671384017,7255.144209046604,43381.28719949585,638464.3,1,1.8360769,0.90788496,4.023925443658114
23460,-0.33826165898537286,0.3372279929528988,103459.0,103459.0,1,395.0,587.0,66500.0,98200.0,10658.0,30957.0,45959.0,0.39613905492697477,0.38980426769861154,5.978885764901122,11.104957226643945,1188.5918287274164,374.6216596515375,1032.239995307286,35010.637,1,3.406384,-0.50981665,1.1488530033418227
23540,2.8314327892899342,1.676499549731681,232392.0,232392.0,2,550.696036889332,851.9855239275754,86352.97080709788,183256.91658952998,40120.0,52410.0,101019.0,0.4363865362436794,0.7524458758106682,6.3111829997459585,11.366198487234291,10218.7497140064,4232.42719211715,9005.534018574172,145581.84,2,2.4784896,0.07176816,4.397203739374161
23580,-0.17708585175576097,2.3239710177082125,139277.0,139277.0,1,619.0,817.0,111500.0,175200.0,13700.0,33681.0,51046.0,0.2775338221754069,0.4519035876021178,6.428105272684596,11.62177986988231,5654.149642599893,525.9140441937838,8538.506342587682,98177.57,1,,,4.059643474945536
24020,0.6423010063448444,0.7810327550741124,124345.0,124345.0,2,536.5341127719402,755.6120975609756,86991.20853764062,160824.10423452768,13514.0,34670.0,61646.0,0.3423980020678954,0.614504185209638,6.285130143967257,11.373562341239207,668.9557266228911,283.6613679607283,591.0304746810862,91286.88,2,4.528373,-1.6048446,0.5379836154432355
24140,3.0746858505972208,0.9105115442672485,113329.0,113329.0,1,455.0,626.0,77000.0,104800.0,14786.0,27826.0,47313.0,0.3190529521491481,0.30824835003325823,6.12029741895095,11.251560700835821,2504.0771994553475,648.1625742759358,2644.9968281866372,43371.613,1,3.1196246,-0.42365012,2.209564365215741
24300,1.105031241996779,0.8379304797499605,116255.0,116255.0,1,527.0,810.0,113800.0,221000.0,12517.0,33306.0,48427.0,0.4298336991251217,0.663720179825523,6.267200548541362,11.642197800674367,1916.8011594635025,332.4227386600481,1744.664403358186,97240.695,1,2.1279953,0.46126384,1.6487902967300352
24340,0.02551318998534935,1.2768835244148267,930670.0,930670.0,4,551.7707790091265,698.3777136651346,113938.44424496152,148922.3550196707,85904.0,251762.0,360632.0,0.23562738884014234,0.2677667230727465,6.313132704616439,11.643413618780746,18759.443991162923,5569.060506299036,26394.99554506361,720146.25,4,2.38978,-0.14516415,2.015692349722557
24540,0.27937044068318606,2.082090731727107,180936.0,180936.0,1,564.0,770.0,136600.0,195700.0,19819.0,43428.0,66194.0,0.3113362633496699,0.3595259272653415,6.335054251498059,11.824812226118826,5865.641232588552,1182.728900001051,5241.292795333829,186526.61,1,2.521466,0.44817808,3.241832047015824
24580,0.7024802983868899,0.7575152970691135,282599.0,282599.0,3,509.8628445099484,654.7337419319846,110239.8522114923,155894.22616449828,33925.0,74972.0,118232.0,0.2500868949080255,0.3465192732136302,6.234141757216152,11.61041374563966,4375.503824697433,1195.0444771502328,5405.592822909561,230748.92,3,2.0161753,0.57362556,1.5483083183937072
24660,2.7441848180764543,0.9377586665278866,643430.0,643430.0,3,554.5677206508371,679.0407562585106,101092.06274345404,138584.51085647615,84568.0,171747.0,275021.0,0.20249222115184384,0.3154487122509373,6.318188928550275,11.523786892959748,20541.349770109253,7029.902035177748,21632.455269250077,297795.22,3,3.0958705,-0.29141775,3.192476224314883
24780,1.603167716005224,0.6908132136720629,133798.0,133798.0,1,471.0,672.0,82000.0,125900.0,22000.0,30539.0,58408.0,0.35540024650673185,0.4287686937860471,6.154858094016418,11.314474526246391,2547.170446770098,859.3737179776487,2553.4377309413685,57880.34,1,1.9563341,1.3913455,1.9037432897129238
24860,3.276618223314486,0.673704563872912,725680.0,725680.0,4,510.46098422886257,660.2308667220483,91237.25322862301,132040.52378929677,80083.0,202718.0,312255.0,0.25727536381905214,0.3696455818160391,6.235314208100049,11.421218571041864,15095.8920433353,4137.337611004625,12174.672700012115,368108.0,4,2.7141483,-0.93512124,2.0802408834934543
25060,1.9346791125395368,0.9080934800609185,363988.0,363988.0,3,534.2872861503514,833.113268282869,79514.42621204049,137071.33899610548,42261.0,93850.0,152386.0,0.44423592591130134,0.5445630459137085,6.280933683341573,11.283693745966897,6065.735553884801,1412.5901114831713,7013.911870976623,170993.36,3,,,1.6664658048849967
25180,2.1896930343684646,0.6152276350678856,207828.0,207828.0,2,489.4180407371484,742.8662445306107,104458.50671848362,218346.81395560133,24744.0,54551.0,85885.0,0.4172989943934988,0.7372947607103661,6.193217013298393,11.55654520664097,2392.615436732566,902.2937164806556,1442.131153683143,136091.02,2,2.493968,0.33264944,1.1512478764808236
25220,1.0219648716729488,0.2443181043077897,100588.0,100588.0,1,427.0,683.0,73000.0,133400.0,9753.0,26805.0,40794.0,0.4697108463421653,0.6028926923331319,6.056784013228625,11.198214720130528,700.3756512226933,63.72565156743479,398.6028070205331,54151.242,1,,,0.6962815159091474
25260,5.724208973610178,4.847885385978461,129461.0,129461.0,1,533.0,815.0,96500.0,220400.0,15168.0,19250.0,36563.0,0.4246666890750186,0.8259010689338186,6.278521424165844,11.477298287327077,4865.803130900813,634.4518302974091,3751.854456169444,101444.78,1,,,3.7585088411960457
25420,1.2402152897819794,0.8945387316819912,509074.0,509074.0,3,559.2665427691104,754.9925405681801,106003.91877423975,161853.42653777526,61341.0,141039.0,217025.0,0.30008168894975373,0.42321508822173115,6.326626180208318,11.571231341979146,13624.39355924549,5642.004225778921,10200.638645919782,369955.97,3,1.6292934,0.5364548,2.6763090551168376
25500,1.6020102050438094,0.9044738838357159,108193.0,108193.0,2,482.0526044352759,756.435074269286,106516.28336343568,197128.99535216304,13573.0,24915.0,41017.0,0.45056345978292445,0.6155604442992892,6.178053245928023,11.576053147875623,2150.2571313493036,531.8954983921665,2054.2689944478234,59718.797,2,,,1.9874272192741707
25540,2.498204026455399,3.2955370505887434,1148618.0,1148618.0,3,652.8752373654929,917.5514477073673,146606.50438663218,259227.61216407968,150085.0,295785.0,471877.0,0.3403226018261627,0.5699543304888,6.481386050325982,11.89550743570851,55092.782298262915,18519.678733222947,57170.54162497298,895100.56,3,1.4960839,0.48542982,4.79644079217485
25620,0.14304066284548633,0.30889540204540517,123812.0,123812.0,3,451.9891486368812,680.9566478646253,70092.05664628258,125237.95306087057,14929.0,31070.0,50453.0,0.40984047249632827,0.5804060791760488,6.11365817210352,11.157564751998425,1558.238597161606,328.28494601723537,1666.1568881446772,49838.145,3,,,1.2585521574335332
