flow,annual_flow_bn,deficit_share,rate_name,rate,years,debt_bn,principal_bn,interest_component_bn,interest_in_year_N_bn
union_gap_vs_white,-361.1330759723237,1.0,r4,0.04,30,-20254.126085622447,-10833.99227916971,-9420.133806452737,-765.115115755774
union_gap_vs_white,-361.1330759723237,1.0,r5,0.05,10,-4542.293020612082,-3611.330759723237,-930.9622608888449,-199.10285450665518
union_gap_vs_white,-361.1330759723237,1.0,r5,0.05,20,-11941.20971513578,-7222.661519446474,-4718.548195689305,-551.4322209125456
union_gap_vs_white,-361.1330759723237,1.0,r5,0.05,30,-23993.26536281935,-10833.99227916971,-13159.273083649641,-1125.339632707001
union_gap_vs_white,-361.1330759723237,0.5,effective_fy2024,0.03220790586972007,10,-2091.1650078354523,-1805.6653798616185,-285.49962797383387,-59.61626075697195
union_gap_vs_white,-361.1330759723237,0.5,effective_fy2024,0.03220790586972007,20,-4962.342983790028,-3611.330759723237,-1351.0122240667906,-149.20541179805113
union_gap_vs_white,-361.1330759723237,0.5,effective_fy2024,0.03220790586972007,30,-8904.481905739362,-5416.996139584855,-3487.4857661545066,-272.211676913336
union_gap_vs_white,-361.1330759723237,0.5,r3,0.03,10,-2069.9929991634567,-1805.6653798616185,-264.32761930183824,-55.03183867506684
union_gap_vs_white,-361.1330759723237,0.5,r3,0.03,20,-4851.890495866891,-3611.330759723237,-1240.559736143654,-136.05797935574932
union_gap_vs_white,-361.1330759723237,0.5,r3,0.03,30,-8590.528107343047,-5416.996139584855,-3173.531967758192,-244.95033697155972
union_gap_vs_white,-361.1330759723237,0.5,r4,0.04,10,-2167.901197883634,-1805.6653798616185,-362.23581802201534,-76.43594845759507
union_gap_vs_white,-361.1330759723237,0.5,r4,0.04,20,-5376.924556318517,-3611.330759723237,-1765.5937965952799,-199.85992378201365
union_gap_vs_white,-361.1330759723237,0.5,r4,0.04,30,-10127.063042811224,-5416.996139584855,-4710.066903226369,-382.557557877887
union_gap_vs_white,-361.1330759723237,0.5,r5,0.05,10,-2271.146510306041,-1805.6653798616185,-465.48113044442243,-99.55142725332759
union_gap_vs_white,-361.1330759723237,0.5,r5,0.05,20,-5970.60485756789,-3611.330759723237,-2359.2740978446527,-275.7161104562728
union_gap_vs_white,-361.1330759723237,0.5,r5,0.05,30,-11996.632681409676,-5416.996139584855,-6579.636541824821,-562.6698163535006
union_gap_vs_white,-361.1330759723237,0.107,effective_fy2024,0.03220790586972007,10,-447.5093116767868,-386.4123912903864,-61.09692038640043,-12.757879801991997
union_gap_vs_white,-361.1330759723237,0.107,effective_fy2024,0.03220790586972007,20,-1061.9413985310662,-772.8247825807728,-289.1166159502934,-31.929958124782935
