model,reference,group,stat,estimate,se,n_cell,boot_draws,reported
B_catholic_ref,Catholic,No religion,mean_earn,37218.0997043547,3037.04428792825,404,500,True
B_catholic_ref,Catholic,No religion,median_earn,21600.0,1647.9229322971655,404,500,True
B_catholic_ref,Catholic,No religion,median_wage12m,15000.0,1777.0298522919961,428,500,True
B_catholic_ref,Catholic,No religion,median_earn_ft,24972.26751292972,1981.2840179831346,370,500,True
B_catholic_ref,Catholic,Orthodox,emp_rate,0.5502534794666075,0.020737650581199783,810,500,True
B_catholic_ref,Catholic,Orthodox,any_wage_12m,0.8671446570969017,0.018228925148383326,525,500,True
B_catholic_ref,Catholic,Orthodox,mean_earn,23526.984239295707,1622.5489748329414,316,500,True
B_catholic_ref,Catholic,Orthodox,median_earn,17150.124025054567,845.8399957797983,316,500,True
B_catholic_ref,Catholic,Orthodox,median_wage12m,10648.771781844196,1219.9827773850543,347,500,True
B_catholic_ref,Catholic,Orthodox,median_earn_ft,19096.254624728623,922.5340779907916,271,500,True
B_catholic_ref,Catholic,Other,emp_rate,0.5334738509182622,0.03978113303192497,192,500,True
B_catholic_ref,Catholic,Other,any_wage_12m,0.8664631376810505,0.03422375317123994,115,500,True
B_catholic_ref,Catholic,Other,mean_earn,25873.953602529476,2288.934050196367,82,500,True
B_catholic_ref,Catholic,Other,median_earn,20800.0,1490.0622172391593,82,500,True
B_catholic_ref,Catholic,Other,median_wage12m,18058.925413815723,1867.6026776265055,79,500,True
B_catholic_ref,Catholic,Other,median_earn_ft,20833.25360024432,1631.056701953769,76,500,True
B_catholic_ref,Catholic,Protestant,emp_rate,0.6108366993876871,0.015945766853327357,1241,500,True
B_catholic_ref,Catholic,Protestant,any_wage_12m,0.8657795404973582,0.01374739107792294,845,500,True
B_catholic_ref,Catholic,Protestant,mean_earn,29775.283589632392,2945.2665106780355,560,500,True
B_catholic_ref,Catholic,Protestant,median_earn,20800.0,703.5287850868326,560,500,True
B_catholic_ref,Catholic,Protestant,median_wage12m,16301.914801657533,1754.697113975807,594,500,True
B_catholic_ref,Catholic,Protestant,median_earn_ft,22007.632134354564,1023.7453914999194,505,500,True
B_catholic_ref,Catholic,Buddhist,empgap_unadj,-0.19493434661843564,0.0366118108770968,287,500,True
B_catholic_ref,Catholic,Hindu,empgap_unadj,-0.07825048268542122,0.02779183458985067,585,500,True
B_catholic_ref,Catholic,Jewish,empgap_unadj,-0.01649093610924429,0.059032349707249784,98,500,True
B_catholic_ref,Catholic,Muslim,empgap_unadj,-0.1170028030809331,0.026516108516410127,606,500,True
