approach,f_beta,f_vot,f_tau,f_nhts,f_pi_source,f_fill_in,note,is_central,umr_eq_a4_hours_per_other_car_commuter,others_passenger_hours_m,others_truck_person_hours_m,time_bn,fuel_bn,total_bn,usd_per_other_commuter,hours_per_other_commuter,usd_per_other_car_commuter,usd_per_other_resident,f_variant,f_theta,f_sigma,f_hours,areas_at_free_flow_cap,uncapped_others_passenger_hours_m,f_elasticity,f_share,f_residual,f_elasticity_value
"A1 BPR, trips fixed",low,low,central,2017 southwest,nhts,trips fixed,,False,18.733374705009368,2063.1945216951185,126.0230852967843,33.92294206441035,2.8401730364740496,36.7631151008844,417.1252300304459,23.409618230064748,473.3452093116394,176.9140057658259,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,central,2017 southwest,nhts,DT 0.48,,False,10.751689575388339,1182.8899665035424,74.54213262272562,19.51722055399825,1.6562415594668995,21.173462113465146,240.2403939487601,13.421421118000598,272.6199025421848,101.89239916543295,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,central,2017 southwest,nhts,DT 0.44,,False,10.00600030292305,1100.7473440618548,69.60471626774189,18.16901830078066,1.5436882589053702,19.71270655968603,223.6662272951376,12.489406510770843,253.81187603356932,94.86285023426733,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,central,2017 southwest,nhts,DT 0.32,,False,7.625605978930461,838.63907321269,53.65869830536698,13.861352418614334,1.1821795983915973,15.043532017005932,170.68838524276796,9.515448170439392,193.6937006517361,72.39352548584625,,,,,,,,,,
"A1 BPR, trips fixed",low,low,central,2017 southwest,acs,trips fixed,,False,18.29010857804999,2045.1560577511368,124.44761806005097,33.61224425849181,2.813929641082258,36.42617389957406,413.3021950205555,23.20494845707676,469.00690710241986,175.2925540072417,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,central,2017 southwest,acs,DT 0.48,,False,10.43389597009435,1170.1665041181304,73.45444591103,19.298771526348776,1.6373013724642036,20.93607289881298,237.5469053666092,13.277056932328774,269.5633865970724,100.75001836406534,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,central,2017 southwest,acs,DT 0.44,,False,9.704899889122121,1088.7102360075498,68.57628799442448,17.9623706912561,1.5257331270323622,19.488103818288458,221.11781783870725,12.352829905326097,250.91999292336345,93.78200138406545,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,central,2017 southwest,acs,DT 0.32,,False,7.3833220301351865,828.9987110979805,52.835125246830195,13.695853488896757,1.1677055018092233,14.863558990705979,168.6463577979055,9.406065756744578,191.3764495273244,71.52744683812695,,,,,,,,,,
"A1 BPR, trips fixed",low,low,central,2022 national,nhts,trips fixed,,False,17.362319492613658,1928.615543849156,115.73768597331406,31.648680553589855,2.672550489370053,34.3212310429599,389.4188877747829,21.88264515019348,441.9046168226416,165.16300237240725,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,central,2022 national,nhts,DT 0.48,,False,9.79440801735092,1089.183665972016,67.37682267811896,17.933560656170606,1.5339129013405441,19.467473557511152,220.8837407685594,12.358201582407576,250.65436703505145,93.68272301594861,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,central,2022 national,nhts,DT 0.44,,False,9.100844306752547,1012.1609258815786,62.82397130066829,16.671679246743775,1.4276018085363595,18.099281055280134,205.35982200778727,11.484278681977791,233.038140429391,87.09861240496735,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,central,2022 national,nhts,DT 0.32,,False,6.901661802777206,767.8281778561928,48.21385464787975,12.66372957771214,1.0882931373568323,13.752022715068973,156.03453686298377,8.712006706537707,177.0648121808956,66.1784350762744,,,,,,,,,,
"A1 BPR, trips fixed",low,low,central,2022 national,acs,trips fixed,,False,17.14715289188983,1919.2361447303829,115.00297471015459,31.48964474060928,2.658875403268124,34.148520143877406,387.45925858365325,21.776223700209457,439.68086955714836,164.33187103567874,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,central,2022 national,acs,DT 0.48,,False,9.647256939828443,1082.9399488495694,66.89313543201962,17.827853860150405,1.5246324606580006,19.352486320808406,219.57906140641677,12.287358512286923,249.1738434864929,93.12937348065485,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,central,2022 national,acs,DT 0.44,,False,8.962000410675712,1006.2841194086316,62.36858171158117,16.57218053003151,1.4188514889083852,17.9910320189399,204.1315962695688,11.417598689133184,231.64437489500574,86.5776889036077,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,central,2022 national,acs,DT 0.32,,False,6.7913716301198335,763.1957980008552,47.853991432719766,12.585273020016555,1.0813569620672867,13.666629982083837,155.06564553558653,8.659446347943405,175.9653340502306,65.76750225912234,,,,,,,,,,
