account,rate,timing,survival,group,start_age,lifetime,person_years,gap_vs_white,gap_per_year
complete,0.0,accrual_only,fenelon_mexican,mexican_second_gen,0,-1073432.0660915577,79.20284594690442,-482923.09361670166,-6118.340364422065
complete,0.0,accrual_only,fenelon_mexican,mexican_second_gen,25,-813039.5197652415,55.04060096049417,-255635.89576372097,-4667.884396718974
complete,0.0,accrual_only,fenelon_mexican,mexican_third_plus_selfid,0,-951267.8523064188,79.20284594690442,-360758.87983156275,-4570.594460013629
complete,0.0,accrual_only,fenelon_mexican,mexican_third_plus_selfid,25,-777894.6203949181,55.04060096049417,-220490.99639339757,-4026.142254423663
complete,0.0,accrual_only,fenelon_mexican,third_plus_nh_white,0,-590508.9724748561,78.93040675292968,0.0,0.0
complete,0.0,accrual_only,fenelon_mexican,third_plus_nh_white,25,-557403.6240015206,54.764830068072335,0.0,0.0
complete,0.0,accrual_only,fenelon_mexican,all_native,0,-723983.9935234507,78.93040675292968,-133475.02104859462,-1691.046917652434
complete,0.0,accrual_only,fenelon_mexican,all_native,25,-623933.0509800871,54.764830068072335,-66529.42697856657,-1214.8202942631415
complete,0.0,accrual_only,fenelon_mexican,mexican_observed_total,0,-1060165.4386270563,79.7575924103368,-469656.46615220024,-5950.260304908005
complete,0.0,accrual_only,fenelon_mexican,mexican_observed_total,25,-840936.1548482575,55.602150387918876,-283532.530846737,-5177.27400038141
complete,0.0,cash_to_accrual,terminal83,mexico_born,0,-956510.6121681602,83.0,-703761.7349345089,-8479.057047403721
complete,0.0,cash_to_accrual,terminal83,mexico_born,25,-697747.6823914023,58.0,-482163.52856671903,-8313.164285633087
complete,0.0,cash_to_accrual,terminal83,mexican_second_gen,0,-807983.6606122258,83.0,-555234.7833785745,-6689.5757033563195
complete,0.0,cash_to_accrual,terminal83,mexican_second_gen,25,-537925.8220686931,58.0,-322341.66824400984,-5557.614969724307
