arm,account,rate,group,start_age,lifetime
fenelon_mexican,complete,0.0,all_native,0,-316883.029835763
truncate83,complete,0.0,all_native,0,-210161.13069494357
male,complete,0.0,all_native,0,-274936.3025064419
female,complete,0.0,all_native,0,-359462.91846602864
lt2023,complete,0.0,all_native,0,-310475.5220188546
terminal83,complete,0.0,all_native,25,-255383.0462507197
common_white,complete,0.0,all_native,25,-238010.42829189918
group_specific,complete,0.0,all_native,25,-238010.42829189918
paradox_fades,complete,0.0,all_native,25,-238010.42829189918
mortality_65plus,complete,0.0,all_native,25,-238010.42829189918
fenelon_mexican,complete,0.0,all_native,25,-238010.42829189918
truncate83,complete,0.0,all_native,25,-129979.76296027427
male,complete,0.0,all_native,25,-196160.8303536259
female,complete,0.0,all_native,25,-280203.4495167777
lt2023,complete,0.0,all_native,25,-231702.72440640896
terminal83,complete,0.03,mexico_born,0,-270961.0447877925
common_white,complete,0.03,mexico_born,0,-261314.88300049305
group_specific,complete,0.03,mexico_born,0,-266455.85427545715
paradox_fades,complete,0.03,mexico_born,0,-266455.85427545715
mortality_65plus,complete,0.03,mexico_born,0,-264764.5701141268
fenelon_mexican,complete,0.03,mexico_born,0,-262770.6738996037
truncate83,complete,0.03,mexico_born,0,-257598.75224693507
male,complete,0.03,mexico_born,0,-261744.5882559169
female,complete,0.03,mexico_born,0,-270965.4772576579
lt2023,complete,0.03,mexico_born,0,-265508.70744682103
terminal83,complete,0.03,mexico_born,25,-190097.20135848635
common_white,complete,0.03,mexico_born,25,-174280.6334500791
group_specific,complete,0.03,mexico_born,25,-185578.31184812236
paradox_fades,complete,0.03,mexico_born,25,-185578.31184812236
mortality_65plus,complete,0.03,mexico_born,25,-181592.08876027874
fenelon_mexican,complete,0.03,mexico_born,25,-177366.07084352287
truncate83,complete,0.03,mexico_born,25,-166785.0365085235
male,complete,0.03,mexico_born,25,-176265.7736287443
female,complete,0.03,mexico_born,25,-194345.7692239512
lt2023,complete,0.03,mexico_born,25,-183865.71515448243
terminal83,complete,0.03,mexican_second_gen,0,-253690.51700281943
common_white,complete,0.03,mexican_second_gen,0,-244612.17294702164
group_specific,complete,0.03,mexican_second_gen,0,-250226.61150687965
paradox_fades,complete,0.03,mexican_second_gen,0,-244612.17294702164
mortality_65plus,complete,0.03,mexican_second_gen,0,-248491.85381025154
fenelon_mexican,complete,0.03,mexican_second_gen,0,-245306.25040231127
truncate83,complete,0.03,mexican_second_gen,0,-240325.01208072505
male,complete,0.03,mexican_second_gen,0,-245453.8633955913
female,complete,0.03,mexican_second_gen,0,-254731.46571180987
lt2023,complete,0.03,mexican_second_gen,0,-249316.15783037682
terminal83,complete,0.03,mexican_second_gen,25,-144149.73656392758
common_white,complete,0.03,mexican_second_gen,25,-129038.09882358389
group_specific,complete,0.03,mexican_second_gen,25,-141295.02512936652
paradox_fades,complete,0.03,mexican_second_gen,25,-129038.09882358389
mortality_65plus,complete,0.03,mexican_second_gen,25,-137260.90637538605
fenelon_mexican,complete,0.03,mexican_second_gen,25,-130509.12488248854
truncate83,complete,0.03,mexican_second_gen,25,-120285.50263330623
male,complete,0.03,mexican_second_gen,25,-131726.66067333514
female,complete,0.03,mexican_second_gen,25,-150186.66350553968
lt2023,complete,0.03,mexican_second_gen,25,-139611.59125713925
terminal83,complete,0.03,mexican_third_plus_selfid,0,-168043.06461003426
common_white,complete,0.03,mexican_third_plus_selfid,0,-159761.24892026902
group_specific,complete,0.03,mexican_third_plus_selfid,0,-165664.22350851443
paradox_fades,complete,0.03,mexican_third_plus_selfid,0,-159761.24892026902
mortality_65plus,complete,0.03,mexican_third_plus_selfid,0,-163807.65566300132
fenelon_mexican,complete,0.03,mexican_third_plus_selfid,0,-160516.6611003408
truncate83,complete,0.03,mexican_third_plus_selfid,0,-155272.28783602684
male,complete,0.03,mexican_third_plus_selfid,0,-160928.97186084135
female,complete,0.03,mexican_third_plus_selfid,0,-170098.4498803909
lt2023,complete,0.03,mexican_third_plus_selfid,0,-164801.5312825111
terminal83,complete,0.03,mexican_third_plus_selfid,25,-99949.32248536269
common_white,complete,0.03,mexican_third_plus_selfid,25,-85136.61005099434
group_specific,complete,0.03,mexican_third_plus_selfid,25,-97885.5429722657
paradox_fades,complete,0.03,mexican_third_plus_selfid,25,-85136.61005099434
mortality_65plus,complete,0.03,mexican_third_plus_selfid,25,-93712.78553933131
fenelon_mexican,complete,0.03,mexican_third_plus_selfid,25,-86737.64627893025
truncate83,complete,0.03,mexican_third_plus_selfid,25,-75835.60973501191
male,complete,0.03,mexican_third_plus_selfid,25,-88201.24693927469
female,complete,0.03,mexican_third_plus_selfid,25,-106839.51150558193
lt2023,complete,0.03,mexican_third_plus_selfid,25,-96219.9282186539
terminal83,complete,0.03,third_plus_nh_white,0,13154.493386526421
common_white,complete,0.03,third_plus_nh_white,0,16306.48378573722
group_specific,complete,0.03,third_plus_nh_white,0,16306.48378573722
paradox_fades,complete,0.03,third_plus_nh_white,0,16306.48378573722
mortality_65plus,complete,0.03,third_plus_nh_white,0,16306.48378573722
fenelon_mexican,complete,0.03,third_plus_nh_white,0,16306.48378573722
truncate83,complete,0.03,third_plus_nh_white,0,24246.488297149026
male,complete,0.03,third_plus_nh_white,0,19443.879132863178
female,complete,0.03,third_plus_nh_white,0,13121.95045062888
lt2023,complete,0.03,third_plus_nh_white,0,16683.536192932013
terminal83,complete,0.03,third_plus_nh_white,25,58586.63867950419
common_white,complete,0.03,third_plus_nh_white,25,65920.4727949148
group_specific,complete,0.03,third_plus_nh_white,25,65920.4727949148
paradox_fades,complete,0.03,third_plus_nh_white,25,65920.4727949148
mortality_65plus,complete,0.03,third_plus_nh_white,25,65920.4727949148
fenelon_mexican,complete,0.03,third_plus_nh_white,25,65920.4727949148
truncate83,complete,0.03,third_plus_nh_white,25,82748.95208468447
male,complete,0.03,third_plus_nh_white,25,72800.3627236548
female,complete,0.03,third_plus_nh_white,25,58969.01287452528
lt2023,complete,0.03,third_plus_nh_white,25,66778.06603730131
terminal83,complete,0.03,all_native,0,-62043.061702115796
common_white,complete,0.03,all_native,0,-57272.97886218299
group_specific,complete,0.03,all_native,0,-57272.97886218299
paradox_fades,complete,0.03,all_native,0,-57272.97886218299
mortality_65plus,complete,0.03,all_native,0,-57272.97886218299
fenelon_mexican,complete,0.03,all_native,0,-57272.97886218299
truncate83,complete,0.03,all_native,0,-49254.39176822105
male,complete,0.03,all_native,0,-53751.77052752654
female,complete,0.03,all_native,0,-60860.306961216775
lt2023,complete,0.03,all_native,0,-56781.66674804678
terminal83,complete,0.03,all_native,25,7648.858083524857
common_white,complete,0.03,all_native,25,17091.749448211973
group_specific,complete,0.03,all_native,25,17091.749448211973
paradox_fades,complete,0.03,all_native,25,17091.749448211973
mortality_65plus,complete,0.03,all_native,25,17091.749448211973
fenelon_mexican,complete,0.03,all_native,25,17091.749448211973
truncate83,complete,0.03,all_native,25,34086.78095606676
male,complete,0.03,all_native,25,24556.287814599487
female,complete,0.03,all_native,25,9533.641842686051
lt2023,complete,0.03,all_native,25,18143.328380888295
