account,rate,timing,survival,group,start_age,lifetime,person_years,gap_vs_white,gap_per_year,gap_change_vs_repo
partial,0.03,cash_to_accrual,common_white,mexican_second_gen,0,-80663.67313478027,30.448598719809517,-226590.414870337,-7441.735396608574,16321.564168053854
partial,0.03,cash_to_accrual,common_white,mexican_second_gen,25,-45275.21430333314,26.765846735420713,-153733.5418801861,-5743.645751237978,27532.959264815698
partial,0.03,cash_to_accrual,common_white,mexican_third_plus_selfid,0,-2868.078653018408,30.448598719809517,-148794.8203885751,-4886.75428901662,12594.370450940769
partial,0.03,cash_to_accrual,common_white,mexican_third_plus_selfid,25,-13264.530611742684,26.765846735420713,-121722.85818859564,-4547.693162552302,19043.387860753413
partial,0.03,cash_to_accrual,common_white,mexican_observed_total,0,-59671.849021637405,30.448598719809517,-205598.59075719412,-6752.316999843871,12013.74247332709
partial,0.03,cash_to_accrual,common_white,mexican_observed_total,25,-65876.15957638784,26.765846735420713,-174334.4871532408,-6513.318591282764,17509.71922593811
partial,0.03,cash_to_accrual,group_specific,mexico_born,0,-98549.22327827117,30.710301514419616,-244475.9650138279,-8029.136817214993,13396.930696695228
partial,0.03,cash_to_accrual,group_specific,mexico_born,25,-102557.82123250884,27.37146360409304,-211016.1488093618,-7883.783797136989,14125.908265756094
partial,0.03,cash_to_accrual,group_specific,mexican_second_gen,0,-81068.6576380545,30.710301514419616,-226995.3993736112,-7455.035992376574,15916.579664779652
partial,0.03,cash_to_accrual,group_specific,mexican_second_gen,25,-46248.09912713763,27.37146360409304,-154706.42670399058,-5779.993744762018,26560.07444101121
partial,0.03,cash_to_accrual,group_specific,mexican_third_plus_selfid,0,-4105.968045473656,30.710301514419616,-150032.70978103037,-4927.409341941925,11356.481058485515
partial,0.03,cash_to_accrual,group_specific,mexican_third_plus_selfid,25,-15899.141192014402,27.37146360409304,-124357.46876886736,-4646.124966571609,16408.777280481692
