outcome,outcome_label,taxonomy,period,group,n_obs,adjusted_gap,se_adjusted_gap,raw_gap,se_raw_gap
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,Europe|2nd_both_foreign,8414.0,0.003579132366069148,0.0054582321726379555,-0.04864448396522558,0.005811333225197324
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,Asia|1st_foreign_born,32945.0,-0.060798713214566334,0.0028810633088607,-0.05202338737304335,0.002977559976700779
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,Asia|2nd_father_foreign,1243.0,0.030424597919857018,0.012688159707740464,0.017144100614106428,0.012423006284580873
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,Asia|2nd_mother_foreign,1178.0,0.00554659391895016,0.014551682657320195,0.03412140204565628,0.014129335656092916
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,Asia|2nd_both_foreign,2323.0,-0.018983537798638563,0.010245820367393198,-0.0008670338335045047,0.010353893240216695
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,Africa|1st_foreign_born,2640.0,-0.050590382509527174,0.009805604622125576,-0.011432710845238558,0.010148284521125586
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,Canada|1st_foreign_born,3435.0,-0.011298129152651402,0.008476267800360798,-0.024891809299577905,0.009074793315928826
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,Canada|2nd_father_foreign,2437.0,0.029588579150574345,0.010517395520311041,0.0016414346221328424,0.011114956741156045
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,Canada|2nd_mother_foreign,2934.0,0.014728466103521083,0.008250152640330598,-0.001265087949227972,0.008565422414578328
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,Canada|2nd_both_foreign,1272.0,-0.0008248342782734694,0.014193146667071999,-0.03304914725183605,0.01542362563918712
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,Other|1st_foreign_born,879.0,-0.05667504938770438,0.017072610920455027,-0.04331210767367444,0.017018232859574312
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,Other|2nd_mother_foreign,141.0,0.07437210314049318,0.030785346579396813,0.08531249427913601,0.03206818889798982
employed,employed (EMPSTAT 10 or 12),region_gen_detail,1994-2004,US outlying|1st_foreign_born,8400.0,-0.16447279896021302,0.006431820402392002,-0.17546110786237923,0.00675721672470191
