year_range,origin,offence,persons,population,rate_per_100k,ratio_to_danish_origin
2008-2024,Romania,sexual_total,70.0,335206.0,20.882681097593718,1.3056175731797586
2008-2024,Russia,sexual_total,10.0,93506.0,10.694500887643573,0.668636763164616
2008-2024,Serbia and Montenegro,sexual_total,3.0,12312.0,24.366471734892787,1.52342956083018
2008-2024,Somalia,sexual_total,164.0,217790.0,75.30189632214518,4.70799121398649
2008-2024,South Africa,sexual_total,3.0,17813.0,16.84163251557851,1.052964955534788
2008-2024,Soviet Union,sexual_total,2.0,18302.0,10.927767457108512,0.6832209504586448
2008-2024,Spain,sexual_total,6.0,90905.0,6.6002970133656005,0.4126607943004494
2008-2024,Sri Lanka,sexual_total,45.0,155984.0,28.84911272951072,1.803691220215648
2008-2024,Sweden,sexual_total,17.0,242189.0,7.019311364265099,0.4388582206458593
2008-2024,Switzerland,sexual_total,1.0,25324.0,3.9488232506712997,0.2468865470560361
2008-2024,Syria,sexual_total,244.0,271800.0,89.77189109639441,5.612677703847986
2008-2024,Tanzania,sexual_total,4.0,13165.0,30.38359285985568,1.8996292951453275
2008-2024,Thailand,sexual_total,40.0,177604.0,22.522015269926353,1.408111285251922
2008-2024,Tunisia,sexual_total,12.0,19152.0,62.65664160401002,3.9173902992776055
2008-2024,Turkey,sexual_total,246.0,868883.0,28.31221234619621,1.770123376497384
2008-2024,USA,sexual_total,6.0,137041.0,4.3782517640706065,0.27373508297430954
2008-2024,Uganda,sexual_total,21.0,24898.0,84.3441240260262,5.2733252980395315
2008-2024,Ukraine,sexual_total,15.0,183616.0,8.169222725688392,0.510752460377668
2008-2024,United Kingdom,sexual_total,24.0,234341.0,10.241485698191951,0.6403135517196283
2008-2024,Vietnam,sexual_total,27.0,203211.0,13.286682315425839,0.8307039617760388
2008-2024,Yugoslavia,sexual_total,53.0,224154.0,23.644458720344048,1.4782881886350192
2008-2024,"Yugoslavia, Federal Republic",sexual_total,5.0,23594.0,21.191828430957024,1.3249459433854072
2010-2022,Afghanistan,sexual_total,98.0,160073.0,61.222067431734274,3.962156786762275
2010-2022,Algeria,sexual_total,5.0,14993.0,33.34889615153738,2.1582667943250984
2010-2022,Argentina,sexual_total,3.0,23342.0,12.852369120041127,0.8317769012248188
2010-2022,Australia,sexual_total,0.0,26852.0,0.0,0.0
2010-2022,Austria,sexual_total,1.0,18586.0,5.380393844829442,0.34820718871533635
2010-2022,Belgium,sexual_total,3.0,15237.0,19.688915140775745,1.2742230378939243
2010-2022,Bosnia and Herzegovina,sexual_total,45.0,243601.0,18.472830571303074,1.1955207344216396
2010-2022,Brazil,sexual_total,8.0,41580.0,19.24001924001924,1.2451714881122158
2010-2022,Bulgaria,sexual_total,27.0,90196.0,29.934808638964036,1.9373146021498462
